job_id,url,first_seen,last_seen,active,Job Title,Location,Salary,Language Requirements,Education Requirements,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Company Name
1719936,https://www.cvonline.hu/hu/allas/embedded-software-developer-m-w-d-1719936,2026-03-09,2026-03-09,True,Software Architect / System Architect (m/f/d),,,German - Professional,University + degree + Computer Science / Software Engineering,,,,Full-time,Mid/Senior level,Ivoclar Gruppe
1719937,https://www.cvonline.hu/hu/allas/it-technikerin-systemadministratorin-it-system-engineer-1719937,2026-03-09,2026-03-09,True,IT-Systemadministrator:in,,,"German, fluent",University degree in Computer Science or a related field,,,,Full-time,,
1719939,https://www.cvonline.hu/hu/allas/modern-workplace-consultant-m-w-d-1719939,2026-03-09,2026-03-09,True,Modern Workplace Consultant,"Kennelbach, Austria","€37,289 gross per year (minimum) with overtime","German - Native/Bilingual, English - Professional",University degree in IT or similar field,,Microsoft 365,Hybrid,Full-time,Mid/Senior level,GW WORLD
1853574,https://www.cvonline.hu/hu/allas/sap-business-analyst-1853574,2026-03-09,2026-03-09,True,Customizing Specialist in SAP Logistic Modules,Hungary,Competitive,"Hungarian, English",University degree in relevant field,ABAP,"SAP MM, SAP PP, SAP S/4HANA",Hybrid (2 days home office per week),Full-time,Minimum 5 years in relevant SAP modules,Hire-One Ltd
1843826,https://www.cvonline.hu/hu/allas/network-monitoring-systems-platform-engineer-1843826,2026-03-09,2026-03-09,True,Network Monitoring Systems Platform Engineer,,,English - Excellent,,,,Hybrid,Full-time,3-5 years,
1853457,https://www.cvonline.hu/hu/allas/senior-rendszermernok-linux-rendszermernok-1853457,2026-03-09,2026-03-09,True,Senior Systems Engineer (Linux Systems Engineer),Budapest,,"Hungarian, Professional",University + degree + IT,Shell/Bash,"Red Hat Linux, Red Hat Satellite, IPA, Ansible, LVM, sFTP, FTP, HTTPS",On-site with home office,Full-time,5+ years,Magyar Posta Zrt.
1849041,https://www.cvonline.hu/hu/allas/automatizalasi-rendszermernok-1849041,2026-03-09,2026-03-09,True,Automatizálási rendszermérnök,Budaörs,,"English, Intermediate",University degree in Informatics,,"RavenDB, MSSQL, vmWare",On-site with home office,Full-time,Entry level,Magyar Posta Zrt.
1843777,https://www.cvonline.hu/hu/allas/szoftvertesztelo-1843777,2026-03-09,2026-03-09,True,Software Tester,,,English - Intermediate,BSc/MSc/PhD in Health Engineering/Computer Science/Electrical Engineering,C#,"VisualStudio, GitHub, JIRA, Polarion",,,Mid-level,Internationally recognized healthcare technology company
1843780,https://www.cvonline.hu/hu/allas/logisztikai-es-e-szolgaltatasok-uzemeltetesi-osztalyvezeto-1843780,2026-03-09,2026-03-09,True,Logisztikai és E-szolgáltatások Üzemeltetési Osztályvezető (Platform és E-szolgáltatási szoftverek),Budapest,,"Hungarian, Professional",University degree,"DEVOPS, Azure DevOps, OKD, Red Hat Openshift, Docker, Kubernetes",,On-site,Full-time,3-5 years,Magyar Posta Zrt.
1838521,https://www.cvonline.hu/hu/allas/senior-rendszermernok-it-tervezesi-rendszermernok-1838521,2026-03-09,2026-03-09,True,Senior Systems Engineer (IT Design Systems Engineer),Budapest,,English - Professional,University degree in IT or related field,,,On-site,Full-time,"5 years of experience in IT infrastructure operations, design, and development",Magyar Posta Zártkörűen működő Részvénytársaság
1848994,https://www.cvonline.hu/hu/allas/unreal-engine-c-developer-1848994,2026-03-09,2026-03-09,True,VR Training Devices Developer,Not specified,,English - Professional,"University degree in Computer Science, Software Engineering, or related field","C++, Unreal Engine","Git, Bitbucket, Artifactory, Azure DevOps",,Full-time,Experienced,Saab
1848995,https://www.cvonline.hu/hu/allas/c-net-developer-1848995,2026-03-09,2026-03-09,True,C#/.Net Developer,,,English - Professional,"University + degree + Computer Science, Software Engineering","C#, .Net","REST APIs, MS SQL, PostgreSQL, Git, Bitbucket, Artifactory, Azure DevOps",,Full-time,Experienced,Saab
1719744,https://www.cvonline.hu/hu/allas/senior-systemadministrator-m-w-d-microsoft-365-vmware-netapp-1719744,2026-03-09,2026-03-09,True,IT Infrastructure Manager,,,"English - Good, German - Good",University degree in IT,,"Microsoft 365, Azure AD, Intune, VMware vSphere/ESXi, NetApp-Storage, PowerShell",,Full-time,Mid/Senior level,
1857844,https://www.cvonline.hu/hu/allas/szoftver-technikus-1857844,2026-03-09,2026-03-09,True,Server Park Maintenance Engineer,Üllő,,"English, Basic",Basic,,,On-site,Full-time,Similar experience in the field,Pannonjob Kft.
1843555,https://www.cvonline.hu/hu/allas/senior-sap-consultant-w-m-x-1843555,2026-03-09,2026-03-09,True,,,,,,,,,,,
1843561,https://www.cvonline.hu/hu/allas/solution-architect-specialist-1843561,2026-03-09,2026-03-09,True,Solution Architect Specialist,,,English - Fluent,University + degree + field,,,Hybrid,Full-time,5+ years,
1838314,https://www.cvonline.hu/hu/allas/devops-engineer-mid-level-senior-1838314,2026-03-09,2026-03-09,True,DevOps Engineer (mid-level / senior),,,"English - Professional, Hungarian - Professional","BSc/MSc in Computer Science, Computer Engineering or related field",Shell,"GitHub Actions, Helm, Terraform, Kubernetes, Prometheus, Grafana, Datadog, AWS or Azure cloud services, RabbitMQ",Home-Office,Full-time,3+ years of DevOps experience,
1853267,https://www.cvonline.hu/hu/allas/informatikai-szolgaltatas-menedzsment-munkatars-1853267,2026-03-09,2026-03-09,True,Software Licensing and Compliance Specialist,Budapest,200000 HUF net,English - Intermediate,University - Bachelor's degree,,,On-site,Full-time,,MÁV CSO
1853243,https://www.cvonline.hu/hu/allas/muszaki-promoter-1853243,2026-03-09,2026-03-09,True,Sales Representative,Soroksár,1882 HUF/hr + commission-based bonus,"English, Basic",High School Diploma,,,On-site,Part-time,Entry-level,Sony
1853247,https://www.cvonline.hu/hu/allas/sales-support-intern-1853247,2026-03-09,2026-03-09,True,Order Management Specialist,Not specified,2500 HUF/hour gross,English - Advanced,University degree in any field,,"MS Office (Excel, Word, PowerPoint, Outlook), SAP",Hybrid (onsite with home office),Part-time (minimum 25 hours per week),Entry level (active or passive student status with at least two years of finished studies),Sony
1843506,https://www.cvonline.hu/hu/allas/rendszergazda-gyakornok-1843506,2026-03-09,2026-03-09,True,IT Infrastructure Support Specialist,Budapest,2145 HUF gross,"Hungarian, Professional",University degree in IT or related field,,"Windows/Linux OP systems, Office applications",On-site,Full-time,Entry-level,Partner company in the city center
1715286,https://www.cvonline.hu/hu/allas/data-engineer-data-modeler-fur-den-bereich-data-analytics-m-w-d-1715286,2026-03-09,2026-03-09,True,Data Warehouse / Lakehouse Developer,Not specified,,"German, B2","University degree in Business Informatics, Informatics or similar",,"MS BI Stack 2019 (SSIS, Power BI, SSRS, SSAS), SQL",Hybrid,Full-time,Mid/Senior level,Liebherr
1853212,https://www.cvonline.hu/hu/allas/microsoft-dynamics-crm-developer-1853212,2026-03-09,2026-03-09,True,Microsoft Dynamics CRM Developer,,,English - Active,IT degree,"C#, .NET, JavaScript, Power Automate, Plugins",Microsoft Dynamics CRM,Hybrid,Full-time,Experienced,Hire-One Személyzeti Tanácsadó Kft.
1853220,https://www.cvonline.hu/hu/allas/finance-data-analyst-1853220,2026-03-09,2026-03-09,True,Finance Analytics Engineer,,,English - Fluent,University + degree + Business/Finance/Economics,"DAX, Power Query, Python, VBA","Power BI, Power Automate, Power Apps, Excel",,,,The Company
1853222,https://www.cvonline.hu/hu/allas/agile-quality-engineer-mobile-ios-android-1853222,2026-03-09,2026-03-09,True,Agile Quality Engineer (Mobile – iOS & Android),Hungary,,"Hungarian, English",University degree in Computer Science or similar field,,,Home-Office,Full-time,Mid/Senior level,Hungary's largest agricultural machinery manufacturing company
1843386,https://www.cvonline.hu/hu/allas/teszt-technikus-1843386,2026-03-09,2026-03-09,True,Test Technician,Komárom,,"English, Basic",High School + IT/Engineering field,,,3-shift work or continuous 12-hour shifts,Full-time,,American and Asian electronics manufacturing company
1843413,https://www.cvonline.hu/hu/allas/it-projectmanager-1843413,2026-03-09,2026-03-09,True,Process Improvement Specialist,Central Europe,,English - Fluent,University degree in relevant field,,"Jira, Confluence, Notion",Hybrid,Full-time,Experienced,Leading business travel agency with presence in multiple countries
1843420,https://www.cvonline.hu/hu/allas/szolgaltatasmenedzser-berszamfejtes-tapasztalattal-1843420,2026-03-09,2026-03-09,True,HR and Payroll Specialist,,,"English, Fluent",University degree in HR or related field,,,Home-Office,Full-time,Experienced (requires HR/payroll/time module experience),
1848719,https://www.cvonline.hu/hu/allas/medior-full-stack-php-fejlesztot-1848719,2026-03-09,2026-03-09,True,Agile Developer for Unique ERP Systems,Tata,,English - Professional,University + degree + Computer Science / Software Engineering,"PHP, JavaScript","Git, PostgreSQL, Linux",Hybrid (1 office day per week),Full-time,"Mid/Senior level (requires experience in CRM, ERP systems development)",Viapan Dologidő Kft.
1848722,https://www.cvonline.hu/hu/allas/senior-data-engineer-1848722,2026-03-09,2026-03-09,True,Senior Data Engineer,,,English - Professional,University degree in Computer Science or a related field,Python,"Azure Data Factory, Microsoft SQL Server (MSSQL), Azure Cloud, Azure Synapse Analytics, Databricks, dbt",Full Remote Opportunity,Full-time,Experienced,
1843356,https://www.cvonline.hu/hu/allas/it-mernok-somogy-megye-1843356,2026-03-09,2026-03-09,True,Industrial Software Developer,,,"English, Intermediate",University degree in relevant field,"C#, .NET",MySQL,Hybrid,Full-time,2+ years relevant experience,Hire-One Személyzeti Tanácsadó Kft.
1838104,https://www.cvonline.hu/hu/allas/coremedia-developer-1838104,2026-03-09,2026-03-09,True,CoreMedia Developer,Hungary,,English - Professional,University degree in Computer Science or Information Technology,"Java, JavaScript, HTML, CSS, Spring Boot, REST","CoreMedia Content Management System, Docker, Kubernetes, Azure DevOps, Grafana, MongoDB",Hybrid,Full-time,Mid/Senior level,Hungary's largest agricultural machinery manufacturing company
1843321,https://www.cvonline.hu/hu/allas/budapest-nuklearis-mernok-gyakornok-diakmunka-1843321,2026-03-09,2026-03-09,True,Nuclear/Energy Facilities Analysis and Evaluation,,2500 HUF/hr,"English, Basic",University + MSc + Energy Engineering,,,,Short-term,,
1848614,https://www.cvonline.hu/hu/allas/medior-szoftverfejleszto-java-1848614,2026-03-09,2026-03-09,True,Medior Software Developer (JAVA),,,English - Intermediate,University + degree + field,Java,"Dynatrace, Splunk, CloudWatch, RESTful API, Scrum",,Full-time,Mid-level,Partnerünk
1848615,https://www.cvonline.hu/hu/allas/senior-tesztautomatizalo-mernok-nemet-nyelvtudassal-1848615,2026-03-09,2026-03-09,True,Automata Tesztmérnök,Bécs,Euró alapú bérezés,Német: Magabiztos,ISTQB Foundation level certifikát,"JMETER, Playwright, Katalon, Bamboo, Azure, Kubernetes, RabbitMQ, Argocd","JMETER, Playwright, Katalon, Bamboo, Azure, Kubernetes, RabbitMQ, Argocd",Hibrid (full távmunka + havi 1-2 nap a bécsi irodában),Hosszútávú együttműködési lehetőség,Legalább 3 éves tapasztalat az automatizált tesztelésben,MindFly Technologies Kft.
1848638,https://www.cvonline.hu/hu/allas/senior-fullstack-fejleszto-net-1848638,2026-03-09,2026-03-09,True,Senior Fullstack (Backend Heavy) Developer,Budapest,,English - Active,University degree in IT or related field,"C#, .NET, HTML, CSS, JavaScript, TypeScript","Entity Framework, T-SQL, Redis, Elasticsearch, ASP.NET Core MVC","Hybrid (80-90% Home Office, monthly on-site visits)",Full-time,Senior,Partnerük
1848640,https://www.cvonline.hu/hu/allas/medior-tesztautomatizalo-mernok-1848640,2026-03-09,2026-03-09,True,Medior Test Automation Engineer,Budapest,,English - Intermediate,University degree in Computer Science or related field,"Java, Python, JS, C#","Selenium, Appium, TestNG, JUnit, Git/SVN",On-site,Full-time,2 years of experience in test automation,Partnerünk
1848652,https://www.cvonline.hu/hu/allas/sap-modulgazda-1848652,2026-03-09,2026-03-09,True,SAP Module Operator,"Budapest, 11th district",,"English, Intermediate",University degree in relevant field,,"SAP modules (FI, MM, AMSP, AM, PM)",Home office,Full-time,At least 2 years of relevant experience,
1857694,https://www.cvonline.hu/hu/allas/it-security-expert-public-key-infrastructure-1857694,2026-03-09,2026-03-09,True,IT Security Expert,Hungary,,"Hungarian, English","University degree in Computer Science, Information Technology, or related field",,,Hybrid,Full-time,Several years,Hungary's largest agricultural machinery manufacturing company
1857686,https://www.cvonline.hu/hu/allas/global-data-engineer-1857686,2026-03-09,2026-03-09,True,Data Engineer,,,English - Negotiable,University + degree + field,"SQL, dbt, PowerBI","Git, CI/CD, Microsoft Fabric",,,Experienced,Hire-One Személyzeti Tanácsadó Kft.
1853099,https://www.cvonline.hu/hu/allas/it-service-desk-agent-german-speaking-1853099,2026-03-09,2026-03-09,True,IT Service Desk Agent,,,"German - Native/Bilingual, English - Intermediate","Relevant IT education (IT student, vocational school or university degree in IT or network technology)",,,Hybrid (50% Home Office),Full-time,,
1843197,https://www.cvonline.hu/hu/allas/french-speaking-first-line-analyst-1843197,2026-03-09,2026-03-09,True,First Line Analyst,,,"French - Native/Fluent, English - Fluent",,,Ticketing tool,On-site,Full-time,,
1843216,https://www.cvonline.hu/hu/allas/chief-product-owner-m-w-d-crm-1843216,2026-03-09,2026-03-09,True,Chief Product Owner CRM Services,1120 Wien,"€85,000 gross, negotiable","English - Negotiation level, German - Advantageous","University degree in Business Informatics, Business Administration, Informatics or similar",,,Hybrid,Full-time,5+ years in larger IT departments and leading leadership roles,International corporation
1843217,https://www.cvonline.hu/hu/allas/full-stack-developer-m-w-d-1843217,2026-03-09,2026-03-09,True,Full-Stack-Developer (m/w/d),Wien,55000 EUR gross,"German - Native/Bilingual, English - Professional working proficiency",University degree in Computer Science or similar,"C#, .NET, ASP.NET Core, SQL Server, Azure",Microsoft-Technologies,Hybrid,Full-time,3 years,Etabliertes Unternehmen aus der Praxissoftware-Branche
1848415,https://www.cvonline.hu/hu/allas/diakmunka-technical-writer-1848415,2026-03-09,2026-03-09,True,Technical Writer Trainee,,2200-2500 HUF/hour,"English, Fluent",University + degree + IT/economics/technology/engineering,,,Hybrid,Full-time,6-12 months,
1848436,https://www.cvonline.hu/hu/allas/diakmunka-c-programozo-1848436,2026-03-09,2026-03-09,True,CAD/BIM Software Developer Intern,,2500 HUF/hora,,High School Diploma,"C++, C#",,,Internship,1-2 years,Partner company specializing in professional 3D CAD/BIM design software development
1848437,https://www.cvonline.hu/hu/allas/diakmunka-it-biztonsagi-tanacsado-1848437,2026-03-09,2026-03-09,True,Junior IT Security Consultant,,2400 HUF/hora,,University + degree + field,,"MS Office, Outlook, web browsers",,,Entry level,
1853016,https://www.cvonline.hu/hu/allas/it-operator-1853016,2026-03-09,2026-03-09,True,IT Operátor,Budapest,,"Hungarian, Professional",Minimum secondary education,PowerShell,"Ticketing system, Monitoring system, Active Directory, Exchange, SharePoint, Fileshare",On-site with home office (after probation period),Full-time,1-3 years in IT operations,Magyar Posta Zrt.
1853025,https://www.cvonline.hu/hu/allas/diakmunka-onsite-services-technician-intern-1853025,2026-03-09,2026-03-09,True,Onsite Services Technician Intern,Hungary,2200 HUF/hour gross,"English - Fluent, Hungarian - Fluent","University + Information Technology, Computer Science",,,On-site,Internship,Entry level,Schneider Electric
1843073,https://www.cvonline.hu/hu/allas/it-uzleti-elemzo-1843073,2026-03-09,2026-03-09,True,IT Business Analyst,Budapest,,English - intermediate,"University degree in economics, engineering, logistics or IT",,"MS Visio, BPMN 2.0, UML, Power BI, Confluence, SharePoint, JIRA, MS Project",On-site with home office,Full-time,Minimum 3-5 years of relevant experience,Magyar Posta Zrt.
1843095,https://www.cvonline.hu/hu/allas/sap-devops-temavezeto-szakerto-sap-modulgazda-1843095,2026-03-09,2026-03-09,True,"SAP DevOps Specialist (SAP Module Manager) - Logistics Modules (MM, SD)",Budapest,,English - Intermediate,University degree in IT/Computer Science or related field,,SAP systems,Home-Office,Full-time,3+ years of experience in SAP system operation/maintenance,Magyar Posta Zrt.
1843055,https://www.cvonline.hu/hu/allas/full-stack-java-fejleszto-1843055,2026-03-09,2026-03-09,True,Senior Java Developer,"Budapest, VIII. kerület",,English - Fluent,BSc in Computer Science or similar,"Java, Spring, Python","AWS, Docker, Kubernetes, SQL, JPA, JUnit, Mockito, REST / SOAP API, SNS, SQS, Kafka",Hybrid (1 day per week on-site),Full-time,7+ years,Beck and Partners Kft.
1843031,https://www.cvonline.hu/hu/master/allas/erp-tamogato-it-1843031,2026-03-09,2026-03-09,True,ERP Support Specialist (IT),Mátészalka,,"English, Intermediate",University degree in IT/Engineering,SQL,"Oracle, Microsoft Power BI, Microsoft Visio, PHP",,Full-time,Mid/Senior level,CARL ZEISS VISION HUNGARY KFT
1848309,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848309,2026-03-09,2026-03-09,True,Mainframe Application Support and Maintenance Specialist,Hungary,,German - Professional,University degree in Computer Science or a related field,,,On-site with home office (within Hungary),Full-time,Senior,
1848310,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848310,2026-03-09,2026-03-09,True,Mainframe Application Support and Maintenance Specialist,Hungary,,German - Professional,University degree in Computer Science or a related field,,,On-site with home office (within Hungary),Full-time,Senior,
1848311,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848311,2026-03-09,2026-03-09,True,Mainframe Application Support and Maintenance Specialist,Hungary,,German - Professional,University degree in Computer Science or a related field,,,On-site with home office (within Hungary),Full-time,Senior,
1848312,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848312,2026-03-09,2026-03-09,True,Mainframe Application Support and Maintenance Specialist,Hungary,,German - Professional,University degree in Computer Science or a related field,,,On-site with home office (within Hungary),Full-time,Senior,
1843004,https://www.cvonline.hu/hu/allas/3d-artist-1843004,2026-03-09,2026-03-09,True,3D Artist,,,"English, Professional",University + degree + Computer Graphics,,"Maya, Blender, 3ds Max, ZBrush, Substance Painter/Designer, Unreal Engine",,Full-time,Experienced,
1857661,https://www.cvonline.hu/hu/allas/senior-java-fejleszto-1857661,2026-03-09,2026-03-09,True,Senior Java Developer,"Budapest, XIII. kerület, Váci út 19., Panoráma irodaház",,English - Intermediate,University degree in Computer Science or related field,"Java, Spring (Spring Boot), Hibernate/JPA, SQL, TypeScript/JavaScript (React), Python","Git, Maven/Gradle, Modern Java IDE (IntelliJ/Eclipse/VS Code), AWS (Lambda, EC2, S3, IAM), Docker",Hybrid,Full-time,Senior (5+ years),Beck and Partners Kft.
1857834,https://www.cvonline.hu/hu/allas/diakmunka-junior-muszaki-adminisztrator-1857834,2026-03-09,2026-03-09,True,Junior Műszaki Adminisztrátor,,2300 HUF/óra,,"Folyamatban lévő vagy befejezett műszaki jellegű felsőfokú tanulmányok (villamosmérnök, gépészmérnök, mechatronikai mérnök, energetikai vagy műszaki menedzser)",,MS Office,,Részmunkaidős,Pályakezdő vagy Junior,Energiabörze
1857760,https://www.cvonline.hu/hu/allas/senior-full-stack-developer-1857760,2026-03-09,2026-03-09,True,Full Stack Developer,Hungary,,English - Professional,University degree in Computer Science or related field,"React, JavaScript, TypeScript, Java (11/17/21/22), Spring Boot, JWT, Kotlin","GitHub, GitLab, Oracle Database, Liquibase, HBase, Docker, Tanzu, Jenkins, Sonar, AWS cloud services (S3, EC2, EKS)",On-site with home office,Full-time,6+ years,Stable and reputable international company with a strong presence in Hungary since 2001
1852712,https://www.cvonline.hu/hu/allas/szoftver-technikus-1852712,2026-03-09,2026-03-09,True,IT Support Specialist,Vecsési járás,,"English, Basic",Medium technical/informatics degree,,,2 shifts,Full-time,,Pannonjob Kft.
