job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Suitable for,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Master,Bachelor
5178219,IT Projektový manažér – CEO vlastného projektu,"M2M Solutions, s.r.o.",https://www.profesia.sk/praca/m2m-solutions/O5178219?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,2500 EUR gross/month,"Slovak: C1, English: B2","Bachelor, Master, PhD",,,Hybrid,Full-time,3+ years,,
5186418,Product Manager,Sygic a. s.,https://www.profesia.sk/praca/sygic/O5186418?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-17,False,Bratislava,3500 EUR gross/month,,Secondary with school-leaving examination,,,Hybrid (occasional home office),Full-time,5+ years,,
5186413,IT Technik - ponuka pre juniorov! :,Hemmersbach Czech s.r.o.,https://www.profesia.sk/praca/hemmersbach-czech/O5186413?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,600 - 650 EUR gross/month,"English: B1, Slovak: C2",High School with Diploma,,"Microsoft Office (Outlook, Word, Excel), Windows",Hybrid,Full-time,,,
5169530,Software Engineering Manager,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169530?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Košice,5500 EUR gross/month,English: B2,"Bachelor, Master, Postgraduate",,,Hybrid (on-site with home office),Full-time,5+ years,,
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,3000 EUR gross/month,English: B2,High School with Diploma,"Symfony, Flask, Python, SQL","Git, Linux",Hybrid,Full-time,3-5 years,,
5030123,Hľadáme Validačného Experta pre Alarm Function Testing: Spoj cestovanie s kariérou!,Valicare s.r.o.,https://www.profesia.sk/praca/valicare/O5030123?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-05,False,Trenčiansky kraj,1600 EUR gross/month,English: B1,"Bachelor, Master",,,Hybrid,Full-time,,,
5138722,Junior Web dizajnér,"LG Tech Services, s.r.o.",https://www.profesia.sk/praca/lg-tech-services/O5138722?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,1600 EUR gross/month,English: B2,High School with Diploma,,"Adobe Creative Cloud, Figma",Hybrid,Full-time,,,
5186386,Cloud Kubernetes Engineer,Unicorn,https://www.profesia.sk/praca/unicorn/O5186386?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,2000 EUR gross/month,"Slovak: C2, English: B2",High School with Diploma,"Linux, Docker, Kubernetes","Zabbix, Ansible, Prometheus, MongoDB, IaC, Graffana, Elastic Search",Home-Office,Full-time,3-5 years,,
5158583,Join Our Team as a Software Test Engineer - Python Focus,localhost s.r.o.,https://www.profesia.sk/praca/localhost/O5158583?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-03,False,Košice,2500 EUR gross/month,English: B2,Bachelor,"Python, Java, C++","JUnit, Selenium, Cucumber, JBehave",Hybrid,Full-time,3-5 years,,
5180668,Software Engineer,"IRON MOUNTAIN SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/iron-mountain-slovakia/O5180668?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,English: B2,Bachelor,"Docker, SQL","GitLab CI/CD, Kubernetes, Google Cloud Platform, Amazon Web Services (AWS)",Hybrid,Full-time,2 years,,
5096827,Abap Developer,"SNP Slovakia, s. r. o.",https://www.profesia.sk/praca/snp-slovakia/O5096827?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Žilina,2500 EUR gross/month,English: B1,"Bachelor, Master","ABAP, SQL",,Hybrid,Full-time,,,
5169536,Senior Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169536?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Košice,3600 EUR gross/month,English: B2,Bachelor,"HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux, Jest","Docker, AWS, Azure DevOps, GitHub actions",Hybrid,Full-time,3-5 years,,
5168981,Junior Data Analytics Engineer,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5168981?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-09,False,Bratislava,1600 - 2600 EUR gross/month,English: B2,High School with Diploma,"Python, SQL, TypeScript","Palantir Foundry, PySpark, Workshop (low-code)",Hybrid,Full-time,0-1 years,,
5169531,Lead Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169531?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Košice,4600 EUR gross/month,English: B2,Bachelor,"React, JavaScript, TypeScript, HTML5, CSS, Sass, Bootstrap","Docker, AWS, Azure DevOps, GitHub actions, Jest testing library",Hybrid,Full-time,3-5 years,,
5186340,Systémový administrátor pre ČSOB Poisťovňu (M/Ž),ČSOB Finančná skupina,https://www.profesia.sk/praca/csob-financna-skupina/O5186340?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Prešov,2200 EUR brutto/month,English: B1,High School with Diploma,,"Docker, Argo, Kubernetes, Ansible, TCP/IP, Linux, Red Hat, GitHub, GitLab, Windows, VMware",Hybrid,Full-time,2-5 years,,
5186336,CMMS Analyst (Computerized Maintenance Management System),CBRE Global Workplace Solutions s. r. o.,https://www.profesia.sk/praca/cbre-global-workplace-solutions/O5186336?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-26,False,Bratislava,2500 EUR gross/month,English: C1,Bachelor's degree,,"Tableau, Microsoft Excel",Job with occasional home office,Full-time,,,
5186331,IT Analytik/ Analytička Senior pre LAB Firemné financovanie,"Slovenská sporiteľňa, a.s.",https://www.profesia.sk/praca/slovenska-sporitelna/O5186331?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2800 EUR gross/month,,"Bachelor, Master",,"Camunda framework, JIRA, Confluence, SOAP/REST, XML, JSON, Kibana",Hybrid,Full-time,3-5 years,,
5186186,Product Owner & Sales Executive – Maklerio,"Maklér Softvér, s. r. o.",https://www.profesia.sk/praca/makler-softver/O5186186?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2500 EUR gross/month,English: B2,Post-secondary / Higher Vocational,,,Hybrid,Full-time,3-5 years,,
5186296,Frontend Developer,"Aliter Technologies, a.s.",https://www.profesia.sk/praca/aliter-technologies/O5186296?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Bratislava,2500 EUR gross/month,English: B2,"Bachelor, Master","React, Node.js, TypeScript, Next JS","Docker, CI/CD (GitLab), PostgreSQL, MongoDB",Hybrid,Full-time,5+ years,,
5186295,Senior ICT analytik (m/ž) | Bratislava,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186295?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Bratislava,2262 EUR gross/month,English,"Bachelor, Master","Java, Python","MS SQL, PostgreSQL, Oracle",Hybrid,Full-time,3-5 years,,
5160644,IT Analytik,VERMONT Services Slovakia s. r. o.,https://www.profesia.sk/praca/vermont-services-slovakia/O5160644?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,1800 EUR gross/month,English: B2,"Bachelor, Master",,,,Full-time,0-1 years,,
5186293,Senior ICT analytik (m/ž) | Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186293?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Trenčín,2262 EUR gross/month,English,Bachelor,"Java, Python","MS SQL, PostgreSQL, Oracle",Full-time,Full-time,3-5 years,,
5186237,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) |Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186237?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Trenčín,2034 EUR gross/month,,"High School with Diploma, Bachelor",,,On-site with home office,Full-time,0-1 years,,
5186236,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) | Čierny Váh,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186236?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Liptovský Hrádok,2034 EUR gross/month,,"High School with Diploma, Bachelor",,,On-site,Full-time,0-1 years,,
5179414,Špecialista Tipérskej komunity (práca pre študenta),"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5179414?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,6 EUR/hour gross/hour,,High School with Diploma,,,Remote,Part-time (brigády),0-1 years,,
5168044,Java Developer for Automatic Driving Trains,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5168044?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Žilina,2000 EUR gross/month,English: B2,Bachelor,"Java, Spring Boot","Docker, Gitlab, Git",Hybrid,Full-time,,,
5175141,Senior Frontend/Fullstack Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175141?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Bratislava,2500 EUR gross/month,,"Bachelor, Master","JavaScript, Java, React, Node, SQL","GitLab, PostgreSQL, Redis, Docker, AWS",Hybrid,Full-time,3-5 years,,
5175139,Senior Java Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175139?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-06,False,Bratislava,2500 EUR gross/month,,"Bachelor, Master","Java, Spring, JDBC (SQL), Messaging, Caching","IDEA, maven, git/gitlab, JIRA, Confluence, Docker, AWS",Hybrid,Full-time,5+ years,,
5171710,Employee Central Test Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171710?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Košice,1800 EUR gross/month,"English: B2, German: B2",High School with Diploma,,,Hybrid (occasional home office),Full-time,5+ years,,
5171694,Employee Central Compensation Specialist,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171694?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-03,False,Košice,2200 EUR gross/month,"English: mandatory, German: optional",,,,Hybrid (occasional home office),Full-time,5+ years,,
5171688,Employee Central Process Automation Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171688?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-22,False,Košice,2200 EUR gross/month,"English: mandatory, German: optional",,,,Hybrid (occasional home office),Full-time,5+ years,,
5171683,Employee Central Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171683?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Košice,3500 EUR gross/month,"English: Mandatory, German: Optional",Full-time,,,Hybrid (occasional home office),Full-time,5+ years,,
5171501,Security Technik Administrator - 12-hour shift schedule (day or night shifts),Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171501?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Košice,1300 EUR gross/month,English: Upper intermediate (B2),High School with Diploma,,"ITIL V4 Foundation, IPsec and SSL VPNs, Proxy and reverse proxy services, Firewalls and next-generation firewalls",12-hour shift schedule (day or night shifts),Full-time,2-5 years,,
5171137,C++ Developer,"Kistler Bratislava, s.r.o.",https://www.profesia.sk/praca/kistler-bratislava/O5171137?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,2700 EUR gross/month,English: B2,High School with Diploma,"C++, React","Docker, GitLab, SonarQube, Yocto, Jenkins CI",Hybrid,Full-time,3-5 years,,
5171034,Biznis analytik - senior pre Odd. zab.úverov pre FO,"Tatra banka, a.s.",https://www.profesia.sk/praca/tatra-banka/O5171034?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-18,False,Bratislava,2600 EUR gross/month,English,"Bachelor, Master",,"Oracle SQL Developer, PowerBI, SAS Data Miner, Python",Full-time,Full-time,3-5 years,,
5154419,Solution Engineer,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5154419?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-04,False,Žilina,2800 EUR gross/month,English: B2,Bachelor,,,Hybrid,Full-time,3-5 years,,
3859622,ServiceNow Developer,"Accenture, s.r.o.",https://www.profesia.sk/praca/accenture/O3859622?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,,3000 - 4600 EUR gross/month,English: B2,,"JavaScript, AngularJS, Bootstrap, jQuery","ServiceNow, REST/SOAP APIs, XML, JSON, HTML, CSS, AJAX",Remote,Full-time,5+ years,,
5131272,Team Leader,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5131272?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-01-06,False,Bratislava,3000 EUR gross/month + 20% bonus,English: B2,"Bachelor, Master, PhD",,,Hybrid,Full-time,No specific experience required,,
5101495,Senior DevOps Engineer for PACCA program,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5101495?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Košice,2600 EUR gross/month,English: B2,"Bachelor, Master","Python, Bash, Java","Docker, AWS, Azure, Kubernetes, OpenShift, Git, Jenkins, GitLab, Ansible, ELK, Prometheus, Icinga, Jaeger, Grafana",Hybrid,Full-time,3-5 years,,
5042597,Senior Java Developer - project Gigabit + Sign on Bonus 2000 EUR,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5042597?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Remote,3100 - 3700 EUR gross/month,English: B2,"Bachelor, Master","Java, Spring Boot, Quarkus","Docker, Kubernetes, AWS, Azure, Google Cloud",Remote,Full-time,5+ years,,
5186234,Solution Application Architect (Azure),Pro HR,https://www.profesia.sk/praca/pro-hr/O5186234?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,4500 EUR gross/month,English: B2,"Bachelor, Master, PhD","Python, SQL","Docker, Ansible, Terraform, Kubernetes, Azure DevOps, Jenkins, Maven, Gradle",Hybrid,Full-time,4 years,,
5186233,IT Project Manager,Pro HR,https://www.profesia.sk/praca/pro-hr/O5186233?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,3800 EUR gross/month,English: B2,Master,,,Hybrid,Full-time,1-3 years,,
5172534,Cybersecurity Enthusiast Wanted!,"ESET, spol. s r.o.",https://www.profesia.sk/praca/eset/O5172534?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,1600 EUR gross/month,English: B2,High School with Diploma,,,Hybrid,Full-time,,,
5186201,IT (ERP/CRM) konzultant / analytik,Strauberi s. r. o.,https://www.profesia.sk/praca/strauberi/O5186201?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-01-06,False,Košice,1700 - 2300€ brutto/month,English: B2,"Bachelor, Master",,"Odoo, Databases, API, Skripting",Hybrid (office or home office),Full-time,3 years,,
5186194,Produktový špecialista/špecialistka odd. Multichannel,"Všeobecná úverová banka, a.s., Intesa Sanpaolo",https://www.profesia.sk/praca/vseobecna-uverova-banka-intesa-sanpaolo/O5186194?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-17,False,Bratislava,1800 EUR gross/month,English: C1,Bachelor,,,Hybrid,Full-time,0-3 years,,
5186193,ERP Enterprise Architect (IFS Cloud Transformation),NonStop Consulting Ltd,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186193?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,,4000 EUR gross/month,English: Fluent,"Bachelor, Master",,,Remote work,Full-time,,,
5163608,SAP S4 IT Solutions - FI AR Consultant,"Kyndryl Services Slovensko, spol. s r.o.",https://www.profesia.sk/praca/kyndryl-services-slovensko/O5163608?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,3330 EUR gross/month,English: B2,"Bachelor, Master",,,Hybrid,Full-time,3-5 years,,
5159908,Senior Java Software Engineer (Air Traffic Management),FREQUENTIS Solutions & Services s. r. o.,https://www.profesia.sk/praca/frequentis-solutions-services/O5159908?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-02-03,False,Bratislava,4000 EUR gross/month,English: B2,Bachelor,"Java, JavaScript","Maven, Git, Docker, Jenkins, Akka, JSON, RabbitMQ/AMQP, WebSocket, HTTP/REST, SIP/SDP, JUnit tests, CATS (test automation platform), etcd, Zabbix, OpenSearch/Kibana, Jama, JIRA, Confluence",Hybrid,Full-time,,,
5186172,Senior IT Infrastructure Engineer | Global Cloud Transformation - Remote,NonStop Consulting Ltd,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186172?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,,4000 - 5000 EUR gross/month,English: C1,Bachelor's degree,,,Remote,Full-time,,,
5186171,DevOps Engineer,IT-Impulse s. r. o.,https://www.profesia.sk/praca/it-impulse/O5186171?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,,2500 EUR gross/month,English: B2,,,"RedHat Openshift, ElasticSearch, Fluentd/Logstash, Kibana, Grafana, Prometheus, GitLab, JFrog Artifactory, Keycloak/RH SSO, Kafka/Eventstream, API Gateway kong",Remote,Full-time,,,
5186166,BI Developer – Power BI / Azure Data Platform - Remote,NonStop Consulting Ltd,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186166?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,,3000 - 4500 EUR gross/month,English: C1,Bachelor's degree,,"Power BI, Azure Synapse, Databricks, Microsoft Fabric, Power Platform",Remote,Full-time,,,
5186161,IT Biznis Analytik,CODERAMA s. r. o.,https://www.profesia.sk/praca/coderama/O5186161?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Praha,3000 - 6000 EUR gross/month,"English: C1, Slovak: C1",High School with Diploma,,"X-Ray Search, Tricentis Tosca, Amazon Web Services (AWS)",Hybrid,Full-time,5 years,,
5186141,Xray Support Engineer,CODERAMA s. r. o.,https://www.profesia.sk/praca/coderama/O5186141?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,3000 - 6000 EUR gross/month,"English: C1, Slovak: C1","Bachelor, Master, Post-secondary / Higher Vocational",,"Idera Xray, Tricentis Tosca, LoadRunner Enterprise, LiveCompare, AWS",Home-Office,Full-time,5+ years,,
5186137,Andorid Developer,Sygic a. s.,https://www.profesia.sk/praca/sygic/O5186137?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Brno,2600 EUR gross/month,"English: B2, Slovak: B2",High School with Diploma,"Kotlin, Java","Azure DevOps, Git, JUnit, Dagger2",Hybrid,Full-time,,,
5186110,Jira developer / Atlassian expert,"Centila, s. r. o.",https://www.profesia.sk/praca/centila/O5186110?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,3000 EUR gross/month,"English: C1, Slovak: C2","Bachelor, Master, PhD",,"Jira, Confluence, Bitbucket, Bamboo",Hybrid,Full-time,3-5 years,,
5184955,Delivery Manager,"Seyfor Slovensko, a.s.",https://www.profesia.sk/praca/seyfor-slovensko/O5184955?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,3400 EUR gross/month,English: B2,"Bachelor, Master, PhD",,,Hybrid,Full-time,5+ years,,
5169220,Biznis analytik,"Prima banka Slovensko, a.s.",https://www.profesia.sk/praca/prima-banka-slovensko/O5169220?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2026-03-25,True,Bratislava,1500 EUR gross/month,,"Bachelor, Master",,"Microsoft Excel, SQL",Full-time,Full-time,2 years,,
5186097,Senior AI Python Software Engineer,ableneo Slovensko s.r.o.,https://www.profesia.sk/praca/ableneo-slovensko/O5186097?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,3500 EUR gross/month,"Slovak: C1, English: B2","Bachelor, Master, Postgraduate",Python,"GitLab, Jira, CI/CD, code reviews, FastAPI, SQL, Elastic, Azure AI Search",Hybrid (Job with occasional home office),Full-time,8+ years,,
5186088,IT-Service Desk Employee,teamative a. s.,https://www.profesia.sk/praca/teamative/O5186088?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-12-17,False,Košice,2200 EUR gross/month,"English: C1, German: B2",Secondary with school-leaving examination,,"Microsoft Office365, Windows 10/11, MDM via Intune and Apple Business Manager",,Full-time,,,
5186084,Senior QA Engineer,Moxymind s. r. o.,https://www.profesia.sk/praca/moxymind/O5186084?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2026-02-07,False,Košice,3000 EUR gross/month,,Bachelor,"Python, Java, JavaScript","Karate, Postman, Wiremock, JUnit, Cucumber, Jenkins, Git",Hybrid,Full-time,5+ years,,
5186046,Junior Systémový Inžinier,"KODYS SLOVENSKO, s r.o.",https://www.profesia.sk/praca/kodys-slovensko/O5186046?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2026-01-06,False,Bratislava,1200 - 1600 EUR gross/month,"Slovak: C1, English: C1","Bachelor, Master",,"Android, Linux, Windows, XML/HTML",Hybrid,Full-time,,,
5186066,"Remote Part time Junior front-end developer, slovenčina + maďarčina",Gigaprint.sk s.r.o.,https://www.profesia.sk/praca/gigaprint-sk/O5186066?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,,10 EUR/hour,"Slovak: C1, Hungarian: C1",High School with Diploma,"PHP, Laravel, Vue 3","Git, Docker, HTML + CSS",Remote,Part-time,,,
5182833,Data Scientist v mediálnej agentúre (lvl medior),"Starmedia, s. r. o.",https://www.profesia.sk/praca/starmedia/O5182833?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,2200 EUR gross/month,"English: B1, Slovak: C1","Bachelor, Master","Python, SQL","Power BI, DAX, Power Query",Full-time,Full-time,2 years,,
