Tool / Technology,Count
Salesforce Functions,2
Agentforce,2
Einstein Copilot,2
Haystack,2
Einstein 1 Platform,2
Lightning Web Components,2
Dataproc,2
Microsoft Dynamics 365 F&O,2
ISV solutions,2
Lobster,2
API-Mgmt,2
Google Workspace,2
MuJoCo,2
Eclipse,2
TFS,2
RAP,2
CAP,2
EC2,2
Atlassian JIRA,2
API Gateway,2
jQuery,2
SAP Cloud Platform,2
NotebookLM,2
Virtualization,2
Unit testing,2
Code Review,2
Primavera,2
SailPoint Identity Security Cloud,2
Microsoft Entra ID,2
Scikit-learn,2
OOP,2
ISO SECURITY,2
Power Query,2
Azure AD,2
CFN,2
BI POWER BI,2
DATABASE ACCESS,2
Claude Code,2
AZURE ANALYTICS,2
MS ACCESS,2
CFN/Terraform,2
Kubernetes/EKS,2
ML-Ops,2
AI-assisted prototyping tools,2
LangGraph,2
NumPy,2
SQLAlchemy,2
PySpark,2
AWS RDS,2
Aurora,2
BI ANALYTICS,2
ODI,2
Alteryx,2
ROS 2,2
MLOps,2
SECURITY INCIDENT MANAGEMENT,2
SAP FI/CO,2
SAP Analytics Cloud (SAC),2
PowerApps,2
Planner,2
OBIEE,2
Sparx EA,2
CodeIgniter,2
Ubuntu Linux,2
Xray,2
Atlassian products,2
SharePoint Framework (SPFx),2
Redshift Console,2
ADLS,2
OAuth 2.0,2
OpenID Connect,2
JSON Web Tokens,2
mTLS,2
STRIDE,2
MITRE ATT&CK,2
Modbus,2
Profibus,2
OSI-PI,2
SOAP API,2
HTML5,2
Salesforce Marketing Cloud,2
Email Studio,2
Journey Builder,2
AutoCAD,2
Conftest,2
Sealed Secrets,2
External Secrets,2
SAP CPI,2
Hyperledger Aries,2
Identity Wallets,2
Jama,2
UL Stages,2
Microsoft Dynamics 365 Contact Center,2
ANALYTICS CLOUD,2
SAP PI/PO,2
Mongo,2
SAP WM,2
DYNAMICS CRM CLOUD,2
Novomind,2
ITOM,2
HRSD,2
CSM,2
App Engine,2
Amplitude,2
Sigma,2
NoSql Document DB,2
Yocto Linux,2
SQL Server Integrations Services,2
SCI,2
ORACLE ERP,2
Pytorch,2
Apache Flink,2
Typescript,2
Pipedrive,2
Zoho,2
version control,2
WF,2
CRM API,2
Vaadin,2
Cloud Spanner,2
Athena,2
Cloud Build,2
DataHub,2
BigQuery Data Catalog,2
SAP CLOUD ERP,2
RxSwift,2
Combine,2
MVP,2
MLflow,2
Kubeflow,2
DVC,2
Spinnaker,2
Jmeter,2
Framer,2
ISO/IEC 27001,2
content and translation management systems,2
Make,2
Projektmenedzsment szoftverek,2
Adobe Creative Cloud,2
Salesforce Sales Cloud,2
Autodesk Maya,2
Lightning Web Components (LWC),2
Salesforce DX,2
JAVA,2
HIBERNATE,2
MS OFFICE POWERPOINT,2
LGTM,2
NewRelic,2
STM32CubeIDE,2
Microsoft Dynamics CRM (Sales),2
SAP MDG,2
ADOBE,2
RDL,2
SAP BDC,2
CLOUD NETWORK,2
Calico,2
Cilium,2
Lookback,2
Clean Core principles,2
TIA Portal,2
Six Sigma,2
K8S,2
Vector,2
CLOUD ACCESS,2
CLOUD SAP ERP,2
Docker / Podman,2
Swagger/OpenAPI,2
OPC UA,2
Omron,2
Smart IT,2
S/4HANA Public Cloud,2
S/4HANA Private Cloud,2
SOAR,2
Azure Synapse Analytics,2
Bicep,2
Springboot,2
RxJS,2
Visual Studio Code,2
Angular Material,2
Podman,2
CRM tools,2
firewalls,2
SAP Quality Management,2
Work Clearance Management,2
SAP Customer Service,2
SAP S/4HANA Service,2
SAP Industry Cloud,2
SAP Master Data,2
SAP Materials Management,2
SAP Production Planning,2
SD,2
SAP Enterprise Asset Management,2
SAP Plant Maintenance,2
S/4HANA EAM Fiori Apps,2
CIM Database,2
MM,2
pgwatch2,2
Oracle CloudControl,2
npm,2
.NET Core,2
Web API,2
VUE,2
IaC,2
WMS,2
AZURE SECURITY,2
NOSQL DATABASES,2
AWS Bedrock,2
AGILIS SCRUM,2
Elementor,2
Zendesk,2
Coupa,2
BI Analytics,2
Security Access,2
Simulink,2
CISCO,2
Lustre,2
Redmine,2
Squish,2
Oauth,2
SAML,2
CLOUD SECURITY,2
OpenSSL,2
SRM,2
Adobe Creative Suite,2
Swagger,2
Navision,2
BTP Services,2
DEBIAN,2
EMV L2/L3,1
TESTING @SAP,1
ElasticStack,1
IPC,1
Vulkan,1
UBUNTU,1
Raspbian,1
Raspberry,1
QueryDSL,1
UML2,1
ISO 8583,1
POS SDK,1
Knowledge Graph,1
Salesforce – Sales Cloud,1
Makefile,1
Nuke,1
DIF,1
DynamoDB,1
SWIFT,1
Buildroot/Yocto,1
Microsoft Dynamics 365 Business Central,1
ACTIVE DIRECTORY,1
IBM Websphere,1
Targit,1
MSSQL (2017/2019),1
Power Apps/Low-code,1
PostgreSQL / TimescaleDB,1
Servlets,1
Open Policy Agent (OPA),1
3D Studio Max,1
Deadline,1
Vite,1
npm/yarn,1
OSIsoft PI,1
Data Warehouse,1
Workday Adaptive,1
Frontend API,1
MS Sharepoint,1
MS Dynamics AX 2009,1
SolarWinds,1
JMX,1
XCUItest,1
Database management,1
Oracle ERP,1
REDUX,1
Vuex,1
Pinia,1
TestLink,1
Clang,1
Valgrind,1
@SAP.,1
QT Framework,1
Xilinx ARM cortex SoC,1
Lauterbach Embedded Trace and debugger,1
Atlassian toolchain,1
Architecture,1
Technical Writing,1
ANALYTICS BI,1
SAP DATA MANAGEMENT,1
MDM/MDG,1
PIM,1
GS1/GDSN,1
SAP S4/HANA,1
WATERFALL,1
PATRONI HA,1
RAC,1
DATAGUARD,1
GALERA,1
OA,1
Microservices Architecture,1
Confluent Kafka,1
BAPI,1
JUnit5,1
SQL Server Management Studio (SSMS),1
Azure Devops,1
Tibco,1
MS OFFICE EXCEL,1
DATABASE ANALYTICS,1
Debian Linux,1
Teamcenter,1
Divi,1
Ai tool,1
MySQL/MariaDB,1
PMI PROJECT MANAGEMENT,1
Microservices architecture,1
RESTFul Services,1
GitFlow,1
DDN Exascaler,1
Netapp E-Series,1
IOR,1
MLPerf,1
Axivion,1
Atlassian Suite,1
Cornerstone,1
CDK/Terraform,1
RDMA,1
GPFS,1
NVMe,1
BeeGFS,1
IBM Spectrum Scale/GPFS,1
WekaIO,1
DAOS,1
NVMe-oF,1
QT,1
MATLAB / Simulink,1
TwinCAT3,1
TwinSAFE,1
SCADA/HMI,1
Astro,1
InfiniBand,1
Ethernet,1
LiveWire,1
LINQ,1
containerization,1
observability tooling,1
Large Language Models (LLMs),1
Open-Source LLMs,1
SAP eWM/WM,1
TM,1
OpenAI Codex SDK,1
pydantic-ai,1
Neo4j graph database,1
NODE.JS,1
Next.js,1
APS,1
ISO/IEC 17025,1
node.js,1
DVCS,1
Amazon EKS,1
Bedrock,1
MWAA,1
ElasticSearch,1
LLM API,1
Agent Frameworks,1
Claude Agent SDK,1
AI-powered tools,1
AI prototyping tools,1
SAP eWM,1
Oracle Cloud AI services,1
Oracle Cloud Infrastructure,1
KingswaySoft,1
Scribe,1
Qt Graphic Framework,1
Clang Tidy,1
Sanitizers,1
NATS,1
MQTT,1
containerized workloads,1
SAP Planning & Analytics Architecture,1
Knative,1
Azure AKS,1
ATT,1
GATT,1
OpenTofu,1
AWS ECS,1
AWS Lambda,1
AWS DynamoDB,1
AWS S3,1
AWS API Gateway,1
TIA PORTAL,1
PROFINET,1
EtherNet/IP,1
VLANS,1
Firebase,1
Fastlane,1
Browserstack,1
Bluetooth,1
SAP BW/4HANA,1
Datasphere/BDC,1
Phase-based Maintenance,1
Resource Scheduling (RSH),1
ADOBE C CLOUD,1
Adobe Experience Manager,1
Adobe's digital media technology,1
SAP S/4HANA RAR,1
EAM,1
NgRx,1
Apache Nifi,1
SPRING SECURITY,1
Spring Boot 3+,1
MS DLP,1
Microsoft System Center,1
Nielsen Answers,1
JQ,1
Microsoft Azure GenAI platforms,1
ORACLE DATABASE,1
Infor OS,1
LN UI,1
ION,1
Infor Warehouse Mobility (IWM),1
XM,1
ONNX GenAI,1
SECURITY CHANGE MANAGEMENT,1
SIC,1
SEPA,1
SWIFT MT/MX,1
ISOT,1
Finastra payment gateway,1
OCI,1
ISO 27701,1
Cloud environments,1
Auth0,1
Testify,1
DB2,1
IBM i,1
LiteRT LM,1
ExecuTorch,1
FIGMA,1
UI/UX design,1
SIEMENS PLC,1
Beckhoff,1
Mitsubishi,1
ROBOT ABB ASSEMBLY,1
Process Simulate,1
RoboDK,1
Helix Dashboard,1
Remedy Single Sign-On,1
Mid-tier,1
Cherwell,1
Dynamics CRM,1
Azure Data Lake Storage,1
Modbus TCP,1
Tulip platform,1
Azure Active Directory,1
Azure Key Vault,1
SECURITY TEST MANAGEMENT,1
BMC Helix/Remedy,1
AR System,1
Atrium CMDB,1
ITSM Suite,1
Digital Workplace,1
Focus,1
YouGov,1
WebViews,1
RestAPI,1
Spring JPA,1
DLP,1
Azure Data Factory (ADF),1
Azure Data Lake Storage (ADLS),1
PPT,1
Siemens S7-1500 PLC,1
ADOBE DATABASE,1
Adobe Experience Platform,1
Salesforce Tealium,1
Google 360,1
Adobe Campaign,1
Adobe Journey Optimizer,1
DataFactory,1
SAS Guide,1
DATABASE TROUBLESHOOTING,1
Web services/Rest APIs,1
ROBOT ABB,1
KUKA,1
Fanuc,1
Yaskawa,1
redis,1
BPMN2.0,1
Gitflow,1
docker,1
Microsoft Analysis Services (OLAP),1
Cloudera DataLake technologies (CDP,1
CDF),1
Azure DataLake,1
Delmia,1
RobotStudio,1
KUKA.Sim,1
StatsD,1
Beats,1
FluentBit,1
Google SecOps,1
mongodb,1
Image Processing,1
Dev(Sec)Ops,1
Apache Kafka,1
OAuth2,1
JPA/Hibernate,1
Messaging,1
Container Orchestration,1
Microservices,1
LeanIX,1
ISO 20000,1
MicroTCA,1
Yocto project,1
AMD/Xilinx FPGAs,1
Zynq UltraScale+ MPSoC,1
Kintex-7,1
AMBA AXI Bus,1
EVM,1
Balancer,1
MakerDAO,1
Uniswap,1
Tauri,1
Cursor/Claude Code/Copilot,1
Dynamo DB,1
HARDWARE TEST AUTOMATION,1
Fiori Elements,1
clang,1
Robotframework,1
Oracle HCM,1
Workday Finance,1
Caplena,1
Qualtrics,1
Zapier,1
SAP ME,1
SAP ECC 6.0,1
SAP APO PP/DS,1
SAP LSMW,1
SAP QM,1
Linux drivers,1
Linux services (daemons),1
PetaLinux,1
ABAS ERP,1
AZURE POWERSHELL,1
microsoft,1
MS Copilot,1
Microsoft AD,1
Azure Arc,1
Azure CLI,1
SAP SFC,1
EDA tools,1
Karma,1
Drools,1
Apache Camel,1
Vector software and tools,1
multimeter,1
oscilloscope,1
Einstein 1,1
Cloud Platforms (AWS,1
Azure),1
Fusion ERP,1
SPHINX,1
.NET 6-7,1
SOLID principles,1
TimescaleDB,1
Solid Angle Arnold,1
ACCESS UAT,1
automated testing,1
Dovetail,1
TheyDo,1
Implico,1
OTIS,1
NPM,1
Bun,1
Openstack,1
JPA,1
Azure DevOps Server,1
API SECURITY,1
Workato,1
WooCommerce,1
WPBakery,1
SAP ANALYTICS,1
DATABASES ACCESS,1
Odata Services,1
Aurora DB,1
Microsoft D365,1
EnterpriseDB,1
Exadata,1
IBM Power,1
PL-SQL,1
LinuxFromScratch (LFS),1
Xilinx tools (Bootloader,1
Bitstream),1
Javacard,1
Smartcard,1
Subversion,1
Canva,1
SOC2,1
Oracle CPQ,1
Oracle Applications,1
CODAS,1
EDR,1
IDS/IPS,1
IIS,1
Looker/Sigma,1
fairseq,1
Excel etc.),1
Bluebeam,1
CFD Modeling,1
ETL orchestration tools,1
Veeva Vault CRM,1
Salesforce Health Cloud,1
MDM,1
AI/ML,1
RDF/OWL,1
Solid.js,1
Tantstack Start,1
dlt,1
CAE,1
DDD,1
TDD/BDD,1
MS Office suite (Word,1
NextJS,1
Node,1
Oracle Database,1
SQL Server Clustering,1
Infor LN,1
Odoo,1
Azure Cloud,1
JanusGraph,1
Microsoft tools,1
APSYS core banking,1
CAP Model,1
W3C Verifiable Credentials,1
FEM,1
OPA,1
Gatekeeper,1
M365 Power Platform,1
Automated Testing Framework (ATF),1
SAP S/4HANA EWM,1
SAP S/4HANA Stock Room Management,1
SAP Material Flow Control,1
Mobisys Solution Builder (MSB),1
Vectorcast,1
SAP S/4HANA Embedded Analytics,1
SAP Middleware,1
SAP BI,1
Microsoft Dynamics BC,1
MS Dynamics NAVISION,1
MS Dynamics Business Central,1
ITIL CHANGE MANAGEMENT,1
Flow Designer,1
IntegrationHub,1
ACLs,1
Kaldi,1
K2/Icefall,1
ESPNET,1
ONNX,1
kenlm,1
PMS,1
POS,1
Nextthink,1
PHP,1
CSS3,1
Rancher,1
COMOS,1
Seeq,1
ALTOS,1
eQMS,1
QualityDocs,1
Remote Desktop Service,1
TOSCA,1
HubSpot CRM,1
ExactTarget,1
Contact Builder,1
Salesforce Administrator,1
Marketing Cloud Connect,1
SFTP,1
O365 suite,1
Oracle Cloud,1
Backup,1
Oracle EPM Cloud FCCS,1
Oracle EPM Cloud PBCS,1
Oracle EPM Cloud EDM,1
Hyperion Financial Management,1
Hyperion Planning,1
SAP-PM,1
FIX,1
MT4/MT5,1
AWS CLOUD SECURITY NETWORK,1
Cost Explorer,1
AWS Budgets,1
Cost & Usage Reports,1
Cortex,1
SAP Datasphere (DSP),1
SAP Business Data Cloud (BDC),1
SAP Data Service,1
DPDK,1
U-Boot,1
Siemens PLC,1
Siemens HMI/SCADA,1
SAP S/4HANA Private Cloud Edition (PCE),1
SOA,1
MS 365,1
OneDrive,1
Automate,1
Forms,1
Loop,1
SAP. SECURITY ANALYTICS DATA MANAGEMENT,1
SAP Business Warehouse (BW),1
SAP VCP (CPS),1
SDI,1
Apache NiFi,1
JMIX reporting,1
Apollo,1
Hardhat,1
Storybook,1
Zend,1
VLM,1
Teamcenter X,1
HART,1
SAP LO-VC,1
SAP VCP,1
SAP SSC,1
Encoway CPQ,1
SAP Commerce Cloud,1
Notebooks,1
KQL databases,1
ITSM platforms,1
ARM Templates,1
Prefect,1
DYNAMICS TROUBLESHOOTING,1
Dynamics 365 Supply Chain Management,1
Dynamics 365 Supply Chain (former F&O),1
IOS SECURITY,1
XCODE,1
PANDAS,1
SOX,1
OneLake,1
Lakehouse,1
Dataflows Gen2,1
Direct Lake,1
Kernel,1
Hypervisor,1
Firmware,1
Articulate,1
Captivate,1
API Testing,1
LAVA,1
GitHub/GitLab,1
SAP Authorizations,1
SAP Basis,1
ProtoPie,1
Matrix42 ESM,1
Habitat,1
Hugging Face,1
ORBIS,1
model-based system engineering (MBSE),1
AutoCad,1
NavisWorks,1
Archicad,1
Privileged Access Management (PAM) solutions,1
Version Control,1
Protocol Buffers,1
SCPI,1
ZeroMQ,1
UAT BI,1
XRAY,1
SAP FI / CO,1
MSAL,1
infrastructure-as-code,1
AUTODESK AUTOCAD API,1
AGILIS CI,1
Revit,1
Langgraph,1
LlamaIndex,1
Linux (Red Hat / SUSE),1
USU,1
Automation Anywhere,1
Acrobat Pro,1
Entity framework,1
Linq2DB,1
Gmail,1
Google+,1
Web browsers,1
HPC,1
Service Mesh,1
Access Database,1
SAC,1
Windsurf,1
BI ACCESS,1
Middleware & integration solutions,1
MCU hardware and software solutions,1
embedded system design,1
firmware development,1
debugging tools,1
SaaS platform,1
SSAS,1
CLOUD PROJECT MANAGEMENT,1
(B)APIs,1
CDS views,1
Palo Alto,1
Check Point,1
Fortinet,1
ADOBE XD,1
CARLA,1
ECS,1
