Location,Profesia,Profession,CVOnline,Total
Brezno,1,0,0,1
Brezová pod Bradlom,1,0,0,1
Thörishaus,0,1,0,1
Trebišov,1,0,0,1
Szlovákia,0,1,0,1
Szolnok,0,1,0,1
Sárospatak,0,1,0,1
Sárvár,0,1,0,1
Újhartyán,0,1,0,1
Überlingen,0,1,0,1
Baden,0,1,0,1
Zurich/Basel/Geneva,0,1,0,1
Zwingen,0,1,0,1
Záhony,0,0,1,1
Ács,0,1,0,1
Zalaegerszeg,0,1,0,1
Zlín,1,0,0,1
"Berlin, Bonn, Borchen, Dresden, Eschborn, Essen, Hamburg, Hanover, Ilmenau, Munich, Siegen, Stuttgart",0,1,0,1
Heerbrugg,0,1,0,1
Heidenheim,0,1,0,1
Hemer,0,1,0,1
"London, Berlin or Valencia",0,1,0,1
Los Angeles,0,1,0,1
Köln,0,1,0,1
Lachen,0,1,0,1
"Lausanne, Zurich",0,1,0,1
Liechtenstein,0,0,1,1
Nováky,1,0,0,1
Nemšová,1,0,0,1
Neu-Isenburg bei Frankfurt am Main,0,1,0,1
Neuchâtel,0,1,0,1
Nidau,0,1,0,1
Nitra region,1,0,0,1
Most pri Bratislave,1,0,0,1
Mátranovák,0,1,0,1
Mödling,0,0,1,1
"Cologne, Künzelsau",0,1,0,1
Continental Europe,0,1,0,1
Crissier,0,1,0,1
Csákvár,0,1,0,1
Greifensee,0,1,0,1
Gyöngyös,0,1,0,1
Götzis,0,0,1,1
Glattpark,0,1,0,1
Gomaringen,0,1,0,1
Füllinsdorf,0,1,0,1
Füzesabony,0,1,0,1
Gajary,1,0,0,1
Neckartenzlingen,0,1,0,1
Modra,1,0,0,1
Moravany nad Váhom,1,0,0,1
Mosonmagyaróvár,0,1,0,1
Plochingen,0,1,0,1
Plzeň,1,0,0,1
Porto,1,0,0,1
Potsdam,0,1,0,1
Pest County,0,0,1,1
Pest megye,0,1,0,1
Pilisjászfalu,0,1,0,1
Pilisszentiván,0,1,0,1
Okres Žiar nad Hronom,1,0,0,1
Oravská Lesná,1,0,0,1
Oslany,1,0,0,1
Paks,0,1,0,1
Pardubice,1,0,0,1
Patince,1,0,0,1
Jülich,0,1,0,1
Jülich/Aachen,0,1,0,1
Kaiseraugst,0,1,0,1
Marcali,0,1,0,1
Martinsried,0,1,0,1
Lucerne,0,1,0,1
Ludwigsburg,0,1,0,1
Luxembourg,0,1,0,1
Magyarország,0,1,0,1
Limassol,0,1,0,1
Linz,1,0,0,1
Lippstadt,0,1,0,1
Gbely,1,0,0,1
Feucht,0,1,0,1
Flawil,0,1,0,1
Frankfurt am Main,0,1,0,1
Frankfurt/Main,0,1,0,1
Freiburg (Breisgau),0,1,0,1
Härkingen,0,1,0,1
Hévíz,0,1,0,1
Holíč,1,0,0,1
Horná Potôň,1,0,0,1
Hatvan,0,1,0,1
Nyírtelek,0,1,0,1
Nänikon-Greifensee,0,1,0,1
Oberkochen,0,1,0,1
Oetwil am See,0,1,0,1
San Francisco,0,1,0,1
Seattle,0,1,0,1
Seon,0,1,0,1
Rumanová,1,0,0,1
Ružomberok,1,0,0,1
Rümlang,0,1,0,1
Sabinov,1,0,0,1
"Prešovský kraj, Košický kraj",1,0,0,1
Pusté Úľany,1,0,0,1
Brunovce,1,0,0,1
Bruntál,1,0,0,1
Buchs,0,1,0,1
"Bratislava, Žilina",1,0,0,1
"Bratislava, Žilina, Martin, Banská Bystrica",1,0,0,1
"Bratislavský kraj, Trenčiansky kraj, Trnavský kraj",1,0,0,1
"Bratislavský kraj, Trnavský kraj",1,0,0,1
Emmen,0,1,0,1
Esztergom,0,1,0,1
Duisburg,0,1,0,1
Dunaharaszti,0,1,0,1
Dunajská Lužná,1,0,0,1
Dunaújváros,0,1,0,1
Devín,1,0,0,1
Devínska Nová Ves,1,0,0,1
Dolný Hričov,1,0,0,1
Praha / Olomouc,1,0,0,1
"Praha, Košice",1,0,0,1
Pratteln,0,1,0,1
Pravenec,1,0,0,1
Svidník,1,0,0,1
Svit,1,0,0,1
Szany,0,1,0,1
Stadtallendorf,0,1,0,1
Stará Ľubovňa,1,0,0,1
Steyr,1,0,0,1
Stupava,1,0,0,1
"Stuttgart, Budapest",0,1,0,1
Stuttgart-Vaihingen,0,1,0,1
Slovenská republika,1,0,0,1
Snina,1,0,0,1
Somogy megye,0,0,1,1
Sopron,0,0,1,1
Speyer,0,1,0,1
"Bern, Thun",0,1,0,1
Biatorbágy,0,0,1,1
Biel-Bienne,0,1,0,1
Binningen,0,1,0,1
Beluša,1,0,0,1
Berlin / Regensburg,0,1,0,1
"Berlin, Aschheim bei München",0,1,0,1
Herzogenrath,0,1,0,1
Hackensack,0,1,0,1
Hagen,0,1,0,1
Handlová,1,0,0,1
Košice - okolie,1,0,0,1
Košický kraj,1,0,0,1
Kriens,0,1,0,1
Krivá,1,0,0,1
Kuala Lumpur,0,1,0,1
"Klaus, Austria or Erlangen, Germany",0,0,1,1
Kleinostheim,0,1,0,1
Komárom-Esztergom megye,0,1,0,1
Kostolné Kračany,1,0,0,1
Kapuvár,0,1,0,1
Kežmarok,1,0,0,1
Jászberény,0,1,0,1
"Slovensko, Zahraničie - ostatné",1,0,0,1
Töltéstava,0,1,0,1
Uhersky Brod,1,0,0,1
Ulm,0,1,0,1
Unterschleißheim,0,1,0,1
Trenčianska Teplá,1,0,0,1
Trenčianske Stankovce,1,0,0,1
"Trenčiansky kraj, Česko",1,0,0,1
Tashkent,0,1,0,1
Tatabánya,0,1,0,1
Wels-Linz,1,0,0,1
Vlkanová,1,0,0,1
Valaská,1,0,0,1
Varna,1,0,0,1
Vaďovce,1,0,0,1
Veselí nad Moravou,1,0,0,1
Vevey,0,1,0,1
Bábolna,0,1,0,1
Bács-Kiskun megye,0,1,0,1
Békéscsaba; Budapest; Debrecen; Kaposvár; Kecskemét; Salgótarján; Szeged; Szekszárd; Szombathely; Tatabánya; Veszprém; Zalaegerszeg,0,1,0,1
Böhlerwerk,0,0,1,1
Celé Slovensko,1,0,0,1
Chemnitz,0,1,0,1
Budakalász,0,1,0,1
"Berlin, Regensburg",0,1,0,1
Allschwil,0,1,0,1
Baden-Daettwil,0,1,0,1
Balzers,0,1,0,1
Ajkai,0,0,1,1
Baranya megye,0,1,0,1
"Basingstoke, London, or Bristol",0,1,0,1
Trebatice,1,0,0,1
Aachen,0,1,0,1
"Berlin, Baden-Baden, Verl, Tallinn",0,1,0,1
