Tool / Technology,Count
NestJS,2
CoreMedia,2
CI/CD pipelines,2
NoSQL Databases,2
Cloud Foundry,2
SAP BW,2
Google Cloud Platform (GCP),2
Hadoop ecosystem,2
Apache HBase,2
Apache Kafka,2
MS Power BI,2
Apache Spark,2
Spark Streaming,2
SAP S/4 HANA EWM,2
WM,2
LE,2
TM,2
Lobster,2
MS Dynamics 365 CRM,2
Power Pages,2
ZBrush,2
Substance Painter,2
Substance Designer,2
Perforce,2
OSS/infrastructure management tools,2
KVM,2
Red Hat Openshift,2
EDV,2
dbt,2
Ubuntu,2
Notion,2
Atlassian,2
Einstein 1,2
Lightning,2
Microsoft/Office 365,2
Forti,2
VMWare,2
Microsoft platforms,2
Juniper,2
Claude,2
OpenAI,2
OneDrive,2
REST APIs,2
Polarion,2
OKD,2
Microsoft Windows Server,2
TCP/IP,2
RavenDB,2
vmWare,2
VisualStudio,2
Geutebrück G-Core,2
Linux Server,2
SAP PM,2
pytest,2
Customer service systems,2
Microsoft Active Directory,2
GitHub Actions,2
Bamboo,2
Remote management tools,2
Postfix,2
Kibana,2
Workday,2
Microsoft,2
Server console applications,2
Office applications,2
EDI,2
Microsoft Dynamics 365 Business Central,1
Microsoft PowerPoint,1
MS Access,1
Baramundi,1
CAD-CAM,1
Qlik,1
Oracle SQL Developer,1
IntelliJ IDEA,1
Microsoft Fabric,1
Palo Alto,1
Microsoft Azure Cloud,1
Microsoft Dynamics 365 Finance and Operations,1
SAP-PM,1
Keyence Vision System,1
PowerQuery,1
SwiftyMocky,1
Seeburger,1
MuleSoft,1
Boomi,1
Sterling,1
Bash,1
Microsoft Technology Stack,1
MS Server,1
OCR,1
AIX,1
VMware vCenter,1
CocoaPods,1
Swift Package Manager,1
Vectra,1
Bruno,1
F5,1
PAM,1
S3,1
ALB,1
NLB,1
TGW,1
Postgre,1
RedHat Linux,1
Unix,1
Solaris,1
DocumentDB,1
Elasticache,1
Opensearch,1
ELK,1
OpenTelemetry,1
IBM Storage Protect (TSM),1
GitlabCI,1
EKS,1
IBM TS4500,1
Dell TL4000,1
LTO,1
LLM API,1
Azure OpenAI,1
PDF parsing,1
Private CA,1
RDS,1
.Net,1
Windows OS,1
virtual integration testing environment,1
virtualization solutions,1
Azure App Services,1
Azure Functions,1
SOA,1
Tibco,1
BDD,1
DDD,1
Diesel,1
SQLx,1
Rocket,1
Spring framework,1
SAP Spartacus,1
IFS ERP,1
Azure Entra ID,1
Azure Logic Apps,1
EDR,1
Firewalls,1
Email security gateways,1
Vulnerability management tools,1
NATS,1
TDD,1
Octopus 8 ERP,1
pfSense,1
Ubiquiti,1
Access,1
Inventor,1
SAFEQ,1
Nagios,1
PRTG,1
FortiGate,1
Mikrotik,1
UniFi,1
Service Now,1
Microsoft Power Automate,1
Business Intelligence,1
Microsoft Power Apps,1
PowerPivot,1
SAP ECC MM,1
SAP ECC SD,1
SAP ECC FI,1
SAP ECC AM,1
SAP ECC CO,1
SAP ECC TRCM,1
SharePoint Online,1
Proxmox,1
MS Power Automate,1
Cloudwatch,1
Tokio,1
Actix,1
SAP CRM,1
Microsoft Dynamics,1
SuccessFactors,1
SAP ECC HR,1
microservice,1
Microsoft technologies,1
IIS,1
ERP systems,1
Middleware,1
microphone,1
studio equipment,1
MS Dynamics CRM,1
Eclipse,1
VS Code,1
JWT,1
RESTful web services,1
Oracle Database,1
Hibernate,1
Gradle,1
Microsoft Visio,1
SAP AM,1
Liquibase,1
HBase,1
Tanzu,1
Sonar,1
PC,1
camera,1
IntelliJ,1
EPLAN Electric P8,1
EPLAN Pro Panel,1
Inubit,1
Swagger,1
CI,1
CD,1
Behave,1
TFS,1
Low-Code Development,1
RPA,1
Low-code,1
Windows Clients,1
Bachmann-Steuerungen,1
SAP SuccessFactors Recruiting,1
Windows 11,1
LIMS,1
crewAI,1
UiPath,1
Automation Anywhere,1
No-code,1
QAD ERP,1
Sharepoint,1
M-Files,1
Business Objects,1
StoreKit,1
Monday,1
ClickUp,1
Asana,1
Novitax,1
LangGraph,1
LangChain,1
AutoGen,1
SAP AMSP,1
Windows 11 Pro,1
VPN,1
Xcode,1
Interface Builder,1
Storyboards,1
Firebase,1
RevenueCat,1
Memcached,1
Fileshare,1
monitoring system,1
PKI,1
Certificate Authorities (CAs),1
Hardware Security Modules (HSM),1
MS Fabric,1
Ticketing tool,1
Google Sign-In,1
Facebook Login,1
Sign in with Apple,1
ONTAP,1
SnapMirror,1
Katalon,1
Elasticsearch,1
PostGIS,1
Mac Catalyst,1
macOS,1
WidgetKit,1
Notification Service,1
Share Extension,1
Mixpanel,1
Google Analytics,1
OneSignal,1
WebSocket,1
MIDI,1
ChatGPT API,1
CoreData,1
SAP BW/BI,1
AVFoundation,1
Core Image,1
watchOS,1
SAP BW/4 HANA,1
Microsoft Power Point,1
Oracle databases,1
Ticketsystem,1
Client Management,1
O365,1
HaishinKit,1
Bluetooth Low Energy (BLE),1
VC,1
Siemens Opcenter,1
Rockwell FactoryTalk,1
Wonderware,1
Zscaler,1
Packer,1
SentinelOne,1
Checkmk,1
Version control,1
SpringBoot,1
DB2,1
ISO 27001 ISMS,1
HubSpot,1
oscilloscopes,1
logic analyzers,1
SAP CPQ,1
TanStack Table,1
TanStack Query,1
MSAL,1
Storybook,1
HP,1
SQL Server,1
SoapUI,1
EA,1
Regex,1
Microsoft SQL Server (MSSQL),1
Azure Synapse Analytics,1
Databricks,1
Fastlane,1
XcodeGen,1
CAD/CAM,1
Redux Toolkit,1
Microsoft Dynamics CRM,1
MS Office (Excel,1
Outlook),1
SnapVault,1
DNS/DHCP,1
Netzwerken,1
IT-Sicherheit,1
VMware vSphere,1
Final Form,1
React Hook Form,1
Red Hat Satellite,1
IPA/LDAP,1
MS SQL-Server,1
SSIS,1
SSRS,1
SSAS,1
Development systems,1
Testing systems,1
OpenAI Codex SDK,1
pydantic-ai,1
Neo4j graph database,1
FastAPI,1
Tailwind CSS,1
atomic design,1
NinjaOne,1
1Password,1
SAP S/4,1
SAP ARIBA,1
Spring Security,1
Atlassian products,1
SAP Business One,1
Requirement management systems,1
Qlik QMC,1
Qlik WIP,1
docebo,1
Avaloq,1
Red Hat,1
Satellite,1
OS/400,1
Visa Edit Package,1
MS-Office,1
NetSuite,1
Next.js,1
Windows Desktop Application,1
Teamcenter,1
Lernmanagementsystem,1
Qlik Sense,1
Qlik Cloud,1
Red Hat Linux,1
AWS Bedrock,1
Claude Agent SDK,1
SolidWorks,1
Altium Designer,1
XML-based authoring systems,1
Graphics programs,1
HP Aruba,1
ESXi,1
vCenter,1
NetApp-Storage,1
LVM,1
sFTP,1
FTP,1
HTTPS,1
S/4 Hana,1
EDIFACT,1
TMS,1
OWASP,1
SAMM,1
Oracle Enterprise Manager,1
Ansible Automation Platform,1
Microsoft Data Protection,1
Veeam Backup & Replication,1
JFrog,1
Redshift Console,1
ITSM,1
Omada,1
Unifi,1
Autopilot,1
ASP.NET Core Web API,1
UI Automation,1
Confluent Kafka,1
DEVOPS,1
IT service management systems,1
Arksys,1
AS/400,1
Mimix,1
AWS Redshift,1
Data build tool,1
NCR ATM Connections,1
Oracle DB 11g - 19c,1
Oracle Entreprise Manager Cloud Control,1
Oracle VM,1
Oracle Streams,1
Oracle Golden Gate,1
Linux OS,1
Aurora DB,1
Analytics-Tools,1
Lists,1
Microservices,1
Denodo,1
SQL database servers,1
SAP WM/EWM,1
AutoCAD,1
RxSwift,1
Azure Databricks,1
MS SQL Server 2022,1
Figma,1
Unix/Linux,1
Office tools,1
Data Lakehouse,1
Smart-Meter-Daten,1
Data-Governance-Modell,1
SIMATIC S7 PLC,1
Siemens Step7 / TIA Portal,1
Shoprenter,1
Serverless-architectures,1
REST/GraphQL-APIs,1
Background Workers,1
CronJobs,1
MCP,1
ZTNA,1
SIEM (Logpoint),1
Openshift,1
CISCO,1
Balsamiq,1
JustInMind,1
WMS,1
API,1
HRML,1
CSS,1
Dyntell BI,1
ticketing systems,1
MS Windows 7/8/8.1/10,1
Azure API Management,1
Microsoft Dynamics 365 Business Central APIs,1
Windows Server 2012 R2,1
RHEL,1
MS-SQL,1
MS Office 2010,1
2013,1
2016,1
CorelDRAW,1
Corel Paintshop PRO,1
Adobe Photoshop,1
Travis,1
CircleCI,1
Helm Charts,1
NGINX,1
GHAS,1
Podman,1
containerd,1
cri-o,1
Combine,1
MVVM,1
MVP,1
MVC,1
CodeQL,1
SAP S4/HANA,1
SAP CI-DS,1
SAP VC,1
