Programming Language,Profesia,Profession,CVOnline,Total
ClickHouse,1,0,0,1
Cloud,1,0,0,1
Cobol,1,0,0,1
CodeIgniter,0,1,0,1
Combine,0,1,0,1
Compose,1,0,0,1
Composer,0,1,0,1
CosmosDB,1,0,0,1
Script languages,1,0,0,1
Scripting Language,0,0,1,1
Scripting languages,0,1,0,1
CSS/LESS: Expert,1,0,0,1
CSS/SCSS,1,0,0,1
CSS3/SCSS,1,0,0,1
CSS: Advanced,1,0,0,1
Celery,1,0,0,1
SQL: scripting,1,0,0,1
SQLITE,1,0,0,1
SQLite,1,0,0,1
SSJS,0,1,0,1
SWIFT,0,1,0,1
Sass/SCSS,1,0,0,1
Scikit-Learn,1,0,0,1
Scratch,1,0,0,1
CLEAN CODE,0,1,0,1
CMS,0,1,0,1
COBOL: Intermediate,1,0,0,1
CODEIGNITER,0,1,0,1
CODESYS,0,1,0,1
COGNEX,0,1,0,1
CONFLUENCE,0,1,0,1
CRM,0,1,0,1
C-shell,1,0,0,1
C/AL,0,1,0,1
C/C#,0,1,0,1
C/C++/C#,0,0,1,1
CAPL,1,0,0,1
CDI,1,0,0,1
CDS,0,1,0,1
CL: Advanced,1,0,0,1
Simatic S5/S7,0,1,0,1
Simulink,0,1,0,1
Snowflake,1,0,0,1
SoapUI,1,0,0,1
Solana,0,0,1,1
Solid.js,0,1,0,1
SonarQube,1,0,0,1
C-sharp,1,0,0,1
SharePoint REST,0,1,0,1
Shell Script,1,0,0,1
Shell scripting – bash,1,0,0,1
Shopware,1,0,0,1
Siemens HMI,1,0,0,1
Siemens S7,0,0,1,1
Siemens TIA Portal: Pokročilý,1,0,0,1
Signal Store,1,0,0,1
C# .net,1,0,0,1
C# 12,0,1,0,1
C#.NET CORE,1,0,0,1
C#/.Net: Intermediate,1,0,0,1
C#: Advanced,1,0,0,1
C++/CLI,0,1,0,1
C++11,0,1,0,1
C++20,1,0,0,1
Bash: Beginner,1,0,0,1
Basic programming / scripting,1,0,0,1
Batch,1,0,0,1
Blazor WASM,0,1,0,1
Blockchain,1,0,0,1
Blueprints,0,1,0,1
Bun,0,1,0,1
C API,0,1,0,1
Spring framework,1,0,0,1
Spring-Web,1,0,0,1
Streaming technologies,0,1,0,1
Structured Text (IEC 61131),0,0,1,1
Structured text (IEC 61131-3),0,1,0,1
Substrate,0,0,1,1
Supertest/Jest,1,0,0,1
SvelteKit,1,0,0,1
CSOM,0,1,0,1
SonarQube / SonarLint,0,1,0,1
SonarQube/SonarLint,0,1,0,1
Spark SQL,1,0,0,1
SpecFlow,1,0,0,1
Spring Boot 3.x,1,0,0,1
Spring Boot 3.x: Advanced,1,0,0,1
Spring Data,0,1,0,1
BACKEND API,0,1,0,1
BASH/Shell,1,0,0,1
BI C,0,1,0,1
BITBUCKET,0,1,0,1
BPML,1,0,0,1
BTP,0,1,0,1
Babel,1,0,0,1
TimeScaleDB,1,0,0,1
AutoGen,1,0,0,1
AutoIt,1,0,0,1
Avaloq,0,1,0,1
Azure DevOps,0,1,0,1
Azure DevOps Server,0,1,0,1
Azure Functions,1,0,0,1
Azure/AWS/GCP,1,0,0,1
AzureDevops,1,0,0,1
TSDB (InfluxDB,1,0,0,1
TWIG,1,0,0,1
TYPO3,1,0,0,1
TanStack Query,0,1,0,1
TanStack Table,0,1,0,1
TensorFlow/PyTorch,1,0,0,1
Tensorflow,0,1,0,1
Aura,0,1,0,1
C++: Advanced,1,0,0,1
Sveltekit,0,1,0,1
Swift 5.5+,0,0,1,1
Swift Object Storage,1,0,0,1
SwiftUI,0,1,0,1
Symfony 5.0+,1,0,0,1
System Verilog,0,1,0,1
TIA,0,0,1,1
Angular: Advanced,1,0,0,1
Apache Camel,0,1,0,1
Apache Cassandra,0,1,0,1
Apache Hadoop,0,1,0,1
Apache NiFi,0,1,0,1
Apache2 Server: Advanced,1,0,0,1
Appian,0,1,0,1
Appium,0,1,0,1
Unit testov,1,0,0,1
Unity UI,1,0,0,1
Unix Scripting,0,1,0,1
Unix shell scripts,1,0,0,1
Angular 15,1,0,0,1
Angular JS: Intermediate,1,0,0,1
Angular/React,1,0,0,1
Angular/Typescript,1,0,0,1
UI Automation,0,1,0,1
UI framework: Basic,1,0,0,1
UNIX Shell Scripting,1,0,0,1
UR script,1,0,0,1
UmiJS,1,0,0,1
Unit Testing,1,0,0,1
Unit Testing - Pokročilý,1,0,0,1
Unit of work,1,0,0,1
TimeScaleDB),1,0,0,1
Transact-SQL,1,0,0,1
Transact-SQL (T-SQL),1,0,0,1
Type Script,1,0,0,1
TypeScript/Node.js,1,0,0,1
Typesense,1,0,0,1
Typing,1,0,0,1
UBUNTU,0,1,0,1
ASP: Advanced,1,0,0,1
ASSEMBLY,0,1,0,1
ActiveMQ,1,0,0,1
ActiveMQ Artemis,1,0,0,1
Agile,0,1,0,1
Allen-Bradley,1,0,0,1
AlpineJS,0,1,0,1
Android Jetpack,1,0,0,1
Visual Basic for Applications (VBA),1,0,0,1
Visual Basic: Beginner,1,0,0,1
Vite,1,0,0,1
ARM templates,0,1,0,1
ASP.NET Core Razor Pages,1,0,0,1
ASP.NET Core Web API,0,1,0,1
ASP.NET MVC Core,1,0,0,1
ASP.NET/MVC,1,0,0,1
VBscript,1,0,0,1
VS.net,0,1,0,1
VUE.js,1,0,0,1
VUEjs,1,0,0,1
Vector Stores,1,0,0,1
Velocity,1,0,0,1
Visual Basic .NET,1,0,0,1
Visual Basic for Applications,1,0,0,1
ArchiMate,1,0,0,1
Arduino IDE,1,0,0,1
Asp.Net,1,0,0,1
Asyncpg,1,0,0,1
Unix-Shell,1,0,0,1
Unix: beginner,1,0,0,1
VB.Net,1,0,0,1
VBSC,0,1,0,1
uPlot,1,0,0,1
.NET 8,1,0,0,1
visual basic,0,1,0,1
.NET 5.x-8.x,1,0,0,1
web (React,1,0,0,1
webflux,1,0,0,1
*.BAT),1,0,0,1
messaging,1,0,0,1
communications protocols,1,0,0,1
coroutines,1,0,0,1
dbt,1,0,0,1
docker,1,0,0,1
shell (bash),1,0,0,1
.NET 8 / Core,1,0,0,1
t-SQL,1,0,0,1
tailwind,0,1,0,1
Yaml,1,0,0,1
Zabbix,1,0,0,1
android,0,1,0,1
asp.net,0,1,0,1
bash-script,1,0,0,1
bash/shell,1,0,0,1
batch files (*.CMD,1,0,0,1
biznis procesy (Camunda),1,0,0,1
APIs,1,0,0,1
Winforms,1,0,0,1
XAML,0,1,0,1
XML: Basic,1,0,0,1
XUnit,1,0,0,1
Xamarin.Forms,0,1,0,1
Xamarin/MAUI,1,0,0,1
Xpath,1,0,0,1
Matplotlib,1,0,0,1
MicroSoftSQL,0,1,0,1
Microservice,0,1,0,1
Microsoft .NET Framework,1,0,0,1
Microsoft Access,1,0,0,1
Microsoft Excel,1,0,0,1
Microsoft Graph API,1,0,0,1
Microsoft SQL Server: Beginner,1,0,0,1
MS Excel,1,0,0,1
MS Power Automate,1,0,0,1
MS SQL 2019,1,0,0,1
MS SQL Query Tuning,1,0,0,1
MS Test,1,0,0,1
MS-SQL,0,0,1,1
Magic,1,0,0,1
Matlab/Simulink,0,0,1,1
pytorch,0,1,0,1
reactor,1,0,0,1
robotika,1,0,0,1
senzorika,1,0,0,1
MPI,0,1,0,1
MQ,1,0,0,1
MS Copilot,1,0,0,1
MS Copilot Studio,1,0,0,1
messaging (RabbitMQ,1,0,0,1
micropython,1,0,0,1
npm,0,1,0,1
php,0,1,0,1
pl/sql,0,1,0,1
powershell scripting,1,0,0,1
pySpark,1,0,0,1
pyTest,1,0,0,1
