job_id,title,company,Programming Languages,Required Software / Tools,Language Requirements,Experience Level,Work Arrangement,Job Type,source,last_seen,active,Location,url,Education,Salary,first_seen
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,"Symfony, Flask","SQL, Linux, Git",English: B2,3-5 years,Home-Office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,3000 EUR gross/month,2025-11-04
5030123,Hľadáme Validačného Experta pre Alarm Function Testing: Spoj cestovanie s kariérou!,Valicare s.r.o.,,,English: B1,,Hybrid,Full-time,Profesia,2026-03-05,False,Trenčiansky kraj,https://www.profesia.sk/praca/valicare/O5030123?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"Bachelor, Master",1600 EUR gross/month,2025-11-04
5138722,Junior Web dizajnér,"LG Tech Services, s.r.o.",,Adobe Creative Cloud,English: B2,,Home-Office,Full-time,Profesia,2025-11-18,False,Bratislava,https://www.profesia.sk/praca/lg-tech-services/O5138722?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,1600 EUR gross/month,2025-11-04
5186386,Cloud Kubernetes Engineer,Unicorn,"Linux: Expert, Microsoft Azure: Expert, Docker: Pokročilý, Kubernetes: Pokročilý","Zabbix, Ansible, Prometheus, MongoDB, IaC, Graffana, Elastic Search","Slovenský jazyk: Expert (C2), Anglický jazyk: Stredne pokročilý (B2)",3-5 years,Práca z domu,Full-time,Profesia,2025-11-18,False,Práca z domu,https://www.profesia.sk/praca/unicorn/O5186386?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Vzdelanie v odbore informační technologie,2000 EUR gross/month,2025-11-04
5158583,Join Our Team as a Software Test Engineer - Python Focus,localhost s.r.o.,"Python, Java, C++","Selenium, JUnit, Cucumber, JBehave",English: B2,3-5 years,Job with occasional home office,Full-time,Profesia,2026-03-03,False,Košice,https://www.profesia.sk/praca/localhost/O5158583?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor's degree,2500 EUR gross/month,2025-11-04
5180668,Software Engineer,"IRON MOUNTAIN SLOVAKIA, s.r.o.","Docker, GitLab CI/CD, SQL, Kubernetes, Google Cloud Platform, Amazon Web Services (AWS)","Docker, GitLab CI/CD, SQL",English: B2,2 years,Hybrid,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/iron-mountain-slovakia/O5180668?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor's degree or higher,2600 EUR gross/month,2025-11-04
5096827,Abap Developer,"SNP Slovakia, s. r. o.",ABAP,,English: B1,,Hybrid,Full-time,Profesia,2026-03-25,True,Žilina,https://www.profesia.sk/praca/snp-slovakia/O5096827?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2500 EUR gross/month,2025-11-04
5169536,Senior Software Engineer - React,"Caterpillar Slovakia, s. r. o.","HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux, Jest testing library","AWS, Azure, Jenkins, Azure DevOps, GitHub actions",English: B2,,Full-time with occasional home office,Full-time,Profesia,2025-11-18,False,Košice,https://www.profesia.sk/praca/caterpillar-slovakia/O5169536?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,University education (Bachelor's degree),3600 EUR gross/month,2025-11-04
5168981,Junior Data Analytics Engineer,Swiss Re,"Python, TypeScript","Palantir Foundry, PySpark, Workshop (low-code)",English: B2,,Hybrid,Full-time,Profesia,2026-02-09,False,Bratislava,https://www.profesia.sk/praca/swiss-re/O5168981?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor's degree, Master's degree, Doctorate",1600 - 2600 EUR gross/month,2025-11-04
5169531,Lead Software Engineer - React,"Caterpillar Slovakia, s. r. o.","HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux, Jest testing library","AWS, Azure, Jenkins, Azure DevOps, GitHub actions",English: B2,,Hybrid,Full-time,Profesia,2025-11-24,False,Košice,https://www.profesia.sk/praca/caterpillar-slovakia/O5169531?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor's degree,4600 EUR gross/month,2025-11-04
5186340,Systémový administrátor pre ČSOB Poisťovňu (M/Ž),ČSOB Finančná skupina,"Docker, Argo, Kubernetes, Ansible, TCP/IP, Linux, Red Hat","GitHub, GitLab, Windows Virtualizačné prostredie, VMware",English: B2,2+ years,Hybrid,Full-time,Profesia,2025-11-04,False,Prešov,https://www.profesia.sk/praca/csob-financna-skupina/O5186340?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2200 EUR gross/month,2025-11-04
5186336,CMMS Analyst (Computerized Maintenance Management System),CBRE Global Workplace Solutions s. r. o.,,"Tableau, Microsoft Excel",English: C1,,Job with occasional home office,Full-time,Profesia,2026-01-26,False,Bratislava,https://www.profesia.sk/praca/cbre-global-workplace-solutions/O5186336?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor's degree,2500 EUR gross/month,2025-11-04
5186331,IT Analytik/ Analytička Senior pre LAB Firemné financovanie,"Slovenská sporiteľňa, a.s.",,"JIRA, Confluence",,3-5 years,Hybrid,Full-time,Profesia,2025-11-04,False,Bratislava,https://www.profesia.sk/praca/slovenska-sporitelna/O5186331?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2800 EUR gross/month,2025-11-04
5186186,Product Owner & Sales Executive – Maklerio,"Maklér Softvér, s. r. o.",,,English: B2,3-5 years,Hybrid,Full-time,Profesia,2025-11-04,False,Bratislava,https://www.profesia.sk/praca/makler-softver/O5186186?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, Master",2500 EUR gross/month,2025-11-04
5186296,Frontend Developer,"Aliter Technologies, a.s.","React, Node.js, TypeScript, Next JS","Git, Figma, ESLint, Prettier, Vite",English: B2,5+ years,Home-Office,Full-time,Profesia,2025-11-18,False,Bratislava,https://www.profesia.sk/praca/aliter-technologies/O5186296?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, Master",2500 EUR gross/month,2025-11-04
5186295,Senior ICT analytik (m/ž) | Bratislava,"Slovenské elektrárne, a.s.","Java, Python",,,3-5 years,Hybrid,Full-time,Profesia,2025-12-17,False,Bratislava,https://www.profesia.sk/praca/slovenske-elektrarne/O5186295?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2262 EUR gross/month,2025-11-04
5160644,IT Analytik,VERMONT Services Slovakia s. r. o.,"PHP, SQL, CSS, UML",,English: B2,2 years,On-site with home office,Full-time,Profesia,2025-11-04,False,Bratislava,https://www.profesia.sk/praca/vermont-services-slovakia/O5160644?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor (High School with Diploma),1800 € + personal evaluation in accordance with the candidate's experience and skills,2025-11-04
5186293,Senior ICT analytik (m/ž) | Trenčín,"Slovenské elektrárne, a.s.","Java, Python",,,3-5 years,Full-time,Full-time,Profesia,2025-12-17,False,Trenčín,https://www.profesia.sk/praca/slovenske-elektrarne/O5186293?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2262 EUR gross/month,2025-11-04
5186237,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) |Trenčín,"Slovenské elektrárne, a.s.",,MS Office,,0-1 years,Full-time,Full-time,Profesia,2025-11-24,False,Trenčiansky kraj,https://www.profesia.sk/praca/slovenske-elektrarne/O5186237?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, High School with Diploma",2034 EUR gross/month,2025-11-04
5186236,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) | Čierny Váh,"Slovenské elektrárne, a.s.",,MS Office,,0-1 years,Full-time,Full-time,Profesia,2025-11-24,False,Liptovský Hrádok,https://www.profesia.sk/praca/slovenske-elektrarne/O5186236?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, High School with Diploma",2034 EUR gross/month,2025-11-04
5179414,Špecialista Tipérskej komunity (práca pre študenta),"N I K É , spol. s r.o.",,,,0-1 years,Remote work,Short-term,Profesia,2025-11-04,False,Bratislava,https://www.profesia.sk/praca/n-i-k-e/O5179414?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Student of a higher school,6 EUR/hour gross/brutto,2025-11-04
5168044,Java Developer for Automatic Driving Trains,Siemens Slovensko,"Java, Spring Boot","Gitlab, Git, Docker, Linux",English: B2,,Hybrid,Full-time,Profesia,2025-11-04,False,Žilina,https://www.profesia.sk/praca/siemens-slovensko/O5168044?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, Master, PhD",2000 EUR gross/month,2025-11-04
5175141,Senior Frontend/Fullstack Developer,"N I K É , spol. s r.o.","JavaScript, Java","React, Webpack/Vite, Node, PostgreSQL, Redis, GitLab",,,On-site with home office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/n-i-k-e/O5175141?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, Master, PhD",2500 EUR gross/month,2025-11-04
5175139,Senior Java Developer,"N I K É , spol. s r.o.",Java,"IDEA, maven, git/gitlab, JIRA, Confluence",,5+ years,Full-time,Full-time,Profesia,2026-01-06,False,Bratislava,https://www.profesia.sk/praca/n-i-k-e/O5175139?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2500 EUR gross/month,2025-11-04
5171710,Employee Central Test Lead,Deutsche Telekom IT Solutions Slovakia,,,"English: B2, German: B2",5+ years,On-site with home office,Full-time,Profesia,2026-03-25,True,Košice,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171710?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,1800 EUR gross/month,2025-11-04
5171694,Employee Central Compensation Specialist,Deutsche Telekom IT Solutions Slovakia,,,"English: mandatory, German: optional",,Home-Office (occasional),Full-time,Profesia,2026-02-03,False,Košice,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171694?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2200 EUR gross/month,2025-11-04
5171688,Employee Central Process Automation Lead,Deutsche Telekom IT Solutions Slovakia,,,"English: mandatory, German: optional",5+ years,On-site with home office,Full-time,Profesia,2026-03-22,False,Košice,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171688?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,2200 EUR gross/month,2025-11-04
5171683,Employee Central Lead,Deutsche Telekom IT Solutions Slovakia,,,"English: Mandatory, German: Optional",5+ years,On-site with home office,Full-time,Profesia,2026-03-25,True,Košice,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171683?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,3500 EUR gross/month,2025-11-04
5171501,Security Technik Administrator - 12-hour shift schedule (day or night shifts),Deutsche Telekom IT Solutions Slovakia,,"ITIL V4 Foundation – Intermediate level, IPsec and SSL VPNs, Proxy and reverse proxy services, Firewalls and next-generation firewalls",English: B2,2-5 years,Full-time with 12-hour shift schedule (day or night shifts),Full-time,Profesia,2025-11-24,False,Košice,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171501?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor's degree in Information Technologies,1300 EUR gross/month,2025-11-04
5171137,C++ Developer,"Kistler Bratislava, s.r.o.","C++, React","Yocto, Jenkins CI, Docker, GitLab, SonarQube",English: B2,3-5 years,Hybrid,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/kistler-bratislava/O5171137?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,2700 EUR gross/month,2025-11-04
5171034,Biznis analytik - senior pre Odd. zab.úverov pre FO,"Tatra banka, a.s.",Python,"Oracle SQL Developer, PowerBI, SAS Data Miner",,3-5 years,Full-time,Full-time,Profesia,2025-11-18,False,Bratislava,https://www.profesia.sk/praca/tatra-banka/O5171034?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2600 EUR gross/month,2025-11-04
5154419,Solution Engineer,Siemens Slovensko,,,English: B2,,Hybrid,Full-time,Profesia,2025-11-04,False,Žilina,https://www.profesia.sk/praca/siemens-slovensko/O5154419?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"Bachelor's degree, Master's degree",2800 EUR gross/month,2025-11-04
3859622,ServiceNow Developer,"Accenture, s.r.o.","JavaScript, AngularJS, Bootstrap, jQuery","ServiceNow, REST/SOAP APIs, XML, JSON, HTML, CSS, AJAX",English: B2,5+ years,Home-Office,Full-time,Profesia,2026-03-25,True,Remote,https://www.profesia.sk/praca/accenture/O3859622?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor's or Master's degree in IT or a related field,3000 - 4600 EUR gross/month,2025-11-04
5131272,Team Leader,Siemens Slovensko,,,English: B2,3-5 years,Hybrid,Full-time,Profesia,2026-01-06,False,Bratislava,https://www.profesia.sk/praca/siemens-slovensko/O5131272?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,3000 EUR gross/month + 20% bonus,2025-11-04
5101495,Senior DevOps Engineer for PACCA program,Deutsche Telekom IT Solutions Slovakia,"Bash: Expert, Python: Expert, Linux Operating System: Expert","AWS / Azure: Intermediate, Docker, K8S: Advanced, Kubernetes / OpenShift: Advanced, Git: Expert, Jenkins / GitLab: Advanced, Ansible: Advanced, ELK / Prometheus / Icinga / Jaeger / Grafana: Advanced",English: B2,3-5 years,Job with occasional home office,Full-time,Profesia,2026-03-25,True,Košice,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5101495?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Master with Diploma in Information technologies,2600 EUR gross/month,2025-11-04
5042597,Senior Java Developer - project Gigabit + Sign on Bonus 2000 EUR,Deutsche Telekom IT Solutions Slovakia,"Java, Spring Boot, Quarkus","Angular, React, Kubernetes, Docker, Microservices, Git, cloud technologies (AWS, Azure, Google), DB, Grafana",English: B2,5+ years,Remote work,Full-time,Profesia,2026-03-25,True,Košice,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5042597?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor's degree or Master's degree in Information technologies,3100 - 3700 EUR gross/month,2025-11-04
5186234,Solution Application Architect (Azure),Pro HR,,"Git, GitLab Runners for CI, Docker, Ansible, Terraform, Kubernetes, Azure DevOps, Jenkins, Maven, Gradle",English: B2,4 years,Home-Office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/pro-hr/O5186234?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,4500 EUR gross/month,2025-11-04
5186233,IT Project Manager,Pro HR,,,English: B2,1-3 years,Hybrid,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/pro-hr/O5186233?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"Bachelor, Master",3800 EUR gross/month,2025-11-04
5172534,Cybersecurity Enthusiast Wanted!,"ESET, spol. s r.o.",,,English: B2,,Job with occasional home office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/eset/O5172534?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,1600 EUR gross/month,2025-11-04
5186201,IT (ERP/CRM) konzultant / analytik,Strauberi s. r. o.,,Odoo,English: B2,3+ years,"Home-Office, On-site with home office",Full-time,Profesia,2026-01-06,False,Košice,https://www.profesia.sk/praca/strauberi/O5186201?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"Bachelor, Master, PhD",1700 - 2300€ brutto/month,2025-11-04
5186194,Produktový špecialista/špecialistka odd. Multichannel,"Všeobecná úverová banka, a.s., Intesa Sanpaolo",,,English: C1,2+ years,Home-Office (up to 50% of the time),Full-time,Profesia,2025-11-17,False,Bratislava,https://www.profesia.sk/praca/vseobecna-uverova-banka-intesa-sanpaolo/O5186194?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor's degree or higher,1800 EUR gross/month,2025-11-04
5186193,ERP Enterprise Architect (IFS Cloud Transformation),NonStop Consulting Ltd,,,English: Fluent,,Home-Office,Full-time,Profesia,2025-11-24,False,Remote,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186193?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,University education (Bachelor's degree),4000 EUR gross/month,2025-11-04
5163608,SAP S4 IT Solutions - FI AR Consultant,"Kyndryl Services Slovensko, spol. s r.o.",,"SAP FI-AR module, SAP ECC or S/4HANA",English: B2,2–5+ years,Job with occasional home office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/kyndryl-services-slovensko/O5163608?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"Bachelor's degree, Master's degree, Doctorate",3330 EUR gross/month,2025-11-04
5159908,Senior Java Software Engineer (Air Traffic Management),FREQUENTIS Solutions & Services s. r. o.,"Java, JavaScript","Maven, Git, Docker, Jenkins, Akka, JSON, RabbitMQ/AMQP, WebSocket, HTTP/REST, SIP/SDP, JUnit tests, CATS (test automation platform), etcd, Zabbix, OpenSearch/Kibana, Jama, JIRA, Confluence",English: B2,,Hybrid,Full-time,Profesia,2026-02-03,False,Bratislava,https://www.profesia.sk/praca/frequentis-solutions-services/O5159908?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor's degree,4000 EUR gross/month,2025-11-04
5186172,Senior IT Infrastructure Engineer | Global Cloud Transformation - Remote,NonStop Consulting Ltd,,,English: C1,,Full remote flexibility,Full-time,Profesia,2025-11-24,False,Remote,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186172?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,University education (Bachelor's degree),4000 - 5000 EUR gross/month,2025-11-04
5186171,DevOps Engineer,IT-Impulse s. r. o.,"UNIX/Linux, DevOps, Kubernetes","Fluentd/Logstash, Kibana, Grafana, Prometheus, GitLab, JFrog Artifactory, Keycloak/RH SSO, Kafka/Eventstream, API Gateway kong",English: B2,4,Remote,Full-time,Profesia,2025-11-24,False,Remote,https://www.profesia.sk/praca/it-impulse/O5186171?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,University education (Bachelor's degree),2500 EUR gross/month,2025-11-04
5186166,BI Developer – Power BI / Azure Data Platform - Remote,NonStop Consulting Ltd,,"Microsoft Power Bi, Azure Synapse, Databricks, Power Platform",English: C1,,Home-Office,Full-time,Profesia,2025-11-24,False,Remote,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186166?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Bachelor's degree,3000 - 4500 EUR gross/month,2025-11-04
5186161,IT Biznis Analytik,CODERAMA s. r. o.,,"X-Ray Search, Tricentis Tosca, Amazon Web Services (AWS), CI/CD pipeline","English: C1, Slovak: C1",5+ years,Hybrid,Full-time,Profesia,2025-11-24,False,Praha,https://www.profesia.sk/praca/coderama/O5186161?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Bachelor's degree or higher,3000-6000 EUR gross/month,2025-11-04
5186141,Xray Support Engineer,CODERAMA s. r. o.,,"X-Ray Search, Tricentis Tosca, Amazon Web Services (AWS), CI/CD pipeline","English: C1, Slovak: C1",5+ years,Home-Office,Full-time,Profesia,2025-11-24,False,Žilina,https://www.profesia.sk/praca/coderama/O5186141?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Bachelor's degree or higher in Informatics and Information Technologies,3000 - 6000 EUR gross/month,2025-11-04
5186137,Andorid Developer,Sygic a. s.,"Kotlin, Java (Jetpack Compose)","Azure DevOps, Git, JUnit for ViewModels and repositories, Dagger2","Slovak: B2, Czech: B2, English: B2",,Job with occasional home office,Full-time,Profesia,2025-11-24,False,Brno,https://www.profesia.sk/praca/sygic/O5186137?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Secondary with school-leaving examination,2600 EUR gross/month,2025-11-04
5186110,Jira developer / Atlassian expert,"Centila, s. r. o.",,"Jira, Confluence, Bitbucket, Bamboo","English: C1, Slovak: C2",3-5 years,Hybrid,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/centila/O5186110?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Bachelor's degree or higher,3000 EUR gross/month,2025-11-04
5184955,Delivery Manager,"Seyfor Slovensko, a.s.",,,English: B2,5+ years,Home-Office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/seyfor-slovensko/O5184955?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,"Bachelor, Master, PhD",3400 EUR gross/month,2025-11-04
5169220,Biznis analytik,"Prima banka Slovensko, a.s.",SQL,"Microsoft Excel, Microsoft Word, Microsoft PowerPoint",,2 years,On-site,Full-time,Profesia,2026-03-25,True,Bratislava,https://www.profesia.sk/praca/prima-banka-slovensko/O5169220?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,"Bachelor, Master",1500 EUR gross/month,2025-11-04
5186097,Senior AI Python Software Engineer,ableneo Slovensko s.r.o.,Python: Expert,"GitLab, Jira, CI/CD, code reviews, FastAPI, Elastic, Azure AI Search","Slovak: C1, English: B2",8+ years,Job with occasional home office,Full-time,Profesia,2025-11-24,False,Bratislava,https://www.profesia.sk/praca/ableneo-slovensko/O5186097?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,University education (Bachelor's degree),3500 EUR gross/month,2025-11-04
5186088,IT-Service Desk Employee,teamative a. s.,,"Microsoft Office365, Windows 10/11, MDM via Intune and Apple Business Manager","English: C1, German: B2",0-1 years,On-site,Full-time,Profesia,2025-12-17,False,Košice,https://www.profesia.sk/praca/teamative/O5186088?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Secondary with school-leaving examination,2200 EUR gross/month,2025-11-04
5186084,Senior QA Engineer,Moxymind s. r. o.,"Python, Java, JavaScript","Karate, Postman, Wiremock, JUnit, Cucumber",,5+ years,Hybrid,Full-time,Profesia,2026-02-07,False,Košice,https://www.profesia.sk/praca/moxymind/O5186084?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,"Bachelor, Master, PhD",3000 EUR gross/month,2025-11-04
