job_id,title,company,Programming Languages,Required Software / Tools,Language Requirements,Experience Level,Work Arrangement,Job Type,source,Location,active,Salary,first_seen,url,Education,last_seen
5178219,IT Projektový manažér – CEO vlastného projektu,"M2M Solutions, s.r.o.",,Microsoft Excel,"Slovak: C1, English: B2",3-5 years,Hybrid,Full-time,Profesia,Žilina,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/m2m-solutions/O5178219?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"Bachelor, Master, PhD",2025-11-18
5186418,Product Manager,Sygic a. s.,,,,5+ years,On-site with home office,Full-time,Profesia,Bratislava,False,3500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/sygic/O5186418?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,2025-11-17
5186413,IT Technik - ponuka pre juniorov! :,Hemmersbach Czech s.r.o.,,"Windows, Microsoft Office (Outlook, Word a Excel)","English: B1, Slovak: C2",0-1 years,Hybrid,Half-time,Profesia,Bratislava,False,600 - 650 EUR/mesiac,2025-11-04,https://www.profesia.sk/praca/hemmersbach-czech/O5186413?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,stredoškolské s maturitou,2025-11-24
5169530,Software Engineering Manager,"Caterpillar Slovakia, s. r. o.",,,English: B2,5+ years,On-site with home office,Full-time,Profesia,Košice,False,5500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/caterpillar-slovakia/O5169530?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"Bachelor, Master, PhD",2025-11-24
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,"PHP, Python, SQL, GraphQL","Symfony, Flask, Linux, Git",English: B2,3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,3000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,2025-11-24
5030123,Hľadáme Validačného Experta pre Alarm Function Testing: Spoj cestovanie s kariérou!,Valicare s.r.o.,,Microsoft Office 365,English: B1,0-1 years,Hybrid,Full-time,Profesia,Trenčiansky kraj,False,1600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/valicare/O5030123?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,2026-03-05
5138722,Junior Web dizajnér,"LG Tech Services, s.r.o.",,"Adobe Creative Cloud, Figma","English: B2, Slovak: C2",0-1 years,Hybrid,Full-time,Profesia,Bratislava,False,1600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/lg-tech-services/O5138722?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,High School with Diploma,2025-11-18
5186386,Cloud Kubernetes Engineer,Unicorn,,"Linux, Microsoft Azure, Docker, Kubernetes, Zabbix, Ansible, Prometheus, MongoDB, IaC, Grafana, Elastic Search","Slovak: C2, English: B2",3-5 years,Home-Office,Full-time,Profesia,,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/unicorn/O5186386?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,"High School with Diploma, Bachelor, Master",2025-11-18
5158583,Join Our Team as a Software Test Engineer - Python Focus,localhost s.r.o.,Python,"Selenium, Cucumber, JBehave",English: B2,3-5 years,On-site with home office,Full-time,Profesia,Košice,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/localhost/O5158583?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Master,2026-03-03
5180668,Software Engineer,"IRON MOUNTAIN SLOVAKIA, s.r.o.",SQL,"Docker, GitLab CI/CD, Kubernetes, Google Cloud Platform, Amazon Web Services (AWS)",English: B2,1-3 years,Hybrid,Full-time,Profesia,Bratislava,False,2600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/iron-mountain-slovakia/O5180668?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,Bachelor,2025-11-24
5096827,Abap Developer,"SNP Slovakia, s. r. o.","ABAP, SQL","SAP, Hadoop, HIVE",English: B1,0-1 years,On-site with home office,Full-time,Profesia,Žilina,True,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/snp-slovakia/O5096827?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2026-03-25
5169536,Senior Software Engineer - React,"Caterpillar Slovakia, s. r. o.","React, JavaScript, TypeScript, HTML5, CSS, Sass","Webpack, Babel, Redux, Jest, AWS, Azure, Jenkins, Azure DevOps, GitHub Actions, HCL Commerce",English: B2,5+ years,On-site with home office,Full-time,Profesia,Košice,False,3600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/caterpillar-slovakia/O5169536?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, Master, PhD",2025-11-18
5168981,Junior Data Analytics Engineer,Swiss Re,"PySpark, TypeScript","Palantir Foundry, Workshop",English: B2,0-1 years,Hybrid,Full-time,Profesia,Bratislava,False,1600 - 2600 EUR/month,2025-11-04,https://www.profesia.sk/praca/swiss-re/O5168981?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"Bachelor, Master, PhD",2026-02-09
5169531,Lead Software Engineer - React,"Caterpillar Slovakia, s. r. o.","HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux, Jest","AWS, Azure, Jenkins, Azure DevOps, GitHub actions, HCL Commerce",English: B2,5+ years,On-site with home office,Full-time,Profesia,Košice,False,4600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/caterpillar-slovakia/O5169531?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2025-11-24
5186340,Systémový administrátor pre ČSOB Poisťovňu (M/Ž),ČSOB Finančná skupina,Ansible,"Openshift, Docker, Argo, Kubernetes, Ansible, TCP/IP, Linux Red Hat, GitHub, GitLab, Windows, VMware",English: C1,1-3 years,Hybrid,Full-time,Profesia,Prešov,False,2200 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/csob-financna-skupina/O5186340?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2025-11-04
5186336,CMMS Analyst (Computerized Maintenance Management System),CBRE Global Workplace Solutions s. r. o.,,"Tableau, Microsoft Excel, Google Workspace",English: C1,3-5 years,On-site with home office,Full-time,Profesia,Bratislava,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/cbre-global-workplace-solutions/O5186336?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2026-01-26
5186331,IT Analytik/ Analytička Senior pre LAB Firemné financovanie,"Slovenská sporiteľňa, a.s.",,"JIRA, Confluence, SOAP/REST, XML, JSON, Kibana, SQL",,1-3 years,On-site,Full-time,Profesia,Bratislava,False,2800 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/slovenska-sporitelna/O5186331?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2025-11-04
5186186,Product Owner & Sales Executive – Maklerio,"Maklér Softvér, s. r. o.",,,English: B2,3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/makler-softver/O5186186?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"High School with Diploma, Bachelor, Master, PhD",2025-11-04
5186296,Frontend Developer,"Aliter Technologies, a.s.","ReactJS, SQL, TypeScript, Next JS, Node.js, Express, PostgreSQL, MongoDB","Docker, Git, Figma, ESLint, Prettier, Vite, Jest, React Testing Library, Cypress, Playwright",English: B2,5+ years,Hybrid,Full-time,Profesia,Bratislava,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/aliter-technologies/O5186296?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,High School with Diploma,2025-11-18
5186295,Senior ICT analytik (m/ž) | Bratislava,"Slovenské elektrárne, a.s.","Java, Python","BPMN, UML, MS SQL, PostgreSQL, Oracle",,3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/slovenske-elektrarne/O5186295?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Master,2025-12-17
5160644,IT Analytik,VERMONT Services Slovakia s. r. o.,"PHP, SQL, CSS, UML",,English: B2,2-5 years,On-site,Full-time,Profesia,Bratislava,False,1800 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/vermont-services-slovakia/O5160644?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2025-11-04
5186293,Senior ICT analytik (m/ž) | Trenčín,"Slovenské elektrárne, a.s.","Java, Python","BPMN, UML, MS SQL, PostgreSQL, Oracle",,3-5 years,On-site,Full-time,Profesia,Trenčín,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/slovenske-elektrarne/O5186293?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Master,2025-12-17
5186237,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) |Trenčín,"Slovenské elektrárne, a.s.",,MS Office,,5+ years,On-site with home office,Full-time,Profesia,Trenčín,False,2034 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/slovenske-elektrarne/O5186237?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Master,2025-11-24
5186236,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) | Čierny Váh,"Slovenské elektrárne, a.s.",,MS Office,,5+ years,On-site,Full-time,Profesia,Liptovský Hrádok,False,2034 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/slovenske-elektrarne/O5186236?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Master,2025-11-24
5179414,Špecialista Tipérskej komunity (práca pre študenta),"N I K É , spol. s r.o.",,,,0-1 years,Home-Office,Short-term,Profesia,Bratislava,False,6 EUR/hod.,2025-11-04,https://www.profesia.sk/praca/n-i-k-e/O5179414?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2025-11-04
5168044,Java Developer for Automatic Driving Trains,Siemens Slovensko,"Java, Spring Boot","Gitlab, Git, XML, XSD, JSON, TLS, PKI, Docker, Linux",English: B2,5+ years,Hybrid,Full-time,Profesia,Žilina,False,2000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/siemens-slovensko/O5168044?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,"High School with Diploma, Bachelor, Master, PhD",2025-11-04
5175141,Senior Frontend/Fullstack Developer,"N I K É , spol. s r.o.","JavaScript, TypeScript, Java, Node","React, Zeplin, Figma, Storybook, Spring Boot, PostgreSQL, Redis, RestAPI, Kafka, GitLab",,5+ years,On-site,Full-time,Profesia,Bratislava,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/n-i-k-e/O5175141?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2025-11-24
5175139,Senior Java Developer,"N I K É , spol. s r.o.","Java, Kotlin","IDEA, maven, git/gitlab, JIRA, Confluence, javarx, webflux, kafka-streams, reactor, r2dbc, Spring, Spring Boot, OpenJDK 11+, PostgreSQL, Ignite, Kafka, Linux CentOS, Saltstack, Jenkins, Nexus, Prometheus, Grafana, Alertmanager, Elastic, Kibana, JavaFX, Flutter",,5+ years,On-site,Full-time,Profesia,Bratislava,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/n-i-k-e/O5175139?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,Bachelor,2026-01-06
5171710,Employee Central Test Lead,Deutsche Telekom IT Solutions Slovakia,,"Employee Central, Successfactors","English: B2, German: B2",5+ years,On-site with home office,Full-time,Profesia,Košice,True,1800 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171710?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2026-03-25
5171694,Employee Central Compensation Specialist,Deutsche Telekom IT Solutions Slovakia,,"Employee Central, SAP HCM","English: mandatory, German: optional",5+ years,On-site with home office,Full-time,Profesia,Košice,False,2200 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171694?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,,2026-02-03
5171688,Employee Central Process Automation Lead,Deutsche Telekom IT Solutions Slovakia,,"Employee Central, Open Text","English: mandatory, German: optional",5+ years,On-site with home office,Full-time,Profesia,Košice,False,2200 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171688?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,2026-03-22
5171683,Employee Central Lead,Deutsche Telekom IT Solutions Slovakia,,"SAP Successfactors, Employee Central","English: mandatory, German: optional",5+ years,On-site with home office,Full-time,Profesia,Košice,True,3500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171683?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,2026-03-25
5171501,Security Technik Administrator - 12-hour shift schedule (day or night shifts),Deutsche Telekom IT Solutions Slovakia,,"ITIL V4 Foundation, IPsec, SSL VPNs, Proxy, Reverse proxy services, Firewalls, Next-generation firewalls",English: B2,1-3 years,On-site,Full-time,Profesia,Košice,False,1300 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171501?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2025-11-24
5171137,C++ Developer,"Kistler Bratislava, s.r.o.","C++, Embedded C++, React","Yocto, Jenkins CI, Docker, GitLab, SonarQube, git",English: B2,3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,2700 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/kistler-bratislava/O5171137?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,2025-11-24
5171034,Biznis analytik - senior pre Odd. zab.úverov pre FO,"Tatra banka, a.s.","SQL, Python","Oracle SQL Developer, PowerBI, SAS Data Miner",English: C1,3-5 years,On-site,Full-time,Profesia,Bratislava,False,2600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/tatra-banka/O5171034?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2025-11-18
5154419,Solution Engineer,Siemens Slovensko,,,English: B2,3-5 years,Hybrid,Full-time,Profesia,Žilina,False,2800 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/siemens-slovensko/O5154419?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2025-11-04
3859622,ServiceNow Developer,"Accenture, s.r.o.","JavaScript, AngularJS, Bootstrap, jQuery","ServiceNow, REST/SOAP APIs, XML, JSON, HTML, CSS, AJAX, MySQL, Oracle",English: B2,5+ years,Home-Office,Full-time,Profesia,,True,3000 - 4600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/accenture/O3859622?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2026-03-25
5131272,Team Leader,Siemens Slovensko,"C#, C++, Java",,English: B2,3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,3000 EUR/mesiac,2025-11-04,https://www.profesia.sk/praca/siemens-slovensko/O5131272?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2026-01-06
5101495,Senior DevOps Engineer for PACCA program,Deutsche Telekom IT Solutions Slovakia,"Bash, Python","Linux Operating System, AWS, Azure, Docker, K8S, Kubernetes, OpenShift, Git, Jenkins, GitLab, Ansible, ELK, Prometheus, Icinga, Jaeger, Grafana, IBM Concert",English: B2,3-5 years,On-site with home office,Full-time,Profesia,Košice,True,2600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5101495?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Master,2026-03-25
5042597,Senior Java Developer - project Gigabit + Sign on Bonus 2000 EUR,Deutsche Telekom IT Solutions Slovakia,"Java, Spring Boot, Quarkus","Angular, React, Kubernetes, Docker, Microservices, Git, AWS, Azure, Google Cloud, Grafana",English: B2,5+ years,Home-Office,Full-time,Profesia,Košice,True,3100 - 3700 EUR/month,2025-11-04,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5042597?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2026-03-25
5186234,Solution Application Architect (Azure),Pro HR,,"Git, GitLab Runners for CI, Docker, Ansible, Terraform, Kubernetes, Azure DevOps, Jenkins, Azure Cloud Services, Helm charts, Maven, Gradle, Azure networking, Azure storage security, MMS policies, Cloudflare, Sonar scan",English: B2,3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,4500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/pro-hr/O5186234?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2025-11-24
5186233,IT Project Manager,Pro HR,,,"English: B2, English: advanced",3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,3800 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/pro-hr/O5186233?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"Master, PhD",2025-11-24
5172534,Cybersecurity Enthusiast Wanted!,"ESET, spol. s r.o.","PowerShell, Python, Javascript, Bash, LUA","EDR, XDR, SIEM, SOAR, Splunk, QRadar, Elasticsearch, ArcSight",English: B2,0-1 years,On-site with home office,Full-time,Profesia,Bratislava,False,1600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/eset/O5172534?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,,2025-11-24
5186201,IT (ERP/CRM) konzultant / analytik,Strauberi s. r. o.,,"Odoo, CRM, ERP",English: B2,3-5 years,Hybrid,Full-time,Profesia,Košice,False,1700 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/strauberi/O5186201?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"High School with Diploma, Bachelor, Master, PhD",2026-01-06
5186194,Produktový špecialista/špecialistka odd. Multichannel,"Všeobecná úverová banka, a.s., Intesa Sanpaolo",,,English: C1,1-3 years,Hybrid,Full-time,Profesia,Bratislava,False,1800 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/vseobecna-uverova-banka-intesa-sanpaolo/O5186194?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2025-11-17
5186193,ERP Enterprise Architect (IFS Cloud Transformation),NonStop Consulting Ltd,,IFS Cloud,English: C1,5+ years,Home-Office,Full-time,Profesia,,False,4000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186193?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2025-11-24
5163608,SAP S4 IT Solutions - FI AR Consultant,"Kyndryl Services Slovensko, spol. s r.o.",,"SAP FI-AR, SAP ECC, SAP S/4HANA",English: B2,3-5 years,On-site with home office,Full-time,Profesia,Bratislava,False,3330 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/kyndryl-services-slovensko/O5163608?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Master,2025-11-24
5159908,Senior Java Software Engineer (Air Traffic Management),FREQUENTIS Solutions & Services s. r. o.,"Java, JavaScript","Maven, Git, Docker, Jenkins, React, CSS, Akka, JSON, RabbitMQ/AMQP, WebSocket, HTTP/REST, SIP/SDP, JUNIT tests, CATS, etcd, Zabbix, OpenSearch/Kibana, Jama, JIRA, Confluence, UNIX/Linux",English: B2,5+ years,On-site with home office,Full-time,Profesia,Bratislava,False,4000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/frequentis-solutions-services/O5159908?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"Bachelor, Master, PhD",2026-02-03
5186172,Senior IT Infrastructure Engineer | Global Cloud Transformation - Remote,NonStop Consulting Ltd,,"Azure, VMware, Hyper-V",English: C1,5+ years,Home-Office,Full-time,Profesia,,False,4000 - 5000 EUR/month,2025-11-04,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186172?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,Bachelor,2025-11-24
5186171,DevOps Engineer,IT-Impulse s. r. o.,,"RedHat Openshift, ElasticSearch, Fluentd/Logstash, Kibana, Grafana, Prometheus, GitLab, JFrog Artifactory, JFrog X, Keycloak/RH SSO, Kafka/Eventstream, API Gateway kong, Docker, Kubernetes, Ansible, ArgoCD, Oracle, MySQL, MariaDB, PostgreSQL",English: B2,5+ years,Home-Office,Full-time,Profesia,,False,2500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/it-impulse/O5186171?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,"Follow-up/Higher Professional Education, Bachelor, Master, PhD",2025-11-24
5186166,BI Developer – Power BI / Azure Data Platform - Remote,NonStop Consulting Ltd,"DAX, SQL","Power BI, Microsoft Fabric, Azure Synapse, Databricks, Power Platform",English: C1,3-5 years,Home-Office,Full-time,Profesia,,False,3000 - 4500 EUR/month,2025-11-04,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186166?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Bachelor,2025-11-24
5186161,IT Biznis Analytik,CODERAMA s. r. o.,,"X-Ray Search, Tricentis Tosca, Amazon Web Services (AWS), CI/CD pipeline","English: C1, Slovak: C1",5+ years,Hybrid,Full-time,Profesia,Praha,False,3000 - 6000 EUR/mesiac,2025-11-04,https://www.profesia.sk/praca/coderama/O5186161?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,"High School with Diploma, Bachelor, Master, PhD",2025-11-24
5186141,Xray Support Engineer,CODERAMA s. r. o.,,"Idera Xray, Tricentis Tosca, LoadRunner Enterprise, LiveCompare, ServiceNow, AWS, CI/CD, IaC, FinOps","English: C1, Slovak: C1",5+ years,Home-Office,Full-time,Profesia,,False,3000 - 6000 EUR/month,2025-11-04,https://www.profesia.sk/praca/coderama/O5186141?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,"High School with Diploma, Bachelor, Master, PhD",2025-11-24
5186137,Andorid Developer,Sygic a. s.,Kotlin,"Jetpack Compose, Android SDK, AIDL, FlatBuffers, Azure DevOps, Git, JUnit, Dagger2","Slovak: B2, Czech: B2, English: B2",3-5 years,On-site with home office,Full-time,Profesia,Brno,False,2600 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/sygic/O5186137?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,High School with Diploma,2025-11-24
5186110,Jira developer / Atlassian expert,"Centila, s. r. o.",,"Jira, Confluence, Bitbucket, Bamboo","English: C1, Slovak: C2",3-5 years,Hybrid,Full-time,Profesia,Bratislava,False,3000 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/centila/O5186110?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,High School with Diploma,2025-11-24
5184955,Delivery Manager,"Seyfor Slovensko, a.s.",,Microsoft Dynamics 365 Business Central,English: B2,5+ years,Hybrid,Full-time,Profesia,Bratislava,False,3400 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/seyfor-slovensko/O5184955?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,"Bachelor, Master, PhD",2025-11-24
5169220,Biznis analytik,"Prima banka Slovensko, a.s.",SQL,"Microsoft Excel, Microsoft Word, Microsoft PowerPoint",,1-3 years,On-site,Full-time,Profesia,Bratislava,True,1500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/prima-banka-slovensko/O5169220?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,Master,2026-03-25
5186097,Senior AI Python Software Engineer,ableneo Slovensko s.r.o.,Python,"GitLab, Jira, CI/CD, FastAPI, SQL, NoSQL, Elastic, Azure AI Search, Kubernetes","Slovak: C1, English: B2",5+ years,On-site with home office,Full-time,Profesia,Bratislava,False,3500 EUR gross/month,2025-11-04,https://www.profesia.sk/praca/ableneo-slovensko/O5186097?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,"High School with Diploma, Bachelor, Master, PhD",2025-11-24
