Programming Language,Count
ASP.NET WebAPI,2
ABAP OO,2
shell scripting,2
JavaScript (ES6+),2
Spring boot,2
PHPUnit,2
Karma,2
ASP.Net Core,2
gRPC,2
nUnit,2
xUnit,2
UNIX/LINUX scripting,2
RESTful API,2
Angular JS,2
MATLAB,2
HTML5/CSS3,2
Canvas,2
SVG,2
M,2
Assembler,2
PowerShell: Základy,2
LangChain,2
ASP.Net,2
RESTful APIs,2
composer,2
Bash scripting,2
Apex code,2
OpenCV,2
MLFlow,2
Sql,2
Websockets,2
UNIX/Linux,2
ElasticSearch,2
Flows,2
CDS views,2
PixiJS,2
OData,2
APEX,2
umbrella.js,2
ember.js,2
JQuery,2
Nuxt3,2
.Net Core,2
Lightning Web Components,2
Excel,2
.NET Framework 4.8,2
REST services,2
MS SQL Server 2022,2
WebSockets,2
Dart,2
Java 11+,2
PrimeNG,2
UiPath,2
Spring (Boot),2
Visual Basic .Net,2
Shell-Script,2
JavaEE,2
RSocket,2
LINQ,2
Podman,2
Openshift,2
PERL,2
Spring Boot 3,2
Junit,2
Maria DB,2
Java/J2EE,2
SOQL,2
Pydantic,2
SAP Fiori,2
jscript/vbscript,2
Siemens TIA Portal,2
QlikView,2
Typescript/Angular,2
VB,2
NextJS,2
Spring-Boot,2
VB .NET,2
Bash Scripting,2
IEC61131 – FBD/ST,2
SQL Developer,2
Elastic Kibana,2
Prometheus,2
Grafana,2
Python: Basic,2
Python: Základy,2
QShell,2
Basic programming/scripting,2
CMD,2
NgRx,2
QT,2
JEE,2
Angular 2,2
B&R Automation Studio,2
M language,2
WebAPI,2
Delphi,2
Spring Security,2
MySQL/MARIA DB,2
Gradle,2
PowerCLI,2
Python: Beginner,2
LabView,2
batch,2
Angular.js,2
SIMATIC STEP 7,2
WinCC,2
.net core 3.1+),2
.NET 7+,2
C#/.NET (.net Framework 4+,2
BigQuery,2
Redux Toolkit,2
Vitest,2
Tableau,2
XQuery,2
CloudFormation,2
Pega,2
Vue 3,2
Shell Scripting,2
LUA,2
C-Sharp,2
VB.NET,2
.NET6,2
ASP.NET Web Forms,2
.Net Core 3.1,2
SASS/SCSS,2
GCP,1
Babel,1
HTML/CSS/JS,1
Node.js/npm,1
PyTest,1
Azure/AWS/GCP,1
Jenkins/GitLab,1
.NET Core 6,1
API,1
BPML,1
SQL: Pokročilý,1
Qlik Sense,1
KQL,1
Velocity,1
.NET 8,1
pySpark,1
Magic,1
Snowflake,1
dbt,1
APIs,1
batch files (*.CMD,1
*.BAT),1
AutoIt,1
JavaFX,1
React & React Native,1
C#.NET CORE,1
JavaScript/Typescript,1
HTML/CSS/SCSS,1
Batch,1
OAuth,1
Mocha,1
Ionic,1
Sass/SCSS,1
CSS3/SCSS,1
Flutter: Basic,1
Linux server administration: Basic,1
t-SQL,1
F#,1
React/Next.js,1
Tailwind,1
MS Copilot,1
MS Copilot Studio,1
JavaScript: Advanced,1
PHP: Advanced,1
MySQL/Maria DB: Advanced,1
HTML: Advanced,1
CSS: Advanced,1
Angular JS: Intermediate,1
Apache2 Server: Advanced,1
Reset API: Advanced,1
Firebase,1
Google Services GCM,1
Retrofit,1
Hilt,1
Koin,1
coroutines,1
Figma,1
React Native: Advanced,1
LESS/SASS/CSS3,1
PostgreSQL 9.6+,1
SQLITE,1
Symfony 5.0+,1
JUnit/TestNG,1
Cloud,1
SAP HANA DB,1
MS Power Automate,1
PowerApps,1
Power Automate,1
Vue.js 3,1
Css/SCSS,1
TIA Portal,1
Liquid,1
Ionic Framework,1
PHP 8.0+,1
RESTful,1
JSE/JEE,1
NET,1
Java 8 or higher,1
IRIS,1
C-sharp,1
JavaScirpt,1
VB.Net,1
ksh,1
MLflow,1
GitHub Actions,1
BASH/Shell,1
PHP: Úplný začiatočník,1
Microsoft.net,1
Embedded Programming,1
Low-Level Programming,1
C#/.Net: Intermediate,1
Verilog,1
VHDL,1
SystemVerilog,1
RXJS,1
NGRX,1
Signal Store,1
1C,1
Jupyter,1
Matplotlib,1
Plotly,1
Yaml,1
ML.NET,1
JavaScript: Basic,1
HTML 5: Advanced,1
Angular: Advanced,1
COBOL: Intermediate,1
QShell: Advanced,1
IFS: Advanced,1
CL: Advanced,1
RPG: Advanced,1
REXX: Advanced,1
AI. PLC,1
Scikit-Learn,1
Embedded Linux,1
SQL: B1,1
Python: B1,1
TSQL,1
HTMX,1
Celery,1
.NET C#,1
Java: Intermediate,1
Helm,1
bash/shell,1
OpenJDK 11+,1
Javarx,1
webflux,1
kafka-streams,1
reactor,1
Kotlin coroutines,1
Python 3.11+,1
Async/Await,1
Typing,1
AutoGen,1
OpenAI API,1
Hugging Face,1
Asyncpg,1
Vector Stores,1
Python: advanced,1
Rapid,1
KRL,1
Karel,1
UR script,1
ROS,1
.NET 8 / Core,1
ASP.NET Web API,1
Javascript / Typescript,1
Arduino IDE,1
ESP-IDF,1
SpecFlow,1
Unix-Shell,1
Dapper,1
ADO. NET,1
Node-RED,1
ELK Stack,1
MS Excel,1
SQL/NoSQL,1
PowerAutomate,1
VBS,1
PHP8,1
Solidity,1
VUE,1
Numpy,1
iOS,1
Transact-SQL (T-SQL),1
.NET (C#),1
Transact-SQL,1
Material UI,1
GitLab CI,1
SonarQube,1
C#: Advanced,1
.NET core: Advanced,1
ASP: Advanced,1
DB: Intermediate,1
API: Intermediate,1
UI framework: Basic,1
SQL: scripting,1
Pyramid,1
Oracle PL/SQL: Basic,1
Go-Lang,1
SQL: Intermediate,1
ServiceNow,1
MS SQL Query Tuning,1
SAS,1
Natural Language Processing (NLP),1
SOQL/SOSL,1
Linux scripting,1
Access,1
.NET 9,1
ExpressJS,1
J-Component,1
TYPO3,1
Shopware,1
Vite,1
ActiveMQ Artemis,1
Restful API,1
SPSS,1
Korn-shell,1
C-shell,1
Kdb+,1
PLC programming,1
Blockchain,1
CDS view,1
FIORI,1
Postgre SQL,1
Visualforce,1
Vue.JS,1
Oracle SQL Developer,1
Mockito,1
Java Message Service (JMS),1
Next,1
CAPL,1
PGqsl,1
PowerShell: Basic,1
Zabbix,1
UNIX,1
SCL,1
Pascal,1
Allen-Bradley,1
Honeywell,1
Rockwell,1
Java (základy),1
Nuxt 3,1
Xpath,1
ArchiMate,1
SAS/SQL,1
PowerShell: Beginner,1
Bash: Beginner,1
.NET Framework 4+,1
.NET Core 3.1+,1
GitHub,1
biznis procesy (Camunda),1
JNI,1
WebSockety,1
Siemens HMI,1
(My)SQL,1
Hadoop,1
PostgreSQL / Oracle DB,1
SIMATIC STEP 7: Pokročilý,1
Siemens TIA Portal: Pokročilý,1
Hibernate ORM/JPA,1
Shell scripting – bash,1
UmiJS,1
React Native CLI,1
PL/pgSQL,1
JPA/Hibernate,1
QueryDSL,1
Visual Basic for Applications,1
Spring Boot 3.x,1
ARM,1
MQ,1
VBscript,1
Visual Basic for Applications (VBA),1
Lazarus,1
SPFx,1
JSON formatting,1
PLC (Siemens),1
RESP API,1
DynamoDB,1
InfluxDB,1
TimeScaleDB,1
Microsoft .NET Framework,1
Microsoft Access,1
Unity UI,1
Elixir,1
CDS Views,1
Cobol,1
IFS,1
DELPHI,1
ABB robotics,1
Fanuc robotics,1
KUKA robotics,1
Profinet,1
JAVA/Kotlin,1
VUE.js,1
ASP.NET/MVC,1
MS SQL 2019,1
.NET 8+,1
Databricks CLI,1
Vue.js V3,1
UNIX Shell Scripting,1
A S400,1
Oracle),1
NoSQL (MongoDB,1
DynamoDB),1
TSDB (InfluxDB,1
TimeScaleDB),1
C++: Advanced,1
Android programming: Advanced,1
Postgres ORM,1
Nest.js),1
messaging (RabbitMQ,1
Kafka),1
web (React,1
Next.js),1
API (REST,1
GraphQL),1
RDBMS (PostgreSQL,1
Grid,1
SoapUI,1
Protractor,1
Rest Assured,1
Linux Shell,1
JAVA (Spring Boot,1
Quarkus),1
Node.js (Express.js,1
JavaScripte,1
Robot framework,1
.NET 5.x-8.x,1
AI,1
robotika,1
senzorika,1
Spring Boot 3.x: Advanced,1
WebDriver,1
Scratch,1
PHP8+,1
Unit Testing,1
Swift Object Storage,1
RRD,1
Graphite,1
ClickHouse,1
NSQ,1
Unit Testing - Pokročilý,1
ElasticSearch - Pokročilý,1
Tailwind CSS,1
SQL Databases,1
NoSQL Databases,1
Kotlin Multiplatform,1
Python: Advanced,1
MySQL: Advanced,1
SAP UI5,1
PowerBI,1
PHP - Expert,1
MySQL - Pokročilý,1
JavaScript - Pokročilý,1
Laravel (PHP framework) - Expert,1
OOP - Pokročilý,1
DevOps - Pokročilý,1
Typesense,1
VUEjs,1
SAPUI5,1
RAP,1
SvelteKit,1
WebGL,1
uPlot,1
SAP ABAP,1
Microsoft SQL Server: Beginner,1
Angular/Typescript,1
ASP.NET Core Razor Pages,1
Web IDE,1
LAMP,1
.NET MVC,1
Java Script,1
Type Script,1
Flat Buffers,1
Power Query M,1
TypeScript/Node.js,1
Visual Basic .NET,1
iOS/Android,1
Next.js (React),1
AzureDevops,1
Visual Basic: Beginner,1
communications protocols,1
ASP.NET MVC Core,1
NoSql,1
Firestore,1
CosmosDB,1
Semantic Kernel,1
Jenkins CI,1
shell (bash),1
Spark SQL,1
Spring framework,1
Cucumber,1
Livewire,1
.NET framework,1
Unit of work,1
Repository pattern,1
messaging,1
Laravel (PHP framework): Expert,1
Vue.js: Advanced,1
HTML: Intermediate,1
GIT: Intermediate,1
TensorFlow/PyTorch,1
Android SDK,1
Android Jetpack,1
Compose,1
ABAP Cloud,1
CAP,1
Java/Spring,1
ActiveMQ,1
DirectX,1
HLSL,1
NRQL,1
Dataiku DSS,1
S7-1500,1
SCADA,1
ABAP/4,1
RoR,1
CDI,1
EJB,1
C++20,1
SAP CAP,1
Unit testov,1
MS Test,1
bash-script,1
QueryDsl,1
Liquibase,1
Mongo DB,1
ELK,1
S7-1200,1
Quasar,1
Unix shell scripts,1
PIXI.js,1
ABP framework,1
Web sockets,1
TWIG,1
PHP 8,1
Entity framework,1
XML: Basic,1
PostgreSQL: Basic,1
Oracle PL/SQL: beginner,1
Unix: beginner,1
Basic programming / scripting,1
Xamarin/MAUI,1
Winforms,1
Services,1
JavaScript: Expert,1
PHP: Basic,1
POSTGRES SQL,1
KAFKA,1
PL-SQL,1
Script languages,1
Microsoft Graph API,1
Microsoft Excel,1
PLC /Allen - Bradley or Siemens/,1
SQL/MSSQL,1
Angular 15,1
React.Js,1
LESS,1
git,1
HTML: Expert,1
CSS/LESS: Expert,1
SolidJS,1
docker,1
Spring-Web,1
Jython,1
RxJava,1
Elastic,1
Angular/React,1
Shell Script,1
AFD,1
PyQGIS,1
CSS/SCSS,1
Pug (Jade),1
Postgre,1
Gherkin,1
pyTest,1
Supertest/Jest,1
powershell scripting,1
Jinja2,1
Asp.Net,1
Git/GitLab,1
WS,1
JAXB,1
JAX-WS,1
JSP,1
NUnit,1
XUnit,1
REST-API,1
C# .net,1
micropython,1
Azure Functions,1
Qt,1
SQLite,1
