Location,Profesia,Profession,CVOnline,Total
"Germany, Romania, Bulgaria",0,2,0,2
London,0,2,0,2
Klaus,0,0,2,2
"Budapest, VIII. kerület",0,0,2,2
Graz,2,0,0,2
Ivanka pri Nitre,2,0,0,2
Vorarlberg,0,0,2,2
NORDCITY,2,0,0,2
Meyrin,0,2,0,2
Nemecko,2,0,0,2
Mátészalka,0,0,2,2
Kaiserslautern,0,2,0,2
Galanta,2,0,0,2
Kaposvár,0,2,0,2
Heves megye,0,2,0,2
Hinwil,0,2,0,2
Hoehenkirchen-Siegertsbrunn,0,2,0,2
Gütersloh,0,2,0,2
Bytča,2,0,0,2
München,0,2,0,2
Dvory nad Žitavou,2,0,0,2
Hannover,0,2,0,2
Gerlingen,0,2,0,2
Hard,0,0,2,2
Germany or Austria,0,2,0,2
Indianapolis,0,2,0,2
"Germany, Austria, Switzerland",2,0,0,2
Istebné,2,0,0,2
Környe,0,2,0,2
Gáň,2,0,0,2
Burgdorf,0,2,0,2
Bučany,2,0,0,2
"Paks, Budapest, Szeged",0,2,0,2
Partizánske,2,0,0,2
Nuremberg,0,2,0,2
Námestovo,2,0,0,2
Nänikon-Greifensee,0,2,0,2
"Presov, Nitra",2,0,0,2
Plavecký Štvrtok,2,0,0,2
Continental Europe,0,2,0,2
City,2,0,0,2
"Budapest, Pécs, Debrecen",0,2,0,2
Rakúsko,2,0,0,2
Rankweil,0,0,2,2
Brno - City,2,0,0,2
Budapest III. kerület,0,2,0,2
"Bratislavský kraj, Trnavský kraj, Nitriansky kraj",2,0,0,2
Szombathely,0,2,0,2
Soroksár,0,0,2,2
St. Leon-Rot,0,2,0,2
Sindelfingen,0,2,0,2
"Slovensko, Česko, Poľsko",2,0,0,2
Slovenská republika,2,0,0,2
"Walldorf, Hamburg, Berlin, Ratingen, Eschborn, Gerlingen, Garching",0,2,0,2
Schlieren,0,2,0,2
Bernolákovo,2,0,0,2
Trier,0,2,0,2
Triesen,0,2,0,2
"Trnavský kraj, Slovakia",2,0,0,2
Trstená,2,0,0,2
Tvrdošín,2,0,0,2
Teplička nad Váhom,2,0,0,2
Trenčianska Turná,2,0,0,2
Sárszentmihály,0,2,0,2
Tallinn or Berlin,0,2,0,2
Tata,0,1,1,2
Wetzlar,0,2,0,2
Wiener Neudorf,0,0,2,2
Wietmarschen-Lohne or Osnabrück,0,2,0,2
"Berlin, London, Valencia",0,2,0,2
"Berlin, München-Garching, Hamburg, Ratingen, Eschborn, Gerlingen, Walldorf",0,2,0,2
Wesel,0,2,0,2
"Berlin, Barcelona",0,2,0,2
"Berlin, Bonn, Borchen, Dresden, Eschborn, Essen, Hamburg, Hanover, Ilmenau, Munich, Siegen, Stuttgart",0,2,0,2
Vecsési járás,0,0,2,2
"Bratislava, Žilina",2,0,0,2
Unknown,0,0,2,2
"Bratislava region, Czech Republic",2,0,0,2
"Bratislava region, Trnava region, Nitra region",2,0,0,2
Biel/Bienne,0,2,0,2
Flawil,0,1,0,1
Frankfurt am Main,0,1,0,1
"Frankfurt, Düsseldorf",0,1,0,1
Frankfurt/Main,0,1,0,1
Freiburg (Breisgau),0,1,0,1
Füllinsdorf,0,1,0,1
Füzesabony,0,1,0,1
Gajary,1,0,0,1
Kapuvár,0,1,0,1
Kecskeméti,0,0,1,1
Kežmarok,1,0,0,1
Europe and Asia,0,0,1,1
Feldkirch/Innsbruck,0,0,1,1
Jászberény,0,1,0,1
Jülich,0,1,0,1
Jülich/Aachen,0,1,0,1
Kaiseraugst,0,1,0,1
Kapfenberg,1,0,0,1
"Holíč, Slovensko",1,0,0,1
Home-office,1,0,0,1
Horná Potôň,1,0,0,1
Härkingen,0,1,0,1
Hévíz,0,1,0,1
Inside Slovakia,1,0,0,1
Lachen,0,1,0,1
Lieskovec,1,0,0,1
"Limassol, Cyprus",0,1,0,1
Linz,1,0,0,1
Kostolné Kračany,1,0,0,1
Košice - okolie,1,0,0,1
Košice region,1,0,0,1
"Košice, Slovakia",1,0,0,1
Košický kraj,1,0,0,1
Kriens,0,1,0,1
Krivá,1,0,0,1
Kuala Lumpur,0,1,0,1
Glattpark,0,1,0,1
Gomaringen bei Tübingen,0,1,0,1
"Klaus, Austria, Erlangen, Germany",0,0,1,1
Kleinostheim near Frankfurt,0,1,0,1
Komarom,0,1,0,1
Komárom-Esztergom megye,0,1,0,1
Garching near Munich,0,1,0,1
"Garching near Munich, Germany",0,1,0,1
Gbely,1,0,0,1
Lungötz / Austria,1,0,0,1
"Lungötz, Austria",1,0,0,1
Luxembourg city,0,1,0,1
Marcali,0,1,0,1
"Martina Hafner-Höfle, OMICRON electronics GmbH",0,0,1,1
Esztergom,0,1,0,1
"Liptovský Mikuláš, Tatranská Lomnica, Bratislava",1,0,0,1
"London, Berlin or Valencia",0,1,0,1
Los Angeles,0,1,0,1
Lucerne,0,1,0,1
Ludwigsburg,0,1,0,1
Dunajská Lužná,1,0,0,1
Dunaújváros,0,1,0,1
Dusseldorf/Cologne area,1,0,0,1
EMEA,0,1,0,1
Emmen,0,1,0,1
Erlangen City Center and remote,0,1,0,1
Davos Platz,0,1,0,1
"Dlhé lúky, Hrnčiarovce nad Parnou-Trnava",1,0,0,1
Dolný Hričov,1,0,0,1
Dortmund,0,1,0,1
Du möchtest in einem innovativen und international ausgerichteten Umfeld arbeiten?,0,0,1,1
Duisburg,0,1,0,1
Dunaharaszti,0,1,0,1
Nidau,0,1,0,1
Nitra Region,1,0,0,1
Nitra/Prešov,1,0,0,1
Nivy Tower,1,0,0,1
Nordcity,1,0,0,1
North part of Pest County,0,0,1,1
Neckartenzlingen,0,1,0,1
Nemšová,1,0,0,1
"Netherlands, UK, Hungary",0,1,0,1
Neu-Isenburg bei Frankfurt am Main,0,1,0,1
Neuchâtel,0,1,0,1
Munich/Germany,0,1,0,1
Murzilli,0,0,1,1
Mátranovák,0,1,0,1
Mödling,0,0,1,1
NEW YORKER,0,1,0,1
NJ,1,0,0,1
Martinsried,0,1,0,1
Modra,1,0,0,1
"Modřice, Česká republika",1,0,0,1
Moravany nad Váhom,1,0,0,1
Mosonmagyaróvár,0,1,0,1
Most pri Bratislave,1,0,0,1
Munich/Garching,0,1,0,1
Bydgoszcz,0,1,0,1
Bystré,1,0,0,1
Bábolna,0,1,0,1
Bács-Kiskun megye,0,1,0,1
Bécs,0,0,1,1
"Békéscsaba, Budapest, Debrecen, Kaposvár, Kecskemét, Salgótarján, Szeged, Szekszárd, Szombathely, Tatabánya, Veszprém, Zalaegerszeg",0,1,0,1
Pest megye,0,1,0,1
Pfäffikon SZ,0,1,0,1
Budča,1,0,0,1
"Barcelona, Spain",0,1,0,1
"Burgdorf, Zürich",0,1,0,1
Žiliny,1,0,0,1
Oslany,1,0,0,1
Ostrava,1,0,0,1
Paks,0,1,0,1
"Ansbach (DE), Nuremberg (DE) or Bazanowice (PL)",0,1,0,1
Pardubice,1,0,0,1
Partizanske,1,0,0,1
Arnhem,1,0,0,1
Patince,1,0,0,1
Nováky,1,0,0,1
AT/CH/DE,1,0,0,1
Nyírtelek,0,1,0,1
Žiar nad Hronom,1,0,0,1
100% remote,1,0,0,1
Oberpfaffenhofen,0,1,0,1
Oetwil am See,0,1,0,1
Oravská Lesná,1,0,0,1
Praha 4-Nusle,1,0,0,1
"Praha, Košice",1,0,0,1
Pratteln,0,1,0,1
Pravenec,1,0,0,1
Žilina or Prievidzi,1,0,0,1
"Prešov, Nitra",1,0,0,1
"Prešovský kraj, Košický kraj",1,0,0,1
Pusté Úľany,1,0,0,1
Bratislava or Žilina,1,0,0,1
Plochingen near Stuttgart,0,1,0,1
Plzeň,1,0,0,1
Porto,1,0,0,1
Potsdam,0,1,0,1
Pozsony,0,0,1,1
Prague or Bratislava,1,0,0,1
Praha / Olomouc,1,0,0,1
"Zürich, Switzerland",0,1,0,1
Crissier,0,1,0,1
Csepel,0,0,1,1
Csákvár,0,1,0,1
Czech Republic,1,0,0,1
"Piešťany, Slovakia",1,0,0,1
Pilisjászfalu,0,1,0,1
Pilisszentiván,0,1,0,1
Böblingen,0,1,0,1
Böblingen bei Stuttgart,0,1,0,1
Böhlerwerk,0,0,1,1
Celé Slovensko,1,0,0,1
Chemnitz,0,1,0,1
Zürich/Basel/Geneva,0,1,0,1
Cologne or Künzelsau,0,1,0,1
"Cologne, Wetzlar, or Munich",0,1,0,1
Remote / Onsite,1,0,0,1
Remote inside of Slovakia,1,0,0,1
Remscheid,0,1,0,1
Renningen,0,1,0,1
Rohožník,1,0,0,1
"Rotkreuz, Switzerland",0,1,0,1
Ruhr metropolitan region,0,1,0,1
Rumanová,1,0,0,1
Budapest XIII. kerület,0,1,0,1
Budapest or Jánossomorja,0,1,0,1
unknown,0,0,1,1
"Budapest, Siófok",0,1,0,1
Ács,0,1,0,1
Allschwil,0,1,0,1
Remote / Europe,0,1,0,1
Remote / Hybrid (možnost kanceláří v Praze),1,0,0,1
Brezno,1,0,0,1
Brezová pod Bradlom,1,0,0,1
Újhartyán,0,1,0,1
Brunovce,1,0,0,1
Bruntál,1,0,0,1
Buchs AG,0,1,0,1
Budakalász,0,1,0,1
Ajkai,0,0,1,1
"Bratislava, Žilina, Banská Bystrica",1,0,0,1
"Bratislava, Žilina, Martine, Banská Bystrica",1,0,0,1
Bratislava/Žilina/Košice,1,0,0,1
"Bratislavský kraj, Celé Slovensko",1,0,0,1
"Bratislavský kraj, Trenčiansky kraj, Trnavský kraj",1,0,0,1
"Bratislavský kraj, Trenčiansky kraj, Zahraničie - ostatné",1,0,0,1
Vráble,1,0,0,1
Bremen,1,0,0,1
"Stuttgart, Germany",1,0,0,1
Stuttgart-Vaihingen,0,1,0,1
Svidník,1,0,0,1
Svit,1,0,0,1
Szany,0,1,0,1
Szlovákia,0,1,0,1
Szolnok,0,1,0,1
Várpalota,0,1,0,1
Sopron,0,0,1,1
Amsterdam,0,1,0,1
Speyer,0,1,0,1
Záhony,0,0,1,1
Stará Ľubovňa,1,0,0,1
Steyr,1,0,0,1
Stupava,1,0,0,1
"Stuttgart, Budapest",0,1,0,1
Alsónémedi,0,1,0,1
"Slovak Republic, Austria",1,0,0,1
"Slovak Republic, Austria, Abroad",1,0,0,1
"Slovak Republic, Austria, Abroad - Others",1,0,0,1
Almásfüzitő,0,1,0,1
Zürich / Basel,0,1,0,1
Snina,1,0,0,1
Viedeň,1,0,0,1
Ružomberk,1,0,0,1
Ružomberok,1,0,0,1
Rümlang,0,1,0,1
SEE region,0,0,1,1
San Francisco,0,1,0,1
"Viedeň, Rakúsko",1,0,0,1
Seattle,0,1,0,1
Seon,0,1,0,1
Távmunka/remote,0,0,1,1
Töltéstava,0,1,0,1
Uhersky Brod,1,0,0,1
Bern,0,1,0,1
"Bern,Thun",0,1,0,1
Viedňa,1,0,0,1
Biatorbágy,0,0,1,1
Biel-Bienne,0,1,0,1
"Trenčiansky kraj, Česko",1,0,0,1
"Trenčín, Liptovský Mikuláš, Košice, Zvolen",1,0,0,1
Vlkanová,1,0,0,1
"Voderady, Slovakia",1,0,0,1
"Trnavský kraj, Nitriansky kraj",1,0,0,1
Vorarlberger Rheintal,0,0,1,1
Austin,0,1,0,1
Heerbrugg,0,1,0,1
Heidelberg,0,1,0,1
Terchovej,1,0,0,1
Thörishaus,0,1,0,1
Trebatice,1,0,0,1
Trebišov,1,0,0,1
Trenčianska Teplá,1,0,0,1
Heidenheim,0,1,0,1
Trenčianske Stankovce,1,0,0,1
Sárospatak,0,1,0,1
Hemer,0,1,0,1
Sárvár,0,1,0,1
Herzogenrath,0,1,0,1
Tashkent,0,1,0,1
Hackensack,0,1,0,1
Tatranská Lomnica,1,0,0,1
"Tatranská Lomnica, resp. Liptovský Mikuláš alebo Bratislava",1,0,0,1
Western Slovakia,1,0,0,1
Hanau,0,1,0,1
Handlová,1,0,0,1
"Wiesbaum, Deutschland",1,0,0,1
Wietmarschen-Lohne,0,1,0,1
Vrbové,1,0,0,1
Winnenden,0,1,0,1
Attendorn,0,1,0,1
Hatvan,0,1,0,1
Zurich area,0,1,0,1
"Berlin, Regensburg",0,1,0,1
Somogy megye,0,0,1,1
Wangen b. Dübendorf,0,1,0,1
Wardenburg,0,1,0,1
Wels-Linz / Österreich,1,0,0,1
"Zvolen, Slovensko",1,0,0,1
"Basingstoke, London, Bristol",0,1,0,1
Bavaria,0,1,0,1
Beluša,1,0,0,1
Berlin or Barcelona,0,1,0,1
"Berlin, Aschheim bei München",0,1,0,1
Zwingen,0,1,0,1
Gyöngyös,0,1,0,1
"Berlin, Hamburg, Ratingen, Eschborn, Walldorf, Gerlingen, Garchingen",0,1,0,1
Baden-Daettwil,0,1,0,1
Balatonfüred,0,0,1,1
Balzers,0,1,0,1
"Banskobystrický kraj, Nitriansky kraj, Slovensko",1,0,0,1
Baranya megye,0,1,0,1
Barcelona or Berlin,0,1,0,1
"Barcelona, Berlin",0,1,0,1
Baden,0,1,0,1
"Varna, Bulgaria",1,0,0,1
Vaďovce,1,0,0,1
Vecsés,0,1,0,1
Götzis,0,0,1,1
Veselí nad Moravou,1,0,0,1
Vevey,0,1,0,1
Veľké Kosihy,1,0,0,1
Ausztria,0,1,0,1
"Bratislava, Pezinok",1,0,0,1
"Bratislava, Prague, Brno, Košice",1,0,0,1
"Bratislava, Prešov",1,0,0,1
"Bratislava, Remote",1,0,0,1
Gúta,1,0,0,1
Zalaegerszeg,0,1,0,1
Unterföhring bei München,0,1,0,1
Valaská,1,0,0,1
Zavar,1,0,0,1
"Bratislava region, Germany, Switzerland",1,0,0,1
"Zavar, Trnava",1,0,0,1
"Bratislava, Brno, Prague",1,0,0,1
"Bratislava, Levice and surrounding areas",1,0,0,1
"Bratislava, Liptovský Mikuláš, Tatranská Lomnica",1,0,0,1
"Bratislava, Nitra, Banská Bystrica, Žilina, Košice",1,0,0,1
"Bratislava, Nitra, Žilina, Martin, Banská Bystrica",1,0,0,1
Zlín,1,0,0,1
"Binningen/ Basel, Switzerland / EU",0,1,0,1
Bojnice,1,0,0,1
Bonn,0,1,0,1
Bonyhád,0,0,1,1
Bratislava / Zvolen / Košice,1,0,0,1
Bratislava II,1,0,0,1
Wuerzburg area / Germany,0,1,0,1
