Programming Language,Profesia,Profession,CVOnline,Total
RDBMS,0,3,1,4
PowerCLI,1,1,2,4
Hibernate/JPA,1,2,1,4
Pega,2,2,0,4
XSLT,3,1,0,4
TCL,3,1,0,4
Bash/Shell,4,0,0,4
BPMN,0,4,0,4
JAVA EE,4,0,0,4
Apache Arrow,0,4,0,4
TestNG,4,0,0,4
Siemens,4,0,0,4
JMETER,0,4,0,4
ASP.Net,1,1,2,4
ISTQB,0,4,0,4
Microsoft Windows Scripting,0,0,4,4
NestJS,3,1,0,4
GO,3,1,0,4
Selenium: Advanced,4,0,0,4
SPSS,0,4,0,4
SPARK,0,4,0,4
CLEAN CODE,0,4,0,4
Unix,0,2,2,4
SQL: Advanced,4,0,0,4
Numpy,4,0,0,4
OpenShift,4,0,0,4
AZURE DEVOPS,0,4,0,4
Microsoft Excel: Advanced,4,0,0,4
Vaadin,4,0,0,4
Visualforce,1,0,3,4
VueJS,2,2,0,4
.Net Core,3,0,1,4
Microsoft SQL Server,1,3,0,4
JUNIT,0,4,0,4
CI,0,4,0,4
JavaScript: Advanced,4,0,0,4
SAP S/4HANA,3,1,0,4
ES6+,4,0,0,4
Windows PowerShell,4,0,0,4
level: None,3,0,1,4
Webpack,4,0,0,4
Language: Python,3,0,0,3
WORD,0,3,0,3
X++,2,1,0,3
WebAPI,3,0,0,3
VBScript,3,0,0,3
Microsoft Dynamics 365 Business Central,3,0,0,3
Microsoft Office,1,2,0,3
MS Outlook: expert,3,0,0,3
JavaScript / Angular,3,0,0,3
MS Powerpoint: expert,3,0,0,3
MS Project: expert,3,0,0,3
MS Word: expert,3,0,0,3
JUnit/TestNG,3,0,0,3
JVM,3,0,0,3
JWT,3,0,0,3
NETWORK,0,3,0,3
Mongo DB,3,0,0,3
APACHE,0,3,0,3
CYPRESS,0,3,0,3
SAP CRM: advanced,3,0,0,3
DNS/DHCP,3,0,0,3
Rest API: Advanced,3,0,0,3
EXCEL,0,3,0,3
DATABASE,0,3,0,3
Coroutines,2,1,0,3
SAP FI - AA: beginner,3,0,0,3
SAP FI: beginner,3,0,0,3
ABAP OO,2,0,1,3
dbt,0,2,1,3
Zabbix,3,0,0,3
Agilis,0,3,0,3
JQUERY,0,3,0,3
Javascript/Typescript,1,2,0,3
Visual Basic .NET,3,0,0,3
Airflow,3,0,0,3
ASSEMBLY,0,3,0,3
VIRTUALIZATION,0,3,0,3
Nette,3,0,0,3
Node,3,0,0,3
Angular/Typescript,3,0,0,3
Spring Framework: Expert-level,3,0,0,3
Tomcat,3,0,0,3
Spring Security: Expert-level,3,0,0,3
SAP PM: advanced,3,0,0,3
SAP PS: beginner,3,0,0,3
SQL DBA,3,0,0,3
RPG,2,1,0,3
SAP WM: advanced,3,0,0,3
SAP BW: advanced,3,0,0,3
Fiori/UI5,0,3,0,3
React JS,3,0,0,3
SAP IS - U: beginner,3,0,0,3
DATA MANAGEMENT,0,3,0,3
DB2,2,1,0,3
DEBIAN,0,3,0,3
Gradle,1,2,0,3
PHP (Laravel),1,2,0,3
PLC,0,1,2,3
Teradata,3,0,0,3
Java EE,3,0,0,3
Java/J2EE,3,0,0,3
Spring framework,2,0,1,3
Grafana,0,0,3,3
Spring Boot: Expert-level,3,0,0,3
Java (Spring Boot),2,1,0,3
Hyper-V deployment,3,0,0,3
IIS,3,0,0,3
BOOTSTRAP,0,3,0,3
Bash Scripting,3,0,0,3
Bash scripting,3,0,0,3
GitHub,2,1,0,3
SysML/UML,0,3,0,3
Shell script,0,1,2,3
Ubuntu,1,0,2,3
Apache web server,3,0,0,3
Golang: Basic,3,0,0,3
GitHub Actions,1,2,0,3
Tailwind CSS,3,0,0,3
COBOL,2,1,0,3
Python:,3,0,0,3
Python: Basic,3,0,0,3
Python: intermediate,3,0,0,3
Azure functions,3,0,0,3
Spark,1,2,0,3
Cloud AWS,3,0,0,3
C++:,3,0,0,3
Python: Expert,3,0,0,3
SQL: Skillful,3,0,0,3
HIBERNATE,0,3,0,3
Power Query (M),3,0,0,3
GitLab CI/CD,2,0,1,3
PROJECT MANAGEMENT,0,3,0,3
Machine Learning,0,3,0,3
Linux: Advanced,3,0,0,3
WPF,2,1,0,3
MS Access: expert,3,0,0,3
MS Excel: expert,3,0,0,3
numpy,2,1,0,3
Keras,2,1,0,3
.NET Core / .NET 6+,3,0,0,3
file/print,3,0,0,3
Linux: Expert-level admin,3,0,0,3
Java: 8 and higher,3,0,0,3
Java: Expert-level,3,0,0,3
M,2,1,0,3
MLflow,3,0,0,3
Level: B2,3,0,0,3
and clustering,3,0,0,3
bash,3,0,0,3
Language: SQL,3,0,0,3
Lightning,0,0,3,3
Level: None,3,0,0,3
Windows Server: AD,3,0,0,3
Language: C++,3,0,0,3
Windows XP,2,0,0,2
WooCommerce,2,0,0,2
Wildfly,2,0,0,2
ABAP (classic and/or OO),0,0,2,2
ABAP (classic or OO),0,0,2,2
LabVIEW FPGA,0,0,2,2
Language: COBOL,2,0,0,2
Language: CSS,2,0,0,2
LWC,0,1,1,2
.NET MAUI for Android and iOS,2,0,0,2
.NET core,2,0,0,2
.NET frameworks,2,0,0,2
Level: Basic,2,0,0,2
Level: Expert,2,0,0,2
Level: Mierne pokročilý,2,0,0,2
Lightning Web Components (LWC),0,2,0,2
Level: Mildly advanced,2,0,0,2
XGBoost,2,0,0,2
XML/JSON,0,2,0,2
XSD,2,0,0,2
Language: Vue.js,2,0,0,2
11: Advanced,2,0,0,2
LAN,2,0,0,2
Java11+,0,2,0,2
Kubernetes: Advanced,2,0,0,2
gRPC,2,0,0,2
prototyping tools,0,2,0,2
iOS/Android,2,0,0,2
.NET (ideally .NET 8),0,2,0,2
level: high,0,2,0,2
10,2,0,0,2
Liquibase,1,1,0,2
Linux: Expert,2,0,0,2
MS OFFICE,0,2,0,2
Windows 11,2,0,0,2
Key Vault,2,0,0,2
MVVM,2,0,0,2
Magento,2,0,0,2
MariaDB,1,1,0,2
MVC framework (Spring MVC,2,0,0,2
WebDriver,2,0,0,2
WebSocket,2,0,0,2
QAD,0,2,0,2
Qlik,1,1,0,2
Python / Connexion,2,0,0,2
GitOps,2,0,0,2
HTML5/CSS3,2,0,0,2
HTML: Advanced,2,0,0,2
HARDWARE,0,2,0,2
Function App,2,0,0,2
GCP,1,1,0,2
General Security and privacy,2,0,0,2
PrimeFaces,2,0,0,2
Protractor,2,0,0,2
PyQGIS,2,0,0,2
Pro*C,0,2,0,2
Play...),2,0,0,2
PnP,0,2,0,2
POWERPOINT,0,2,0,2
GitLab,2,0,0,2
Embedded Linux,2,0,0,2
Go (Golang),1,1,0,2
Event Hub,2,0,0,2
Express,2,0,0,2
Python: Intermediate,2,0,0,2
RAP,0,2,0,2
Spinnaker,0,1,1,2
SSIS,0,1,1,2
F#,1,1,0,2
CSS: Advanced,2,0,0,2
Containers,2,0,0,2
Core),2,0,0,2
C++: Advanced,2,0,0,2
C++: advanced,2,0,0,2
C-Sharp,2,0,0,2
C++/Rust,2,0,0,2
SolidJS,1,1,0,2
ServiceNow,0,2,0,2
SharePoint REST,0,2,0,2
SPFx,0,2,0,2
SCUM,0,2,0,2
CentOS,2,0,0,2
Check Point Next Generation Firewall (NGFW),2,0,0,2
Cloud,1,1,0,2
SignalR,2,0,0,2
Glide,0,2,0,2
CL,2,0,0,2
CD,0,2,0,2
Business Technology Platform (BTP),2,0,0,2
C# or TypeScript,0,2,0,2
Blazor,0,0,2,2
SSRS,0,1,1,2
Spotfire,0,0,2,2
SUSE,1,1,0,2
SYMFONY,0,2,0,2
Tableau: Advanced,2,0,0,2
Tailwind,0,2,0,2
Tcl,0,2,0,2
Azure Automation,0,2,0,2
Apex code,2,0,0,2
Android SDK,0,2,0,2
Angular (TypeScript),2,0,0,2
Storage Account,2,0,0,2
Spring Security,2,0,0,2
Shell/Bash,2,0,0,2
Shopify,2,0,0,2
Babel,2,0,0,2
Bash/Python,2,0,0,2
Bash: Expert,2,0,0,2
Bicep,0,2,0,2
BITBUCKET,0,2,0,2
Git: Expert,2,0,0,2
Fortran,0,2,0,2
IntegrationHub,0,2,0,2
Ionic,2,0,0,2
INTELLIJ,0,2,0,2
BTP,1,1,0,2
Oracle DB,2,0,0,2
Oracle Database,1,1,0,2
Network,2,0,0,2
Networking,2,0,0,2
Next JS,2,0,0,2
PHP: Pokročilý,2,0,0,2
PLC programming,2,0,0,2
OpenAI SDK,2,0,0,2
Java / Spring,2,0,0,2
Java 8 and higher,2,0,0,2
JUnit,2,0,0,2
Grid,2,0,0,2
PHP: Advanced,2,0,0,2
PERL,2,0,0,2
Testing,1,1,0,2
Thought Machine Vault,2,0,0,2
Dart,2,0,0,2
CSOM,0,2,0,2
Flow,2,0,0,2
Flow Designer,0,2,0,2
Docker and Containers,2,0,0,2
Docker: Advanced,2,0,0,2
React JS / TS,2,0,0,2
React/Next.js,2,0,0,2
Python or Go (Golang),2,0,0,2
SAP R/3 - Pokročilý,2,0,0,2
SAP S/4 HANA - Mierne pokročilý,2,0,0,2
SAS,1,1,0,2
SAP CLOUD,0,2,0,2
C/C++/Qt,2,0,0,2
SQL (Microsoft or Oracle),0,0,2,2
SQL/NoSQL,1,1,0,2
SAP MM,0,1,1,2
SQL - Pokročilý,2,0,0,2
RxJS,1,1,0,2
RSocket,2,0,0,2
Spring MVC,2,0,0,2
Spring ecosystem,2,0,0,2
MochaJS,2,0,0,2
Ms Windows Server,0,0,2,2
Microsoft Windows 10 and 11 operating systems,2,0,0,2
JavaScript/TypeScript/Node.js,2,0,0,2
Jest,2,0,0,2
Jest testing library,2,0,0,2
Jetpack,0,2,0,2
JavaScript-like logic,2,0,0,2
ARCGIS,0,2,0,2
UNIX/Linux OS: Advanced/Expert,2,0,0,2
UNIX/Linux operating systems,2,0,0,2
Unity,2,0,0,2
VB,2,0,0,2
UIKit / SwiftUI,0,2,0,2
TEST AUTOMATION,0,2,0,2
Microsoft Windows Server: Advanced/Expert,2,0,0,2
Angular JS,2,0,0,2
Angular.js,2,0,0,2
Angular 10,2,0,0,2
ASP .NET,2,0,0,2
ASP.NET (Framework,2,0,0,2
ASP.NET MVC Core,2,0,0,2
ASP.NET Web API,1,1,0,2
Next.js),2,0,0,2
OData,1,1,0,2
NoSQL Databases (e.g. MongoDB),0,0,2,2
UBUNTU,0,2,0,2
UI Automation,0,1,1,2
Angular 16+,2,0,0,2
VeriStand,0,0,2,2
Verilog,1,1,0,2
Visual Basic,1,1,0,2
Visual Basic for Applications (VBA),2,0,0,2
Visual Studio,2,0,0,2
TypeScript or JavaScript,2,0,0,2
Airflow/Cloud Composer,0,2,0,2
AD: Advanced,2,0,0,2
ADA,0,2,0,2
ADATTÁRHÁZ,0,2,0,2
AI,2,0,0,2
AIX,0,2,0,2
Microsoft Azure (App Service,2,0,0,2
Microsoft Dynamics CRM,2,0,0,2
VMware,1,1,0,2
VMware vSphere,2,0,0,2
VPN,0,2,0,2
ASP.NET Core Web API,0,1,1,2
Adobe Photoshop,2,0,0,2
JS/Typescript,0,2,0,2
databases,1,1,0,2
ABAP/4,1,1,0,2
Dynamic 365,2,0,0,2
EJB,2,0,0,2
ELK,2,0,0,2
ERP,0,2,0,2
Drupal,1,1,0,2
SAP BTP,1,1,0,2
SAP HANA,2,0,0,2
ReactJS: Advanced,2,0,0,2
SAP ERP: Advanced,2,0,0,2
Rest Assured,2,0,0,2
DSC,0,2,0,2
CUCUMBER,0,2,0,2
CUDA,0,2,0,2
Cache,2,0,0,2
SAP DDIC,2,0,0,2
SAP ERP,1,1,0,2
n8n,2,0,0,2
D3.js,2,0,0,2
WAN: Advanced,2,0,0,2
ANALYTICS,0,2,0,2
.net,0,2,0,2
.net Framework 4+,2,0,0,2
.net core 3.1+,2,0,0,2
WLAN,2,0,0,2
ABAP - Základy,2,0,0,2
MS-SQL,0,0,2,2
MSSQL: Advanced,2,0,0,2
Vue 3,2,0,0,2
Vue.JS,1,1,0,2
WAF,2,0,0,2
JavaScript (React,2,0,0,2
Java/Kotlin,1,1,0,2
Microsoft Office 365: Advanced,2,0,0,2
Microsoft Power BI: Advanced,2,0,0,2
TypeScript/JavaScript/React,2,0,0,2
TypeScript/Node.js,2,0,0,2
Typescript/Angular,2,0,0,2
Windows OS,0,0,2,2
Windows 2019-2025: Advanced,2,0,0,2
LangGraph,2,0,0,2
...),2,0,0,2
Julia,0,2,0,2
.NET 8 / Core,1,0,0,1
'Gradle'],1,0,0,1
'Grafana'],1,0,0,1
'Icinga',1,0,0,1
'Jaeger',1,0,0,1
'JavaScript',0,0,1,1
'Prometheus',1,0,0,1
'Puppet'],1,0,0,1
'Python'],1,0,0,1
'Spring Boot'],0,0,1,1
'Terraform',1,0,0,1
'TypeScript'],0,0,1,1
*.BAT),1,0,0,1
.C.,0,1,0,1
jQuiery,0,1,0,1
jquery,1,0,0,1
json,1,0,0,1
ktor,0,1,0,1
matplotlib,0,1,0,1
microservice architektúra,0,1,0,1
design patterns,1,0,0,1
function block diagrams),1,0,0,1
iOS/Android/multiplatform,1,0,0,1
clean code and unit testing,1,0,0,1
cloud infrastructure,0,1,0,1
node.js / npm,0,1,0,1
pandas: Advanced,1,0,0,1
pgSQL,0,0,1,1
postgresql,1,0,0,1
microservices,1,0,0,1
ABAP WebDynpro,0,0,1,1
ABAP-OO,0,1,0,1
ABAP/ABAP OO,0,1,0,1
ABAP: Skillful,1,0,0,1
ACCESS CHANGE MANAGEMENT,0,1,0,1
3D Studio Max,0,1,0,1
8,1,0,0,1
.Net Core 3.1,1,0,0,1
data modeling,1,0,0,1
data modeling),0,0,1,1
design pattern-ek,0,1,0,1
ZBasic,1,0,0,1
Základy,1,0,0,1
abas ERP,1,0,0,1
at least one programming language,0,1,0,1
batch files (*.CMD,1,0,0,1
Xamarin/MAUI,1,0,0,1
YAML,1,0,0,1
Yii2,1,0,0,1
WordPress: Pokročilý,1,0,0,1
Wordpress,0,1,0,1
XML (XSD,1,0,0,1
XML/HTML,1,0,0,1
container technologies,1,0,0,1
Vue: B1,1,0,0,1
VueJS/Angular,1,0,0,1
Visualforce pages,0,1,0,1
Vite,1,0,0,1
Vue.js (Nuxt),1,0,0,1
XPath),1,0,0,1
XQuery,1,0,0,1
XUnit,1,0,0,1
Linux/Unix/Windows Server,1,0,0,1
Linux: Basic,1,0,0,1
MatPlotLib,1,0,0,1
Material-UI,1,0,0,1
Matlab/Simulink,0,0,1,1
Maven / Gradle,1,0,0,1
Maven / Gradle: Intermediate,1,0,0,1
Meridian,1,0,0,1
Looker,1,0,0,1
Looker: Advanced,1,0,0,1
Low code / no code platformy,1,0,0,1
Linux Operating System,1,0,0,1
Linux Operating System: Expert,1,0,0,1
Linux scripting (RedHat,1,0,0,1
Linux servers (RHEL),1,0,0,1
Linux/UNIX,0,1,0,1
Language: UML,1,0,0,1
Laravel/LiveWire,0,1,0,1
MS Copilot,0,1,0,1
M365),0,0,1,1
MATLAB/Simulink,0,1,0,1
MIDDLEWARE,0,1,0,1
Linux: Základy,1,0,0,1
LlamaIndex,1,0,0,1
Lightning Components,1,0,0,1
Lightning Web Components,1,0,0,1
Lazarus,1,0,0,1
Level: A2,1,0,0,1
Level: Intermediate,1,0,0,1
Language: Spring,1,0,0,1
Language: Spring Boot 3,1,0,0,1
Language: TypeScript,1,0,0,1
Language: ABB robotics,1,0,0,1
MS SQL Server 2022,1,0,0,1
MSSQL),1,0,0,1
MS Office applications (Excel,0,0,1,1
MS Office: Excel,0,0,1,1
MS Power BI,1,0,0,1
Microsoft PowerApps,1,0,0,1
Microsoft PowerPoin,1,0,0,1
Language: SOAP,1,0,0,1
Language: SOQL,1,0,0,1
Language: Fanuc  robotics,1,0,0,1
Language: HTML,1,0,0,1
Language: KUKA robotics,1,0,0,1
Language: LabVIEW,1,0,0,1
Language: Node.js,1,0,0,1
Language: PHP,1,0,0,1
Joomla,1,0,0,1
Joomla: Advanced,1,0,0,1
Jquery,1,0,0,1
Language: PLC Siemens,1,0,0,1
Language: Programovacie jazyky robotov,1,0,0,1
Language: React,1,0,0,1
Language: ReactJS,1,0,0,1
Language: Rest API,1,0,0,1
MacOS,1,0,0,1
MS SQL 2019,1,0,0,1
MS SQL Server,1,0,0,1
KRL,1,0,0,1
Karel,1,0,0,1
Jetpack Compose,0,1,0,1
Jira Atlassian,1,0,0,1
Jira/Confluence/Azure DevOps,0,1,0,1
Jython,1,0,0,1
KANBAN,0,1,0,1
Microsoft Dynamics 365 Finance and Operations,0,0,1,1
Microsoft Dynamics CRM (Sales),0,1,0,1
Microsoft Excel - Advanced,1,0,0,1
Micro Focus ALM,1,0,0,1
Microservices architectúra,0,1,0,1
Microsoft Access,1,0,0,1
Kubernetes: Pokročilý,1,0,0,1
LINQ,0,1,0,1
Kibana,0,0,1,1
Kotlin/Java,1,0,0,1
Kotlin: Advanced,1,0,0,1
Kraken,0,1,0,1
Kubernetes (CKA,1,0,0,1
Kubernetes (Rancher/OpenShift),1,0,0,1
Microsoft Dynamics 365 CRM on-premises,0,1,0,1
JavaScript (AngularJS),1,0,0,1
JavaScript (Vue),0,1,0,1
JavaScript (Vue.js,1,0,0,1
Java: Intermediate,1,0,0,1
Java: Mierne pokročilý,1,0,0,1
Kubernetes / OpenShift,1,0,0,1
Kubernetes: Advanced (CKA,1,0,0,1
Microsoft SQL,0,1,0,1
Microsoft Technology Stack (MS Server,0,0,1,1
Microsoft Visual Studio,1,0,0,1
Microsoft Windows 10,1,0,0,1
Microsoft Excel: Expert,1,0,0,1
Microsoft Power Automate,1,0,0,1
Microsoft Power Bi,1,0,0,1
Microsoft Power Bi: Advanced,1,0,0,1
Jenkins / GitLab,1,0,0,1
Jenkins / GitLab: Advanced,1,0,0,1
JavaScript/TypeScript/Python,1,0,0,1
JavaScript/jQuery,1,0,0,1
JavaScript: B1,1,0,0,1
JavaScript: Basic,1,0,0,1
Java: Základy,1,0,0,1
MongoDB),0,1,0,1
NI DIAdem,1,0,0,1
NLTK,1,0,0,1
Jakarta EE,1,0,0,1
Java (J2EE),0,0,1,1
JPA/Hibernate,1,0,0,1
JQuery,0,1,0,1
JSPython,0,1,0,1
JavaScript: Základy,1,0,0,1
Name: Python,1,0,0,1
Name: SQL,1,0,0,1
Name: Swift,0,0,1,1
Nest.js,0,1,0,1
MySQL: Pokročilý,1,0,0,1
Mysql,0,1,0,1
NET,1,0,0,1
NETWORK PROJECT MANAGEMENT,0,1,0,1
Microsoft Analysis Services (OLAP),0,1,0,1
Microsoft Azure,1,0,0,1
Microsoft Azure: Expert,1,0,0,1
Microsoft Dynamics 365,0,1,0,1
NUnit,1,0,0,1
Name: Azure,0,1,0,1
Name: Databricks,0,1,0,1
Name: Java,0,1,0,1
Oracle 19,1,0,0,1
Oracle Application Express,0,1,0,1
Oracle Data Integrator (ODI),0,1,0,1
Oracle Databases,1,0,0,1
Oracle Linux),1,0,0,1
OpenAPI REST/HTTP Security - OWASP,1,0,0,1
OpenAPI/Javascript,1,0,0,1
OpenCV,1,0,0,1
Next.js (React),1,0,0,1
NextJS,0,1,0,1
Nexus,1,0,0,1
No-SQL,1,0,0,1
Networking Tools and Utilities: None,1,0,0,1
Networking: Expert,1,0,0,1
Next JS: B2,1,0,0,1
Oracle (PL-SQL),1,0,0,1
Nuxt 3,1,0,0,1
Nuxt.js: Intermediate,1,0,0,1
OAuth,1,0,0,1
ODATA,0,1,0,1
NoSQL (PostgreSQL,0,1,0,1
Node.js/JavaScript/TypeScript,1,0,0,1
Node.js/Nest.js,0,1,0,1
Nuke,0,1,0,1
Monitoring & Observability: ['ELK',1,0,0,1
MySQL/Maria DB: Advanced,1,0,0,1
Microsoft Windows 11,1,0,0,1
Microsoft Windows Server: Advanced/expert,1,0,0,1
Microsoft Word,1,0,0,1
Microsoft/Web technology stacks,1,0,0,1
NumPy: Advanced,1,0,0,1
Nuxt,1,0,0,1
Java 11/21,1,0,0,1
JUnit with Mockito,1,0,0,1
Odoo,1,0,0,1
Office,0,1,0,1
Office alkalmazások,0,0,1,1
Office365,1,0,0,1
OpenAI APIs,1,0,0,1
OOP,1,0,0,1
Java 8+,1,0,0,1
Java SE (Java 8 and newer),1,0,0,1
Java Script,1,0,0,1
Java Spring Boot,1,0,0,1
Java script,1,0,0,1
Java (Jetpack Compose),1,0,0,1
Java (Spring-Boot / Quarkus),1,0,0,1
Java - Základy,1,0,0,1
Illustrator or InDesign,1,0,0,1
Hybernate,0,1,0,1
Hyper-V,0,1,0,1
IBM DB2,1,0,0,1
IEC 61131,0,0,1,1
IEC61131-3,0,0,1,1
IICS,1,0,0,1
Java 8 or higher,1,0,0,1
OpenFlow,1,0,0,1
OpenStack,1,0,0,1
Oracle & MySQL,1,0,0,1
