Tool / Technology,Profesia,Profession,CVOnline,Total
PyTorch,17,21,0,38
Power Automate,21,7,8,36
Python,29,6,1,36
JAVASCRIPT,0,34,0,34
CRM,1,32,1,34
Angular,20,13,0,33
Snowflake,24,5,4,33
Cisco,28,0,5,33
OpenShift,32,0,0,32
TensorFlow,14,18,0,32
Nexus,26,5,0,31
JAVA,0,31,0,31
CSS,16,15,0,31
Microsoft PowerPoint,30,0,0,30
CONFLUENCE,0,30,0,30
BACKEND,0,30,0,30
SharePoint,21,4,4,29
BPMN,11,18,0,29
Gradle,27,2,0,29
Azure Data Factory,20,5,3,28
BI,1,27,0,28
SOAP,20,8,0,28
GitLab CI/CD,22,5,1,28
MS Project,20,7,0,27
Mobiltelefon,0,27,0,27
DATABASES,0,27,0,27
Jest,24,3,0,27
Kibana,22,4,1,27
SonarQube,24,3,0,27
CI/CD pipelines,13,10,3,26
NETWORK,0,26,0,26
Spark,21,2,3,26
REACT,0,25,0,25
HARDWARE,0,25,0,25
Apache Kafka,23,0,2,25
Agile,6,19,0,25
CLEAN CODE,0,25,0,25
SQL Server,18,5,2,25
Spring,18,6,0,24
Camunda,21,2,0,23
CI/CD pipeline,21,1,1,23
PROJECT MANAGEMENT,0,23,0,23
DevOps,13,10,0,23
MACHINE LEARNING,0,23,0,23
ISTQB,1,22,0,23
WINDOWS,0,22,0,22
SAP ERP,5,9,8,22
Fortinet,20,0,2,22
ITIL,2,20,0,22
ANALYTICS,0,22,0,22
Veeam,17,0,4,21
Puppet,19,2,0,21
Splunk,15,3,3,21
Office 365,16,3,2,21
JMeter,9,10,2,21
TypeScript,17,3,0,20
Palantir Foundry,19,1,0,20
Robot Framework,19,1,0,20
SAP S/4 HANA,8,8,4,20
CI,0,20,0,20
ORACLE,3,16,0,19
Laravel,11,8,0,19
FastAPI,17,1,1,19
Bash,16,2,1,19
TCP/IP,16,0,3,19
JavaScript,15,4,0,19
SoapUI,15,3,0,18
TROUBLESHOOTING,0,18,0,18
Airflow,10,8,0,18
SAP Analytics Cloud,3,12,3,18
Power Apps,10,6,2,18
HTML5,6,10,2,18
Webpack,17,1,0,18
MS Windows,10,0,8,18
ISO,0,18,0,18
DNS,15,3,0,18
BigQuery,15,3,0,18
SignalR,17,0,0,17
IIS,17,0,0,17
M365,11,4,2,17
POWERPOINT,0,17,0,17
JENKINS,0,17,0,17
Azure AD,13,1,3,17
Appium,9,6,2,17
CloudFormation,14,3,0,17
MariaDB,16,1,0,17
JUnit,12,3,2,17
CHANGE MANAGEMENT,0,17,0,17
Hyper-V,16,0,1,17
Intune,15,1,0,16
Bitbucket,9,3,4,16
GraphQL,13,1,2,16
Helm charts,15,1,0,16
DATABASE,0,16,0,16
R,6,10,0,16
Miro,7,9,0,16
DEBUGGING,0,16,0,16
VPN,5,8,3,16
Microsoft Active Directory,14,0,2,16
Azure Databricks,11,3,1,15
Workday,8,5,2,15
SAP Fiori,9,2,4,15
Vite,14,1,0,15
Visual Studio,11,3,1,15
Visio,13,2,0,15
S/4HANA,12,2,1,15
DHCP,14,1,0,15
Dynatrace,11,1,3,15
ElasticSearch,14,1,0,15
Power Platform,10,5,0,15
LangChain,15,0,0,15
UiPath,11,3,1,15
OpenAI,14,0,1,15
FRONTEND,0,15,0,15
UAT,3,12,0,15
Outlook,9,2,4,15
OpenTelemetry,14,0,1,15
OpenStack,12,3,0,15
CloudWatch,9,3,3,15
ELK,13,1,1,15
WordPress,13,2,0,15
C,4,9,1,14
SAP HANA,6,3,5,14
SPRING,0,14,0,14
Apache Spark,8,4,2,14
Android Studio,14,0,0,14
Symfony,12,2,0,14
SAP ECC,9,4,1,14
S3,12,2,0,14
Palo Alto,13,0,1,14
Next.js,10,3,0,13
REST APIs,10,3,0,13
VMware vSphere,13,0,0,13
MS Azure,13,0,0,13
Android,7,0,6,13
Azure Cloud,10,1,2,13
NOSQL,0,13,0,13
Tomcat,12,0,1,13
Logstash,12,1,0,13
Lambda,12,1,0,13
Node.js,10,3,0,13
Dagster,12,1,0,13
SCCM,8,2,3,13
GitLab CI/CD pipelines,13,0,0,13
Swagger,12,0,0,12
n8n,9,3,0,12
Elastic Stack,11,1,0,12
KANBAN,0,12,0,12
Xcode,11,0,1,12
ELK stack,10,2,0,12
Loki,12,0,0,12
Monitor (2 db),0,12,0,12
TEST AUTOMATION,0,12,0,12
NODE.JS,0,12,0,12
Oracle DB,10,1,1,12
Google Workspace,8,2,2,12
SVN,2,9,1,12
SAP BTP services,0,12,0,12
Google Analytics,8,4,0,12
ANSIBLE,0,12,0,12
Cucumber,11,1,0,12
Teams,9,0,3,12
Outlook),9,1,2,12
Keycloak,10,2,0,12
Cassandra,10,2,0,12
Apache,11,0,1,12
KVM,11,0,0,11
MacOS,2,9,0,11
@SAP. MACHINE LEARNING,0,11,0,11
Semantic Kernel,11,0,0,11
Scrum,2,9,0,11
CMS,3,8,0,11
Windows 11,10,0,1,11
Microservices,11,0,0,11
SIEM,7,3,1,11
SAP Datasphere,3,8,0,11
AI,6,5,0,11
ANDROID,0,11,0,11
MS Office (Excel,9,1,1,11
Monitor (1 db),0,11,0,11
Hadoop,11,0,0,11
SAP ANALYTICS CLOUD,0,11,0,11
Mockito,7,2,2,11
S/4 HANA,2,3,6,11
Qlik Sense,11,0,0,11
Power Query,11,0,0,11
Bootstrap,9,2,0,11
C++,1,7,3,11
LDAP,5,6,0,11
POWERSHELL,0,11,0,11
SERVICENOW,0,10,0,10
MS Office (Word,10,0,0,10
Microsoft Project,9,1,0,10
EWM,1,1,8,10
GitHub Copilot,5,5,0,10
Chef,8,2,0,10
UNIX,1,9,0,10
DB,10,0,0,10
ABAP,2,6,2,10
Level: None,10,0,0,10
Vue.js,4,6,0,10
OpenAPI,10,0,0,10
DOORS,0,10,0,10
Java,7,3,0,10
JMETER,2,8,0,10
SAP BW,3,7,0,10
maven,10,0,0,10
Sharepoint,8,0,2,10
Oracle Database,9,0,1,10
Powershell,5,3,2,10
Microsoft Fabric,5,4,1,10
Saltstack,10,0,0,10
SAP MM,9,0,1,10
SAP HCM,5,5,0,10
API Gateway,7,3,0,10
Vault,6,4,0,10
Harbor,10,0,0,10
TSM,10,0,0,10
MS Agent Framework,10,0,0,10
ADATTÁRHÁZ,0,10,0,10
Bamboo,8,0,2,10
Openshift,8,2,0,10
Workstation,0,10,0,10
MS Visio,7,1,2,10
Tailwind CSS,7,2,1,10
Entra,10,0,0,10
Entity Framework,6,4,0,10
Microsoft Power Platform,5,2,3,10
PowerPoint),9,0,0,9
Maven/Gradle,7,1,1,9
POSTMAN,0,9,0,9
PMP,0,9,0,9
SAP PP,6,0,3,9
Power BI),8,1,0,9
NoSQL databases,9,0,0,9
Centreon,9,0,0,9
Artifactory,3,2,4,9
IDEA,9,0,0,9
JPA,8,1,0,9
Jenkins),5,4,0,9
MS SQL Server,9,0,0,9
BitBucket,7,2,0,9
AD,5,0,4,9
Confluence),7,1,1,9
Wireshark,8,1,0,9
VIRTUALIZATION,0,9,0,9
Wazuh,9,0,0,9
dbt,2,7,0,9
Headset,0,9,0,9
Qlik,7,1,1,9
Sketch,7,2,0,9
Liquibase,8,0,1,9
Concourse CI,9,0,0,9
GitHub actions,9,0,0,9
WLAN,1,0,8,9
WM,2,0,7,9
Fiori,8,0,1,9
Pandas,6,3,0,9
SaltStack,9,0,0,9
Tosca,9,0,0,9
Salt,8,0,0,8
IAM,8,0,0,8
Infrastructure as Code,6,2,0,8
LangGraph,8,0,0,8
Proxmox,8,0,0,8
SAP WM,3,2,3,8
Flask,6,2,0,8
LE,0,1,7,8
MS PROJECT,0,8,0,8
git/gitlab,8,0,0,8
Microsoft SharePoint,8,0,0,8
Microsoft Visio,7,0,1,8
Cloud,7,0,1,8
AutoCAD,7,1,0,8
Odoo,8,0,0,8
SAP CO,4,1,3,8
DATA MANAGEMENT,0,8,0,8
IntelliJ IDEA,3,4,1,8
RDS,6,2,0,8
SAP R/3,5,3,0,8
Hibernate,6,2,0,8
CSS3,2,4,2,8
React Testing Library,7,1,0,8
AzureDevops,8,0,0,8
MVC,1,7,0,8
Red Hat OpenShift,8,0,0,8
Agilis,0,8,0,8
FIGMA,7,1,0,8
APIs,4,1,3,8
Exchange,4,0,4,8
DYNAMICS,0,8,0,8
Mocha,7,1,0,8
SAP ANALYTICS SECURITY,0,8,0,8
Slack,4,4,0,8
TeamCity,6,2,0,8
OpenSearch,4,4,0,8
Nginx,8,0,0,8
Trello,7,1,0,8
CI/CD tools,7,0,1,8
Apache Airflow,8,0,0,8
ELK Stack,7,1,0,8
IOS,0,8,0,8
SAP BTP,3,5,0,8
Nagios,8,0,0,8
Bicep,6,2,0,8
@SAP. CHANGE MANAGEMENT,0,8,0,8
CMake,5,3,0,8
SQL databases,6,2,0,8
Datadog,3,3,2,8
MAVEN,0,8,0,8
Bluetooth,0,0,8,8
Clean Code,0,7,0,7
TestRail,6,1,0,7
jQuery,6,1,0,7
DBT,4,3,0,7
VUE,0,7,0,7
BACKUP,0,7,0,7
Machine Learning,0,7,0,7
Composer,6,1,0,7
CLOUD SECURITY,0,7,0,7
Adobe Creative Suite,5,2,0,7
Microsoft Office - Advanced,7,0,0,7
Elastic,7,0,0,7
Fortify,7,0,0,7
Exchange Online,6,0,1,7
CLOUD DEVOPS,0,7,0,7
Tempo,7,0,0,7
Windows 10,7,0,0,7
Okta,6,1,0,7
TABLEAU,0,7,0,7
NodeJS,6,0,1,7
WebSocket,6,1,0,7
FortiGate,7,0,0,7
SAP FI/CO,7,0,0,7
AUTOMATED TESTS,0,7,0,7
Storybook,5,1,1,7
Administrácia LAN/WAN,7,0,0,7
SECURITY TESTING,0,7,0,7
SELENIUM,0,7,0,7
UNIX/Linux,7,0,0,7
SAP ANALYTICS CLOUD @SAP. CHANGE MANAGEMENT,0,7,0,7
Groovy,3,4,0,7
O365,6,0,1,7
PMI,0,7,0,7
Microsoft Dynamics 365,2,3,2,7
Elasticsearch & MongoDB,7,0,0,7
DevOps tools,7,0,0,7
MS Office 365,7,0,0,7
AzureDevOps,7,0,0,7
Quarkus,6,1,0,7
MQ,4,1,2,7
SQS,5,0,2,7
Yocto,6,1,0,7
OTEL,7,0,0,7
IntelliJ,7,0,0,7
OUTLOOK,0,7,0,7
Celery,7,0,0,7
SPARK,0,7,0,7
SOAP UI,7,0,0,7
Azure cloud services,6,1,0,7
SAP SuccessFactors,2,3,2,7
Zustand,7,0,0,7
Adobe Photoshop,7,0,0,7
GitOps,5,2,0,7
Vitest,6,1,0,7
LabVIEW,7,0,0,7
LlamaIndex,7,0,0,7
Photoshop,7,0,0,7
Microsoft Teams,7,0,0,7
Glue,6,1,0,7
Graylog,7,0,0,7
Docker/Podman,7,0,0,7
LLamaIndex,7,0,0,7
Canva,6,1,0,7
VISIO,0,7,0,7
Cloud Foundry,5,1,0,6
AUTOMATIZÁLÁS,0,6,0,6
LSMW,5,1,0,6
MONGODB,0,6,0,6
UC4,6,0,0,6
Turborepo,6,0,0,6
Delta Lake,4,2,0,6
Microsoft Intune,6,0,0,6
Jama,4,2,0,6
Jasmine,6,0,0,6
Databases,5,1,0,6
FreeRTOS,6,0,0,6
Django,1,5,0,6
CMDB,6,0,0,6
Microsoft Hyper-V,3,0,3,6
Docker/Kubernetes,4,0,2,6
SAP Signavio,4,2,0,6
SAP RISE incl. Clean Core principles and SAP BTP,0,6,0,6
webpack,4,2,0,6
SAP GRC,6,0,0,6
OneDrive,5,0,1,6
SharePoint Online,6,0,0,6
Istio,2,4,0,6
NOSQL DATABASES,0,6,0,6
SAP CLOUD,0,6,0,6
Azure DevOps),4,0,2,6
Azure Functions,5,0,1,6
SQLite,6,0,0,6
nUnit,6,0,0,6
DYNAMICS CRM,0,6,0,6
ENTERPRISE ARCHITECT,0,6,0,6
Redux,5,1,0,6
Azure services,6,0,0,6
Red Hat,4,1,1,6
ReadyAPI,6,0,0,6
jUNIT/Mockito SQL,6,0,0,6
RTOS (e.g.,6,0,0,6
iOS,6,0,0,6
RESTful API,5,1,0,6
Microsoft Entra ID,6,0,0,6
HubSpot,3,2,1,6
JBoss,6,0,0,6
Microsoft Visual Studio,6,0,0,6
Adobe XD,5,1,0,6
Junit,6,0,0,6
PySpark,5,1,0,6
Zephyr),6,0,0,6
Bedrock,5,1,0,6
AGILE PROJECT MANAGEMENT,0,6,0,6
Jupyter Notebook,6,0,0,6
PowerApps,3,0,3,6
Power Point,3,0,3,6
XML/JSON,6,0,0,6
Administrácia Windows serverov,6,0,0,6
TFS,4,1,1,6
Word),3,1,2,6
Windows server,6,0,0,6
Electron,4,2,0,6
TIA Portal,5,1,0,6
TM,0,0,6,6
AJAX,6,0,0,6
MS PowerPoint,6,0,0,6
Microsoft Power Automate,2,2,2,6
Windows OS,3,0,3,6
Palantir,6,0,0,6
PRTG,6,0,0,6
Websocket,6,0,0,6
Microsoft Office (Excel,6,0,0,6
APACHE,0,6,0,6
Gherkin,5,1,0,6
WebInspect,6,0,0,6
Microsoft Access,6,0,0,6
PHP,1,5,0,6
Ceph,4,2,0,6
WPF,4,2,0,6
PANDAS,0,6,0,6
ChatGPT,5,1,0,6
Kanban,0,6,0,6
MLflow,6,0,0,6
CLOUD API,0,6,0,6
VMWARE,0,6,0,6
ASSEMBLY,0,6,0,6
CUDA,1,4,0,5
OpenCV,4,1,0,5
Springboot,2,3,0,5
MDM,2,0,3,5
CI/CD procesy,5,0,0,5
Ranorex,5,0,0,5
NATS.IO,5,0,0,5
10,5,0,0,5
SnapLogic,5,0,0,5
ESLint,5,0,0,5
JUNIT,0,5,0,5
Filebeat,5,0,0,5
Impala,5,0,0,5
SAP IS-U,5,0,0,5
@SAP. AGILE,0,5,0,5
EC2,4,1,0,5
web services,3,2,0,5
SuccessFactors,2,1,2,5
qTest,5,0,0,5
SAP LE,0,0,5,5
SAP S4 HANA,5,0,0,5
pandas,5,0,0,5
CYPRESS,0,5,0,5
Angular CLI,4,1,0,5
Apigee,4,1,0,5
Autogen,5,0,0,5
GDPR,0,5,0,5
BASH,0,5,0,5
Claude,2,3,0,5
k6,5,0,0,5
Redmine,3,2,0,5
CISCO,2,3,0,5
Security Weaver,5,0,0,5
ClickUp,1,4,0,5
gRPC,5,0,0,5
docker,5,0,0,5
RPA,0,3,2,5
MS Access,3,2,0,5
Microsoft 365 services,5,0,0,5
Zephyr,3,2,0,5
RMAN,1,0,4,5
Alteryx,4,1,0,5
ServiceNOW,5,0,0,5
Manufacturing execution systems (MES),5,0,0,5
Azure/AWS/GCP,5,0,0,5
Service Now,3,2,0,5
GenAI Hub,0,5,0,5
Spring Framework,4,1,0,5
Automation Anywhere,4,0,1,5
SAP S/4HANA Public Cloud,2,3,0,5
Windows Installer,5,0,0,5
Windows 10/11,5,0,0,5
ANGULAR,0,5,0,5
Fortigate,5,0,0,5
Azure Devops,5,0,0,5
REST integráciu,5,0,0,5
ERP systems,2,1,2,5
SAP SuccessFactors Employee Central,5,0,0,5
API and CLI interfaces,5,0,0,5
SAP ACCESS,0,5,0,5
SAP ABAP,1,4,0,5
BACKEND TESTING,0,5,0,5
Qt,2,3,0,5
PyTest,5,0,0,5
Synapse,2,3,0,5
SAP TM,0,0,5,5
Eclipse,5,0,0,5
SASS,3,2,0,5
Google Sheets,4,1,0,5
Siemens TIA Portal,5,0,0,5
MySQL/MARIA DB,5,0,0,5
Atlassian Bamboo,5,0,0,5
SCSS,5,0,0,5
SFTP,5,0,0,5
JAZZ,5,0,0,5
Blue Prism,5,0,0,5
Azure CLI,3,2,0,5
Unreal Engine,0,0,5,5
Microsoft Dynamics 365 Finance & Operations,3,0,2,5
SAP Gateway,2,3,0,5
Emblem/Radar/Earnix,5,0,0,5
Liferay,5,0,0,5
Kubernetes),5,0,0,5
PaloAlto,5,0,0,5
SWIFT,0,5,0,5
MS Power BI,4,1,0,5
Graffana,5,0,0,5
Atlassian products (Jira,5,0,0,5
Taskweave,5,0,0,5
CosmosDB,5,0,0,5
Microsoft Dynamics CRM,3,1,1,5
ServiceNow platform,4,1,0,5
Microservices architecture,5,0,0,5
CA,5,0,0,5
AZURE DEVOPS,0,5,0,5
KOTLIN,0,5,0,5
PKI,5,0,0,5
FortiAuthenticator,5,0,0,5
Event-driven development,5,0,0,5
SQL/NoSQL databases,5,0,0,5
Ubiquiti,4,0,1,5
Mongo,4,1,0,5
CD,0,5,0,5
Azure SQL,5,0,0,5
AZURE BI,0,5,0,5
VISUAL STUDIO,0,5,0,5
Isaac Sim,1,4,0,5
Expo,5,0,0,5
Cursor,1,4,0,5
VS Code,2,3,0,5
NoSQL,3,2,0,5
CrewAI,5,0,0,5
INCIDENT MANAGEMENT,0,5,0,5
Testrail,5,0,0,5
EKS,4,0,0,4
Sentry,4,0,0,4
HP ALM,4,0,0,4
React Hook Form,2,1,1,4
Sonatype Nexus repositories,4,0,0,4
Dynamics 365,4,0,0,4
Sparx Enterprise Architect,4,0,0,4
Spotfire,0,2,2,4
JDBC,0,4,0,4
HP,3,0,1,4
Radius,4,0,0,4
SAP QM,4,0,0,4
Agentforce,3,0,1,4
Ansible / Terraform / Puppet,4,0,0,4
Jire,4,0,0,4
Siebel,4,0,0,4
SAP Business Data Cloud,0,4,0,4
RESTAPI,4,0,0,4
JBoss EAP,4,0,0,4
Microsoft Copilot Studio,4,0,0,4
CUCUMBER,0,4,0,4
Hive,4,0,0,4
MS AD,4,0,0,4
REGRESSION TESTING,0,4,0,4
Magento,4,0,0,4
Linux OS,3,1,0,4
BITBUCKET,0,4,0,4
ETL,2,2,0,4
Azure DevOps Server,3,1,0,4
RDF,3,1,0,4
Azure Datalake,4,0,0,4
Azure Data Explorer,4,0,0,4
Javascript,3,1,0,4
Microsoft Dynamics 365 Business Central,3,0,1,4
SAP SD,4,0,0,4
Scikit,4,0,0,4
Authentication,4,0,0,4
Google Cloud Platform (GCP),1,1,2,4
Cambridge Semantics,4,0,0,4
Babel,4,0,0,4
...),3,0,1,4
Adobe Illustrator,4,0,0,4
Data Factory,3,1,0,4
Checkpoint,4,0,0,4
INTELLIJ,0,4,0,4
.NET,1,1,2,4
SAP UI5,4,0,0,4
JSF,3,1,0,4
Docker and containerization concepts,4,0,0,4
Newman,4,0,0,4
PromQL,4,0,0,4
OpenAI API,3,0,1,4
SASS/SCSS,4,0,0,4
LAN,1,3,0,4
Freemarker templates,4,0,0,4
Adobe Creative Cloud,3,1,0,4
NFS authorization management,0,0,4,4
Atlassian JIRA and Confluence,4,0,0,4
Microsoft Server,0,0,4,4
Microsoft Dynamics 365 F&O,2,2,0,4
Atlassian JIRA,1,3,0,4
CI/CD tools (e.g.,4,0,0,4
Open LDAP,4,0,0,4
Kogito,4,0,0,4
PowerPivot,0,2,2,4
Azure Event Hub / Kafka,4,0,0,4
Metaphactory,4,0,0,4
DB layer,4,0,0,4
Karma,4,0,0,4
Google Tag Manager,4,0,0,4
EDI,1,2,1,4
NestJS,2,0,2,4
Low-Code Development,0,2,2,4
SageMaker),4,0,0,4
Gulp,4,0,0,4
JBOSS,4,0,0,4
Low-code,0,2,2,4
SERVICE MANAGEMENT,0,4,0,4
NetApp,4,0,0,4
LAN/WAN,2,0,2,4
Blazor,4,0,0,4
pytest,4,0,0,4
Android SDK,4,0,0,4
Bloomreach,4,0,0,4
MS-Office,1,1,2,4
B2C),4,0,0,4
IBM DB2,4,0,0,4
pulumi for IaC,4,0,0,4
LARAVEL,0,4,0,4
nginx,4,0,0,4
GA4,4,0,0,4
message based communication,4,0,0,4
SSH,4,0,0,4
make,3,1,0,4
DevOps Center,3,1,0,4
K6,4,0,0,4
Postfix,2,0,2,4
Podman,2,1,1,4
No-code,0,2,2,4
NPM,3,1,0,4
Apache Drools,4,0,0,4
iPhone,0,4,0,4
Desktop PC,0,4,0,4
ManageEngine,1,0,3,4
Keboola,4,0,0,4
Enterprise Resource Planning,0,0,4,4
NPM/Yarn,4,0,0,4
Office,2,1,1,4
GPO,4,0,0,4
Zscaler,3,0,1,4
Tailwind,1,3,0,4
Flowise,4,0,0,4
Microsoft Entra ID (B2B,4,0,0,4
SNS,2,0,2,4
Entity Framework Core,3,1,0,4
ZFS,4,0,0,4
Business Intelligence,0,2,2,4
Level of Expertise: Pokročilý,4,0,0,4
Azure Application Insights,4,0,0,4
Xray,4,0,0,4
Microsoft Power Apps,0,2,2,4
JAX,0,4,0,4
Akka,4,0,0,4
Entra ID (Azure AD),4,0,0,4
Gatling,1,3,0,4
AI tools,2,2,0,4
Type: Cloud-based data lakehouse,0,4,0,4
Windows Services,4,0,0,4
MS Teams,4,0,0,4
Microsoft Azure Active Directory (AD),0,0,4,4
MIDDLEWARE,0,4,0,4
OAuth2/OpenID Connect,4,0,0,4
Copilot Studio,2,0,2,4
Cloud technologies and Infrastructure (preferably AWS),4,0,0,4
WSUS,4,0,0,4
Log Analytics and Azure Monitor,4,0,0,4
LLMs,2,2,0,4
UI5,4,0,0,4
Notion,1,2,1,4
WEBService Oriented Architecture,4,0,0,4
PHPUnit,4,0,0,4
KUBERNETES,0,4,0,4
VueJS,3,1,0,4
MochaJS,4,0,0,4
Azure Service Bus,4,0,0,4
CASE tools,4,0,0,4
SAP @SAP,0,4,0,4
Ubuntu,4,0,0,4
MuleSoft,2,1,1,4
SAP CRM,1,2,1,4
Kibana),4,0,0,4
Ubuntu Server,4,0,0,4
CDK,2,2,0,4
Excel),4,0,0,4
SAP HANA Cloud,0,4,0,4
Check Point,4,0,0,4
MS 365,3,1,0,4
SAP Implementation,0,0,4,4
RxJS,3,1,0,4
Microsoft Office (Word,3,1,0,4
ASP.NET,4,0,0,4
CyberArk,4,0,0,4
OracleDB,4,0,0,4
Apache NiFi,2,2,0,4
MRP,4,0,0,4
Oracle databases,3,1,0,4
Sonar,2,2,0,4
AWS services (EC2,4,0,0,4
Networking,4,0,0,4
Oracle RAC,1,0,3,4
CI/CD (GitHub),4,0,0,4
Oracle EM Cloud control,4,0,0,4
ASM,1,0,3,4
ARM templates,3,1,0,4
SAP CPI,1,3,0,4
SAP FIORI,4,0,0,4
IFS CL,4,0,0,4
Oracle APEX,2,2,0,4
Git/GitHub,4,0,0,4
Node,4,0,0,4
SPSS,2,2,0,4
Kanoah,4,0,0,4
Jenkins CI,4,0,0,4
EA,4,0,0,4
IoT,0,4,0,4
Veeam Backup & Replication,3,0,1,4
VisualStudio,2,0,2,4
Neo4j,4,0,0,4
FIORI,2,0,2,4
API first approach,4,0,0,4
Postman Enterprise,4,0,0,4
logging,3,0,0,3
macOS,2,0,1,3
mariadb,3,0,0,3
monitoring,1,2,0,3
npm,3,0,0,3
.HTML,0,3,0,3
numpy,3,0,0,3
oVirt,3,0,0,3
php-fpm,3,0,0,3
Framer,1,2,0,3
redux,3,0,0,3
scikit-learn,3,0,0,3
service mapping,3,0,0,3
shell (bash) scripting in Linux,3,0,0,3
vulnerability management,3,0,0,3
@ADOBE,0,3,0,3
webes alkalmazások,0,0,3,3
workflows,3,0,0,3
Informatica,3,0,0,3
A/B Testing Tools,3,0,0,3
Claude Code,2,1,0,3
Clean Core principles,0,3,0,3
MS SQL),3,0,0,3
ADOBE,0,3,0,3
ADOBE CLOUD,0,3,0,3
Micro-frontends,3,0,0,3
Cloud DWH solutions,3,0,0,3
GWT,0,3,0,3
Gemini,2,1,0,3
Cloud technologies,1,2,0,3
ALB,3,0,0,3
Cloudflare,3,0,0,3
API Gateway (Kong/Apigee/NGINX),3,0,0,3
Ionic,2,1,0,3
Commvault,3,0,0,3
ARM,3,0,0,3
Isaac Lab,1,2,0,3
Git/Gitlab,2,1,0,3
ASP.NET Razor,3,0,0,3
AWS CDK,2,1,0,3
AWS cloud services,2,1,0,3
Crowdstrike,3,0,0,3
AWS ekosystém,3,0,0,3
AWS),1,0,2,3
Cypress.io,3,0,0,3
Cypress/Playwright,3,0,0,3
AZURE CLOUD,0,3,0,3
vmWare,1,0,2,3
Active Directory (Windows),3,0,0,3
GitOps and CI/CD processes,3,0,0,3
ActiveDirectory,3,0,0,3
ActiveMQ,3,0,0,3
Gitflow,2,1,0,3
Github Actions,3,0,0,3
Gitlab CI,3,0,0,3
Gitlab CI/CD,3,0,0,3
Google,3,0,0,3
DRBD,3,0,0,3
MS Azure Cloud technologies,3,0,0,3
Allure,2,1,0,3
Dapper,3,0,0,3
Data Cloud,2,1,0,3
Anaplan,2,1,0,3
Data Guard,0,0,3,3
JPA/Hibernate,2,1,0,3
MS Windows Server,2,1,0,3
Google Search Console,0,3,0,3
Database,1,1,1,3
Apache CXF,3,0,0,3
Maria DB,3,0,0,3
Apache Flink,3,0,0,3
Dataiku,3,0,0,3
Apache Tomcat,3,0,0,3
Level of Familiarity: Familiar,0,3,0,3
Debian,2,1,0,3
Level of Proficiency: Advanced,3,0,0,3
Google),3,0,0,3
Level: Intermediate,3,0,0,3
Application Insights,3,0,0,3
JUnit tests,3,0,0,3
Jaeger,3,0,0,3
DigitalOcean,3,0,0,3
Asana,2,1,0,3
Atlassian,2,1,0,3
Microservice,0,2,1,3
Docker & Kubernetes,3,0,0,3
Atlassian Jira,2,0,1,3
Atlassian termékek,0,3,0,3
HARDWARE TESTING,0,3,0,3
Java Microprofile/Spring boot,3,0,0,3
Avigilon,3,0,0,3
Jenkins / GitLab,3,0,0,3
Azure Active Directory,3,0,0,3
Azure Cloud services,2,1,0,3
Azure Cosmos NoSQL,3,0,0,3
Azure Data Lake,3,0,0,3
Azure DevOps (ADO),2,1,0,3
Azure DevOps Agile processes,3,0,0,3
Azure Ecosystem,3,0,0,3
HTTP/REST,3,0,0,3
Azure Kubernetes Services,3,0,0,3
