Language Requirement,Profesia,Profession,CVOnline,Total
Anglický jazyk - Pokročilý (C1),4,0,0,4
Deutsch: sehr gut,0,0,4,4
Slovak: C1+,4,0,0,4
Swedish: C1-C2,4,0,0,4
English: native,0,4,0,4
Language: Czech,4,0,0,4
German: optional,3,1,0,4
CEFR Level: null,0,0,3,3
Active Slovak (C1),3,0,0,3
Czech/Slovak: B2,3,0,0,3
English: Excellent,0,3,0,3
English: C1/C2,1,2,0,3
English: CEFR B2,0,2,1,3
Level: CEFR not specified,0,2,1,3
Level: Pokročilý (C1),3,0,0,3
CEFR Level: Fluent,0,3,0,3
Czech: Advanced (C1),3,0,0,3
English - Proficiency Level C1,3,0,0,3
English (B1),3,0,0,3
Russian: B2,0,3,0,3
level: CEFR B2,0,3,0,3
Nemecký jazyk: Mierne pokročilý (B1),3,0,0,3
Német: középfok,0,3,0,3
Nemecký jazyk - Mierne pokročilý (B1),3,0,0,3
Level: Mierne pokročilý (B1),3,0,0,3
English: B2: None,3,0,0,3
German: B1-B2,1,2,0,3
JavaScript,2,0,1,3
German: advantage,3,0,0,3
English: Intermediate,2,0,1,3
English: Upper-intermediate,3,0,0,3
English: Mildly advanced (B1),3,0,0,3
Language: C,0,3,0,3
Anglický jazyk: B1,3,0,0,3
French: Fluent,2,0,1,3
German: A2,3,0,0,3
German: Advanced,2,0,1,3
Ukrainian: B2,1,2,0,3
Danish: C1-C2,3,0,0,3
Anglický jazyk: Pokročilý (C1),3,0,0,3
Angol,0,0,3,3
Anglický jazyk: B2,2,0,0,2
Angol nyelv - Alapszint (A2),2,0,0,2
TypeScript,2,0,0,2
Czech: C2,2,0,0,2
French: Native,0,2,0,2
Deutsch (Wort und Schrift),0,0,2,2
Slovak: C1: None,2,0,0,2
Slovak: C2: None,2,0,0,2
level: B1,1,1,0,2
Slovak: B2+,2,0,0,2
German: B2 or C1,2,0,0,2
French: Native speaker,0,2,0,2
German: fluent,0,2,0,2
German: nice to have,0,2,0,2
Holland: B2,0,2,0,2
Italian: C1,0,2,0,2
German: Preferred,0,2,0,2
German: Strong plus,0,2,0,2
German: aktívna,2,0,0,2
German: Optional,2,0,0,2
German: Good,0,2,0,2
German: Intermediate,0,2,0,2
German: Native speaker,0,2,0,2
Language: C++,0,2,0,2
Italian: Native speaker,0,2,0,2
Hungarian: native,2,0,0,2
Language: Nemecký jazyk,2,0,0,2
Language: French,0,2,0,2
German: CEFR level not specified,0,0,2,2
German: Fluency (spoken and written),0,2,0,2
German: C2,1,1,0,2
Level: Native,0,1,1,2
Level: CEFR C1,2,0,0,2
Level: Intermediate (B1),2,0,0,2
Level: A1,1,0,1,2
Level: Stredne pokročilý (B2),2,0,0,2
English: Alapszintű,0,0,2,2
English: B2/C1,2,0,0,2
English: mandatory,2,0,0,2
English: intermediate,1,0,1,2
English: aktívny,2,0,0,2
English: communication level,0,2,0,2
English: aktívna,2,0,0,2
English: Mandatory,2,0,0,2
Német: B2,0,1,1,2
Polish: B2,0,2,0,2
level: C1,0,2,0,2
level: C2,2,0,0,2
Český jazyk - Expert (C2),2,0,0,2
English (B2),0,2,0,2
English (Wort und Schrift),0,0,2,2
Dutch: B2,1,1,0,2
Englisch,0,0,2,2
Anglický jazyk - Středně pokročilý (B2),2,0,0,2
Spanish: C1,1,1,0,2
CEFR Level: Expert (C2),2,0,0,2
Slovenský jazyk: B2,2,0,0,2
Magyar anyanyelvi szint,0,2,0,2
Level: középfok,0,2,0,2
Magyar nyelv - Középszint (B2),2,0,0,2
English: Fluency (spoken and written),0,2,0,2
Language: Szlovák,2,0,0,2
Level: B,0,0,2,2
angol,0,0,1,1
Ukrainian: C2,1,0,0,1
German: Beneficial,0,1,0,1
German: B,1,0,0,1
German: (advantage but not mandatory),1,0,0,1
German: Confident intermediate or higher,0,1,0,1
German: Business,0,1,0,1
German: Business fluent,1,0,0,1
German: C1-C2,0,0,1,1
German: B2-C1,0,0,1,1
German (B2),0,1,0,1
French: unknown,0,1,0,1
French: optional,1,0,0,1
French: CEFR unknown,0,0,1,1
Slovak: communicative level,1,0,0,1
Slovak: Stredne pokročilý (B2),1,0,0,1
Slovak: Proficiency (C2),1,0,0,1
Slovak: Native,1,0,0,1
Slovak: None,1,0,0,1
Slovak: C1 - C2,1,0,0,1
Slovak: C1-C2,1,0,0,1
Deutsch: B1,1,0,0,1
Slovak: B1: None,1,0,0,1
Deutsch: C1,1,0,0,1
Czech: Fluent,1,0,0,1
Czech: Intermediate (B2),1,0,0,1
Czech: Native,1,0,0,1
Czech: Proficiency (C2),1,0,0,1
Czech: business level,0,1,0,1
Vue.js: Advanced,1,0,0,1
Ukrainian: Proficiency (C2),1,0,0,1
language: Hungarian,0,1,0,1
Tailwind CSS: Advanced,1,0,0,1
TypeScript: B2,1,0,0,1
Taliansky jazyk - Stredne pokročilý (B2),1,0,0,1
Angol nyelv - Középszint (B2),1,0,0,1
TypeScript: Intermediate,1,0,0,1
level: A2,1,0,0,1
language: Slovak,1,0,0,1
Czech: Expert (C2),1,0,0,1
Szlovák nyelv: B1,1,0,0,1
Arabský jazyk - Stredne pokročilý (B2),1,0,0,1
CEFR Level: A2,1,0,0,1
Angol felsőfok,0,1,0,1
Angličtina: B2,1,0,0,1
English: M2,1,0,0,1
English: Intermediate/Advanced,1,0,0,1
Language: Maďarský jazyk,1,0,0,1
Language: Java,0,0,1,1
Language: Deutsch,0,0,1,1
Kotlin,1,0,0,1
Language: Assembly,0,1,0,1
Language: C#,0,1,0,1
KUKA robotics: B1,1,0,0,1
Java: B2,1,0,0,1
Java,1,0,0,1
Klient/server administrácia: C2,1,0,0,1
Italian: business level,0,1,0,1
Hungarian: Preferred,0,0,1,1
Hungarian: Fluent,0,0,1,1
Italian: Benefit,1,0,0,1
German: good knowledge is a plus,1,0,0,1
German: unknown level,1,0,0,1
Hungarian: B1,1,0,0,1
Hungarian: Proficiency (C2),1,0,0,1
Hungarian: C2,1,0,0,1
GitHub: Advanced,1,0,0,1
Hungarian: B1: None,1,0,0,1
German: Nice to have,1,0,0,1
German: Proficient,1,0,0,1
German: Plus,0,1,0,1
German: Upper Intermediate,1,0,0,1
German: Significant advantage,1,0,0,1
German: Upper intermediate (B2) or Advanced (C1),1,0,0,1
German: Very good,1,0,0,1
German: beneficial,1,0,0,1
German: excellent,1,0,0,1
English: Confident intermediate or higher,0,1,0,1
English: CEFR: B2,0,1,0,1
English: C1+,1,0,0,1
English: Business,0,1,0,1
English: Basic (B1),1,0,0,1
English: B2-C2,1,0,0,1
English: B1: None,1,0,0,1
English: B1/B2,1,0,0,1
French,0,1,0,1
English: B,0,0,1,1
English: Active,1,0,0,1
Language: Polish,1,0,0,1
Laravel (PHP framework): Expert,1,0,0,1
Language: Salesforce Platform Developer I or II certification,0,0,1,1
Language: Python,1,0,0,1
English: Felsőfok,0,1,0,1
Level: Fluent,0,1,0,1
Level: Business English,0,1,0,1
Lengyel középfok,0,1,0,1
English: unknown,1,0,0,1
French: B1-B2,0,1,0,1
English: sehr gut,0,0,1,1
French: B1,0,1,0,1
F#: B2,1,0,0,1
English: aktívne,1,0,0,1
English: Very good,1,0,0,1
English: Upper-Intermediate or higher,0,1,0,1
English: Upper intermediate (B2),1,0,0,1
English: good,1,0,0,1
English: felsőfok,0,1,0,1
English: Tárgyalási szintű,0,0,1,1
English: Native,1,0,0,1
Nemecký jazyk: B2,1,0,0,1
Nemecký jazyk: B1,1,0,0,1
Microsoft Windows: C2,1,0,0,1
Microsoft Windows: Advanced,1,0,0,1
Maďarčina: None,1,0,0,1
Maďarský jazyk: B1,1,0,0,1
Maďarský jazyk - Stredne pokročilý (B2),1,0,0,1
Mandarin,1,0,0,1
Magyar nyelv: C1,1,0,0,1
Magyar nyelv - Haladó (C1),1,0,0,1
Level: Not specified,0,0,1,1
Level: null,0,0,1,1
English: Dokumentum-olvasás szintű,0,0,1,1
PHP: Expert,1,0,0,1
PHP: B2,1,0,0,1
Portuguese: A1,0,0,1,1
level: None,1,0,0,1
level: Native,0,1,0,1
level: CEFR: B2,0,1,0,1
Polish: Fluent,1,0,0,1
Český jazyk: C2,1,0,0,1
Český jazyk - Pokročilý (C1),1,0,0,1
Český jazyk: C1,1,0,0,1
Český jazyk: B2,1,0,0,1
Dánsky jazyk - Pokročilý (C1),1,0,0,1
Deutsche Sprache - Obere Mittelstufe (B2),1,0,0,1
Deutsch: native,0,0,1,1
Dánčina: C1-C2,1,0,0,1
Plosh: Advanced,0,0,1,1
Other European language: None,1,0,0,1
Német felsőfok,0,1,0,1
Német,0,0,1,1
English - Advanced (C1),1,0,0,1
English (written and spoken),0,1,0,1
Englisch von Vorteil,1,0,0,1
Englisch: B2,0,0,1,1
Russian,0,1,0,1
English or German on a communicative level,1,0,0,1
PySpark: Expert,1,0,0,1
Portuguese: B2,1,0,0,1
SQL: Advanced,1,0,0,1
Slovak/Czech: C1,1,0,0,1
CEFR Level: Business,1,0,0,1
CEFR Level: alap szintű,0,0,1,1
Chinese,1,0,0,1
Russian: Proficiency (C2),1,0,0,1
SQL,0,0,1,1
Python: Proficient,1,0,0,1
Czech/Slovak,1,0,0,1
Chinese: C1,0,1,0,1
Chinese: A1,0,1,0,1
Czech: Advantage,1,0,0,1
Anglický jazyk B2,1,0,0,1
Czech: B2+,1,0,0,1
Administrácia LAN/WAN: C2,1,0,0,1
Czech: B1,1,0,0,1
AJ - min. B2,1,0,0,1
.NET,0,0,1,1
Slovenčina: None,1,0,0,1
Slovenčina: B2,1,0,0,1
Slovenčina: natívna úroveň,1,0,0,1
Spanish or Portuguese: unknown,1,0,0,1
Švédština: C1-C2,1,0,0,1
Spanish: C2,0,1,0,1
