Work Arrangement,Profesia,Profession,CVOnline,Total
"Full-time, afternoon shift (14:00 - 22:00)",1,0,0,1
"Határozatlan idejű foglalkoztatás, 40 óra munkaidő",0,1,0,1
Gleitzeit Arbeit und Freizeit flexibel einteilen und gestalten,0,0,1,1
"Full-time, with occasional extended hours",1,0,0,1
"Full-time, unbefristet (permanent)",0,1,0,1
"Full-time, part-time",1,0,0,1
Full-time with travel requirements (> 50% of the time),1,0,0,1
Full-time (40 hrs./week),0,1,0,1
Full-time with travel requirements,1,0,0,1
Full-time or part-time unlimited,0,1,0,1
Full-time with 12-hour shift schedule (day or night shifts),1,0,0,1
Full time permanent employment,0,1,0,1
Full-time (40 hrs) / part-time possible flexible working model with electronic time recording,0,1,0,1
"Full-time in Düsseldorf, with periodic trips to Amsterdam for training purposes",0,1,0,1
Full remot,0,1,0,1
"Full-time (40 h per week), Flexible working model with electronic time recording",0,1,0,1
Flexible working hours and free time arrangement,0,0,1,1
Part-time (8 hours/week),0,1,0,1
Part-time (3-5 days/week),0,0,1,1
Part-time (29.87 hours/week = 75%),0,1,0,1
Part-time (25.0 hours/week),0,1,0,1
Part-time (20h/week),1,0,0,1
Part-time (20-23 Wochenstunden),0,0,1,1
"Irodai, tervezhető munkarend",0,0,1,1
Normál munkarend (Full-time),0,0,1,1
"Hibrid (IT és IT biztonsági) ismeretek, műszaki szemlélet;",0,1,0,1
Hibrid (részben otthonról),0,1,0,1
"Hibrid munkavégzés, rugalmas munkarend.",0,1,0,1
Hibrid munkavégzésben otthonról és a Telekom Campuson,0,1,0,1
Hibrid és rugalmas munkavégzés,0,1,0,1
Hibrid és rugalmas munkavégzési lehetőségek,0,1,0,1
Hivatali munkarend törzsidővel,0,1,0,1
"In-Office, Bratislava, Slovakia",1,0,0,1
Határozatlan idejű munkaszerződés,0,1,0,1
Heti 2 nap otthoni munkavégzés a betanítás és próbaidő után,0,1,0,1
"Határozatlan idejű, Teljes munkaidő",0,1,0,1
Pozícia umožňuje občasnú prácu z domu,1,0,0,1
Práce převážně z domova,1,0,0,1
Part-time (flexible schedule),0,0,1,1
"Part-time opportunities, Central office",0,1,0,1
Part-time (80-100%),0,0,1,1
"Part-time, Full-time",0,1,0,1
Part-time or internship,1,0,0,1
Part-time or hourly position,0,1,0,1
"Part-time, flexible hours (up to 20 hours/week)",1,0,0,1
"Part-time, flexible hours",1,0,0,1
"Plný úväzok, živnosť (cestovanie)",1,0,0,1
Part-time (minimum 20 hours/week with flexible schedule),0,0,1,1
Part-time opportunities,0,1,0,1
"Shift-based, including night shifts and on-call duties",1,0,0,1
Shift-based,1,0,0,1
"Részmunkaidő, Általános munkarend",0,1,0,1
Részmunkaidő Alkalmazotti jogviszony,0,1,0,1
Részmunkaidő (3-5 nap/hét),0,1,0,1
Részmunkaidő (Part-time),0,0,1,1
Részmunkaidő,0,1,0,1
Részidő,0,1,0,1
Rugalmas munkaidő (Flexible work arrangement),0,1,0,1
Részben otthonról történő munkavégzésre lehetőség van,0,1,0,1
"Rugalmasság, strukturáltság, fogékonyság a részletek iránt, türelem és kitartás",0,1,0,1
Rugalmas munkaidő (órarendhez igazodik),0,1,0,1
Rugalmas munkaidő (20–40 óra/hét),0,1,0,1
Rugalmas munkaidő (Flexible work schedule),0,1,0,1
"Short-term, internship, stáž",1,0,0,1
Teljes munkaidő (full-time),0,1,0,1
Távmunka,0,1,0,1
Three-shift work arrangement (Három műszakos munkarend),0,0,1,1
Three-shift work arrangement,0,0,1,1
Teljesen virtuális környezetben,0,0,1,1
Teljes munkaidős irodai munkavégzés,0,1,0,1
Teljes munkaidős,0,1,0,1
Teljes munkaidőben,0,1,0,1
"Teljes munkaidő, Alkalmazotti jogviszony, Általános munkarend",0,1,0,1
"hétfőtől péntekig 08.00-17.00 között, rugalmas beosztásban",0,0,1,1
Weekend shift,1,0,0,1
"Vollzeit, unbefristet",0,1,0,1
Virtuell - Deutschland,0,1,0,1
Túlnyomórészt kültéri munkavégzés,0,0,1,1
Általános munkarend (3 műszakos),0,1,0,1
Általános munkarend (Híbrid),0,1,0,1
Čiastočný úväzok (rozsah hodín podľa dohody),1,0,0,1
