Programming Language,Count
MACHINE LEARNING,6
AZURE,6
NumPy,6
VHDL,6
PowerCLI,6
Java EE,6
ANDROID,6
OData,6
React JS,6
JavaScript/TypeScript,6
Fiori,6
Elasticsearch,6
Camunda,6
WebApi,6
HTML 5,6
Azure CLI,6
OpenStack,6
Jest,6
Express,6
ES6,6
GoLang,6
MONGODB,6
noSQL,6
QML,5
Shell/Bash,5
GitLab,5
ASP.Net,5
LARAVEL,5
EF Core,5
Angular 2+,5
TCP/IP,5
Delta Lake,5
M,5
REST APIs,5
.NET (C#),5
scripting language,5
Robot Framework,5
object-oriented programming,5
Jasmine,5
Bash/Shell,5
JS/TS,5
Java 8+,5
Postman,5
OOP,5
JUNIT,5
JSF,5
Spring MVC,5
C+,5
NextJS,5
Recharts,5
LWC,5
Visualforce,5
UNIX,5
Expo,5
WCF,5
SPSS,5
TestNG,5
Chart.js,5
NATS.IO,5
Svelte,5
CI,4
SQL: Advanced,4
YAML,4
PHP 8+,4
Object-oriented programming,4
Apache Arrow,4
.NET/C#,4
TCL,4
.net,4
React Native Web,4
Webpack,4
Embedded C++,4
Matlab,4
AGILIS,4
.NET Core 6+,4
.C.,4
JENKINS,4
Twig,4
JQuery,4
GitHub Actions,4
SpringBoot,4
SOQL,4
JAVA EE,4
SAP Fiori,4
JMeter,4
WPF,4
Power Automate,4
SAP UI5,4
SAP,4
PromQL,4
SOAP/REST,4
Oracle PL/SQL,4
Jinja,4
RAP,4
CYPRESS,4
Websocket,4
Salt,4
NestJS,4
Java 11+,4
Polymer,4
CUCUMBER,4
COBOL,4
SAP C,4
AGILE,4
ACCESS,4
Scripting,4
HTML/CSS,4
Excel,4
C#.net,4
SCRUM,4
Gradle,4
Express.js,4
Lightning,3
QueryDSL,3
CUDA,3
Unity,3
Nuxt.js,3
SECURITY,3
QT,3
SPARK,3
Nest.js,3
.Net Core,3
REXX,3
SOAP UI,3
Solidity,3
Siemens,3
JQUERY,3
SCL,3
VB.NET,3
VBScript,3
Cache,3
Oracle SQL,3
shell scripting,3
DELPHI,3
CD,3
.NET C#,3
webservices,3
Verilog,3
ABAP cloud,3
Spring Security,3
AJAX,3
Power Query (M),3
LangChain,3
DATABASES,3
Tcl,3
API REST,3
XPath,3
APEX,3
Jquery,3
SYMFONY,3
Frontend,3
SELENIUM,3
Pyspark,3
WebSockets,3
Microservices,3
Java 21+,3
Redux Toolkit,3
Shell scripts,3
ANSIBLE,3
POSTMAN,3
oData,3
Nette,3
Flows,3
gRPC,3
Salesforce,3
SAPUI5,3
Qt,3
Java SE,3
Mocha,3
F#,3
DB2,3
vue.js,3
Shell Scripting,3
Siemens PLC,3
BPMN,3
BI,3
Cucumber,3
Databricks,3
X++,3
CAP,3
MsSQL Server,3
ASP.NET Razor,3
RESTful API,3
KOTLIN,3
PowerPivot,3
Microsoft Power Apps,3
Microsoft Power Automate,3
Windows PowerShell,3
Blade,3
VB,3
OpenCV,3
OPC UA,3
JWT,3
WebdriverIO,3
Keras,3
SQL DBA,3
Next JS,3
Spring Cloud,3
Elastic Kibana,2
LabVIEW FPGA,2
.Net Blazor,2
pgSQL,2
RDBMS,2
Fiori Elements,2
Fortran,2
M language,2
JEE,2
Angular 2,2
TeamCity,2
MLFlow,2
TROUBLESHOOTING,2
Nightwatch,2
RestAssured,2
Gson,2
Awaitility,2
Allure,2
umbrella.js,2
ember.js,2
ARM,2
Bash Scripting,2
Material UI,2
Nuxt3,2
Access,2
.NET 9,2
BOOTSTRAP,2
TESTING,2
ASP.NET CORE,2
RUBY,2
SQL/NoSQL,2
QlikView,2
RPA,2
Microsoft Power BI,2
TIA Portal,2
WinCC,2
Shell script,2
Javascript/Typescript,2
SCADA,2
ABAP/4,2
C#/.NET (.net Framework 4+,2
.net core 3.1+),2
Tailwind,2
HLSL,2
Android SDK,2
SAP CAP,2
Spring boot,2
Java/J2EE,2
FBD,2
LAD,2
OpenAPI/Swagger,2
Canvas,2
SVG,2
SolidJS,2
HTML5/CSS3,2
Azure Data Factory,2
Apache Kafka,2
UNIX/LINUX scripting,2
Jython,2
Angular JS,2
SASS/SCSS,2
React/Next.js,2
Assembler,2
Gherkin,2
Camel,2
PowerBI,2
PixiJS,2
nUnit,2
xUnit,2
Power Query M,2
Websockets,2
CDS views,2
Sql,2
Tailwind CSS,2
NPM,2
Unix,2
CI/CD,2
UiPath,2
PowerApps,2
REST services,2
MS SQL Server 2022,2
Backend,2
Angular.js,2
Pydantic,2
SIMATIC STEP 7,2
UNIX/Linux,2
ElasticSearch,2
BigQuery,2
ASP.Net Core,2
PHPUnit,2
Karma,2
Vitest,2
NET,2
.NET 7+,2
Helm,2
ASP.NET Web API,2
Async/Await,2
AI,2
ASP.NET WebAPI,2
JavaScript (ES6+),2
CDS Views,2
Dart,2
JMETER,2
SVN,2
Pro*C,2
ABAP for Hana,2
Core Data Services,2
SAP Datasphere (DSP),2
SAP Business Data Cloud (BDC),2
SAP Business Technology Platform (BTP),2
API TESTING,2
INTELLIJ,2
VIRTUALIZATION,2
STL,2
Visual Basic .Net,2
Spring (Boot),2
LINQ,2
Maria DB,2
Podman,2
Openshift,2
TSQL,2
Java: Advanced,2
PrimeNG,2
Jupyter,2
PERL,2
Spring Boot 3,2
Junit,2
Siemens TIA Portal,2
LabView,2
Prometheus,2
Grafana,2
Tableau,2
Pega,2
Python: Beginner,2
batch,2
jscript/vbscript,2
MySQL/MARIA DB,2
Python: Základy,2
PowerShell: Základy,2
Python: Basic,2
CLOUD @SAP,2
Spring-Boot,2
VB .NET,2
.NET Framework 4.8,2
SAP Data Service,2
SAP Data Intelligence,2
Specmen e,2
Verilog/SystemVerilog,2
SAP Analytics Cloud (SAC),2
IEC 61131-3,2
Haskell,2
Bamboo,2
C Sharp (C#),2
ADA,2
XQuery,2
PANDAS,2
Bicep,2
AZURE DEVOPS,2
Lightning Web Components,2
Shell-Script,2
JavaEE,2
RSocket,2
SAS,2
Bash scripting,2
Apex code,2
RESTful APIs,2
VBS,2
CMD,2
NgRx,2
Delphi,2
Basic programming/scripting,2
QShell,2
.NET6,2
ASP.NET Web Forms,2
OAuth,2
Machine Learning,2
ANALYTICS,2
WebAPI,2
CDS view,2
IEC61131 – FBD/ST,2
Julia,2
Clean Code,2
SQL Developer,2
CloudFormation,2
FastAPI: Advanced,2
Vue 3,2
Typescript/Angular,2
composer,2
B&R Automation Studio,2
LUA,2
C-Sharp,2
Glide,2
Flow Designer,2
IntegrationHub,2
JS/Typescript,2
.Net Core 3.1,2
ILE RPG,1
Babel,1
SAP BW/4HANA,1
Appium,1
SOAP API,1
CDS,1
Fiori/UI5,1
ROBOT,1
UBUNTU,1
ENTITY FRAMEWORK,1
C# 12,1
XAML,1
ABAP on HANA,1
DATABASE,1
LangGraph,1
SAP BTP,1
C++/CLI,1
Unix Scripting,1
Blueprints,1
GLSL,1
Siemens S7,1
TIA,1
SAP ABAP OO,1
ODATA,1
Scripting Language,1
Excel VBA,1
WEBAPI,1
.Net Framework 4.8,1
.Net Core 6+,1
tailwind,1
MicroSoftSQL,1
Azure DevOps Server,1
Nuget,1
Batch,1
BTP,1
KEYENCE,1
ABB,1
COGNEX,1
SonarQube / SonarLint,1
ERP,1
pl/sql,1
VS.net,1
NRQL,1
Dataiku DSS,1
Laravel (PHP framework): Expert,1
Vue.js: Advanced,1
HTML: Intermediate,1
GIT: Intermediate,1
PHP8+,1
Combine,1
WebRTC,1
Streaming technologies,1
ASP.NET Core Web API,1
UI Automation,1
Java11+,1
EnterpriseDB,1
Webservice,1
KUKA robotics,1
Profinet,1
JAVA/Kotlin,1
DynamoDB,1
InfluxDB,1
TimeScaleDB,1
Microsoft .NET Framework,1
Microsoft Access,1
Databricks CLI,1
Vue.js V3,1
UNIX Shell Scripting,1
A S400,1
Cobol,1
IFS,1
ABB robotics,1
Fanuc robotics,1
GitHub,1
Xpath,1
ArchiMate,1
SAS/SQL,1
VUE.js,1
ASP.NET/MVC,1
MS SQL 2019,1
.NET 8+,1
SIMATIC STEP 7: Pokročilý,1
Siemens TIA Portal: Pokročilý,1
Hibernate ORM/JPA,1
Shell scripting – bash,1
PowerShell: Beginner,1
Bash: Beginner,1
.NET Framework 4+,1
.NET Core 3.1+,1
Visual Basic for Applications (VBA),1
Lazarus,1
SPFx,1
JSON formatting,1
PLC (Siemens),1
RESP API,1
JavaScripte,1
Robot framework,1
bash/shell,1
C#: Advanced,1
.NET core: Advanced,1
ASP: Advanced,1
DB: Intermediate,1
Elixir,1
MQ,1
VBscript,1
.NET 8 / Core,1
Python 3.11+,1
Typing,1
AutoGen,1
OpenAI API,1
Hugging Face,1
Asyncpg,1
Vector Stores,1
Unity UI,1
Node-RED,1
Python: advanced,1
Rapid,1
KRL,1
Karel,1
UR script,1
ROS,1
Dapper,1
ADO. NET,1
SvelteKit,1
WebGL,1
uPlot,1
PHP - Expert,1
MySQL - Pokročilý,1
JavaScript - Pokročilý,1
RPG: Advanced,1
REXX: Advanced,1
AI. PLC,1
Scikit-Learn,1
Matplotlib,1
Plotly,1
Yaml,1
Unix-Shell,1
VUEjs,1
HTMX,1
Celery,1
Java: Intermediate,1
COBOL: Intermediate,1
QShell: Advanced,1
IFS: Advanced,1
CL: Advanced,1
.NET 5.x-8.x,1
robotika,1
senzorika,1
Spring Boot 3.x: Advanced,1
C++: Advanced,1
Android programming: Advanced,1
Postgres ORM,1
Typesense,1
Flat Buffers,1
TypeScript/Node.js,1
Visual Basic .NET,1
iOS/Android,1
Next.js (React),1
AzureDevops,1
Visual Basic: Beginner,1
Microsoft SQL Server: Beginner,1
communications protocols,1
ASP.NET MVC Core,1
NoSql,1
Firestore,1
CosmosDB,1
Semantic Kernel,1
Jenkins CI,1
shell (bash),1
Python: Advanced,1
MySQL: Advanced,1
Scratch,1
Livewire,1
.NET framework,1
Unit of work,1
Repository pattern,1
messaging,1
Laravel (PHP framework) - Expert,1
OOP - Pokročilý,1
DevOps - Pokročilý,1
Unit Testing - Pokročilý,1
ElasticSearch - Pokročilý,1
SQL Databases,1
NoSQL Databases,1
Kotlin Multiplatform,1
Mongo DB,1
ELK,1
S7-1200,1
S7-1500,1
RoR,1
CDI,1
EJB,1
C++20,1
.NET MVC,1
Java Script,1
Type Script,1
Unit testov,1
MS Test,1
bash-script,1
QueryDsl,1
Liquibase,1
Java 8 or higher,1
IRIS,1
C-sharp,1
JavaScirpt,1
MS Power Automate,1
Embedded Linux,1
SQL: B1,1
Python: B1,1
Angular/Typescript,1
ASP.NET Core Razor Pages,1
Web IDE,1
LAMP,1
Embedded Programming,1
Low-Level Programming,1
RESTful,1
JSE/JEE,1
Linux server administration: Basic,1
t-SQL,1
MS Copilot,1
MS Copilot Studio,1
JavaScript/Typescript,1
HTML/CSS/SCSS,1
Ionic,1
Sass/SCSS,1
PHP: Advanced,1
MySQL/Maria DB: Advanced,1
HTML: Advanced,1
CSS: Advanced,1
Angular JS: Intermediate,1
Apache2 Server: Advanced,1
Reset API: Advanced,1
Flutter: Basic,1
Google Services GCM,1
Retrofit,1
Hilt,1
Koin,1
coroutines,1
Figma,1
React Native: Advanced,1
JavaScript: Advanced,1
ABAP Cloud,1
Java/Spring,1
ActiveMQ,1
DirectX,1
TensorFlow/PyTorch,1
Android Jetpack,1
Compose,1
Firebase,1
Services,1
Quasar,1
Unix shell scripts,1
HTML/CSS/JS,1
Node.js/npm,1
PyTest,1
Azure/AWS/GCP,1
Jenkins/GitLab,1
Microsoft Excel,1
XML: Basic,1
PostgreSQL: Basic,1
Oracle PL/SQL: beginner,1
Unix: beginner,1
Basic programming / scripting,1
Xamarin/MAUI,1
Winforms,1
CSS/LESS: Expert,1
JavaScript: Expert,1
PHP: Basic,1
POSTGRES SQL,1
KAFKA,1
PL-SQL,1
Script languages,1
Microsoft Graph API,1
CSS3/SCSS,1
PLC /Allen - Bradley or Siemens/,1
SQL/MSSQL,1
Angular 15,1
React.Js,1
LESS,1
git,1
HTML: Expert,1
pySpark,1
Magic,1
Snowflake,1
dbt,1
APIs,1
batch files (*.CMD,1
*.BAT),1
AutoIt,1
Microsoft.net,1
.NET Core 6,1
BPML,1
SQL: Pokročilý,1
Qlik Sense,1
KQL,1
Velocity,1
.NET 8,1
PyQGIS,1
CSS/SCSS,1
Pug (Jade),1
Postgre,1
pyTest,1
Supertest/Jest,1
BASH/Shell,1
PHP: Úplný začiatočník,1
Jinja2,1
Asp.Net,1
Git/GitLab,1
WS,1
JAXB,1
JAX-WS,1
JSP,1
AFD,1
powershell scripting,1
GCP,1
Scripting languages,1
OpenApi,1
Microservice,1
Power Platform,1
Low-Code Development,1
Low-code,1
Spring-Web,1
RxJava,1
Elastic,1
Angular/React,1
Shell Script,1
ksh,1
MLflow,1
SQLite,1
micropython,1
Azure Functions,1
PIXI.js,1
ABP framework,1
Web sockets,1
TWIG,1
PHP 8,1
docker,1
JavaFX,1
React & React Native,1
C#.NET CORE,1
Entity framework,1
NUnit,1
XUnit,1
REST-API,1
C# .net,1
GraphAPI,1
ORACLE SQL,1
ADATTÁRHÁZ,1
RAPID,1
WEBSERVICE,1
POWER BI,1
Mysql,1
npm,1
PostgreSQL 9.6+,1
SQLITE,1
Symfony 5.0+,1
JUnit/TestNG,1
Cloud,1
SAP HANA DB,1
SonarQube/SonarLint,1
Qt/QML,1
Final Form,1
React Hook Form,1
C/C#,1
MySQL/MariaDB,1
Liquid,1
Ionic Framework,1
PHP 8.0+,1
LESS/SASS/CSS3,1
No-code,1
jquery,1
knockout,1
asp.net,1
Google App Script,1
SAP Script,1
TanStack Table,1
TanStack Query,1
Rancher,1
Bun,1
Composer,1
CodeIgniter,1
PSQL,1
php,1
OpenAI,1
Blazor WASM,1
ESP-IDF,1
SpecFlow,1
VB.Net,1
Vue.js 3,1
Css/SCSS,1
MIDDLEWARE,1
Labview,1
Google Cloud,1
Angular: Advanced,1
C#/.Net: Intermediate,1
RXJS,1
NGRX,1
Signal Store,1
1C,1
Javascript / Typescript,1
Arduino IDE,1
LiveWire,1
AlpineJS,1
jQuiery,1
LLM,1
Tensorflow,1
ML.NET,1
JavaScript: Basic,1
HTML 5: Advanced,1
webflux,1
kafka-streams,1
CMS,1
SECURITY TEST AUTOMATION,1
SOFTWARE TESTING,1
EXCEL,1
ORACLE ERP,1
CRM,1
PowerAutomate,1
PHP8,1
Next,1
CAPL,1
PGqsl,1
PowerShell: Basic,1
OpenJDK 11+,1
Javarx,1
Kotlin coroutines,1
Oracle PL/SQL: Basic,1
Go-Lang,1
SQL: Intermediate,1
ServiceNow,1
MS SQL Query Tuning,1
Natural Language Processing (NLP),1
SOQL/SOSL,1
Xamarin.Forms,1
Azure DevOps,1
SAP S/4HANA,1
BACKEND API,1
REDUX,1
CODEIGNITER,1
ARM templates,1
reactor,1
Simulink,1
SAP BI ANALYTICS,1
Rockwell Studio 5000,1
NOSQL DATABASES,1
SECURITY TESTING,1
C API,1
pytorch,1
AL,1
PL/pgSQL,1
JPA/Hibernate,1
Visual Basic for Applications,1
MS Excel,1
ASSEMBLY,1
MPI,1
ROCM,1
Structured text (IEC 61131-3),1
DEBUGGING,1
ExpressJS,1
J-Component,1
TYPO3,1
Shopware,1
Vite,1
UmiJS,1
React Native CLI,1
Object-Oriented Programming,1
Knockout,1
OJet,1
VBSC,1
System Verilog,1
Nunjucks,1
HIBERNATE,1
APACHE,1
Neo4J,1
RDF,1
JSON-LD,1
Apache Camel,1
Apache Hadoop,1
Apache NiFi,1
LEAN,1
Protractor,1
Nuxt 3,1
Linux scripting,1
Simatic S5/S7,1
WINDOWS,1
SAP CLOUD,1
SAP. SECURITY ANALYTICS DATA MANAGEMENT,1
SAP Business Warehouse (BW),1
Apache Cassandra,1
JSPython,1
DeltaV,1
JNI,1
WebSockety,1
Allen-Bradley,1
Honeywell,1
Rockwell,1
Java (základy),1
C/AL,1
SWIFT,1
Avaloq,1
SAP SECURITY,1
Pulumi,1
DATABASE TESTING,1
Agile,1
Net,1
NSQ,1
Spark SQL,1
Spring framework,1
WebDriver,1
Grid,1
SoapUI,1
Grid / Flex,1
.NET5+,1
TSDB (InfluxDB,1
TimeScaleDB),1
biznis procesy (Camunda),1
Unit Testing,1
Swift Object Storage,1
RRD,1
Graphite,1
ClickHouse,1
web (React,1
Next.js),1
API (REST,1
GraphQL),1
RDBMS (PostgreSQL,1
Oracle),1
NoSQL (MongoDB,1
DynamoDB),1
Rest Assured,1
Linux Shell,1
JAVA (Spring Boot,1
Quarkus),1
Node.js (Express.js,1
Nest.js),1
messaging (RabbitMQ,1
Kafka),1
Jetpack,1
M Query,1
visual basic,1
Open3D,1
FORTRAN,1
ROS/ROS 2,1
SwiftUI,1
RxSwift,1
OpenSearch,1
.NET framework/core,1
SOAPUI,1
BITBUCKET,1
R/Bioconductor,1
ACCESS MACHINE LEARNING,1
Power Apps,1
Hibernate/JPA,1
Java Backend,1
CODESYS,1
Spring Data,1
IntelliJ IDEA,1
C++11,1
ROS/ROS2,1
DEBIAN,1
Couchbase,1
Appian,1
CLEAN CODE,1
Aura,1
Solid.js,1
BI C,1
WORDPRESS,1
Sveltekit,1
API Dev,1
C/C++/C#,1
Java-Script,1
Structured Text (IEC 61131),1
Matlab/Simulink,1
MS-SQL,1
Swift 5.5+,1
ABAP WebDynpro,1
HTML4,1
Solana,1
NEAR,1
Substrate,1
Protobuf,1
SharePoint,1
Dataverse,1
OneDrive,1
IEC61131-3,1
CONFLUENCE,1
android,1
KANBAN,1
jetpack,1
SharePoint REST,1
CSOM,1
PnP,1
Java (J2EE),1
RKE2,1
AMP script,1
SSJS,1
Nix,1
ORACLE DB2,1
Ktor,1
JetBrains Exposed,1
OpenSQL,1
Transact-SQL,1
GitLab CI,1
SonarQube,1
ELK Stack,1
Zabbix,1
(My)SQL,1
Hadoop,1
PostgreSQL / Oracle DB,1
Siemens HMI,1
API: Intermediate,1
UI framework: Basic,1
SQL: scripting,1
Pyramid,1
Numpy,1
iOS,1
Transact-SQL (T-SQL),1
ActiveMQ Artemis,1
Restful API,1
Korn-shell,1
C-shell,1
Kdb+,1
PLC programming,1
Blockchain,1
Spring Boot 3.x,1
SPS,1
Pascal,1
FIORI,1
Postgre SQL,1
Vue.JS,1
Oracle SQL Developer,1
Mockito,1
Java Message Service (JMS),1
