Location,Profesia,Profession,CVOnline,Total
Kennelbach,0,0,7,7
Hlohovec,7,0,0,7
Komárom,0,7,0,7
"Bratislava, Slovak Republic",7,0,0,7
Karlsruhe,0,7,0,7
Switzerland,0,7,0,7
Dolný Kubín,6,0,0,6
"Praha, Česko",6,0,0,6
Lozorno,6,0,0,6
Düsseldorf,0,6,0,6
Garching or Walldorf,0,6,0,6
Nová Dubnica,6,0,0,6
Feldkirch,0,0,6,6
Garching bei München,0,6,0,6
Prievidza,6,0,0,6
"Bratislava-Devínska Nová Ves, Bratislava",6,0,0,6
Liptovský Hrádok,6,0,0,6
Kolárovo,6,0,0,6
Donauwörth,0,6,0,6
Basel,0,6,0,6
Svätý Jur,5,0,0,5
Michalovce,5,0,0,5
München,0,5,0,5
Gbeľany,5,0,0,5
Ettlingen,0,5,0,5
"Modřice, Česká republika",5,0,0,5
"Munich, Germany",0,5,0,5
Winterthur,0,5,0,5
Lučenec,5,0,0,5
Skalica,5,0,0,5
Senec,5,0,0,5
Humenné,5,0,0,5
Bonaduz,0,4,0,4
"Zlaté Piesky, Ružinov",4,0,0,4
Dunajská Streda,4,0,0,4
"Vienna, Linz, Graz, Berlin, Regensburg",0,4,0,4
"Bratislavský kraj, Žilinský kraj",4,0,0,4
"Staré Mesto, Bratislava",4,0,0,4
Chiasso,0,4,0,4
Bratislava-Petržalka,4,0,0,4
Chorvátsky Grob,4,0,0,4
"Bratislava IV, Bratislava, Slovensko",4,0,0,4
"Ružinov, Bratislava",4,0,0,4
Cologne,0,4,0,4
Očová,4,0,0,4
"Munich, Dresden, St. Leon-Rot",0,4,0,4
Púchov,4,0,0,4
Nové Mesto,4,0,0,4
Stuttgart,0,4,0,4
Mladá Boleslav,4,0,0,4
Žilina-Vlčince,4,0,0,4
"Košice, Slovakia",4,0,0,4
Immenstaad am Bodensee,0,4,0,4
Nitriansky kraj,4,0,0,4
"Vienna, Linz, Graz, Berlin",0,4,0,4
Wiesbaden,0,4,0,4
Šamorín,4,0,0,4
Zlaté Moravce,3,0,0,3
Spišská Nová Ves,3,0,0,3
Malý Krtíš,3,0,0,3
Závažná Poruba,3,0,0,3
"Verl, Baden-Baden or Berlin",0,3,0,3
Veszprém,0,3,0,3
"Bratislavský kraj, Trnavský kraj, Nitriansky kraj",3,0,0,3
"Bratislavský kraj, Trnavský kraj",3,0,0,3
XI. kerületi Infopark,0,0,3,3
Manching,0,3,0,3
Veľké Úľany,3,0,0,3
Walldorf,0,3,0,3
Záborské,3,0,0,3
Einbeck,0,3,0,3
Dunakeszi,0,3,0,3
"Slovensko, Česko",3,0,0,3
Siófok,0,1,2,3
Berlin or Barcelona,0,3,0,3
Cheb,3,0,0,3
Partizánske,3,0,0,3
"Bratislava-Petržalka, Bratislava",3,0,0,3
"Budapest, VIII. kerület",0,0,3,3
Frankfurt,0,3,0,3
Nyíregyháza,0,3,0,3
Hajdú-Bihar megye,0,1,2,3
Urdorf,0,3,0,3
Bardejov,3,0,0,3
"Košice region, Slovakia",3,0,0,3
Innsbruck,0,3,0,3
Lednické Rovne,3,0,0,3
Levice,3,0,0,3
Ivanka pri Dunaji,3,0,0,3
Krupina,3,0,0,3
Pezinok,3,0,0,3
Hettlingen,0,3,0,3
Geneva,0,3,0,3
Fót,0,3,0,3
Prešovský kraj,3,0,0,3
Prilly,0,3,0,3
Remscheid near Düsseldorf,0,3,0,3
Dresden,0,3,0,3
Potvorice,3,0,0,3
Podbrezová,3,0,0,3
Eppelheim,0,2,0,2
Essen,0,2,0,2
"Slovenská republika, Slovensko",2,0,0,2
"Slovensko, Česko, Poľsko",2,0,0,2
"Slovak Republic, Austria, Abroad - Others",2,0,0,2
Dvory nad Žitavou,2,0,0,2
"Zürich, Switzerland",1,1,0,2
Érd,0,2,0,2
Üllő,0,2,0,2
Vorarlberg,0,0,2,2
Veľké Zálužie,2,0,0,2
Walldorf or Barcelona,0,2,0,2
Viedeň,2,0,0,2
České Budějovice,2,0,0,2
Budapest XIII. kerület,0,1,1,2
Budapest III. kerület,0,2,0,2
"Budapest, XVIII. kerület",0,2,0,2
"Berlin, London or Valencia",0,2,0,2
"Budapest, 13. kerület",0,1,1,2
"Budapest, District XI",0,0,2,2
St. Leon-Rot,0,2,0,2
"Staré Grunty, Karlova Ves",2,0,0,2
Biel/Bienne,0,2,0,2
Wiener Neudorf,0,0,2,2
Zohor,2,0,0,2
Mannheim,0,2,0,2
Trnava region,2,0,0,2
Vecsés,0,0,2,2
"Brno - City, Czech Republic",2,0,0,2
Tvrdošín,2,0,0,2
Marianka,2,0,0,2
Zurich area (Urdorf or Geneva),0,2,0,2
Wietmarschen-Lohne or Osnabrück,0,2,0,2
Zsámbék,0,2,0,2
Zurich,0,2,0,2
Zug,0,2,0,2
Wetzlar,0,2,0,2
"Vienna, Austria",2,0,0,2
Devínska Nová Ves,2,0,0,2
Durham or Boston,0,2,0,2
Mátészalka,0,0,2,2
Nemecko,2,0,0,2
Hard,0,0,2,2
"Nemecko, Rakúsko, Švajčiarsko",2,0,0,2
Nižná,2,0,0,2
Nitra region,2,0,0,2
Hoehenkirchen-Siegertsbrunn,0,2,0,2
Paks,0,2,0,2
Plavecký Štvrtok,2,0,0,2
Ilava,2,0,0,2
Heves,0,2,0,2
Gúta,2,0,0,2
Námestovo,2,0,0,2
Hanover,0,2,0,2
"Pfäffikon, Switzerland",0,2,0,2
"Paks, Budapest, Szeged",0,2,0,2
Graz,2,0,0,2
Gáň,2,0,0,2
Gerlingen-Schillerhöhe,0,2,0,2
"Drieňová, Bratislava, Slovensko",2,0,0,2
"Cologne, Germany",0,2,0,2
Schlieren,0,2,0,2
"Prague, Czech Republic",2,0,0,2
Renningen,0,2,0,2
Galanta,2,0,0,2
Feldkirch/Österreich,0,0,2,2
Germany or Austria,0,2,0,2
Hinwil,0,2,0,2
Hannover,0,2,0,2
Knellel,0,0,2,2
"Budapest, II. kerület",0,2,0,2
"Budapest, IX. kerület",0,2,0,2
Bučany,2,0,0,2
Bytča,2,0,0,2
Burgdorf,0,2,0,2
Tata,0,1,1,2
Sárszentmihály,0,2,0,2
Szombathely,0,2,0,2
Tatranská Lomnica,2,0,0,2
"Klaus, Austria",0,0,2,2
Bratislava II,2,0,0,2
"Bratislava region, Trnava region, Nitra region",2,0,0,2
Trier,0,2,0,2
Teplička nad Váhom,2,0,0,2
Thônex,0,2,0,2
Trenčianska Turná,2,0,0,2
Knellesegg,0,0,2,2
Krušovce,2,0,0,2
Istebné,2,0,0,2
"Krušovce, Slovensko",2,0,0,2
Indianapolis,0,2,0,2
Kaposvár,0,2,0,2
Ivanka pri Nitre,2,0,0,2
Kiskunhalas,0,0,2,2
"Berlin, München-Garching, Hamburg, Ratingen, Eschborn, Gerlingen, Walldorf",0,2,0,2
Meyrin,0,2,0,2
Košice region,2,0,0,2
"Mlynské nivy, Ružinov",2,0,0,2
"Berlin, Verl, Baden-Baden or Oslo",0,2,0,2
Bern,0,2,0,2
"Berlin, Baden-Baden, Verl or Tallinn",0,2,0,2
"Žilina-Vlčince, Slovensko",2,0,0,2
3000 Hatvan,0,1,0,1
Baden,0,1,0,1
Baden-Dättwil,0,1,0,1
Balzers,0,1,0,1
"Banskobystrický kraj, Nitriansky kraj, Slovensko",1,0,0,1
Baranya,0,1,0,1
Barca,1,0,0,1
Barcelona or Berlin,0,1,0,1
Beluša,1,0,0,1
Berlin / Regensburg,0,1,0,1
"Berlin, Aschheim bei München",0,1,0,1
"Berlin, Hamburg, Ratingen, Eschborn, Walldorf, Gerlingen, Garchingen",0,1,0,1
Bernolákovo,1,0,0,1
"Bernolákovo, Slovensko",1,0,0,1
Biatorbágy,0,0,1,1
Biel-Bienne,0,1,0,1
Brezno,1,0,0,1
Brezová pod Bradlom,1,0,0,1
"Brno - město, Česká republika",1,0,0,1
Brunovce,1,0,0,1
Bruntál,1,0,0,1
Buchs AG,0,1,0,1
Budakalász,0,1,0,1
"Trnavský kraj, Nitriansky kraj",1,0,0,1
"Bratislava, Digital Park II, Einsteinova, Petržalka, Slovensko",1,0,0,1
"Bratislava, Košice",1,0,0,1
Bratislava-Ružinov,1,0,0,1
Bratislava-Vajnory,1,0,0,1
"Bratislavský kraj, Košický kraj",1,0,0,1
"Bratislavský kraj, Trenčiansky kraj, Trnavský kraj",1,0,0,1
"Bratislavský kraj, Trenčiansky kraj, Zahraničie - ostatné",1,0,0,1
Bremen,1,0,0,1
Trenčianska Teplá,1,0,0,1
Trenčianske Stankovce,1,0,0,1
"Trenčiansky kraj, Slovensko",1,0,0,1
"Trenčiansky kraj, Česko",1,0,0,1
Triesen,0,1,0,1
Trnava - Voderady,1,0,0,1
"Bratislava region, Czech Republic",1,0,0,1
"Bratislava region, Germany, Switzerland",1,0,0,1
Szolnok,0,1,0,1
Sárospatak,0,1,0,1
Sárvár,0,1,0,1
Tatabánya,0,1,0,1
Textilná,1,0,0,1
Thörishaus,0,1,0,1
"Trebatice, Slovensko",1,0,0,1
Trebišov,1,0,0,1
Kaiseraugst,0,1,0,1
Kapuvár,0,1,0,1
"Karlova Ves, Bratislava",1,0,0,1
Kassel,0,0,1,1
"Kechnec, Slovensko",1,0,0,1
Kežmarok,1,0,0,1
Klaus,0,0,1,1
"Klaus, Austria, Erlangen, Germany",0,0,1,1
Lausanne,0,1,0,1
"Lausanne, Switzerland",0,1,0,1
Linz,1,0,0,1
Lomená,1,0,0,1
"Ilava, Slovensko",1,0,0,1
"Ilkovičova, Karlova Ves",1,0,0,1
Jászberény,0,1,0,1
Jülich,0,1,0,1
"Košice, Valaliky",1,0,0,1
"Košice, okres Žilina",1,0,0,1
Košický kraj,1,0,0,1
Kriens,0,1,0,1
Krivá,1,0,0,1
Krížna,1,0,0,1
Lachen,0,1,0,1
"Landstrasse 15, 9495 Triesen, Liechtenstein",0,1,0,1
Mosonmagyaróvár,0,1,0,1
Komárom-Esztergom county,0,1,0,1
Kostolné Kračany,1,0,0,1
Košice - mestská časť,1,0,0,1
Košice - mestská časť Strážovská,1,0,0,1
Košice Region,1,0,0,1
"Košice, Košice region",1,0,0,1
"Košice, Košický kraj, Slowakei",1,0,0,1
Herzogenrath,0,1,0,1
Hibrid • 1226 Thônex,0,1,0,1
Hlíč,1,0,0,1
Horná Potôň,1,0,0,1
Hybrid,0,1,0,1
HÖCHST,0,0,1,1
Hévíz,0,1,0,1
Oberpfaffenhofen,0,1,0,1
Haller Gardens - Budapest,0,1,0,1
Hamburg area,0,1,0,1
Handlová,1,0,0,1
Heerbrugg,0,1,0,1
Heidelberg,1,0,0,1
Heidenheim,0,1,0,1
Heimarbeit,1,0,0,1
Hemer (NRW),0,1,0,1
Neuchâtel,0,1,0,1
Nidau,0,1,0,1
Nitra-Staré Mesto,1,0,0,1
Nováky,1,0,0,1
Nyírtelek,0,1,0,1
Nänikon-Greifensee,0,1,0,1
Gütersloh,0,1,0,1
Hackensack,0,1,0,1
Kleinostheim near Frankfurt,0,1,0,1
Most pri Bratislave,1,0,0,1
"Munich, Stuttgart, Frankfurt, Hamburg, Berlin, Düsseldorf, Cologne",0,1,0,1
Munich/Garching,0,1,0,1
Mátranovák,0,1,0,1
Neckartenzlingen,0,1,0,1
Nemšová,1,0,0,1
Neu-Isenburg bei Frankfurt am Main,0,1,0,1
"Garching, Dresden",0,1,0,1
Gbely,1,0,0,1
Gerlingen,0,1,0,1
Gomaringen bei Tübingen,0,1,0,1
Gyöngyös,0,1,0,1
Götzis,0,0,1,1
Praha 4,1,0,0,1
"Praha, Česká republika",1,0,0,1
Frankfurt am Main,0,1,0,1
Frankfurt or Düsseldorf,0,1,0,1
Frankfurt/Main,0,1,0,1
Freiburg (Breisgau),0,1,0,1
Füllinsdorf,0,1,0,1
Füzesabony,0,1,0,1
Gajary,1,0,0,1
Garching near Munich,0,1,0,1
Pilisjászfalu,0,1,0,1
Pilisszentiván,0,1,0,1
Plochingen near Stuttgart,0,1,0,1
"Plzeň, Česko",1,0,0,1
Podunajské Biskupice,1,0,0,1
"Porto, Portugal",1,0,0,1
"Feldkirch/Innsbruck, Österreich",0,0,1,1
Flawil,0,1,0,1
Oetwil am See,0,1,0,1
Oravská Lesná,1,0,0,1
Oslany,1,0,0,1
Pardubice,1,0,0,1
Patince,1,0,0,1
Pest,0,1,0,1
Pfäffikon SZ,0,1,0,1
Piesok,1,0,0,1
Dunaharaszti,0,1,0,1
Dunajská Lužná,1,0,0,1
Dunaújváros,0,1,0,1
Erlangen,0,1,0,1
Erlangen City Center and remote,0,1,0,1
Esztergom,0,1,0,1
Seon,0,1,0,1
Sindelfingen,0,1,0,1
Crissier,0,1,0,1
Csákvár,0,1,0,1
Davos,0,1,0,1
Devín,1,0,0,1
District of Košice - okolie,1,0,0,1
Dlhé lúky,1,0,0,1
Dolný Hričov,1,0,0,1
Duisburg,0,1,0,1
Rohožník,1,0,0,1
Rumanová,1,0,0,1
"Ružinov, Slovakia",1,0,0,1
Ružomberok,1,0,0,1
"Rybničná, Bratislava",1,0,0,1
Rümlang,0,1,0,1
San Francisco,0,1,0,1
Cologne or Künzelsau,0,1,0,1
Pratteln,0,1,0,1
Pravenec,1,0,0,1
"Prešovský kraj, Košický kraj",1,0,0,1
"Pribinova, Bratislava",1,0,0,1
Pusté Úľany,1,0,0,1
Rankweil,0,0,1,1
Remote,1,0,0,1
Remscheid,0,1,0,1
Bács-Kiskun megye,0,1,0,1
"Békéscsaba, Budapest, Debrecen, Kaposvár, Kecskemét, Salgótarján, Szeged, Szekszárd, Szombathely, Tatabánya, Veszprém, Zalaegerszeg",0,1,0,1
Böblingen,0,1,0,1
Böblingen bei Stuttgart,0,1,0,1
CT Park,1,0,0,1
Svit,1,0,0,1
Szany,0,1,0,1
Szatymaz,0,1,0,1
"Budapest, 12.kerület",0,0,1,1
"Budapest, III. kerület",0,0,1,1
"Budapest, X. kerület",0,1,0,1
"Budapest, XI. kerület",0,1,0,1
Budča,1,0,0,1
Burgdorf or Zürich,0,1,0,1
Bystré,1,0,0,1
Bábolna,0,1,0,1
"Staré Mesto, Slovakia",1,0,0,1
"Staré Mesto, Slovensko",1,0,0,1
"Steyr, Rakúsko",1,0,0,1
"Stupava, Slovensko",1,0,0,1
"Stuttgart, Budapest",0,1,0,1
Stuttgart-Vaihingen,0,1,0,1
Svidník,1,0,0,1
Budapest II. kerület,0,1,0,1
"Slovak Republic, Austria, Abroad",1,0,0,1
"Slovensko, Zahraničie - ostatné",1,0,0,1
Slávičie údolie,1,0,0,1
"Slávičie údolie, Bratislava",1,0,0,1
Snina,1,0,0,1
Sopron,0,0,1,1
Speyer,0,1,0,1
Stará Ľubovňa,1,0,0,1
"Aarburg, Svájc",0,1,0,1
"Špitálska, Bratislava",1,0,0,1
Aarburg,0,1,0,1
Žiar nad Hronom,1,0,0,1
Aachen area,0,1,0,1
"Žilina, Slovensko",1,0,0,1
Aachen,0,1,0,1
"Binningen/ Basel, Switzerland",0,1,0,1
okres Kysucké Nové Mesto,1,0,0,1
okres Prešov,1,0,0,1
Ács,0,1,0,1
Alsónémedi,0,1,0,1
Újhartyán,0,1,0,1
Überlingen,0,1,0,1
Almásfüzitő,0,1,0,1
Allschwil,0,1,0,1
Vaďovce,1,0,0,1
Veľké Kosihy,1,0,0,1
Vlkanová,1,0,0,1
Vrbové,1,0,0,1
Vráble,1,0,0,1
Várpalota,0,1,0,1
Waldshut-Tiengen,0,1,0,1
BALATONFÜRED,0,0,1,1
Trstená,1,0,0,1
"Trstená, Slovensko",1,0,0,1
Távmunka / Remote,0,1,0,1
Uhersky Brod,1,0,0,1
Ulm,0,1,0,1
Unterföhring bei München,0,1,0,1
"Valaliky Industrial Park, Kosice district",1,0,0,1
"Valaliky Industrial Park, Kosice district, Slovakia",1,0,0,1
"Meyrin, Switzerland",0,1,0,1
Mikovíniho,1,0,0,1
"Miskolc, Csanyikvölgy",0,1,0,1
"Mlynské nivy, Bratislava",1,0,0,1
Mládežnícka,1,0,0,1
Modern gyártói környezet,0,0,1,1
Modra,1,0,0,1
Moravany nad Váhom,1,0,0,1
Lungötz / Austria,1,0,0,1
"Lungötz, Austria",1,0,0,1
Luxembourg city,0,1,0,1
Líščie údolie,1,0,0,1
Mannheim/Heidelberg,0,1,0,1
Marcali,0,1,0,1
"Martin, Slovensko",1,0,0,1
Martinsried,0,1,0,1
Yverdon-les-Bains,0,1,0,1
Zalaegerszeg,0,1,0,1
Zavar,1,0,0,1
Zlín,1,0,0,1
Zurich/Basel/Geneva,0,1,0,1
Zwingen,0,1,0,1
Záhony,0,0,1,1
Lucerne,0,1,0,1
Bojnice,1,0,0,1
Borská,1,0,0,1
Wangen b. Dübendorf,0,1,0,1
Wesel,0,1,0,1
Wien (Zentrumnähe),0,0,1,1
"Wiesbaum, Deutschland",1,0,0,1
Wietmarschen-Lohne,0,1,0,1
Winnenden (Stuttgart Area),0,1,0,1
