Programming Language,Profesia,Profession,CVOnline,Total
Python: Basic,4,0,0,4
ABAP OO,1,1,2,4
Python - Expert,4,0,0,4
Vue),0,4,0,4
Java Spring Boot,4,0,0,4
Kumuluzee,4,0,0,4
R/Phyton výhodou,4,0,0,4
Emblem/Radar výhodou,4,0,0,4
Spring MVC,4,0,0,4
Microprofile at least version 3.3,4,0,0,4
Microsoft Excel,4,0,0,4
Hibernate ORM/JPA,4,0,0,4
C# - Advanced,4,0,0,4
Bash/Shell,4,0,0,4
Angular/Polymer/React,4,0,0,4
MS Excel,2,0,2,4
Tomcat,4,0,0,4
JBOSS,4,0,0,4
JPA,4,0,0,4
SQL - Skillful,4,0,0,4
C#/.NET,3,1,0,4
Entity Framework Core,2,2,0,4
Apache Arrow,0,4,0,4
Springboot overview,4,0,0,4
Tailwind CSS,4,0,0,4
Angular - Advanced,4,0,0,4
CSS - Skillful,4,0,0,4
Elasticsearch,3,0,1,4
RPG,2,1,1,4
PHP - Intermediate,4,0,0,4
Laravel (PHP framework) - Expert,4,0,0,4
Python - Basics,4,0,0,4
Object-oriented programming,4,0,0,4
Cucumber,3,1,0,4
JSF,4,0,0,4
LINUXU,4,0,0,4
Java (preferably Java 11+),4,0,0,4
Lambda,4,0,0,4
Ruby on Rails - Advanced,4,0,0,4
Ruby on Rails,4,0,0,4
Unix operation,0,4,0,4
Java - Basic,4,0,0,4
OpenAPI,1,3,0,4
scikit-learn),4,0,0,4
Java/Spring,0,4,0,4
Java SE (Java 8 and newer),4,0,0,4
Java 11+,1,2,0,3
JavaScript (Angular,0,3,0,3
Visual Basic for Applications (VBA),3,0,0,3
Visual Studio,2,1,0,3
Visual Basic,2,1,0,3
ANGULAR,0,3,0,3
ASP.Net,0,1,2,3
WPF,3,0,0,3
ELK,2,0,1,3
webservices,3,0,0,3
.NET Framework 4+,3,0,0,3
.NET Framework 4.8,3,0,0,3
JavaScript: Advanced,3,0,0,3
JavaScript / TypeScript,1,2,0,3
ACCESS,0,3,0,3
X++,2,1,0,3
Jest,3,0,0,3
OOP,3,0,0,3
Nuxt,3,0,0,3
CAN Bus systems,3,0,0,3
SAP Analytics Cloud scripting languages,3,0,0,3
CI/CD,1,1,1,3
RxJS,1,2,0,3
S3,3,0,0,3
OpenShift,2,1,0,3
Frontend,0,2,1,3
Flow Designer,0,3,0,3
PHP (Laravel),1,2,0,3
Oracle PL/SQL,3,0,0,3
Oracle SQL,3,0,0,3
Oracle),2,1,0,3
RDBMS,0,3,0,3
REACT,3,0,0,3
RabbitMQ,2,1,0,3
CL,2,0,1,3
PHP - Pokročilý,3,0,0,3
NextJS,0,3,0,3
Nginx,3,0,0,3
SAP HANA,3,0,0,3
Node.js - Intermediate,3,0,0,3
Golang - Basic,3,0,0,3
GitLab CI/CD,1,1,1,3
GO - Intermediate,3,0,0,3
Google Cloud,3,0,0,3
SQL - Základy,3,0,0,3
Bash: Basic,3,0,0,3
SQL: Advanced,3,0,0,3
C# - Intermediate,3,0,0,3
Sass,3,0,0,3
Sass - Skillful,3,0,0,3
Nette,3,0,0,3
MySQL/MariaDB,0,3,0,3
NATS.IO,3,0,0,3
Natural Language Processing (NLP) - Intermediate,3,0,0,3
Next JS,3,0,0,3
Embedded Linux,2,1,0,3
POSTGRESQL,0,3,0,3
PLC (Siemens),3,0,0,3
PLC programming,1,1,1,3
Camunda framework,3,0,0,3
QML,1,2,0,3
Caching,3,0,0,3
Concourse CI,3,0,0,3
Confluence,1,2,0,3
Cypress: Skillful,3,0,0,3
Messaging,3,0,0,3
Mongo DB,3,0,0,3
SharePoint,2,1,0,3
Security,2,1,0,3
BI,1,2,0,3
Azure Cloud,2,0,1,3
Bash Scripting,3,0,0,3
Spring - Advanced,3,0,0,3
JDBC (SQL),3,0,0,3
IntegrationHub,0,3,0,3
J2EE,1,2,0,3
MariaDB,3,0,0,3
Spring Boot - Pokročilý,3,0,0,3
Spring Data,1,2,0,3
AngularJS - Advanced,3,0,0,3
Tcl,0,3,0,3
Angular - Mierne pokročilý,3,0,0,3
Angular/Typescript,3,0,0,3
Angular JS,2,1,0,3
MS Access- expert,3,0,0,3
MS Excel- expert,3,0,0,3
MATLAB,0,3,0,3
MS Outlook- expert,3,0,0,3
MS Powerpoint- expert,3,0,0,3
MS Project- expert,3,0,0,3
TypeScript/JavaScript,3,0,0,3
Unit Testing - Basic,3,0,0,3
Unix/Linux administration,3,0,0,3
Unreal Engine,0,1,2,3
VBScript,3,0,0,3
LangChain,3,0,0,3
Laravel (PHP framework),3,0,0,3
JUnit/TestNG,3,0,0,3
Java (Kotlin),3,0,0,3
Liquibase,2,1,0,3
DB,3,0,0,3
Cypress - Basic,3,0,0,3
Drupal,2,1,0,3
Docker/Kubernetes,2,0,1,3
at least one object-oriented programming or scripting language,3,0,0,3
AI - Intermediate,3,0,0,3
AI,2,1,0,3
Julia,2,1,0,3
gRPC,1,2,0,3
ABAP - Advanced,3,0,0,3
oData,3,0,0,3
ABAP - Základy,3,0,0,3
ABAP cloud,3,0,0,3
.NET - Advanced,3,0,0,3
.NET 7+,2,0,0,2
batch,2,0,0,2
networking fundamentals,2,0,0,2
AI eszközök használata,0,0,2,2
ADA,0,2,0,2
AGILIS,0,2,0,2
jscript/vbscript,2,0,0,2
XSLT,1,1,0,2
YAML,2,0,0,2
XCode,2,0,0,2
XML - Basics,2,0,0,2
Windows/Linux OP rendszer,0,0,2,2
WireMock,2,0,0,2
WordPress - Advanced,2,0,0,2
Wordpress,1,1,0,2
Windows PowerShell,2,0,0,2
JavaScript - Základy,2,0,0,2
JavaScript UI frameworks such as Angular,2,0,0,2
JavaScript/TypeScript - Good understanding and solid software engineering skills,2,0,0,2
JavaScript (preferred),2,0,0,2
JavaScript (Cypress),1,1,0,2
JavaScript (React),0,2,0,2
.Net Blazor,0,0,2,2
.NET core,2,0,0,2
.NET desktop/mobile development,2,0,0,2
.NET (.NET Core / .NET 6+),2,0,0,2
Pro*C,0,2,0,2
EJB,2,0,0,2
ES6,2,0,0,2
Docker - Advanced,2,0,0,2
Docker - Intermediate,2,0,0,2
WINDOWS,0,2,0,2
Vue.js V3,2,0,0,2
AWS services: EC2,2,0,0,2
ASP.NET WebAPI/REST/MVC/Blazor,2,0,0,2
ASP.Net Core,2,0,0,2
ASP .NET (WebForms),2,0,0,2
ASP.NET (Framework,2,0,0,2
APEX,2,0,0,2
Unix,1,1,0,2
UiPath,2,0,0,2
UIKit / SwiftUI,0,2,0,2
UNIX,1,1,0,2
TypeScript or JavaScript,2,0,0,2
TypeScript/JavaScript/React,2,0,0,2
Typescript/Angular,2,0,0,2
Wildfly - Pokročilý,2,0,0,2
Agile Scrum,0,2,0,2
Agile/Scrum,0,2,0,2
AZURE,0,2,0,2
Access,0,2,0,2
ActiveMQ,2,0,0,2
VB,1,1,0,2
VB.NET,1,1,0,2
Unity,2,0,0,2
LangGraph,2,0,0,2
LUA,2,0,0,2
VIRTUALIZATION,0,2,0,2
Amazon Web Services (AWS) - Advanced,2,0,0,2
Android Studio,2,0,0,2
Akka,2,0,0,2
Alapszintű hálózati ismeretek,0,0,2,2
Advanced,2,0,0,2
COBOL,1,1,0,2
COBOL - Intermediate,2,0,0,2
React JS,2,0,0,2
React JS / TS,2,0,0,2
React Native - Advanced,2,0,0,2
React - Intermediate,2,0,0,2
RESTful APIs,1,1,0,2
Oracle SQL Developer,2,0,0,2
CSS/SCSS,1,0,1,2
CSS3 - Advanced,2,0,0,2
CUCUMBER,0,2,0,2
CSS - Intermediate,2,0,0,2
CSOM,0,2,0,2
CSS (with SASS),2,0,0,2
CSS - Basics,2,0,0,2
CLOUD,0,2,0,2
FSMS- advanced,2,0,0,2
Excel VBA,1,1,0,2
Erlang,2,0,0,2
Embedded C++: Mierne pokročilý,2,0,0,2
PHP object-based programming,2,0,0,2
PHP - Basic,2,0,0,2
PHP - Expert,2,0,0,2
PC znalosti – MS Office,2,0,0,2
Python - advanced,2,0,0,2
Python - advanced work with ML/NLP ecosystem,2,0,0,2
Python - Úplný začiatočník,2,0,0,2
Python / Flask,2,0,0,2
Python - Familiarity,2,0,0,2
POSTMAN,0,2,0,2
POWER BI,0,2,0,2
F#,1,1,0,2
C: Mierne pokročilý,2,0,0,2
C++: Mierne pokročilý,2,0,0,2
ORACLE C,0,2,0,2
ODATA,0,1,1,2
OData,1,1,0,2
OOP languages,0,2,0,2
Nuxt.js,0,2,0,2
Node.js/TypeScript,2,0,0,2
SAP Data Service,0,2,0,2
SAP BW- advanced,2,0,0,2
SAP Basis,2,0,0,2
SAP Analytics Cloud,0,0,2,2
CAN bus,0,2,0,2
CAP,1,1,0,2
C/C++ - Programming,2,0,0,2
C: Advanced,2,0,0,2
Fiori,1,1,0,2
FireStore),2,0,0,2
Oracle - Intermediate,2,0,0,2
Open API generator,2,0,0,2
OpenCV,1,1,0,2
Objective-C – advanced,2,0,0,2
SAP DDIC,2,0,0,2
SAP Data Intelligence,0,2,0,2
GENIE 2000,2,0,0,2
GIS- advanced,2,0,0,2
GIT - Advanced,2,0,0,2
GIT - Intermediate,2,0,0,2
Fortran,0,2,0,2
Fuse ESB,2,0,0,2
GCP,2,0,0,2
FastAPI - Advanced,2,0,0,2
SAP PS- beginner,2,0,0,2
SAP R/3,2,0,0,2
SAP IS - U- beginner,2,0,0,2
SAP PM- advanced,2,0,0,2
SAP Datasphere,1,1,0,2
SAP FI - AA- beginner,2,0,0,2
SAP FI- beginner,2,0,0,2
SAP CRM- advanced,2,0,0,2
C++/Rust,2,0,0,2
C++ - Expert,2,0,0,2
C++ - Intermediate,2,0,0,2
C++ - Pokročilý,2,0,0,2
C++ (C++11 or newer),2,0,0,2
SAP UI5,0,2,0,2
SAPUI5,2,0,0,2
SAP PP,0,0,2,2
Git - Intermediate,2,0,0,2
Node.js (Express.js,2,0,0,2
Node.js - Expert,2,0,0,2
SQL (ORACLE preferred),2,0,0,2
SQL (Oracle,1,0,1,2
SQL (Oracle),1,1,0,2
SQL (PostgreSQL,0,2,0,2
C++/CLI,0,2,0,2
None,2,0,0,2
Google Cloud Platform,2,0,0,2
Go (Golang),1,1,0,2
GitHub Actions,2,0,0,2
GitLab CI,2,0,0,2
Glide,0,2,0,2
Git - Advanced,2,0,0,2
Git - Expert,2,0,0,2
SQL - výhodou,2,0,0,2
Spring - Pokročilý,2,0,0,2
Siemens,2,0,0,2
Bash scripting,2,0,0,2
Backend,0,2,0,2
BASH,0,2,0,2
BPMN,0,2,0,2
Assembler,2,0,0,2
STM32,1,1,0,2
C# - Základy,2,0,0,2
C / C++,0,2,0,2
Bedrock,2,0,0,2
SQL: Basic,2,0,0,2
SQL/NoSQL,2,0,0,2
SQL - intermediate,2,0,0,2
SQL - pokročilý,2,0,0,2
Nest.js),2,0,0,2
NET,2,0,0,2
NETWORK,0,2,0,2
NOSQL,0,2,0,2
SVN,0,2,0,2
SageMaker,2,0,0,2
SQS,2,0,0,2
SRI - system incident management- beginner,2,0,0,2
NoSQL databases (PostgreSQL,2,0,0,2
Node,1,1,0,2
NgRx,1,1,0,2
No-SQL,2,0,0,2
Networking - Expert,2,0,0,2
HTML - Expert,2,0,0,2
GraphAPI),0,2,0,2
GraphQL - Advanced,2,0,0,2
Appium,2,0,0,2
Apache CXF,2,0,0,2
Storm and object-based programming,2,0,0,2
Spring boot,2,0,0,2
Spring framework,1,0,1,2
SpringBoot,1,0,1,2
Spring Framework - Advanced,2,0,0,2
Spring Boot - Expert,2,0,0,2
Microsoft Excel - pokročilý,2,0,0,2
Microservice architektúra,2,0,0,2
Microsoft .NET Framework - Advanced,2,0,0,2
Microsoft Access - Intermediate,2,0,0,2
Archimate,2,0,0,2
Apache Drools,2,0,0,2
Apache Tomcat,2,0,0,2
Apex code,2,0,0,2
Hibernate/JPA,0,1,1,2
HTML5 - Advanced,2,0,0,2
HTML5/CSS3,2,0,0,2
Haskell,2,0,0,2
Middleware,0,2,0,2
Microsoft Power BI - Advanced,2,0,0,2
Microsoft SQL Server,2,0,0,2
Microsoft SQL Server - Advanced,2,0,0,2
Security - Advanced,2,0,0,2
SharePoint REST,0,2,0,2
SciPy,2,0,0,2
Scikit-learn,2,0,0,2
MySQL/MARIA DB,2,0,0,2
MongoDB),1,1,0,2
IBM DB2 Administration - Advanced,2,0,0,2
IEC 61131-3,1,1,0,2
Lombok,2,0,0,2
Java - Basics,2,0,0,2
Java - Expert,2,0,0,2
Java - Základy,2,0,0,2
Java (Spring Boot,2,0,0,2
JUNIT,0,2,0,2
Jaeger,2,0,0,2
LabView,2,0,0,2
Angular - Pokročilý,2,0,0,2
Angular (2+),2,0,0,2
TailwindCSS,1,1,0,2
TYPO3,2,0,0,2
TCL,1,1,0,2
TIA Portal,1,1,0,2
Swift – advanced,2,0,0,2
MQ,2,0,0,2
MAVEN,0,2,0,2
MLflow,2,0,0,2
MONGODB,0,2,0,2
TypeScript - Intermediate,2,0,0,2
Thought Machine Vault,2,0,0,2
Angular 2+,0,2,0,2
Angular (ideally 15),2,0,0,2
Angular - Expert,2,0,0,2
MVVM,1,1,0,2
MapStruct,2,0,0,2
JMETER,0,2,0,2
JENKINS,0,2,0,2
IEC-Programmiersprachen,0,0,2,2
INTELLIJ,0,2,0,2
MS Word- expert,2,0,0,2
MS SQL Server,2,0,0,2
.NET 8,2,0,0,2
ABAP - Intermediate,2,0,0,2
.NET Core 3.1+,2,0,0,2
.NET (ideally .NET 8),0,2,0,2
numpy),2,0,0,2
.NET - Pokročilý,2,0,0,2
.NET 6+,0,2,0,2
Docker - Pokročilý,2,0,0,2
Joomla,2,0,0,2
Jython,1,1,0,2
Jetpack,0,2,0,2
Jira,2,0,0,2
shell scripting,2,0,0,2
.HTML,0,2,0,2
ABAP (classic and/or OO),0,0,2,2
ABAP (classic or OO),0,0,2,2
Java/J2EE,2,0,0,2
Java/Kotlin,0,2,0,2
Java11+,0,2,0,2
Java EE - Pokročilý,2,0,0,2
Java / Spring,2,0,0,2
Keras,1,1,0,2
Konténerizációs technológiák,0,0,2,2
Kafka),2,0,0,2
API (REST,1,1,0,2
Visual Basic .NET - Advanced,2,0,0,2
VeriStand,0,0,2,2
Verilog,1,1,0,2
Virtualization,1,1,0,2
Kotlin - Advanced,2,0,0,2
Java: Basic,2,0,0,2
JavaScript (Angular),2,0,0,2
CloudWatch,2,0,0,2
CodeIgniter,0,2,0,2
Cassandra,2,0,0,2
Cloud,2,0,0,2
Cloud & DevOps - Docker,2,0,0,2
Quarkus),2,0,0,2
Qt,1,1,0,2
Python Master,2,0,0,2
CosmosDB,2,0,0,2
Pyspark,2,0,0,2
Python (Advanced),2,0,0,2
PySpark - Advanced,2,0,0,2
PrimeFaces - Pokročilý,2,0,0,2
R - výhodou,2,0,0,2
RAP,0,2,0,2
Core),2,0,0,2
Python (minimálne scikit-learn,2,0,0,2
Python (preferred),2,0,0,2
Python (NumPy,2,0,0,2
Python (NumPy/Pandas),2,0,0,2
Dart,2,0,0,2
Data Analysis - Advanced,2,0,0,2
DEBIAN,0,2,0,2
DEVOPS,0,2,0,2
Power Platform,1,0,1,2
Power BI - Basics,2,0,0,2
PostgreSQL),1,0,1,2
Pinia,2,0,0,2
PnP,0,2,0,2
Pandas),2,0,0,2
Python - Mierne pokročilý,2,0,0,2
Python - Skillful,2,0,0,2
ABAP/4,1,0,0,1
.NET (backend),1,0,0,1
AI - Basic,1,0,0,1
AI - Basics,1,0,0,1
AI Specialist,1,0,0,1
AL (Application Lifecycle),0,1,0,1
ANDROID,0,1,0,1
ZBasic network skills - Co je to DHCP,1,0,0,1
Zabbix,1,0,0,1
Zabbix - Advanced,1,0,0,1
ABAP/ABAP OO,0,1,0,1
ABB,1,0,0,1
ACCESS DATABASES,0,1,0,1
ACM,0,1,0,1
ADATTÁRHÁZ,0,1,0,1
ADF,0,1,0,1
AEL,0,1,0,1
AI - Advanced,1,0,0,1
macros),1,0,0,1
messaging (RabbitMQ,1,0,0,1
microservice architektúra,0,1,0,1
microservice design patterns,1,0,0,1
microservices,1,0,0,1
microservices - Advanced,1,0,0,1
microservices design,1,0,0,1
.NET Core or later,1,0,0,1
Xamarin forms,0,1,0,1
Xamarin/MAUI,1,0,0,1
Yaml,1,0,0,1
Yii,0,1,0,1
jQuery - Basics,1,0,0,1
jQuery - Pokročilý,1,0,0,1
k6,1,0,0,1
ksh,0,1,0,1
Jira: Intermediate,1,0,0,1
Jupyter - Pokročilý,1,0,0,1
Jó programozási és hibakeresési készségek,0,1,0,1
K8s,0,1,0,1
KNIME,0,1,0,1
KRL,1,0,0,1
KUKA,1,0,0,1
KUKA robotics: intermediate (B1),1,0,0,1
Javascript),1,0,0,1
Jenkins / GitLab,1,0,0,1
Jenkins / GitLab - Advanced,1,0,0,1
Jest testing library,1,0,0,1
Jinja2,1,0,0,1
Jira - Basic,1,0,0,1
Jira),0,1,0,1
Jira: Basic,1,0,0,1
JavaScript (React/Angular),1,0,0,1
JavaScript (Vue),0,1,0,1
JavaScript - Expert,1,0,0,1
JavaScript / Node.js,1,0,0,1
JavaScript),0,1,0,1
JavaScript/jQuery - Advanced,1,0,0,1
JavaScript: Basic,1,0,0,1
JavaScript: Basics,1,0,0,1
.NET6,1,0,0,1
.NET: Basic,1,0,0,1
.Net/Java/Javascript,1,0,0,1
.PHP,0,1,0,1
.NET (Core / .NET 6+),1,0,0,1
JavaScript (ES2016+,1,0,0,1
JavaScript (ES6),1,0,0,1
JavaScript (Node.js),1,0,0,1
Kotlin/Java,0,1,0,1
Kubernetes (Rancher/OpenShift),1,0,0,1
Kubernetes - Advanced,1,0,0,1
Kubernetes - Advanced (CKA,1,0,0,1
Kubernetes - Basic,1,0,0,1
Kubernetes - Basics,1,0,0,1
Kubernetes),1,0,0,1
Kubernetes/EKS,0,1,0,1
Java/JavaScript/Python,1,0,0,1
Java: Advanced,1,0,0,1
Java: B2,1,0,0,1
Java: Basics,1,0,0,1
Java: Pokročilý,1,0,0,1
JavaScirpt,1,0,0,1
Kotlin (experience with development of native Android applications in Kotlin is an advantage),1,0,0,1
Kotlin - Intermediate,1,0,0,1
Java 17 + Kotlin,1,0,0,1
Java 8 or higher,1,0,0,1
Java 8+,1,0,0,1
Java 8/11/17,1,0,0,1
Java Core,1,0,0,1
Java Message Service (JMS),1,0,0,1
Java Springboot,0,1,0,1
Java-Script,0,0,1,1
Kanban,0,1,0,1
Karat,1,0,0,1
Karel,1,0,0,1
Kdb+,1,0,0,1
Knative,0,1,0,1
Knowledgeable in programming,1,0,0,1
Korn-shell,1,0,0,1
Java 11/17/21/22,0,0,1,1
Laravel (PHP framework) - Intermediate,1,0,0,1
Laravel - Advanced,1,0,0,1
Laravel - Intermediate,1,0,0,1
Laravel 7 or higher,1,0,0,1
Laravel Nova,1,0,0,1
Lazarus,1,0,0,1
Lightning Web Components,1,0,0,1
Lightning Web Components (LWC),0,1,0,1
Java (Spring),1,0,0,1
Java (Spring-Boot / Quarkus),1,0,0,1
Java (at least Java 8),1,0,0,1
Java (for Android),1,0,0,1
Java (inferred from Kotlin,1,0,0,1
Java (min. 4 roky skúseností) – preferovaná verzia Java 21+,1,0,0,1
Java (základy),1,0,0,1
Java - Mierne pokročilý,1,0,0,1
Laravel (PHP framework) - Advanced,1,0,0,1
JUnit,1,0,0,1
JVM runtime,1,0,0,1
Jakarta EE - Pokročilý,1,0,0,1
Java (8 and 21+),1,0,0,1
Java (Git,0,1,0,1
Java (J2EE),0,0,1,1
Java (Spark),0,1,0,1
LAD,0,0,1,1
LAMP,1,0,0,1
LESS/SASS/CSS3,1,0,0,1
LLM - Advanced,1,0,0,1
LLM API - Advanced,1,0,0,1
LWC,0,1,0,1
LabVIEW - Advanced,1,0,0,1
Labview,0,1,0,1
MS Azure,1,0,0,1
MS Dossier,1,0,0,1
MS Excel (advanced level,1,0,0,1
MS Office,1,0,0,1
MS SQL (procedures,0,0,1,1
MS SQL - Advanced,1,0,0,1
MS Server,0,0,1,1
MS Visio/Miro,0,1,0,1
LlamaIndex,1,0,0,1
Looker,1,0,0,1
M365,0,0,1,1
MDM – pokročilý,1,0,0,1
MQ / messaging - Advanced,1,0,0,1
MQ V7R3,0,0,1,1
MQTT,0,1,0,1
MS 365,1,0,0,1
Linux Docker,0,1,0,1
Linux OS - Expert,1,0,0,1
Linux OS - Intermediate,1,0,0,1
Linux Operating System,1,0,0,1
Linux Operating System - Expert,1,0,0,1
Linux Red Hat,1,0,0,1
Linux shell scripting,0,0,1,1
Linux zaklady,1,0,0,1
Linux (RHEL),1,0,0,1
Linux (Suse,1,0,0,1
Linux (Ubuntu,1,0,0,1
Linux (Ubuntu/Debian),0,1,0,1
