Language Requirement,Profesia,Profession,CVOnline,Total
Angol középfok,0,6,0,6
English: Moderately Advanced (B1),6,0,0,6
German: Upper intermediate (B2) or Advanced (C1),6,0,0,6
Czech: B2,6,0,0,6
French: C2,2,2,1,5
Ukrainian: C1,4,1,0,5
Slovak: Fluent,5,0,0,5
Swedish: C1-C2,5,0,0,5
Slovak: Upper intermediate (B2),5,0,0,5
Slovenský jazyk - Stredne pokročilý (B2),5,0,0,5
German: Advanced,4,1,0,5
German: Upper Intermediate (B2),5,0,0,5
English - Intermediate (B1),5,0,0,5
German: B2+,3,2,0,5
English: Intermediate Advanced (B2),5,0,0,5
English: Elementary (B1),5,0,0,5
German: Advanced (C1),5,0,0,5
French: C1,0,4,1,5
German: Nice to have,4,1,0,5
English: Proficient,2,0,2,4
English: Fluently,3,0,1,4
Czech: Advanced (C1),4,0,0,4
Aktívna komunikácia v angličtine,4,0,0,4
Anglický jazyk na úrovni B2 výhodou,4,0,0,4
German: Intermediate (B2),4,0,0,4
Dutch: C1,0,0,4,4
Polish: C1,4,0,0,4
Magyar nyelv - Haladó (C1),4,0,0,4
Magyar nyelv - Középszint (B2),4,0,0,4
Slovak: C1+,4,0,0,4
Czech: C2,3,1,0,4
Slovak language - Advanced (C1),4,0,0,4
Slovak - Advanced (C1),4,0,0,4
Danish: C1-C2,4,0,0,4
Magabiztos angol nyelvtudás,0,0,4,4
German: Beneficial,0,4,0,4
German: advantageous,3,1,0,4
Englisch B1,0,0,4,4
English: Upper-intermediate (B2) and Slovak: Proficiency (C2),4,0,0,4
Slovakian: Expert (C2),4,0,0,4
English: Moderately advanced (B1),4,0,0,4
German: Proficient,3,1,0,4
Czech/Slovak: Native,3,0,0,3
Angol nyelv - Középszint (B2),3,0,0,3
Slovak: Mastery level (C2),3,0,0,3
Holland: C1,0,0,3,3
German: Upper-Intermediate,0,2,1,3
German: optional,3,0,0,3
German: B2 or higher,1,2,0,3
German: Upper intermediate (B2) or advanced (C1),3,0,0,3
Italian: A2,1,2,0,3
Czech: Upper intermediate (B2),3,0,0,3
Deutsch B2,0,0,3,3
Deutsch: B2,0,1,2,3
Slovak language - Expert (C2),3,0,0,3
Magyar középfok,0,3,0,3
Norwegian: B1,0,3,0,3
English language - Intermediate (B1),3,0,0,3
German: Full working proficiency,0,3,0,3
German: Fluency,0,3,0,3
French: Intermediate,0,3,0,3
French: B1,0,3,0,3
German: Advanced communication level,3,0,0,3
English: C-Level,3,0,0,3
English: Business English,0,3,0,3
Dutch: B2,1,2,0,3
English: Beginner (A2),3,0,0,3
German - Upper intermediate (B2),3,0,0,3
German: B-Level,3,0,0,3
English: Upper intermediate (B2) or advanced (C1),3,0,0,3
English: Stredne pokročilý (B2),3,0,0,3
English: Intermediate (B1),3,0,0,3
English: Fluent,2,1,0,3
Slovak: Stredne pokročilý (B2),3,0,0,3
Fluent German and English,0,2,0,2
German: Professional level,0,2,0,2
French: Mittel,0,2,0,2
German language knowledge is a plus,2,0,0,2
German: Beginner,1,1,0,2
English: Moderately proficient (B1),2,0,0,2
English: Not specified,2,0,0,2
English: Upper-intermediate,2,0,0,2
English: Advanced (B2),2,0,0,2
Slovenský: Stredne pokročilý (B2),2,0,0,2
English: Beginner (A1),2,0,0,2
English: Intermediate proficient (B2),2,0,0,2
German: B1-B2,1,1,0,2
Swedish: B1,0,2,0,2
German: Upper-intermediate,0,2,0,2
German,1,1,0,2
German: Business fluent,0,2,0,2
English: B2 level and above,2,0,0,2
Slovakian: C1,2,0,0,2
English: Very good,2,0,0,2
English: Intermediate,1,1,0,2
Deutsche Sprache - Obere Mittelstufe (B2),2,0,0,2
English: C1+,2,0,0,2
English: B1/B2,2,0,0,2
Finnish: B1,0,2,0,2
Dutch: B1,0,2,0,2
Local office language(s): B1,0,2,0,2
Italian: Any level optional,2,0,0,2
Hungarian: Intermediate (B2),2,0,0,2
Hungarian: Native or equivalent,0,2,0,2
English (professional),0,2,0,2
Dutch: Mittel,0,2,0,2
Dutch: Professional level,0,2,0,2
Magyar: Magyar,0,2,0,2
Magyar: Középfok,0,2,0,2
Magyar: Magas,0,0,2,2
Magyar,0,2,0,2
Magyar anyanyelvi szint,0,2,0,2
Polish: B2,0,2,0,2
Angličtina: Dobrá,2,0,0,2
Nemčina je výhodou,2,0,0,2
Slovak: B2+,2,0,0,2
Russian: B2,0,2,0,2
Angol: Magas,0,0,2,2
Angol felsőfok,0,2,0,2
Angol nyelv - Alapszint (A2),2,0,0,2
Angličtina – na pokročilej komunikačnej úrovni (slovom aj písmom),2,0,0,2
Slovak: Intermediate,2,0,0,2
Anglický jazyk - Mírně pokročilý (B1),2,0,0,2
Čeština: Profesionální,2,0,0,2
Znalosť angličtiny na úrovni C1,2,0,0,2
angličtina: B2,2,0,0,2
both written and spoken,0,2,0,2
Szlovák nyelv - Küszöbszint (B1),2,0,0,2
Szlovák nyelv - Mesterfok (C2),2,0,0,2
Ukrainian: B2,1,1,0,2
Anglický: Stredne pokročilý (B2),2,0,0,2
Slovenský jazyk na úrovni rodeného hovorcu (C2),1,0,0,1
Slovenčina: Natívna úrovňa,1,0,0,1
Slovenčina: Plynulý,1,0,0,1
Slovenčina: Stredne pokročilý (B2),1,0,0,1
Active English (at least C1),1,0,0,1
Slovakian min.a English and Hungarian,1,0,0,1
Slovakian or Czech: Fluent,1,0,0,1
Slovakian: Advanced (C1),1,0,0,1
Slovakian: Intermediate (B2),1,0,0,1
Angol: Középfok,0,1,0,1
Slovak: Native-level,1,0,0,1
Slovak: Pokročilý (C1),1,0,0,1
Slovak: Proficient in spoken and written communication,1,0,0,1
Slovakian - required,1,0,0,1
English language - Upper Intermediate (B2),1,0,0,1
English – Upper Intermediate (B2),1,0,0,1
English: ADVANTAGE,1,0,0,1
English: Active,1,0,0,1
English: Advanced,1,0,0,1
English: Professional working level,1,0,0,1
English: Proficient (C1),1,0,0,1
English: Intermediate (written),1,0,0,1
English: Middle Advanced (B2),1,0,0,1
English: Moderate advanced (B1),1,0,0,1
English: Fluent in spoken and written,1,0,0,1
English: Fluent or advanced proficiency (B2–C2),1,0,0,1
English: Fluent speaking and writing,0,0,1,1
English: Fortgeschritten,0,1,0,1
English: C1 / C2 Level,0,1,0,1
English: C1-C2,1,0,0,1
English: Excellent,0,1,0,1
English: Fluency,0,1,0,1
French: Intermediate (B2-CEFR),1,0,0,1
French: Native Speaker,0,1,0,1
French: Native speaker level,0,1,0,1
French: Upper intermediate (B2),1,0,0,1
French: Working knowledge,0,1,0,1
Fluent Slovak language,1,0,0,1
French: B2 or above,1,0,0,1
French: B2 or higher,0,1,0,1
French: B2+,1,0,0,1
English: Upper-intermediate or higher,1,0,0,1
English: Very Good,1,0,0,1
English: Very good level,1,0,0,1
English: professional,0,1,0,1
Slovenský jazyk - Mierne pokročilý (B1),1,0,0,1
Fluent Slovak and/or Czech,1,0,0,1
English: Upper intermediate (B2) or Slovak: Advanced (C1),1,0,0,1
English: Upper-Intermediate or higher,0,1,0,1
English: Upper-intermediate (B2),1,0,0,1
English: Upper-intermediate (B2) or higher,1,0,0,1
German: B2 - C1,1,0,0,1
German: B2 - C1 – mandatory,1,0,0,1
German: B2 - advantage,1,0,0,1
German: B2 level upwards,1,0,0,1
German: B2 or C1,1,0,0,1
German: Advantage (Nice to have),1,0,0,1
German: Advantage or willingness to acquire,0,1,0,1
German: Advantaged,1,0,0,1
German language skills are an advantage,1,0,0,1
German language skills beneficial,1,0,0,1
German or French: Intermediate,0,1,0,1
German proficiency desirable,1,0,0,1
Deutsch: Perfekt,0,0,1,1
Deutsche Sprache - Fortgeschrittene (C1),1,0,0,1
Driver's license B,1,0,0,1
English: B2–C1 preferred,1,0,0,1
English: B2–C2,1,0,0,1
English: Basic,1,0,0,1
English: B2 - C1,1,0,0,1
English: B2 - required,1,0,0,1
English: B2+/C1,1,0,0,1
English: B2-C1,0,0,1,1
English: B2/C1,1,0,0,1
English: B1 - písomne aj verbálne,1,0,0,1
English: B1 or higher,1,0,0,1
English: B1–B2,1,0,0,1
English language - Moderately advanced (B1),1,0,0,1
German - Advanced (C1),1,0,0,1
German - Intermediate (B1),1,0,0,1
German - Upper intermediate (B2) or English - Upper intermediate (B2),1,0,0,1
German is a plus,1,0,0,1
German knowledge is an advantage,0,1,0,1
German language is a plus,1,0,0,1
German: High proficiency,0,1,0,1
German: Intermediate (B2-CEFR),1,0,0,1
German: Intermediate (not required),0,0,1,1
German: Knowledge is a plus,1,0,0,1
German: Knowledgeable,1,0,0,1
German: CEFRL Niveau Mittel,0,1,0,1
German: CEFRL1-3,0,1,0,1
German: Fluency considered as an added value,0,1,0,1
German: Fluently,0,1,0,1
German: Benefit,0,1,0,1
German: Business Fluency,0,1,0,1
German: Business fluent (written and verbal),1,0,0,1
German: Business-fluent,0,1,0,1
German: C1 or Native,0,1,0,1
German: C1 or higher,0,0,1,1
German: B2 or above,1,0,0,1
German: B2-C1,0,0,1,1
German: Basic knowledge,1,0,0,1
German: VAGY B2,0,0,1,1
German: Very good written and spoken skills,1,0,0,1
German: advantage,1,0,0,1
Holland (C1): Speaking and Writing,0,0,1,1
German: Strong advantage,0,1,0,1
German: Upper Intermediate (B2) - Advantage,1,0,0,1
German: Upper intermediate,1,0,0,1
German: Not specified,0,0,1,1
German: Német felsőfok,0,1,0,1
German: Optional,1,0,0,1
German: Place of work,1,0,0,1
German: Professional working level,1,0,0,1
German: Proficiency (B2),1,0,0,1
German: Native Speaker,0,1,0,1
German: Native or fluent,0,1,0,1
German: Native speaker level,0,1,0,1
German: Native-level,1,0,0,1
German: Nice to Have,1,0,0,1
Italian: C1,0,1,0,1
Italian: Intermediate,0,1,0,1
Italian: Native speaker level,0,1,0,1
Italian: Upper intermediate (B2),1,0,0,1
Italian: Vantage,1,0,0,1
Italian: any level optional,1,0,0,1
Slovak: Advanced (C1) and English: Elementary (B1),1,0,0,1
Hungarian: Native speaker,0,0,1,1
Hungarian: native,0,0,1,1
Icelandic: B1,0,1,0,1
Slovak: Advanced (C1) and English: Intermediate (B1),1,0,0,1
Italian: B1,1,0,0,1
Italian: B2 or higher,0,1,0,1
Hungarian: F2,0,1,0,1
Hungarian: Fluent,0,1,0,1
Hungarian: Fluent in,0,0,1,1
Hungarian: High School with Diploma,0,1,0,1
Hungarian: Intermediate (B1),1,0,0,1
Slovak: Advanced (C1) and English: Intermediate (B2),1,0,0,1
Serbian,1,0,0,1
Hungarian,0,1,0,1
Any other European language: B2,1,0,0,1
Arabic: B2,1,0,0,1
Basic (spoken),1,0,0,1
Bulgarian) are welcome,1,0,0,1
Chinese: A1,0,1,0,1
Chinese: C2,0,1,0,1
Chinese: Fluent,1,0,0,1
English - Intermediate (B2),1,0,0,1
English - Mierne pokročilý (B1),1,0,0,1
English - Upper intermediate (B2) and Slovak - Upper intermediate (B2),1,0,0,1
English - na pokročilej komunikačnej úrovni (slovom aj písmom),1,0,0,1
English language - Advanced (C1),1,0,0,1
English language - Intermediate advanced (B2),1,0,0,1
Englische Sprache - Untere Mittelstufe (B1),1,0,0,1
English (B2): Speaking and Writing,0,0,1,1
Slovak,1,0,0,1
English - Advanced (C1) and Czech - Advanced (C1),1,0,0,1
English - B1,1,0,0,1
English - B2 or better,1,0,0,1
Slovak - Intermediate (B1),1,0,0,1
Slovak - communicative level,1,0,0,1
Englisch von Vorteil,1,0,0,1
Englisch: B2-C1,0,0,1,1
Englisch: Good (in Word and Writing),0,0,1,1
Englische Sprache - Obere Mittelstufe (B2),1,0,0,1
Deutsch: C1-C2,0,0,1,1
Hungarian: A2,1,0,0,1
Hungarian: Advanced,0,0,1,1
Hungarian: C1 or higher,0,0,1,1
Magyar: Szint 3,0,1,0,1
Magyar: középfok,0,1,0,1
Magyar: Általános iskolai tananyag,0,1,0,1
Magyar: Általános iskolai tananyag (AIT),0,1,0,1
Mandarin: A1,1,0,0,1
Maďarský jazyk - Expert (C2),1,0,0,1
Maďarský jazyk - Pokročilý (C1),1,0,0,1
Maďarský jazyk - Stredne pokročilý (B2),1,0,0,1
Romanian,1,0,0,1
Magyar: Magyar nyelv (háromszoros szint),0,1,0,1
Magyar: Magyar nyelv (indigén),0,1,0,1
Magyar: Magyar nyelv ismerete,0,1,0,1
Magyar: Magyarlanc,0,1,0,1
Magyar: Magyarlancos,0,0,1,1
Magyar: Magyarországon belül bárhonnan végezhető,0,1,0,1
Magyar: Magyarázó,0,1,0,1
Magyar: Anyanyelv,0,1,0,1
Magyar: C1,0,1,0,1
Magyar: Felsőfok,0,1,0,1
Spanish: B2+,1,0,0,1
Spanish: C1,0,1,0,1
Magyar: Magas szintű,0,1,0,1
Spanish: Intermediate,0,1,0,1
Magyar (Társalgási szint),0,1,0,1
Spanish: Required,1,0,0,1
Magyar anyanyelvi szint 1-3 év,0,1,0,1
Magyar anyanyelvi szint: Középfok,0,1,0,1
Magyar felsőfok,0,1,0,1
Magyar felsőfok 3-5 év tapasztalat,0,1,0,1
Polish: Advanced (C1),1,0,0,1
ANGOL/NÉMET nyelvű önéletrajz,0,1,0,1
Polish: Fluent,1,0,0,1
Portuguese: A2,0,0,1,1
Portuguese: B1,0,1,0,1
Portuguese: B2,0,1,0,1
Portuguese: Business Fluent,1,0,0,1
Německý jazyk - Mírně pokročilý (B1),1,0,0,1
Deutsch - Fortgeschrittene Mittelstufe (B2),1,0,0,1
Oslovenie anglického jazyka – stredne pokročilý (B2),1,0,0,1
Other CEE languages (Hungarian,1,0,0,1
Plosh: Advanced,0,0,1,1
Plynuľa angličtina: minimálne úroveň B2,1,0,0,1
Polish,1,0,0,1
Polish - Advanced (C1),1,0,0,1
Nemčina výhodou,1,0,0,1
Nemčina: Stredne pokročilý (B2),1,0,0,1
Német (Középfok 1-3 év tapasztalat),0,1,0,1
Német felsőfok,0,1,0,1
Német középfok,0,1,0,1
Német középfok 3-5 év tapasztalat,0,1,0,1
Min. egy idegen nyelv társalgási szintű ismerete,0,1,0,1
Nemecký jazyk - Expert (C2),1,0,0,1
Nemecký jazyk - výhodou,1,0,0,1
Nemecký jazyk na komunikatívnej úrovni,1,0,0,1
Deutsch - Pokročilý (C1),1,0,0,1
Slovak: Advanced (C1) and English: Intermediate advanced (B2),1,0,0,1
Deutsch C1,0,0,1,1
Slovak: C1 - C2,1,0,0,1
Slovak: C1-C2,1,0,0,1
Slovak language - Advanced (C1) and English language - Intermediate advanced (B2),1,0,0,1
Slovak or Czech at native speaker level,1,0,0,1
Slovak: Advanced (B2) and English: Intermediate (B2),1,0,0,1
Russian: C1 (spoken),0,1,0,1
Russian: C2,1,0,0,1
Russian: Intermediate,0,1,0,1
Angol szakmai nyelvhasználat,0,1,0,1
Angol: A1,0,1,0,1
Angol: B1,0,1,0,1
Angol: Kiváló,0,1,0,1
Deutsch: B1,0,0,1,1
Czech: Expert (C2),1,0,0,1
Angol: Magas szintű,0,1,0,1
AJ - min. B2,1,0,0,1
Angličtinu (alebo nemčinu) na pokročilej komunikatívnej úrovni (slovom aj písmem),1,0,0,1
Angličtinu (alebo nemčinu) na pokročilej komunikatívnej úrovni (slovom aj písmom),1,0,0,1
Czech: Native,1,0,0,1
Czech: Not specified,1,0,0,1
Angol nyelv - Küszöbszint (B1),1,0,0,1
Angol nyelv: Középfok,0,1,0,1
Angličtina - Stredne pokročilý (B2),1,0,0,1
Czech: native,1,0,0,1
Olász: B2,0,1,0,1
Angličtina: Pokročilá,1,0,0,1
Angličtina: Pokročilý (B2),1,0,0,1
Angličtina: Pokročilý (C1),1,0,0,1
Angličtina: Stredne pokročilý (B2),1,0,0,1
Angličtina: komunikatívna úroveň,1,0,0,1
Slovak: C2 level,1,0,0,1
Spanish: Advanced (C1),1,0,0,1
Angol: Rendszeres,0,0,1,1
Danish: C1,1,0,0,1
Slovak: Native level (written and spoken),1,0,0,1
Czech language - Advanced (C1),1,0,0,1
Angličtina (alebo nemčina) na pokročilej komunikatívnej úrovni (slovom aj písmom),1,0,0,1
Čínsky jazyk - Expert (C2),1,0,0,1
'CEFR Level': 'B2'},0,1,0,1
'CEFR Level': 'C1'},0,1,0,1
'Slovak: C2': None},1,0,0,1
(prezentovanie v anglickom jazyku),1,0,0,1
AI - Mierne pokročilý,1,0,0,1
slovenský,1,0,0,1
Anglický jazyk - Expert (C2),1,0,0,1
{'Language': 'English',0,1,0,1
{'Language': 'Italian',0,1,0,1
Czech language - Intermediate advanced (B2),1,0,0,1
Ukrainian: Intermediate,0,1,0,1
Vodičský preukaz B,1,0,0,1
Czech/Slovak: C1,1,0,0,1
advantageous - not a requirement,1,0,0,1
Czech: B1,1,0,0,1
Czech: B2+,1,0,0,1
komunikatívna angličtina,1,0,0,1
resp. český jazyk na plynulej úrovni,1,0,0,1
Another European language: Fluency,1,0,0,1
Russian,1,0,0,1
Ukrainian,1,0,0,1
Ukrainian: Advanced (C1),1,0,0,1
Russian: Advanced (C1),1,0,0,1
Ukrainian: C2,1,0,0,1
Ukrainian: Expert (C2),1,0,0,1
Spanish: B1,0,1,0,1
Anglický jazyk - Základný,1,0,0,1
Anglický jazyk na úrovni B2,1,0,0,1
Anglický jazyk na úrovni pokročilý – výhodou,1,0,0,1
{'English: B2': None,1,0,0,1
Additional Central European language is a plus,0,1,0,1
