job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,location,salary,employment_type,work_hours,responsibilities,requirements,benefits,contact,jobTitle,employmentType,applyUrl,jobDescription,companyInfo,schedule,tech_stack
1853574,SAP business analyst,Hire-One Kft.,https://www.cvonline.hu/hu/allas/sap-business-analyst-1853574,2026-03-09,2026-03-25,True,,Competitive,"Hungarian, English",,ABAP,"SAP MM, SAP PP, S/4HANA",Home-Office (2 times/week),Full-time,5+ years,,,,,,,,,,,,,,,
1843826,Network Monitoring Systems Platform Engineer,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/network-monitoring-systems-platform-engineer-1843826,2026-03-09,2026-03-16,False,,Competitive,English: B2,,,OSS/infrastructure management tools,Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,
1853457,Senior rendszermérnök (Linux rendszermérnök),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-linux-rendszermernok-1853457,2026-03-09,2026-03-25,True,Budapest,,,,,"Red Hat Linux, Satellite, IPA, Ansible",On-site with home office,Full-time,5+ years,,,,,,,,,,,,,,,
1849041,Automatizálási rendszermérnök,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/automatizalasi-rendszermernok-1849041,2026-03-09,2026-03-23,False,Budaörs,,English: B2,High School with Diploma,,"RavenDB, MSSQL, vmWare",On-site,Full-time,1-3 years,,,,,,,,,,,,,,,
1843777,Szoftvertesztelő,Starjobs Magyarország,https://www.cvonline.hu/hu/allas/szoftvertesztelo-1843777,2026-03-09,2026-03-16,False,,,English: B2,"Bachelor, Master, PhD",C#,"VisualStudio, GitHub, JIRA, Polarion",,,3-5 years,,,,,,,,,,,,,,,
1843780,Logisztikai és E-szolgáltatások Üzemeltetési Osztályvezető,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/logisztikai-es-e-szolgaltatasok-uzemeltetesi-osztalyvezeto-1843780,2026-03-09,2026-03-17,False,Budapest,,Hungarian: Native,Bachelor,"DevOps, Azure DevOps, OKD, Red Hat Openshift, Docker, Kubernetes",,,Full-time,3-5 years,,,,,,,,,,,,,,,
1838521,Senior rendszermérnök (IT tervezési rendszermérnök),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-it-tervezesi-rendszermernok-1838521,2026-03-09,2026-03-16,False,Budapest,,English: unknown,,,,,,5+ years,,,,,,,,,,,,,,,
1848994,Unreal Engine/C++ Developer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/unreal-engine-c-developer-1848994,2026-03-09,2026-03-23,False,,,English: B2,"Bachelor, Master","C++, Unreal Engine","Git, Bitbucket, Artifactory, Azure DevOps",,Full-time,3-5 years,,,,,,,,,,,,,,,
1848995,C#/.NET Developer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/c-net-developer-1848995,2026-03-09,2026-03-23,False,,,English: B2,"Bachelor, Master","C#, .Net","REST APIs, MS SQL, PostgreSQL, Git, Bitbucket, Artifactory, Azure DevOps",,Full-time,3-5 years,,,,,,,,,,,,,,,
1719744,Senior Systemadministrator (m/w/d) – Microsoft 365 / VMware / NetApp,Laendle,https://www.cvonline.hu/hu/allas/senior-systemadministrator-m-w-d-microsoft-365-vmware-netapp-1719744,2026-03-09,2026-03-09,False,,,"English: B2, German: C1","Bachelor, Master",,"PowerShell, Automatisierungstools",,,5+ years,,,,,,,,,,,,,,,
1857844,Szoftver Technikus,Pannonjob Kft.,https://www.cvonline.hu/hu/allas/szoftver-technikus-1857844,2026-03-09,2026-03-25,True,Üllő,,English: A1,,,,On-site,Full-time,3-5 years,,,,,,,,,,,,,,,
1843555,Senior SAP Consultant (w/m/x),"{'name': 'Erfolgreiches IT-Beratungsunternehmen', 'industry': 'Handels- und Konsumgüterindustrie', 'employees': 'Über 150 Mitarbeiter', 'location': 'Europaweit'}",https://www.cvonline.hu/hu/allas/senior-sap-consultant-w-m-x-1843555,2026-03-09,2026-03-14,False,,,,,,,,,,"Salzburg, Oberösterreich, Wien","{'min': '3.500€', 'max': '6.000€'}",Vollzeit (ab 38 Wochenstunden),4 Tage in der Woche,"Umfassende Beratung und Betreuung von Kunden im nationalen und internationalen Retail-Umfeld, Unterstützung und Begleitung von SAP-Projekten im Einzelhandelsbereich, Erarbeitung effizienter Strukturen gemeinsam mit dem Kunden, Projekt- sowie Prozessmanagement","Abgeschlossene höhere Ausbildung (FH/Uni), Mehrjährige Berufserfahrung im SAP-Umfeld, Kenntnisse im Retail-Umfeld wünschenswert, Ausgeprägtes Prozessverständnis sowie Kundenorientierung, Selbständige Arbeitsweise und Reisebereitschaft, Sehr gute Deutsch- und Englischkenntnisse","Firmenauto, welches auch privat genutzt werden kann, Workation Möglichkeit, Unterstützung beim Eigenheimbau mit einem geringen Zinssatz, Individuelle Weiterbildungs- und Weiterentwicklungsmöglichkeiten in der SAP-Welt, Abwechslungsreiche SAP-Projekte im internationalen Umfeld, Kollegiales und hochmotiviertes Team, Flexible Arbeitseinteilung mit Home-Office Möglichkeit","{'name': 'Monir Forster Recruiting Partner IT', 'phone': '+43 732 61 12 21 -225', 'email': '', 'website': ''}",,,,,,,
1843561,Solution Architect Specialist,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/solution-architect-specialist-1843561,2026-03-09,2026-03-16,False,,Competitive base salary,English,Master,,,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,
1838314,DevOps Engineer (mid-level / senior),Trenkwalder Kft,https://www.cvonline.hu/hu/allas/devops-engineer-mid-level-senior-1838314,2026-03-09,2026-03-09,False,,,"English, Hungarian",BSc/MSc in Computer Science or related field,Shell,"Docker, Kubernetes, Terraform, Prometheus, Grafana, Datadog, AWS/Azure cloud services, RabbitMQ",Home-Office,Full-time,3+ years,,,,,,,,,,,,,,,
1853267,Informatikai szolgáltatás menedzsment munkatárs,MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/informatikai-szolgaltatas-menedzsment-munkatars-1853267,2026-03-09,2026-03-25,True,Budapest,,English: C1,Master,,,On-site,Full-time,5+ years,,,,,,,,,,,,,,,
1853243,Műszaki promóter,Mind-Diák Szövetkezet,https://www.cvonline.hu/hu/allas/muszaki-promoter-1853243,2026-03-09,2026-03-25,True,Soroksár,,English,,,,On-site with home office,Short-term,0-1 years,,,,,,,,,,,,,,,
1853247,Sales Support Intern,Mind-Diák Szövetkezet,https://www.cvonline.hu/hu/allas/sales-support-intern-1853247,2026-03-09,2026-03-25,True,,2500 HUF/hour gross,English: Advanced,,,"MS Office (Excel, Word, PowerPoint, Outlook)",Hybrid,Short-term,0-1 years,,,,,,,,,,,,,,,
1843506,Rendszergazda gyakornok,Mind-Diák Szövetkezet,https://www.cvonline.hu/hu/allas/rendszergazda-gyakornok-1843506,2026-03-09,2026-03-16,False,,2145 HUF/hour,Hungarian: Native,High School with Diploma,Windows/Linux,Active Directory,On-site,Full-time,,,,,,,,,,,,,,,,
1715286,Data Engineer/Data Modeler für den Bereich Data & Analytics (m/w/d),Laendle,https://www.cvonline.hu/hu/allas/data-engineer-data-modeler-fur-den-bereich-data-analytics-m-w-d-1715286,2026-03-09,2026-03-09,False,,,German: B2,"Bachelor, Master",,"SQL, RDBMS, MS SQL-Server, ETL-tools, Power BI, SSIS, SSRS, SSAS",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,
1853212,Microsoft Dynamics CRM Developer,Hire-One Kft.,https://www.cvonline.hu/hu/allas/microsoft-dynamics-crm-developer-1853212,2026-03-09,2026-03-25,True,,,English: Active,"IT degree, Relevant MS Dynamics CRM development experience","C#, .NET, JavaScript, Power Automate, Plugins",Microsoft Dynamics CRM,Home-Office,Full-time,3-5 years,,,,,,,,,,,,,,,
1853220,Finance Data Analyst,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/finance-data-analyst-1853220,2026-03-09,2026-03-25,True,,,English: Fluent,,"DAX, Power Query, Python, VBA","Power BI, Power Automate, Power Apps, Excel",Hybrid,Full-time,,,,,,,,,,,,,,,,
1853222,Agile Quality Engineer (Mobile  iOS & Android),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/agile-quality-engineer-mobile-ios-android-1853222,2026-03-09,2026-03-25,True,Hungary,,English: B2,,,,Home-Office,Full-time,3-5 years,,,,,,,,,,,,,,,
1843386,Teszt technikus,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/teszt-technikus-1843386,2026-03-09,2026-03-17,False,Komárom,,English: A1,High School with Diploma,,"Windows OS, MS Office, Linux, Ubuntu","3 műszakos munkarend, vagy folyamatos 12 óra vállalása",,,,,,,,,,,,,,,,,
1843413,IT Projectmanager,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/it-projectmanager-1843413,2026-03-09,2026-03-16,False,,,English,,,"Jira, Confluence, Notion",Hybrid,,,,,,,,,,,,,,,,,
1843420,Szolgáltatásmenedzser (Bérszámfejtés tapasztalattal),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/szolgaltatasmenedzser-berszamfejtes-tapasztalattal-1843420,2026-03-09,2026-03-17,False,,,English: Fluent,,,Atlassian products,Home-Office,Full-time,1-3 years,,,,,,,,,,,,,,,
1848719,Medior full stack PHP fejlesztőt,Viapan „Dologidő” Kft.,https://www.cvonline.hu/hu/allas/medior-full-stack-php-fejlesztot-1848719,2026-03-09,2026-03-14,False,Tata,,English: B2,,"PHP, JavaScript","Git, PostgreSQL, Linux",On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,
1848722,Senior Data Engineer,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-data-engineer-1848722,2026-03-09,2026-03-17,False,,,English,"Bachelor, Master",Python,"Azure Data Factory, Microsoft SQL Server (MSSQL), Azure Cloud, Azure Synapse Analytics, Databricks, dbt",Full Remote Opportunity,Full-time,3-5 years,,,,,,,,,,,,,,,
1843356,IT fejlesztőmérnök (Somogy megye),Hire-One Kft.,https://www.cvonline.hu/hu/allas/it-mernok-somogy-megye-1843356,2026-03-09,2026-03-14,False,,,English: B1,Bachelor,"C#, .NET",MySQL,"Home-Office, Hybrid",,2+ years,,,,,,,,,,,,,,,
1838104,CoreMedia Developer,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/coremedia-developer-1838104,2026-03-09,2026-03-16,False,,,English: B2,Bachelor,"Java, JavaScript, HTML, CSS","CoreMedia CMS, Docker, Kubernetes, Azure DevOps, Grafana, MongoDB, Spring Boot, REST",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,
1843321,BUDAPEST - NUKLEÁRIS MÉRNÖK GYAKORNOK (DIÁKMUNKA),Job Force Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/budapest-nuklearis-mernok-gyakornok-diakmunka-1843321,2026-03-09,2026-03-17,False,,2500 HUF/hour,English: unknown,Master,,,,Short-term,0-1 years,,,,,,,,,,,,,,,
1848614,Medior Szoftverfejlesztő (JAVA),HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/medior-szoftverfejleszto-java-1848614,2026-03-09,2026-03-22,False,,,English: B2,,Java,"Dynatrace, Splunk, CloudWatch, RESTful API, Scrum",,,3-5 years,,,,,,,,,,,,,,,
1848615,Senior Tesztautomatizáló mérnök német nyelvtudással,HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/senior-tesztautomatizalo-mernok-nemet-nyelvtudassal-1848615,2026-03-09,2026-03-13,False,,EUR gross/month,German: Native,,,"JMETER, Playwright, Katalon, Bamboo, Azure, Kubernetes, RabbitMQ, Argocd",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,
1848638,Senior fullstack fejlesztő (.NET),HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/senior-fullstack-fejleszto-net-1848638,2026-03-09,2026-03-13,False,Budapest,,English: Active,Bachelor,"C#, .NET/C#, HTML, CSS, JavaScript, TypeScript","Entity Framework, T-SQL, Redis, Elasticsearch, ASP.NET Core MVC",Home-Office with on-site (1-4 times per month),Full-time,5+ years,,,,,,,,,,,,,,,
1848640,Medior Tesztautomatizáló Mérnök,HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/medior-tesztautomatizalo-mernok-1848640,2026-03-09,2026-03-22,False,,,English: B2,,"Java, Python, JS, C#","Selenium, Appium, TestNG, JUnit, Git/SVN",On-site,Full-time,1-3 years,,,,,,,,,,,,,,,
1848652,SAP modulgazda,Work Force Kft.,https://www.cvonline.hu/hu/allas/sap-modulgazda-1848652,2026-03-09,2026-03-16,False,Budapest,,English,,,,Home-Office,Full-time,2+ years,,,,,,,,,,,,,,,
1857694,IT Security Expert (Public Key Infrastructure),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/it-security-expert-public-key-infrastructure-1857694,2026-03-09,2026-03-25,True,Hungary,,English: unknown,Bachelor,,,Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,
1857686,Global DATA Engineer,Hire-One Kft.,https://www.cvonline.hu/hu/allas/global-data-engineer-1857686,2026-03-09,2026-03-18,False,,,English: Negotiable,,"SQL, DAX","dbt, Microsoft Fabric, Git, CI/CD, Power BI",On-site,Full-time,1-3 years,,,,,,,,,,,,,,,
1853099,IT Service Desk Agent - German speaking,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/it-service-desk-agent-german-speaking-1853099,2026-03-09,2026-03-25,True,,,"German: Native, English: B1",High School with Diploma,,MS Office,Hybrid (50% Home Office),Full-time,,,,,,,,,,,,,,,,
1843197,French speaking First Line Analyst,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/french-speaking-first-line-analyst-1843197,2026-03-09,2026-03-11,False,,Outstanding,"English: Native/Fluent, French: Native/Fluent",,,Ticketing tool,On-site,Full-time,1-3 years,,,,,,,,,,,,,,,
1843216,Chief Product Owner (m/w/d) CRM,Vienna,https://www.cvonline.hu/hu/allas/chief-product-owner-m-w-d-crm-1843216,2026-03-09,2026-03-14,False,Wien,85000 EUR gross/year,English: Negotiation level,Bachelor or higher,,,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,
1843217,Full-Stack-Developer (m/w/d),Vienna,https://www.cvonline.hu/hu/allas/full-stack-developer-m-w-d-1843217,2026-03-09,2026-03-14,False,Wien,55000 EUR gross/year,"German: Native, English: C2",Bachelor,"C#, .NET, ASP.NET Core, SQL Server, Azure",Microsoft-Technologies,Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,
1848415,Diákmunka - Technical Writer,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-technical-writer-1848415,2026-03-09,2026-03-22,False,,2200-2500 Ft/hour,English: B2,High School with Diploma,,,Hybrid,Full-time,0-1 years,,,,,,,,,,,,,,,
1848436,Diákmunka - C++ programozó,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-c-programozo-1848436,2026-03-09,2026-03-22,False,,2500 HUF/hour,,High School with Diploma,"C++, C#",3D CAD/BIM software,,Short-term,1-2 years,,,,,,,,,,,,,,,
1848437,Diákmunka - IT biztonsági tanácsadó,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-it-biztonsagi-tanacsado-1848437,2026-03-09,2026-03-22,False,,2400 HUF/hour,Hungarian: Native,Upper secondary with specialization in information security or similar,,"MS Office, Outlook, Web browsers",On-site,Full-time,0-1 years,,,,,,,,,,,,,,,
1853016,IT Operátor,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/it-operator-1853016,2026-03-09,2026-03-25,True,Budapest,,Hungarian: Native,High School with Diploma,PowerShell,"Active Directory, Exchange, jegykezelő rendszer",On-site with home office,Full-time,1-3 years,,,,,,,,,,,,,,,
1853025,Diákmunka - Onsite Services Technician Intern,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-onsite-services-technician-intern-1853025,2026-03-09,2026-03-25,True,,2200 HUF/hour,"English: Advanced, Hungarian: Fluent",Ongoing studies in a university,,,,Short-term,0-1 years,,,,,,,,,,,,,,,
1843073,IT Üzleti elemző,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/it-uzleti-elemzo-1843073,2026-03-09,2026-03-16,False,Budapest,,English,Bachelor,,"MS Visio, BPMN 2.0, UML, Power BI, Confluence, SharePoint, JIRA, MS Project",On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,
1843095,SAP DevOps témavezető szakértő (SAP modulgazda),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/sap-devops-temavezeto-szakerto-sap-modulgazda-1843095,2026-03-09,2026-03-16,False,Budapest,,English: B2,Felsőfokú informatikai/gazdasági/műszaki szakirányú végzettség,,SAP,Home-Office,Full-time,3+ years,,,,,,,,,,,,,,,
1843055,FULL STACK JAVA FEJLESZTŐ,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/full-stack-java-fejleszto-1843055,2026-03-09,2026-03-14,False,Budapest,,English: B2,BSc,"Java, Spring, SQL, Angular, Python","AWS, Docker, Kubernetes, JUnit, Mockito, REST/SOAP API, SNS, SQS, Kafka",Hybrid,Full-time,7+ years,,,,,,,,,,,,,,,
1843031,ERP támogató (IT),Carl Zeiss Vision Hungary Kft.,https://www.cvonline.hu/hu/master/allas/erp-tamogato-it-1843031,2026-03-09,2026-03-14,False,Mátészalka,,English: B2,Bachelor,"SQL, PHP","Oracle, Microsoft Power BI, Microsoft Visio, Powershell/BASH",,Full-time,3-5 years,,,,,,,,,,,,,,,
1848309,Application Operation and Maintenance Specialist (REF5123I),Deutsche Telekom IT Solutions,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848309,2026-03-09,2026-03-17,False,,,German: C1,,,,On-site,Full-time,5+ years,,,,,,,,,,,,,,,
1848310,Application Operation and Maintenance Specialist (REF5123I),Deutsche Telekom IT Solutions,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848310,2026-03-09,2026-03-17,False,,,German: C1,,,,On-site,Full-time,5+ years,,,,,,,,,,,,,,,
