job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,job_title,location,salary_range,work_schedule,responsibilities,requirements,benefits,contact,salary,application_link,company_name,job_description
1719937,IT Systemadministrator:in,Laendle,https://www.cvonline.hu/hu/allas/it-technikerin-systemadministratorin-it-system-engineer-1719937,2026-03-09,2026-03-09,False,,,German: C1,,,,,Full-time,3-5 years,,,,,,,,,,,,
1719939,Modern Workplace Consultant (m/w/d)*,Laendle,https://www.cvonline.hu/hu/allas/modern-workplace-consultant-m-w-d-1719939,2026-03-09,2026-03-09,False,Kassel,,"German: C1, English: B2",,,Microsoft 365,,Full-time,3-5 years,,,,,,,,,,,,
1853574,SAP business analyst,Hire-One Kft.,https://www.cvonline.hu/hu/allas/sap-business-analyst-1853574,2026-03-09,2026-03-25,True,,Competitive salary,"Hungarian: C1, English: B2",,ABAP,"SAP MM / PP, S/4 Hana",Home-Office,Full-time,5+ years,,,,,,,,,,,,
1843826,Network Monitoring Systems Platform Engineer,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/network-monitoring-systems-platform-engineer-1843826,2026-03-09,2026-03-16,False,,,English: C1,,,OSS/infrastructure management tools,Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1853457,Senior rendszermérnök (Linux rendszermérnök),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-linux-rendszermernok-1853457,2026-03-09,2026-03-25,True,Budapest,,English: B2,,,"Ansible, Shell/Bash, LVM",Home-Office,Full-time,5+ years,,,,,,,,,,,,
1849041,Automatizálási rendszermérnök,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/automatizalasi-rendszermernok-1849041,2026-03-09,2026-03-23,False,Budaörs,,English: B2,Bachelor,,"Microsoft, Linux",On-site,Full-time,3-5 years,,,,,,,,,,,,
1843777,Szoftvertesztelő,Starjobs Magyarország,https://www.cvonline.hu/hu/allas/szoftvertesztelo-1843777,2026-03-09,2026-03-16,False,,,English: B2,"Bachelor, Master",C#,"VisualStudio, GitHub, JIRA, Polarion",,Full-time,3-5 years,,,,,,,,,,,,
1843780,Logisztikai és E-szolgáltatások Üzemeltetési Osztályvezető,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/logisztikai-es-e-szolgaltatasok-uzemeltetesi-osztalyvezeto-1843780,2026-03-09,2026-03-17,False,Budapest,,,Bachelor,,"Azure DevOps, OKD, Red Hat Openshift, Docker, Kubernetes",On-site,Full-time,3-5 years,,,,,,,,,,,,
1838521,Senior rendszermérnök (IT tervezési rendszermérnök),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/senior-rendszermernok-it-tervezesi-rendszermernok-1838521,2026-03-09,2026-03-16,False,Budapest,,English: B2,,,,On-site,Full-time,5+ years,,,,,,,,,,,,
1848994,Unreal Engine/C++ Developer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/unreal-engine-c-developer-1848994,2026-03-09,2026-03-23,False,,,English: C1,Bachelor,"C++, Unreal Engine, .Net Blazor","Git, Bitbucket, Artifactory, Azure DevOps",,Full-time,3-5 years,,,,,,,,,,,,
1848995,C#/.NET Developer,HAYS Hungary Kft.,https://www.cvonline.hu/hu/allas/c-net-developer-1848995,2026-03-09,2026-03-23,False,,,English: C1,Bachelor,"C#, .Net","REST APIs, MS SQL, PostgreSQL, .Net Blazor, Git, Bitbucket, Artifactory, Azure DevOps",,Full-time,3-5 years,,,,,,,,,,,,
1719744,Senior Systemadministrator (m/w/d) – Microsoft 365 / VMware / NetApp,Laendle,https://www.cvonline.hu/hu/allas/senior-systemadministrator-m-w-d-microsoft-365-vmware-netapp-1719744,2026-03-09,2026-03-09,False,,,"English: B2, German: Native",Bachelor,PowerShell,"Microsoft 365, Exchange Online, Teams, SharePoint, Intune, Azure AD, VMware vSphere/ESXi/vCenter, NetApp-Storage (ONTAP, CIFS/NFS, SnapMirror/SnapVault), Windows Server, Active Directory, DNS/DHCP",,Full-time,3-5 years,,,,,,,,,,,,
1857844,Szoftver Technikus,Pannonjob Kft.,https://www.cvonline.hu/hu/allas/szoftver-technikus-1857844,2026-03-09,2026-03-25,True,,,English: A1,,,,,,0-1 years,,,,,,,,,,,,
1843555,Senior SAP Consultant (w/m/x),"Unbekannt, aber ein erfolgreiches IT-Beratungsunternehmen mit dem Schwerpunkt in der Handels- und Konsumgüterindustrie",https://www.cvonline.hu/hu/allas/senior-sap-consultant-w-m-x-1843555,2026-03-09,2026-03-14,False,,,,,,,,,,Senior SAP Consultant (w/m/x),"Salzburg, Oberösterreich, Wien","{'min': 3500, 'max': 6000, 'currency': '€', 'basis': 'Monat (auf Vollzeitbasis)'}",4 Tage in der Woche Vollzeit (ab 38 Wochenstunden),"Unterstützung und Begleitung von SAP-Projekten im Einzelhandelsbereich, Analyse, IT-/Geschäftsprozessberatung, Umsetzung, Erarbeitung effizienter Strukturen gemeinsam mit dem Kunden, Projekt- sowie Prozessmanagement","Abgeschlossene höhere Ausbildung (FH/Uni), Mehrjährige Berufserfahrung im SAP-Umfeld (idealerweise im Handelsbereich, Supply Chain Management oder Logistik) inkl. Customizing, Kenntnisse im Retail-Umfeld wünschenswert (Lieferantenmanagement, Contracting, ...), Ausgeprägtes Prozessverständnis sowie Kundenorientierung, Selbständige Arbeitsweise und Reisebereitschaft, Sehr gute Deutsch- und Englischkenntnisse","Firmenauto, welches auch privat genutzt werden kann, Workation-Möglichkeit (genießen Sie Ihren Urlaub 2 Wochen länger, indem Sie dort remote arbeiten), Unterstützung beim Eigenheimbau mit einem geringen Zinssatz, Individuelle Weiterbildungs- und Weiterentwicklungsmöglichkeiten in der SAP-Welt (HANA, SAP, Projektleitung), Abwechslungsreiche SAP-Projekte im internationalen Umfeld, Kollegiales und hochmotiviertes Team, Flexible Arbeitseinteilung mit Home-Office-Möglichkeit","{'recruiter_name': 'Monir Forster', 'recruiting_partner': 'Recruiting Partner IT', 'phone_number': '+43 732 61 12 21 -225'}",,,,
1843561,Solution Architect Specialist,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/solution-architect-specialist-1843561,2026-03-09,2026-03-16,False,,,,,,,Hybrid,Full-time,5+ years,,,,,,,,,,,,
1838314,DevOps Engineer (mid-level / senior),Trenkwalder Kft,https://www.cvonline.hu/hu/allas/devops-engineer-mid-level-senior-1838314,2026-03-09,2026-03-09,False,,,"English: B2, Hungarian: Native",Bachelor,"Docker, Kubernetes, Shell script","GitHub Actions, Helm, Terraform, Prometheus, Grafana, Datadog, PostgreSQL, RabbitMQ",Home-Office,Full-time,5+ years,,,,,,,,,,,,
1853267,Informatikai szolgáltatás menedzsment munkatárs,MÁV Szolgáltató Központ Zrt.,https://www.cvonline.hu/hu/allas/informatikai-szolgaltatas-menedzsment-munkatars-1853267,2026-03-09,2026-03-25,True,Budapest,,English: B1,Bachelor,,"Microsoft, Oracle, Adobe",On-site,Full-time,3-5 years,,,,,,,,,,,,
1853243,Műszaki promóter,Mind-Diák Szövetkezet,https://www.cvonline.hu/hu/allas/muszaki-promoter-1853243,2026-03-09,2026-03-25,True,,Br. 1882 Ft/óra alapbér + értékesítési bónusz,English: B2,Érvényes nappali tagozatos tanulói/hallgatói jogviszony Betöltött 18. életév,,,Nyitvatartási időben,Full-time,3-5 years,,,,,,,,,,,,
1853247,Sales Support Intern,Mind-Diák Szövetkezet,https://www.cvonline.hu/hu/allas/sales-support-intern-1853247,2026-03-09,2026-03-25,True,,2500 Ft/hour in gross,English: B2,Bachelor,,"MS Office (Excel, Word, PowerPoint, Outlook)",Hybrid,Short-term,0-1 years,,,,,,,,,,,,
1843506,Rendszergazda gyakornok,Mind-Diák Szövetkezet,https://www.cvonline.hu/hu/allas/rendszergazda-gyakornok-1843506,2026-03-09,2026-03-16,False,,,,,"Windows/Linux OP rendszer, Alapszintű hálózati ismeretek, Konténerizációs technológiák, AI eszközök használata",,,Full-time,1-3 years,,,,,,,,,,,,
1715286,Data Engineer/Data Modeler für den Bereich Data & Analytics (m/w/d),Laendle,https://www.cvonline.hu/hu/allas/data-engineer-data-modeler-fur-den-bereich-data-analytics-m-w-d-1715286,2026-03-09,2026-03-09,False,,,German: B2,Bachelor,,"SSIS, Power BI, SSRS, SSAS",Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1853212,Microsoft Dynamics CRM Developer,Hire-One Kft.,https://www.cvonline.hu/hu/allas/microsoft-dynamics-crm-developer-1853212,2026-03-09,2026-03-25,True,,,English: B2,,"C#, .NET, JavaScript","Power Automate, Plugins",Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1853220,Finance Data Analyst,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/finance-data-analyst-1853220,2026-03-09,2026-03-25,True,,,English: B2,,"Python, VBA, SQL, DAX","Power BI, Power Automate, Power Apps, Excel",Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1853222,Agile Quality Engineer (Mobile  iOS & Android),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/agile-quality-engineer-mobile-ios-android-1853222,2026-03-09,2026-03-25,True,,,English: B2,,"iOS, Android","Test automation tools, CI/CD pipelines",Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1843386,Teszt technikus,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/teszt-technikus-1843386,2026-03-09,2026-03-17,False,Komárno,,English: B1,,,,,Full-time,3-5 years,,,,,,,,,,,,
1843413,IT Projectmanager,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/it-projectmanager-1843413,2026-03-09,2026-03-16,False,,,English: B2,,,"Jira, Confluence, Notion",Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1843420,Szolgáltatásmenedzser (Bérszámfejtés tapasztalattal),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/szolgaltatasmenedzser-berszamfejtes-tapasztalattal-1843420,2026-03-09,2026-03-17,False,,,English: B2,,,Atlassian products,Home-Office,Short-term,3-5 years,,,,,,,,,,,,
1848719,Medior full stack PHP fejlesztőt,Viapan „Dologidő” Kft.,https://www.cvonline.hu/hu/allas/medior-full-stack-php-fejlesztot-1848719,2026-03-09,2026-03-14,False,Tata,,English: B2,,"PHP, JavaScript","HTML4, CSS3, PostgreSQL, Linux, Git, Solr, Memcached, Redis, PostGIS, Regex",On-site,Full-time,3-5 years,,,,,,,,,,,,
1848722,Senior Data Engineer,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/senior-data-engineer-1848722,2026-03-09,2026-03-17,False,,,,,Python,"Azure Data Factory, Microsoft SQL Server (MSSQL), Azure Cloud, dbt or equivalent SQL-centric transformation tools",Full-time,Full-time,5+ years,,,,,,,,,,,,
1843356,IT fejlesztőmérnök (Somogy megye),Hire-One Kft.,https://www.cvonline.hu/hu/allas/it-mernok-somogy-megye-1843356,2026-03-09,2026-03-14,False,,,English: B2,Bachelor,"C#, .NET",MySQL,Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1838104,CoreMedia Developer,Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/coremedia-developer-1838104,2026-03-09,2026-03-16,False,,,English: B2,Bachelor,"Java, JavaScript, HTML, CSS, Spring Boot","CoreMedia Content Management System, Docker, Kubernetes, Azure DevOps, Grafana, MongoDB",Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1843321,BUDAPEST - NUKLEÁRIS MÉRNÖK GYAKORNOK (DIÁKMUNKA),Job Force Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/budapest-nuklearis-mernok-gyakornok-diakmunka-1843321,2026-03-09,2026-03-17,False,,Br. 2500 Ft/óra,English: B1,Master,,,,,,,,,,,,,,,,,
1848614,Medior Szoftverfejlesztő (JAVA),HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/medior-szoftverfejleszto-java-1848614,2026-03-09,2026-03-22,False,,,English: C1,,Java,"Dynatrace, Splunk, CloudWatch, Jenkins, Cloud Foundry, SplitIO, AWS ALB, EC2, CloudFront, S3, SQS, RDS Aurora, SES, WAF, Kubernetes, Docker",,Full-time,3-5 years,,,,,,,,,,,,
1848615,Senior Tesztautomatizáló mérnök német nyelvtudással,HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/senior-tesztautomatizalo-mernok-nemet-nyelvtudassal-1848615,2026-03-09,2026-03-13,False,Budapest,,"German: C2, English: B1",,,"Playwright, Katalon, JMeter",Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1848638,Senior fullstack fejlesztő (.NET),HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/senior-fullstack-fejleszto-net-1848638,2026-03-09,2026-03-13,False,Budapest,,English: B2,Bachelor,"C#, .NET, Entity Framework, T-SQL, HTML, CSS, JavaScript, TypeScript, Redis, Elasticsearch","Entity Framework, T-SQL, HTML, CSS, JavaScript, TypeScript, Redis, Elasticsearch",Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1848640,Medior Tesztautomatizáló Mérnök,HUNAM Personnel Solutions Kft.,https://www.cvonline.hu/hu/allas/medior-tesztautomatizalo-mernok-1848640,2026-03-09,2026-03-22,False,,,English: B2,,"Java, Python, JS, C#","Selenium WebDriver, Appium, TestNG, JUnit, Git/SVN",On-site,Full-time,3-5 years,,,,,,,,,,,,
1848652,SAP modulgazda,Work Force Kft.,https://www.cvonline.hu/hu/allas/sap-modulgazda-1848652,2026-03-09,2026-03-16,False,Budapest,,English: B2,,,,Home-Office,Full-time,1-3 years,,,,,,,,,,,,
1857694,IT Security Expert (Public Key Infrastructure),Randstad Hungary Kft.,https://www.cvonline.hu/hu/allas/it-security-expert-public-key-infrastructure-1857694,2026-03-09,2026-03-25,True,,,,Bachelor,,,Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1857686,Global DATA Engineer,Hire-One Kft.,https://www.cvonline.hu/hu/allas/global-data-engineer-1857686,2026-03-09,2026-03-18,False,,,English: B1,,"SQL, PowerBI, dbt","MS Fabric, Git, CI/CD",,Full-time,1-3 years,,,,,,,,,,,,
1853099,IT Service Desk Agent - German speaking,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/it-service-desk-agent-german-speaking-1853099,2026-03-09,2026-03-25,True,,,"German: C1, English: B2",Bachelor,,MS Office,Home-Office,Half-time,3-5 years,,,,,,,,,,,,
1843197,French speaking First Line Analyst,Trenkwalder Kft,https://www.cvonline.hu/hu/allas/french-speaking-first-line-analyst-1843197,2026-03-09,2026-03-11,False,,,"English: C2, French: C2",,,MS Office,,Full-time,1-3 years,,,,,,,,,,,,
1843216,Chief Product Owner (m/w/d) CRM,Vienna,https://www.cvonline.hu/hu/allas/chief-product-owner-m-w-d-crm-1843216,2026-03-09,2026-03-14,False,Wien,,"English: C1, Deutsch: B2","Bachelor, Master",,,Hybrid,Full-time,5+ years,,,,,,,,,,,,
1843217,Full-Stack-Developer (m/w/d),Vienna,https://www.cvonline.hu/hu/allas/full-stack-developer-m-w-d-1843217,2026-03-09,2026-03-14,False,Wien,55.000 EUR bruto/year with possible overpayment depending on qualifications and experience,"German: C1, English: B2",Bachelor,"C#, .NET, ASP.NET Core, SQL Server, Azure",,Hybrid with up to 3 days home office per week and flexible working hours,Full-time,3-5 years,,,,,,,,,,,,
1848415,Diákmunka - Technical Writer,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-technical-writer-1848415,2026-03-09,2026-03-22,False,,,English: B2,Bachelor,,,Hybrid,Full-time,3-5 years,,,,,,,,,,,,
1848436,Diákmunka - C++ programozó,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-c-programozo-1848436,2026-03-09,2026-03-22,False,,2500 Ft/óra,,Bachelor,"C++, C#","3D CAD, BIM",,Full-time,1-3 years,,,,,,,,,,,,
1848437,Diákmunka - IT biztonsági tanácsadó,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-it-biztonsagi-tanacsado-1848437,2026-03-09,2026-03-22,False,,2400 Ft/óra,,Bachelor,,"MS Office, Outlook, Böngészők",,Full-time,1-3 years,,,,,,,,,,,,
1853016,IT Operátor,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/it-operator-1853016,2026-03-09,2026-03-25,True,Budapest,,English: B1,,,Powershell,Home-Office,Full-time,1-3 years,,,,,,,,,,,,
1853025,Diákmunka - Onsite Services Technician Intern,MŰISZ Iskolaszövetkezet,https://www.cvonline.hu/hu/allas/diakmunka-onsite-services-technician-intern-1853025,2026-03-09,2026-03-25,True,,2200 HUF/hour,"English: B2, Hungarian: C1",Bachelor,,,On-site,Short-term,0-1 years,,,,,,,,,,,,
1843073,IT Üzleti elemző,Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/it-uzleti-elemzo-1843073,2026-03-09,2026-03-16,False,Budapest,,English: B2,Bachelor,,"MS Visio, BPMN 2.0, UML, Power BI, Confluence, SharePoint, JIRA, MS Project",Home-Office,Full-time,3-5 years,,,,,,,,,,,,
1843095,SAP DevOps témavezető szakértő (SAP modulgazda),Magyar Posta ZRt.,https://www.cvonline.hu/hu/allas/sap-devops-temavezeto-szakerto-sap-modulgazda-1843095,2026-03-09,2026-03-16,False,Budapest,,English: B1,,,"SAP DevOps, SAP logisztikai modulok (MM, SD)",On-site,Full-time,3-5 years,,,,,,,,,,,,
1843055,FULL STACK JAVA FEJLESZTŐ,BECK AND PARTNERS Kft.,https://www.cvonline.hu/hu/allas/full-stack-java-fejleszto-1843055,2026-03-09,2026-03-14,False,"Budapest, VIII. kerület",,English: B2,Bachelor,"Java, Python, Angular, SQL, AWS, Spring, Kubernetes, Docker","JUnit, Mockito, REST, SOAP API-k, SNS, SQS, Kafka",On-site,Full-time,5+ years,,,,,,,,,,,,
1843031,ERP támogató (IT),Carl Zeiss Vision Hungary Kft.,https://www.cvonline.hu/hu/master/allas/erp-tamogato-it-1843031,2026-03-09,2026-03-14,False,Mátészalka,,"Magyar: Magyarlancos, Angol: Rendszeres","Felsőfokú szakirányú végzettség (informatikai/mérnöki), informatikai képzés vagy ezzel egyenértékű oklevél megléte","PHP, PowerShell, Bash","Microsoft Power BI, Microsoft Visio, Oracle adatbázis, SQL nyelv (DQL, DML)",,Full-time,3-5 years,,,,,,,,,,,,
1848309,Application Operation and Maintenance Specialist (REF5123I),Deutsche Telekom IT Solutions,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848309,2026-03-09,2026-03-17,False,,,German: C1,,,,On-site,Full-time,5+ years,,,,,,,,,,,,
1848310,Application Operation and Maintenance Specialist (REF5123I),Deutsche Telekom IT Solutions,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848310,2026-03-09,2026-03-17,False,,,German: C1,,,,On-site,Full-time,5+ years,,,,,,,,,,,,
1848311,Application Operation and Maintenance Specialist (REF5123I),Deutsche Telekom IT Solutions,https://www.cvonline.hu/hu/allas/application-operation-and-maintenance-specialist-ref5123i-1848311,2026-03-09,2026-03-17,False,,,German: C1,,,,On-site,Full-time,5+ years,,,,,,,,,,,,
