job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Practical Experience,Other Requirements,Company,Position,Master,PhD,job_title,company_name,location,date_posted,base_salary,required_experience,education,language_skills,technical_skills,soft_skills,company_overview,contact_information,Vysokoškolské II. stupňa,base_salary_bruto,currency,salary_frequency,posting_date,job_description,requirements,application_instructions,salary_details,date_of_publication,required_education,required_skills,years_of_experience,company_characteristics,job_reference_id,date_of_investment,System,System Skills,Soft Skills,Experience,Job Position,.NET Programming Languages,AngularJS,job_position
5178219,IT Projektový manažér – CEO vlastného projektu,"M2M Solutions, s.r.o.",https://www.profesia.sk/praca/m2m-solutions/O5178219?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Žilina,2 500 EUR gross/month,Slovak language - Advanced (C1) and English language - Intermediate advanced (B2),"Bachelor, Master",,Microsoft Excel - Advanced,On-site,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186418,Product Manager,Sygic a. s.,https://www.profesia.sk/praca/sygic/O5186418?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-17,False,Bratislava,3 500 EUR gross/month,,Secondary with school-leaving examination,,,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186413,IT Technik - ponuka pre juniorov! :,Hemmersbach Czech s.r.o.,https://www.profesia.sk/praca/hemmersbach-czech/O5186413?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,600 EUR gross/month,"English: B1, Slovak: C2","Bachelor, Master",,"Microsoft Office (Outlook, Word and Excel)",Home-Office,Short-term,0-1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5169530,Software Engineering Manager,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169530?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Košice,5 500 EUR gross/month,English: B2,Bachelor,,,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,3 000 EUR gross/month,English: B2,Bachelor,"PHP, Python","Symfony, Flask, SQL, Linux, Git",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030123,Hľadáme Validačného Experta pre Alarm Function Testing: Spoj cestovanie s kariérou!,Valicare s.r.o.,https://www.profesia.sk/praca/valicare/O5030123?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-05,False,"Trenčiansky kraj, Slovensko",1 600 EUR brutto/month,English: B1,Bachelor,,Microsoft Office 365 - Mierne pokročilý (B1),On-site with home office,Full-time,1-3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5138722,Junior Web dizajnér,"LG Tech Services, s.r.o.",https://www.profesia.sk/praca/lg-tech-services/O5138722?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Karlova Ves,1 600 EUR gross/month,"English: B2, Slovak: C2",Bachelor,,"Figma - Basics, Adobe Creative Cloud - Intermediate",Home-Office,Full-time,0-1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186386,Cloud Kubernetes Engineer,Unicorn,https://www.profesia.sk/praca/unicorn/O5186386?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,,2 000 EUR gross/month,"Slovak language - Expert (C2), English language - Intermediate advanced (B2)","Bachelor, Master","Linux, Microsoft Azure, Docker, Kubernetes, Zabbix, Ansible, Prometheus, MongoDB, IaC, Graffana, Elastic Search",,Home-Office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5158583,Join Our Team as a Software Test Engineer - Python Focus,localhost s.r.o.,https://www.profesia.sk/praca/localhost/O5158583?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-03,False,Košice,2 500 EUR gross/month,English: B2,Master's degree,"Python, Java, C++","JUnit, Selenium, Cucumber, JBehave",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5180668,Software Engineer,"IRON MOUNTAIN SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/iron-mountain-slovakia/O5180668?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2 600 EUR gross/month,English: B2,Bachelor,,"Kubernetes, GitLab, Google Cloud Platform, Amazon Web Services (AWS), Docker, SQL",Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5096827,Abap Developer,"SNP Slovakia, s. r. o.",https://www.profesia.sk/praca/snp-slovakia/O5096827?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Žilina,2 500 EUR gross/month,English: B2,,"ABAP, SQL","SAP, Big Data management, Test automation, Data analytics, Hadoop, HIVE, In-memory databases",Hybrid,Full-time,0-1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5169536,Senior Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169536?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Košice,3600 EUR gross/month,English: B2,Bachelor,"JavaScript, TypeScript, React, HTML5, CSS, Sass, Bootstrap","Webpack, Babel, Redux, Jest testing library, AWS, Azure, Jenkins, Azure DevOps, GitHub actions",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168981,Junior Data Analytics Engineer,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5168981?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-09,False,Bratislava,2000 EUR gross/month,English: B2,"Bachelor, Master","Python, SQL, TypeScript","Palantir Foundry, PySpark",Hybrid,Full-time,0-1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5169531,Lead Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169531?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Košice,4 600 EUR gross/month,English: B2,Bachelor,"JavaScript, TypeScript, React, HTML5, CSS, Sass, Bootstrap, Redux, Jest testing library","Webpack, Babel, AWS, Azure, GitHub actions, Jenkins Azure DevOps",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186340,Systémový administrátor pre ČSOB Poisťovňu (M/Ž),ČSOB Finančná skupina,https://www.profesia.sk/praca/csob-financna-skupina/O5186340?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Prešov,2 200 EUR gross/month,English: B2,,,"Ansible, Docker, GitHub, GitLab, Kubernetes, Linux Red Hat, TCP/IP, VMware",Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186336,CMMS Analyst (Computerized Maintenance Management System),CBRE Global Workplace Solutions s. r. o.,https://www.profesia.sk/praca/cbre-global-workplace-solutions/O5186336?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-26,False,Bratislava,2 500 EUR gross/month,English: C1,Bachelor,,"Tableau, Microsoft Excel",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186331,IT Analytik/ Analytička Senior pre LAB Firemné financovanie,"Slovenská sporiteľňa, a.s.",https://www.profesia.sk/praca/slovenska-sporitelna/O5186331?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2 800 EUR gross/month,,,Camunda framework,"JIRA, Confluence",,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186186,Product Owner & Sales Executive – Maklerio,"Maklér Softvér, s. r. o.",https://www.profesia.sk/praca/makler-softver/O5186186?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2 500 EUR gross/month,English: B2,"Bachelor, Master",,,On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186296,Frontend Developer,"Aliter Technologies, a.s.",https://www.profesia.sk/praca/aliter-technologies/O5186296?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Bratislava,2 500 EUR/mesiac,English: B2,Vysokoškolské I. stupňa,"ReactJS, TypeScript, SQL, Next JS","Git, Figma, ESLint, Prettier, Vite",Home Office príspevok,plný úväzok,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186295,Senior ICT analytik (m/ž) | Bratislava,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186295?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Bratislava,2 262 EUR gross/month,English: B1,Bachelor,"Java, Python","BPMN, UML, MS SQL, PostgreSQL, Oracle, Modern web technologies, Digital signing, Qualified electronic signature (KEP)",,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160644,IT Analytik,VERMONT Services Slovakia s. r. o.,https://www.profesia.sk/praca/vermont-services-slovakia/O5160644?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,1800 € gross/month,English: B2,Bachelor,"PHP - Základy, SQL - Základy, CSS - Základy","UML - Unified Modeling Language - Základy, BPMN",,Full-time,1-3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186293,Senior ICT analytik (m/ž) | Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186293?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Trenčín,2 262 EUR/mesiac (brutto),English: B2,Min. 3 roky skúseností s činnosťou ICT/IT analytika,"Java, Python","BPMN, UML, MS SQL, PostgreSQL, Oracle, Moderné webové technológie, Digitálne podpisovanie, Formáty kvalifikovaného elektronického podpisu (KEP)",,Plný úväzok,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186237,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) |Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186237?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Trenčiansky kraj,2 034 EUR brutto / mesiac,,Bachelor,,MS Office,On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186236,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) | Čierny Váh,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186236?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Liptovský Hrádok,,,Bachelor,,MS Office,,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5179414,Špecialista Tipérskej komunity (práca pre študenta),"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5179414?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,,,Bachelor,,,Home-Office,Short-term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5168044,Java Developer for Automatic Driving Trains,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5168044?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Žilina,2000 EUR gross/month,English: B2,Bachelor,"Java, Spring Boot","XML, XSD, JSON, Docker, Linux",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5175141,Senior Frontend/Fullstack Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175141?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Bratislava,2 500 EUR gross/month,,"Bachelor, Master","JavaScript, TypeScript, Java, Node.js","React, Webpack/Vite, Spring Boot, PostgreSQL, Redis, Kafka, GitLab CI/CD",,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5175139,Senior Java Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175139?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-06,False,Bratislava,2 500 EUR gross/month,,"Bachelor, Master",Java,"IDEA, maven, git/gitlab, JIRA, Confluence, Spring, Spring Boot, OpenJDK 11+, Kotlin, PostgreSQL, Ignite, Kafka, Linux CentOS, Saltstack, Maven, Nexus, GitLab",,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171710,Employee Central Test Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171710?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Košice,1 800 EUR gross/month,English - Upper intermediate (B2),,,,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171694,Employee Central Compensation Specialist,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171694?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-03,False,Košice,,"English: B2, German: A1",,,"Employee Central (EC), SAP HCM",Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171688,Employee Central Process Automation Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171688?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-22,False,Košice,2 200 EUR gross/month,"English: B2, German: A1",,,Employee Central Open Text,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171683,Employee Central Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171683?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Košice,3 500 EUR gross/month,"English: B2, German: A1",,,Employee Central,Hybrid,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171501,Security Technik Administrator - 12-hour shift schedule (day or night shifts),Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171501?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Košice,1 300 EUR gross/month,English: B2,Bachelor,,"ITIL V4 Foundation – Intermediate level, IPsec and SSL VPNs., Proxy and reverse proxy services., Firewalls and next-generation firewalls.",On-site with home office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171137,C++ Developer,"Kistler Bratislava, s.r.o.",https://www.profesia.sk/praca/kistler-bratislava/O5171137?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,2 700 EUR gross/month,English: B2,Bachelor,"C++ - Advanced, Embedded C++ - Advanced","React, Yocto, Jenkins CI, Docker, GitLab, SonarQube",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5171034,Biznis analytik - senior pre Odd. zab.úverov pre FO,"Tatra banka, a.s.",https://www.profesia.sk/praca/tatra-banka/O5171034?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-18,False,Bratislava,2 600 EUR/mesiac,English: B2,"Vysokoškolské I. stupňa (ideálne v oblasti ekonómie, matematiky, štatistiky a podobne)","Oracle SQL Developer, PowerBI, SAS Data Miner, Python",,,plný úväzok,"2 roky skúsenosti s prácou v banke na útvaroch alebo pozíciách ako sú controlling, business analytik, Research, Risk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5154419,Solution Engineer,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5154419?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-04,False,Žilina,2800 EUR gross/month,English - Upper intermediate (B2),University education (Bachelor's degree),,,Hybrid type of work - combination of telework and work from office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3859622,ServiceNow Developer,"Accenture, s.r.o.",https://www.profesia.sk/praca/accenture/O3859622?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,,3 000 - 4 600 EUR/month,"English: Upper intermediate (B2), German: Knowledge is a plus",Bachelor's or Master's degree in IT or a related field,"JavaScript, AngularJS, Bootstrap, jQuery","ServiceNow, REST/SOAP APIs, XML, JSON, HTML, CSS, AJAX, Relational databases (MySQL, Oracle)",Remote work,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5131272,Team Leader,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5131272?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-01-06,False,Bratislava,3 000 EUR/mesiac,Anglický jazyk - Stredne pokročilý (B2),"Vysokoškolské II. stupňa, Vysokoškolské III. stupňa","C#, C++, Java",,Home-office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101495,Senior DevOps Engineer for PACCA program,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5101495?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Košice,2 600 EUR gross/month,English: B2,Master,"Bash, Python, Ansible","Linux Operating System, AWS, Azure, Docker, K8S, OpenShift, Git, Jenkins, GitLab, ELK, Prometheus, Icinga, Jaeger, Grafana, Networking, Security",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5042597,Senior Java Developer - project Gigabit + Sign on Bonus 2000 EUR,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5042597?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,,3 100 - 3 700 EUR/month,"English: B2, German: Advantage",Bachelor,"Java, Spring Boot, Quarkus, Angular, React, Kubernetes, Docker, Microservices, Git, AWS, Azure, Google Cloud, DB, Grafana",,Remote work,Full-time,5+ years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186234,Solution Application Architect (Azure),Pro HR,https://www.profesia.sk/praca/pro-hr/O5186234?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,4 500 EUR gross/month,English: B2,"Bachelor, Master",,"Git, GitLab Runners for CI, Docker, Ansible, Terraform, Kubernetes, Azure DevOps /Jenknis, Azure Cloud Services, Generators of code and storage schemas CI/CD, SRE systems, Azure networking, storage security, security tools like MMS policies, authorization, networking, cloudflare, sonar scan",Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186233,IT Project Manager,Pro HR,https://www.profesia.sk/praca/pro-hr/O5186233?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,3 800 EUR gross/month,English: B2,Bachelor,,,Hybrid,Full-time,1-3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5172534,Cybersecurity Enthusiast Wanted!,"ESET, spol. s r.o.",https://www.profesia.sk/praca/eset/O5172534?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,1 600 EUR gross/month,English: B2,,"PowerShell, Python, JavaScript, Bash, LUA","EDR, XDR, SIEM, SOAR, Splunk, QRadar, Elasticsearch, ArcSight",Hybrid,Full-time,0-1 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186201,IT (ERP/CRM) konzultant / analytik,Strauberi s. r. o.,https://www.profesia.sk/praca/strauberi/O5186201?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-01-06,False,Košice,1700 EUR gross/month,English: B2,"Bachelor, Master",,Odoo,Hybrid,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186194,Produktový špecialista/špecialistka odd. Multichannel,"Všeobecná úverová banka, a.s., Intesa Sanpaolo",https://www.profesia.sk/praca/vseobecna-uverova-banka-intesa-sanpaolo/O5186194?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-17,False,Bratislava,1 800 EUR/mesiac,English: C1,,,,Home-Office,Full-time,3-5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
