job_id,title,company,url,first_seen,last_seen,active,Location,Salary,Language Requirements,Education,Programming Languages,Required Software / Tools,Work Arrangement,Job Type,Experience Level,Python,Power BI,Azure SQL
5186406,Backend Developer (Symfony + Flask),VIZIO s.r.o.,https://www.profesia.sk/praca/vizio/O5186406?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,3000 EUR gross/month,English: B2,Bachelor,"Symfony, Flask","SQL, Linux, Git",Home-Office,Full-time,3-5 years,,,
5030123,Hľadáme Validačného Experta pre Alarm Function Testing: Spoj cestovanie s kariérou!,Valicare s.r.o.,https://www.profesia.sk/praca/valicare/O5030123?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-05,False,Trenčiansky kraj,1600 EUR gross/month,English: B1,"Bachelor, Master",,,Hybrid,Full-time,,,,
5138722,Junior Web dizajnér,"LG Tech Services, s.r.o.",https://www.profesia.sk/praca/lg-tech-services/O5138722?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Bratislava,1600 EUR gross/month,English: B2,High School with Diploma,,Adobe Creative Cloud,Home-Office,Full-time,,,,
5186386,Cloud Kubernetes Engineer,Unicorn,https://www.profesia.sk/praca/unicorn/O5186386?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-18,False,Práca z domu,2000 EUR gross/month,"{'Slovenský jazyk': 'Expert (C2)'}, {'Anglický jazyk': 'Stredne pokročilý (B2)'}",Vzdelanie v odbore informační technologie,"{'Linux': 'Expert'}, {'Microsoft Azure': 'Expert'}, {'Docker': 'Pokročilý'}, {'Kubernetes': 'Pokročilý'}","Zabbix, Ansible, Prometheus, MongoDB, IaC, Graffana, Elastic Search",Práca z domu,Full-time,3-5 years,,,
5158583,Join Our Team as a Software Test Engineer - Python Focus,localhost s.r.o.,https://www.profesia.sk/praca/localhost/O5158583?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2026-03-03,False,Košice,2500 EUR gross/month,English: B2,Bachelor's degree,"Python, Java, C++","Selenium, JUnit, Cucumber, JBehave",Job with occasional home office,Full-time,3-5 years,,,
5180668,Software Engineer,"IRON MOUNTAIN SLOVAKIA, s.r.o.",https://www.profesia.sk/praca/iron-mountain-slovakia/O5180668?search_id=6c3db9db-52cd-4826-a3d0-47dce197be12,2025-11-04,2025-11-24,False,Bratislava,2600 EUR gross/month,English: B2,Bachelor's degree or higher,"Docker, GitLab CI/CD, SQL, Kubernetes, Google Cloud Platform, Amazon Web Services (AWS)","Docker, GitLab CI/CD, SQL",Hybrid,Full-time,2 years,,,
5096827,Abap Developer,"SNP Slovakia, s. r. o.",https://www.profesia.sk/praca/snp-slovakia/O5096827?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Žilina,2500 EUR gross/month,English: B1,,ABAP,,Hybrid,Full-time,,,,
5169536,Senior Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169536?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Košice,3600 EUR gross/month,English: B2,University education (Bachelor's degree),"HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux, Jest testing library","AWS, Azure, Jenkins, Azure DevOps, GitHub actions",Full-time with occasional home office,Full-time,,,,
5168981,Junior Data Analytics Engineer,Swiss Re,https://www.profesia.sk/praca/swiss-re/O5168981?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-09,False,Bratislava,1600 - 2600 EUR gross/month,English: B2,"Bachelor's degree, Master's degree, Doctorate","Python, TypeScript","Palantir Foundry, PySpark, Workshop (low-code)",Hybrid,Full-time,,,,
5169531,Lead Software Engineer - React,"Caterpillar Slovakia, s. r. o.",https://www.profesia.sk/praca/caterpillar-slovakia/O5169531?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Košice,4600 EUR gross/month,English: B2,Bachelor's degree,"HTML5, CSS, Sass, Bootstrap, React, JavaScript, TypeScript, Webpack, Babel, Redux, Jest testing library","AWS, Azure, Jenkins, Azure DevOps, GitHub actions",Hybrid,Full-time,,,,
5186340,Systémový administrátor pre ČSOB Poisťovňu (M/Ž),ČSOB Finančná skupina,https://www.profesia.sk/praca/csob-financna-skupina/O5186340?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Prešov,2200 EUR gross/month,English: B2,,"Docker, Argo, Kubernetes, Ansible, TCP/IP, Linux, Red Hat","GitHub, GitLab, Windows Virtualizačné prostredie, VMware",Hybrid,Full-time,2+ years,,,
5186336,CMMS Analyst (Computerized Maintenance Management System),CBRE Global Workplace Solutions s. r. o.,https://www.profesia.sk/praca/cbre-global-workplace-solutions/O5186336?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-26,False,Bratislava,2500 EUR gross/month,English: C1,Bachelor's degree,,"Tableau, Microsoft Excel",Job with occasional home office,Full-time,,,,
5186331,IT Analytik/ Analytička Senior pre LAB Firemné financovanie,"Slovenská sporiteľňa, a.s.",https://www.profesia.sk/praca/slovenska-sporitelna/O5186331?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2800 EUR gross/month,,,,"JIRA, Confluence",Hybrid,Full-time,3-5 years,,,
5186186,Product Owner & Sales Executive – Maklerio,"Maklér Softvér, s. r. o.",https://www.profesia.sk/praca/makler-softver/O5186186?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,2500 EUR gross/month,English: B2,"Bachelor, Master",,,Hybrid,Full-time,3-5 years,,,
5186296,Frontend Developer,"Aliter Technologies, a.s.",https://www.profesia.sk/praca/aliter-technologies/O5186296?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-18,False,Bratislava,2500 EUR gross/month,English: B2,"Bachelor, Master","React, Node.js, TypeScript, Next JS","Git, Figma, ESLint, Prettier, Vite",Home-Office,Full-time,5+ years,,,
5186295,Senior ICT analytik (m/ž) | Bratislava,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186295?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Bratislava,2262 EUR gross/month,,Bachelor,"Java, Python",,Hybrid,Full-time,3-5 years,,,
5160644,IT Analytik,VERMONT Services Slovakia s. r. o.,https://www.profesia.sk/praca/vermont-services-slovakia/O5160644?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,1800 € + personal evaluation in accordance with the candidate's experience and skills,English: B2,Bachelor (High School with Diploma),"PHP, SQL, CSS, UML",,On-site with home office,Full-time,2 years,,,
5186293,Senior ICT analytik (m/ž) | Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186293?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-12-17,False,Trenčín,2262 EUR gross/month,,Bachelor,"Java, Python",,Full-time,Full-time,3-5 years,,,
5186237,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) |Trenčín,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186237?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Trenčiansky kraj,2034 EUR gross/month,,"Bachelor, High School with Diploma",,MS Office,Full-time,Full-time,0-1 years,,,
5186236,Komponentový inžinier pre oblasť elektrických točivých a netočivých strojov (m/ž) | Čierny Váh,"Slovenské elektrárne, a.s.",https://www.profesia.sk/praca/slovenske-elektrarne/O5186236?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Liptovský Hrádok,2034 EUR gross/month,,"Bachelor, High School with Diploma",,MS Office,Full-time,Full-time,0-1 years,,,
5179414,Špecialista Tipérskej komunity (práca pre študenta),"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5179414?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Bratislava,6 EUR/hour gross/brutto,,Student of a higher school,,,Remote work,Short-term,0-1 years,,,
5168044,Java Developer for Automatic Driving Trains,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5168044?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-04,False,Žilina,2000 EUR gross/month,English: B2,"Bachelor, Master, PhD","Java, Spring Boot","Gitlab, Git, Docker, Linux",Hybrid,Full-time,,,,
5175141,Senior Frontend/Fullstack Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175141?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2025-11-24,False,Bratislava,2500 EUR gross/month,,"Bachelor, Master, PhD","JavaScript, Java","React, Webpack/Vite, Node, PostgreSQL, Redis, GitLab",On-site with home office,Full-time,,,,
5175139,Senior Java Developer,"N I K É , spol. s r.o.",https://www.profesia.sk/praca/n-i-k-e/O5175139?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-01-06,False,Bratislava,2500 EUR gross/month,,Bachelor,Java,"IDEA, maven, git/gitlab, JIRA, Confluence",Full-time,Full-time,5+ years,,,
5171710,Employee Central Test Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171710?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-03-25,True,Košice,1800 EUR gross/month,"{'English': 'B2'}, {'German': 'B2'}",,,,On-site with home office,Full-time,5+ years,,,
5171694,Employee Central Compensation Specialist,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171694?search_id=8f71d9ad-6fce-4454-950e-491a37b5602d,2025-11-04,2026-02-03,False,Košice,2200 EUR gross/month,"English: mandatory, German: optional",,,,Home-Office (occasional),Full-time,,,,
5171688,Employee Central Process Automation Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171688?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-22,False,Košice,2200 EUR gross/month,"English: mandatory, German: optional",,,,On-site with home office,Full-time,5+ years,,,
5171683,Employee Central Lead,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171683?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Košice,3500 EUR gross/month,"English: Mandatory, German: Optional",,,,On-site with home office,Full-time,5+ years,,,
5171501,Security Technik Administrator - 12-hour shift schedule (day or night shifts),Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5171501?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Košice,1300 EUR gross/month,English: B2,Bachelor's degree in Information Technologies,,"ITIL V4 Foundation – Intermediate level, IPsec and SSL VPNs, Proxy and reverse proxy services, Firewalls and next-generation firewalls",Full-time with 12-hour shift schedule (day or night shifts),Full-time,2-5 years,,,
5171137,C++ Developer,"Kistler Bratislava, s.r.o.",https://www.profesia.sk/praca/kistler-bratislava/O5171137?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,2700 EUR gross/month,English: B2,,"C++, React","Yocto, Jenkins CI, Docker, GitLab, SonarQube",Hybrid,Full-time,3-5 years,,,
5171034,Biznis analytik - senior pre Odd. zab.úverov pre FO,"Tatra banka, a.s.",https://www.profesia.sk/praca/tatra-banka/O5171034?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-18,False,Bratislava,2600 EUR gross/month,,Bachelor,Python,"Oracle SQL Developer, PowerBI, SAS Data Miner",Full-time,Full-time,3-5 years,,,
5154419,Solution Engineer,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5154419?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-04,False,Žilina,2800 EUR gross/month,English: B2,"Bachelor's degree, Master's degree",,,Hybrid,Full-time,,,,
3859622,ServiceNow Developer,"Accenture, s.r.o.",https://www.profesia.sk/praca/accenture/O3859622?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Remote,3000 - 4600 EUR gross/month,English: B2,Bachelor's or Master's degree in IT or a related field,"JavaScript, AngularJS, Bootstrap, jQuery","ServiceNow, REST/SOAP APIs, XML, JSON, HTML, CSS, AJAX",Home-Office,Full-time,5+ years,,,
5131272,Team Leader,Siemens Slovensko,https://www.profesia.sk/praca/siemens-slovensko/O5131272?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-01-06,False,Bratislava,3000 EUR gross/month + 20% bonus,English: B2,Bachelor,,,Hybrid,Full-time,3-5 years,,,
5101495,Senior DevOps Engineer for PACCA program,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5101495?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Košice,2600 EUR gross/month,English: B2,Master with Diploma in Information technologies,"{'Bash': 'Expert'}, {'Python': 'Expert'}, {'Linux Operating System': 'Expert'}","{'AWS / Azure': 'Intermediate'}, {'Docker, K8S': 'Advanced'}, {'Kubernetes / OpenShift': 'Advanced'}, {'Git': 'Expert'}, {'Jenkins / GitLab': 'Advanced'}, {'Ansible': 'Advanced'}, {'ELK / Prometheus / Icinga / Jaeger / Grafana': 'Advanced'}",Job with occasional home office,Full-time,3-5 years,,,
5042597,Senior Java Developer - project Gigabit + Sign on Bonus 2000 EUR,Deutsche Telekom IT Solutions Slovakia,https://www.profesia.sk/praca/deutsche-telekom-it-solutions-slovakia/O5042597?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-03-25,True,Košice,3100 - 3700 EUR gross/month,English: B2,Bachelor's degree or Master's degree in Information technologies,"Java, Spring Boot, Quarkus","Angular, React, Kubernetes, Docker, Microservices, Git, cloud technologies (AWS, Azure, Google), DB, Grafana",Remote work,Full-time,5+ years,,,
5186234,Solution Application Architect (Azure),Pro HR,https://www.profesia.sk/praca/pro-hr/O5186234?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,4500 EUR gross/month,English: B2,Bachelor,,"Git, GitLab Runners for CI, Docker, Ansible, Terraform, Kubernetes, Azure DevOps, Jenkins, Maven, Gradle",Home-Office,Full-time,4 years,,,
5186233,IT Project Manager,Pro HR,https://www.profesia.sk/praca/pro-hr/O5186233?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,3800 EUR gross/month,English: B2,"Bachelor, Master",,,Hybrid,Full-time,1-3 years,,,
5172534,Cybersecurity Enthusiast Wanted!,"ESET, spol. s r.o.",https://www.profesia.sk/praca/eset/O5172534?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,1600 EUR gross/month,English: B2,,,,Job with occasional home office,Full-time,,,,
5186201,IT (ERP/CRM) konzultant / analytik,Strauberi s. r. o.,https://www.profesia.sk/praca/strauberi/O5186201?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-01-06,False,Košice,1700 - 2300€ brutto/month,English: B2,"Bachelor, Master, PhD",,Odoo,"Home-Office, On-site with home office",Full-time,3+ years,,,
5186194,Produktový špecialista/špecialistka odd. Multichannel,"Všeobecná úverová banka, a.s., Intesa Sanpaolo",https://www.profesia.sk/praca/vseobecna-uverova-banka-intesa-sanpaolo/O5186194?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-17,False,Bratislava,1800 EUR gross/month,English: C1,Bachelor's degree or higher,,,Home-Office (up to 50% of the time),Full-time,2+ years,,,
5186193,ERP Enterprise Architect (IFS Cloud Transformation),NonStop Consulting Ltd,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186193?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Remote,4000 EUR gross/month,English: Fluent,University education (Bachelor's degree),,,Home-Office,Full-time,,,,
5163608,SAP S4 IT Solutions - FI AR Consultant,"Kyndryl Services Slovensko, spol. s r.o.",https://www.profesia.sk/praca/kyndryl-services-slovensko/O5163608?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Bratislava,3330 EUR gross/month,English: B2,"Bachelor's degree, Master's degree, Doctorate",,"SAP FI-AR module, SAP ECC or S/4HANA",Job with occasional home office,Full-time,2–5+ years,,,
5159908,Senior Java Software Engineer (Air Traffic Management),FREQUENTIS Solutions & Services s. r. o.,https://www.profesia.sk/praca/frequentis-solutions-services/O5159908?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2026-02-03,False,Bratislava,4000 EUR gross/month,English: B2,Bachelor's degree,"Java, JavaScript","Maven, Git, Docker, Jenkins, Akka, JSON, RabbitMQ/AMQP, WebSocket, HTTP/REST, SIP/SDP, JUnit tests, CATS (test automation platform), etcd, Zabbix, OpenSearch/Kibana, Jama, JIRA, Confluence",Hybrid,Full-time,,,,
5186172,Senior IT Infrastructure Engineer | Global Cloud Transformation - Remote,NonStop Consulting Ltd,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186172?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Remote,4000 - 5000 EUR gross/month,English: C1,University education (Bachelor's degree),,,Full remote flexibility,Full-time,,,,
5186171,DevOps Engineer,IT-Impulse s. r. o.,https://www.profesia.sk/praca/it-impulse/O5186171?search_id=4ffbfa32-16eb-4568-a940-aa6b834a09e7,2025-11-04,2025-11-24,False,Remote,2500 EUR gross/month,English: B2,University education (Bachelor's degree),"UNIX/Linux, DevOps, Kubernetes","Fluentd/Logstash, Kibana, Grafana, Prometheus, GitLab, JFrog Artifactory, Keycloak/RH SSO, Kafka/Eventstream, API Gateway kong",Remote,Full-time,4,,,
5186166,BI Developer – Power BI / Azure Data Platform - Remote,NonStop Consulting Ltd,https://www.profesia.sk/praca/nonstop-consulting-ltd/O5186166?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Remote,3000 - 4500 EUR gross/month,English: C1,Bachelor's degree,,"Microsoft Power Bi, Azure Synapse, Databricks, Power Platform",Home-Office,Full-time,,,,
5186161,IT Biznis Analytik,CODERAMA s. r. o.,https://www.profesia.sk/praca/coderama/O5186161?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Praha,3000-6000 EUR gross/month,"{'English': 'C1'}, {'Slovak': 'C1'}",Bachelor's degree or higher,,"X-Ray Search, Tricentis Tosca, Amazon Web Services (AWS), CI/CD pipeline",Hybrid,Full-time,5+ years,,,
5186141,Xray Support Engineer,CODERAMA s. r. o.,https://www.profesia.sk/praca/coderama/O5186141?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Žilina,3000 - 6000 EUR gross/month,"{'English': 'C1'}, {'Slovak': 'C1'}",Bachelor's degree or higher in Informatics and Information Technologies,,"X-Ray Search, Tricentis Tosca, Amazon Web Services (AWS), CI/CD pipeline",Home-Office,Full-time,5+ years,,,
5186137,Andorid Developer,Sygic a. s.,https://www.profesia.sk/praca/sygic/O5186137?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Brno,2600 EUR gross/month,"Slovak: B2, Czech: B2, English: B2",Secondary with school-leaving examination,"Kotlin, Java (Jetpack Compose)","Azure DevOps, Git, JUnit for ViewModels and repositories, Dagger2",Job with occasional home office,Full-time,,,,
5186110,Jira developer / Atlassian expert,"Centila, s. r. o.",https://www.profesia.sk/praca/centila/O5186110?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,3000 EUR gross/month,"English: C1, Slovak: C2",Bachelor's degree or higher,,"Jira, Confluence, Bitbucket, Bamboo",Hybrid,Full-time,3-5 years,,,
5184955,Delivery Manager,"Seyfor Slovensko, a.s.",https://www.profesia.sk/praca/seyfor-slovensko/O5184955?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,3400 EUR gross/month,English: B2,"Bachelor, Master, PhD",,,Home-Office,Full-time,5+ years,,,
5169220,Biznis analytik,"Prima banka Slovensko, a.s.",https://www.profesia.sk/praca/prima-banka-slovensko/O5169220?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2026-03-25,True,Bratislava,1500 EUR gross/month,,"Bachelor, Master",SQL,"Microsoft Excel, Microsoft Word, Microsoft PowerPoint",On-site,Full-time,2 years,,,
5186097,Senior AI Python Software Engineer,ableneo Slovensko s.r.o.,https://www.profesia.sk/praca/ableneo-slovensko/O5186097?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-11-24,False,Bratislava,3500 EUR gross/month,"Slovak: C1, English: B2",University education (Bachelor's degree),Python: Expert,"GitLab, Jira, CI/CD, code reviews, FastAPI, Elastic, Azure AI Search",Job with occasional home office,Full-time,8+ years,,,
5186088,IT-Service Desk Employee,teamative a. s.,https://www.profesia.sk/praca/teamative/O5186088?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2025-12-17,False,Košice,2200 EUR gross/month,"English: C1, German: B2",Secondary with school-leaving examination,,"Microsoft Office365, Windows 10/11, MDM via Intune and Apple Business Manager",On-site,Full-time,0-1 years,,,
5186084,Senior QA Engineer,Moxymind s. r. o.,https://www.profesia.sk/praca/moxymind/O5186084?search_id=1f1ae081-2049-4954-88a2-2a50e8ba8cf8,2025-11-04,2026-02-07,False,Košice,3000 EUR gross/month,,"Bachelor, Master, PhD","Python, Java, JavaScript","Karate, Postman, Wiremock, JUnit, Cucumber",Hybrid,Full-time,5+ years,,,
