Location,Profesia,Profession,CVOnline,Total
"Bratislava, Košice",5,0,0,5
Urdorf,0,5,0,5
Hungary,0,0,5,5
Komárno,5,0,0,5
Hajdú-Bihar megye,0,1,4,5
Karlsruhe,0,5,0,5
Winterthur,0,5,0,5
Manching,0,5,0,5
Lučenec,5,0,0,5
Modřice,5,0,0,5
Slovak Republic,5,0,0,5
Senec,5,0,0,5
Michalovce,5,0,0,5
Stuttgart,1,4,0,5
Svätý Jur,5,0,0,5
Humenné,5,0,0,5
Nitriansky kraj,4,0,0,4
Dunakeszi,0,4,0,4
"Pstruša, Vígľaš",4,0,0,4
Chiasso,0,4,0,4
Skalica,4,0,0,4
Dunajská Streda,4,0,0,4
Púchov,4,0,0,4
Bonaduz,0,4,0,4
Immenstaad am Bodensee,0,4,0,4
Šamorín,4,0,0,4
"Bratislavský kraj, Žilinský kraj",4,0,0,4
"Verl, Baden-Baden or Berlin",0,4,0,4
"Studená, Bratislava",4,0,0,4
Prešovský kraj,4,0,0,4
"Kálov, Žilina",4,0,0,4
Gbeľany,4,0,0,4
Krušovce,4,0,0,4
Gerlingen-Schillerhöhe,0,4,0,4
Spišská Nová Ves,3,0,0,3
"Slovensko, Česko",3,0,0,3
not specified,0,0,3,3
Veszprém,0,3,0,3
Veľké Úľany,3,0,0,3
Závažná Poruba,3,0,0,3
Üllő,0,2,1,3
"Bratislava-Petržalka, Bratislava",3,0,0,3
Thônex,0,3,0,3
Bratislava-Petržalka,3,0,0,3
Remscheid near Düsseldorf,0,3,0,3
Cheb,3,0,0,3
Budapest XIII,0,3,0,3
Dresden,0,3,0,3
"Paks, Budapest, Szeged",0,3,0,3
Pezinok,3,0,0,3
Ettlingen,0,3,0,3
Essen,0,3,0,3
Einbeck,0,3,0,3
Eppelheim,0,3,0,3
Pfäffikon,0,3,0,3
Nyíregyháza,0,3,0,3
Erlangen,0,3,0,3
Siófok,0,1,2,3
"Púchovská cesta, Lednické Rovne",3,0,0,3
Ruhr-Universität Bochum,0,3,0,3
Prilly,0,3,0,3
Potvorice,3,0,0,3
Podbrezová,3,0,0,3
Kiskunhalas,0,0,3,3
Fót,0,3,0,3
Geneva,0,3,0,3
Levice,3,0,0,3
Krupina,3,0,0,3
Malý Krtíš,3,0,0,3
Ivanka pri Dunaji,3,0,0,3
Innsbruck,0,3,0,3
Hettlingen,0,3,0,3
Hybrid,0,3,0,3
Ilava,3,0,0,3
Záborské,3,0,0,3
Wiesbaden,0,3,0,3
Zlaté Moravce,3,0,0,3
"BA, ZA, KE",3,0,0,3
Bardejov,3,0,0,3
Tvrdošín,2,0,0,2
Trstená,2,0,0,2
"Trnavský kraj, Nitriansky kraj",2,0,0,2
"Bratislava, Vienna",2,0,0,2
Triesen,0,2,0,2
Viedeň,2,0,0,2
Trier,0,2,0,2
"Bratislavský kraj, Trnavský kraj, Nitriansky kraj",2,0,0,2
Wiener Neudorf,0,0,2,2
Wiener Öffis,0,0,2,2
Walldorf,0,2,0,2
Walldorf or Barcelona,0,2,0,2
Wesel,0,2,0,2
Wetzlar,0,2,0,2
Trenčianska Turná,2,0,0,2
Sárszentmihály,0,2,0,2
Tata,0,1,1,2
Tatabánya,0,1,1,2
Tatranská Lomnica,2,0,0,2
Teplička nad Váhom,2,0,0,2
Indianapolis,0,2,0,2
Israel,0,2,0,2
Istebné,2,0,0,2
Ivanka pri Nitre,2,0,0,2
Heves megye,0,2,0,2
Hinwil,0,2,0,2
Hoehenkirchen-Siegertsbrunn,0,2,0,2
České Budějovice,2,0,0,2
"Čárskeho, Košice",2,0,0,2
Aarburg,0,2,0,2
Bernolákovo,2,0,0,2
Amstetten,0,0,2,2
Érd,0,2,0,2
Szatymaz,0,2,0,2
Szombathely,0,2,0,2
"Slovenská republika, Slovensko",2,0,0,2
Soroksár,0,0,2,2
St. Leon-Rot,0,2,0,2
Schlieren,0,2,0,2
Sindelfingen,0,2,0,2
"Slovakia, Czech Republic, Poland",2,0,0,2
Garching,0,2,0,2
"Garching near Munich, Germany",0,2,0,2
Gerlingen,0,2,0,2
Germany or Austria,0,2,0,2
"Germany, Austria, Switzerland",2,0,0,2
Galanta,2,0,0,2
Kolárovo,2,0,0,2
Košice Region,2,0,0,2
Kaposvár,0,2,0,2
Karlova Ves,2,0,0,2
Klaus,0,0,2,2
Chorvátsky Grob,2,0,0,2
Burgdorf,0,2,0,2
Bučany,2,0,0,2
Bytča,2,0,0,2
Budapest XIII. kerület,0,1,1,2
"Budapest, Pécs, Debrecen",0,2,0,2
Renningen,0,2,0,2
Ružinov,2,0,0,2
Budapest III. kerület,0,2,0,2
Rankweil,0,0,2,2
Plavecký Štvrtok,2,0,0,2
Námestovo,2,0,0,2
Nänikon-Greifensee,0,2,0,2
Dvory nad Žitavou,2,0,0,2
"Ettlingen, None",0,2,0,2
"Feldkirch, Österreich",0,0,2,2
Davos,0,2,0,2
Nitra region,2,0,0,2
Nižná,2,0,0,2
Mátészalka,0,0,2,2
Marianka,2,0,0,2
Lungötz,2,0,0,2
Környe,0,2,0,2
Lausanne,0,2,0,2
Graz,2,0,0,2
Gáň,2,0,0,2
Gütersloh,0,2,0,2
"Krasovského, Petržalka",2,0,0,2
"Bratislava, Žilina, Martin, Banskej Bystrici",2,0,0,2
Bratislava/Košice,2,0,0,2
"Žilina, Bratislava",2,0,0,2
"Bratislava region, Trnava region, Nitra region",2,0,0,2
Hard,0,0,2,2
"Zlaté Piesky, Ružinov",2,0,0,2
Zohor,2,0,0,2
Zsámbék,0,2,0,2
Zug,0,2,0,2
Hannover,0,2,0,2
Vorarlberg,0,0,2,2
Vecsési járás,0,0,2,2
"Veľké Bielice, Partizánske",2,0,0,2
Veľké Zálužie,2,0,0,2
Biel/Bienne,0,2,0,2
Berlin or Barcelona,0,2,0,2
"Berlin, Baden-Baden, Verl or Tallinn",0,2,0,2
"Bad Honnef, Berlin",0,2,0,2
"BA,ZA,KE",1,0,0,1
Baden,0,1,0,1
Baden-Daettwil,0,1,0,1
Bajkalská 28,1,0,0,1
Balatonfüred,0,0,1,1
Balzers,0,1,0,1
"Banskobystrický kraj, Nitriansky kraj",1,0,0,1
Baranya megye,0,1,0,1
Barcelona,0,1,0,1
"Barcelona, Berlin",0,1,0,1
Beluša,1,0,0,1
Berlin / Regensburg,0,1,0,1
Bern,0,1,0,1
Vaďovce,1,0,0,1
Veselí nad Moravou,1,0,0,1
Vevey,0,1,0,1
Veľké Kosihy,1,0,0,1
Vlkanová,1,0,0,1
Voderady,1,0,0,1
Vrbové,1,0,0,1
Vráble,1,0,0,1
Várpalota,0,1,0,1
Záhony,0,0,1,1
"Austin, Texas",0,1,0,1
Zlín,1,0,0,1
"Znievska, Petržalka",1,0,0,1
Zwingen,0,1,0,1
Hanover,0,1,0,1
Hatvan,0,1,0,1
Heerbrugg,0,1,0,1
Heidelberg,0,1,0,1
Heidenheim,0,1,0,1
Hemer (NRW),0,1,0,1
Biel-Bienne,0,1,0,1
Bratislava / Zvolen / Košice,1,0,0,1
"Bratislava region, Germany, Switzerland",1,0,0,1
"Bratislava, Banská Bystrica",1,0,0,1
"Bratislava, Nitra, Banská Bystrica, Košice, Žilina",1,0,0,1
"Bratislava, Nitra, Žilina, Martin, Banská Bystrica",1,0,0,1
"Bratislava, Slovakia",1,0,0,1
Biatorbágy,0,0,1,1
"Bratislava, Zilina, Martin, Banska Bystrica",1,0,0,1
"Bratislava, Žilina, Martin, Banskeá Bystrica",1,0,0,1
Bratislava-Ružinov,1,0,0,1
"Bratislava/Košice, Central/North/South Slovakia",1,0,0,1
"Bratislavský kraj, Trenčiansky kraj, Zahraničie - ostatné",1,0,0,1
Gyöngyös,0,1,0,1
Götzis,0,0,1,1
Handlová,1,0,0,1
Kriens,0,1,0,1
Krivá,1,0,0,1
"Kutlíkova, Petržalka",1,0,0,1
Köln,0,1,0,1
Lachen,0,1,0,1
Liebherr,0,0,1,1
Limassol,0,1,0,1
Linz,1,0,0,1
Lippstadt,0,1,0,1
London,0,1,0,1
Los Angeles,0,1,0,1
Lucerne,0,1,0,1
Luxembourg city,0,1,0,1
Mannheim,0,1,0,1
Marcali,0,1,0,1
Martinsried,0,1,0,1
Meyrin,0,1,0,1
Modra,1,0,0,1
Moravany nad Váhom,1,0,0,1
Mosonmagyaróvár,0,1,0,1
Most pri Bratislave,1,0,0,1
Munich/Garching,0,1,0,1
Mátranovák,0,1,0,1
Mödling,0,0,1,1
"NORDCITY Poštová, Poštová, Žilina-Vlčince, Slovakia",1,0,0,1
Neckartenzlingen,0,1,0,1
Nemšová,1,0,0,1
Neu-Isenburg bei Frankfurt am Main,0,1,0,1
Neuchâtel,0,1,0,1
Nidau,0,1,0,1
North part of Pest County,0,0,1,1
Not specified,0,0,1,1
"Copenhagen, Denmark",1,0,0,1
Crissier,0,1,0,1
Csákvár,0,1,0,1
Davos Platz,0,1,0,1
Dolné Rudiny,1,0,0,1
Dolný Hričov,1,0,0,1
Duisburg,0,1,0,1
Dunaharaszti,0,1,0,1
Dunajská Lužná,1,0,0,1
Dunaújváros,0,1,0,1
Emmen,0,1,0,1
Esztergom,0,1,0,1
Europe,0,0,1,1
Flawil,0,1,0,1
Nováky,1,0,0,1
Nuremberg,0,1,0,1
Nyírtelek,0,1,0,1
Oberkochen,0,1,0,1
Oberpfaffenhofen,0,1,0,1
Oetwil am See,0,1,0,1
Okres Žiar nad Hronom,1,0,0,1
Oravská Lesná,1,0,0,1
Oslany,1,0,0,1
Pardubice,1,0,0,1
Partizanske,1,0,0,1
Patince,1,0,0,1
Pest,0,1,0,1
Pest megye,0,1,0,1
"Piešťany, Slovakia",1,0,0,1
Pilisjászfalu,0,1,0,1
Pilisszentiván,0,1,0,1
Plochingen near Stuttgart,0,1,0,1
Plzeň,1,0,0,1
Podunajské Biskupice,1,0,0,1
Porto,1,0,0,1
Praha / Olomouc,1,0,0,1
"Praha, Košice",1,0,0,1
Pratteln,0,1,0,1
Pravenec,1,0,0,1
Pusté Úľany,1,0,0,1
Remote / Bratislava,1,0,0,1
Remote work,1,0,0,1
Remscheid,0,1,0,1
Rohožník,1,0,0,1
Rumanová,1,0,0,1
Ružomberok,1,0,0,1
Budakalasz,0,1,0,1
Budapest or Jánossomorja,0,1,0,1
"Budapest, Baranya megye",0,1,0,1
"Budapest, Bács-Kiskun megye, Baranya megye, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Fejér megye, Győr-Moson-Sopron megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Komárom-Esztergom megye, Nógrád megye, Pest megye",0,1,0,1
"Budapest, Csongrád-Csanád megye, Tolna megye",0,1,0,1
"Budapest, III. kerület",0,0,1,1
"Budapest, Paks, Szeged",0,1,0,1
Budča,1,0,0,1
"Burgdorf, Zürich",0,1,0,1
Bystré,1,0,0,1
Bábolna,0,1,0,1
Bács-Kiskun megye,0,1,0,1
Böblingen,0,1,0,1
Böblingen bei Stuttgart,0,1,0,1
Böhlerwerk,0,0,1,1
"CT Park, Prílohy",1,0,0,1
Chemnitz,0,1,0,1
Cologne or Künzelsau,0,1,0,1
Rümlang,0,1,0,1
Jülich/Aachen,0,1,0,1
Kaiseraugst,0,1,0,1
Kapuvár,0,1,0,1
Kežmarok,1,0,0,1
Kis türelmet... Egyéb juttatások,0,1,0,1
"Klaus, Austria",0,0,1,1
"Klaus, Austria, Erlangen, Germany",0,0,1,1
Kleinostheim near Frankfurt,0,1,0,1
Komárom-Esztergom megye,0,1,0,1
Kostolné Kračany,1,0,0,1
Kovian,1,0,0,1
Košický kraj,1,0,0,1
"Krakovská, Košice",1,0,0,1
Frankfurt am Main,0,1,0,1
Frankfurt/Main,0,1,0,1
Freiburg (Breisgau),0,1,0,1
Füllinsdorf,0,1,0,1
Füzesabony,0,1,0,1
Gbely,1,0,0,1
Glattpark,0,1,0,1
Gomaringen bei Tübingen,0,1,0,1
San Francisco,0,1,0,1
Seattle,0,1,0,1
"Seon, Switzerland",0,1,0,1
Sheffield,0,1,0,1
"Slovak Republic, Austria",1,0,0,1
Snina,1,0,0,1
Somogy megye,0,0,1,1
Sopron,0,0,1,1
Sopron & Sárvár,0,1,0,1
Speyer,0,1,0,1
Stadtallendorf,0,1,0,1
Stará Ľubovňa,1,0,0,1
"Staré Grunty, Karlova Ves",1,0,0,1
Steyr,1,0,0,1
Stupava,1,0,0,1
"Stuttgart, Budapest",0,1,0,1
Stuttgart-Vaihingen,0,1,0,1
Svidník,1,0,0,1
Svit,1,0,0,1
Szany,0,1,0,1
"Szeged, Budapest, Paks",0,1,0,1
Szlovákia,0,1,0,1
Szolnok,0,1,0,1
Sárospatak,0,1,0,1
Zürich/Basel/Geneva,0,1,0,1
Amsterdam,0,1,0,1
Ács,0,1,0,1
Österreich,0,0,1,1
Újhartyán,0,1,0,1
Alsónémedi,0,1,0,1
Čerešňová,1,0,0,1
"Čierna Voda, Chorvátsky Grob",1,0,0,1
Almásfüzitő,0,1,0,1
Allschwil,0,1,0,1
Hibrid • Hackensack,0,1,0,1
Holíč,1,0,0,1
Horná Potôň,1,0,0,1
"Hungary, Iceland, Norway, Spain",0,1,0,1
"Härkingen, Switzerland",0,1,0,1
Hévíz,0,1,0,1
"Höchst, Austria",0,0,1,1
Jászberény,0,1,0,1
Jülich,0,1,0,1
Tashkent,0,1,0,1
Thörishaus,0,1,0,1
Trebatice,1,0,0,1
Trebišov,1,0,0,1
Trenčianska Teplá,1,0,0,1
Trenčianske Stankovce,1,0,0,1
"Trenčiansky kraj, Česko",1,0,0,1
Bonn,0,1,0,1
Bonyhád,0,0,1,1
Boston or Durham,0,1,0,1
Wangen b. Dübendorf,0,1,0,1
"Wels-Linz, Austria",1,0,0,1
Western Slovakia,1,0,0,1
"Bern, Thun",0,1,0,1
Wiesbaum,1,0,0,1
Wietmarschen-Lohne,0,1,0,1
Yverdon-les-Bains,0,1,0,1
Zalaegerszeg,0,1,0,1
"Zavar, Trnava, Slovakia",1,0,0,1
"Zilina, Bratislava",1,0,0,1
Bremen,1,0,0,1
Brezno,1,0,0,1
Brezová pod Bradlom,1,0,0,1
Brunovce,1,0,0,1
Bruntál,1,0,0,1
Buchs AG,0,1,0,1
Wiener,0,0,1,1
"Varna, Bulgaria",1,0,0,1
Herzogenrath,0,1,0,1
Waldshut-Tiengen,0,1,0,1
Bojnice,1,0,0,1
Uherský Brod,1,0,0,1
Ulm,0,1,0,1
Unterföhring bei München,0,1,0,1
Valaská,1,0,0,1
Binningen,0,1,0,1
