Language Requirement,Profesia,Profession,CVOnline,Total
German: Nice to Have,3,0,0,3
German: Optional,3,0,0,3
German: B2-C1,2,0,1,3
Slovenčina: Native,3,0,0,3
English: C1+,2,0,0,2
Anglický jazyk - Mierne pokročilý (B1),2,0,0,2
English: Essential,2,0,0,2
Local language: Fluent,0,2,0,2
Polish: B2,0,2,0,2
Russian: B1,0,2,0,2
Ukrainian: C2,2,0,0,2
Slovak: B2+,2,0,0,2
Slovak: C1-C2,2,0,0,2
French,0,1,1,2
French: B1,0,2,0,2
German: A2-C1,0,2,0,2
German: Active,2,0,0,2
German: Unknown,0,0,2,2
Hungarian: A2,0,2,0,2
German: advantage,2,0,0,2
German: optional,2,0,0,2
Hungarian: Fluent,0,0,2,2
Italian: C1,0,2,0,2
English: Business proficiency,0,2,0,2
English: Business Fluency,0,2,0,2
English: Basic (spoken),2,0,0,2
English: B1/B2,2,0,0,2
English: Negotiation level,0,0,2,2
English: Intermediate (written),2,0,0,2
English: B2-C2,2,0,0,2
Spanish: C1,1,1,0,2
Swedish: C1-C2,2,0,0,2
German: Advanced,2,0,0,2
German: Full working proficiency,0,2,0,2
English: Upper-intermediate,2,0,0,2
German: Nice to have,0,2,0,2
German: Communicative,2,0,0,2
English: Very Good,1,1,0,2
English: unspecified,2,0,0,2
German: Business Fluency,0,2,0,2
Slovenian: C2,2,0,0,2
Slovak: Fluent,2,0,0,2
Danish: C1-C2,2,0,0,2
Dutch: Professional,0,2,0,2
Czech: Expert (C2),2,0,0,2
Angličtina,1,0,0,1
Angličtina: C1,1,0,0,1
Arabic: B2,1,0,0,1
Chinese: C1,0,1,0,1
Czech/Slovak,1,0,0,1
Czech/Slovak: Native,1,0,0,1
Czech: B1,1,0,0,1
Czech: Native/Bilingual,1,0,0,1
Danish OR Swedish: C1-C2,1,0,0,1
Danish: C1,1,0,0,1
Dutch: B1,0,1,0,1
English: >10,0,1,0,1
Slovak: Native/Bilingual,1,0,0,1
Slovak: Proficient,1,0,0,1
Slovak: communicative,1,0,0,1
Slovak: null,1,0,0,1
Slovakian,1,0,0,1
Slovenský jazyk: C1,1,0,0,1
Slovenský jazyk: Expert (C2),1,0,0,1
Slovenčina - Expert (C2),1,0,0,1
Slovenčina - Pokročilý (C1),1,0,0,1
Slovenčina: B1,1,0,0,1
Slovenčina: Unknown,1,0,0,1
Spanish: B1,0,1,0,1
Spanish: Lower Intermediate,0,1,0,1
Swedish OR Danish: C1-C2,1,0,0,1
Ukrainian: B1,0,1,0,1
Ukrainian: B2,1,0,0,1
Anglický jazyk: Stredne pokročilý (B2),1,0,0,1
German: Advantageous,1,0,0,1
German: B2 or higher (nice to have),1,0,0,1
German: B2+,1,0,0,1
German: B2/C1,1,0,0,1
German: C1-C2,0,0,1,1
German: C1/C2,0,0,1,1
German: Good,0,1,0,1
German: Intermediate,0,1,0,1
German: Lower Intermediate,0,1,0,1
German: Native or C1,0,1,0,1
German: Native/Fluent,0,1,0,1
German: Not specified,1,0,0,1
English: Upper-Intermediate (B2),1,0,0,1
English: Upper-Intermediate or higher,0,1,0,1
English: Upper-intermediate or higher,1,0,0,1
English: fluent,1,0,0,1
English: mandatory,1,0,0,1
English: required,1,0,0,1
English: sufficient for effective communication,1,0,0,1
French or Italian: Basic,0,1,0,1
French: A2,0,0,1,1
French: A2-C1,0,1,0,1
French: A2-C2,0,1,0,1
French: Native/Fluent,0,0,1,1
German: A2-C2,0,1,0,1
German: Professional working level,1,0,0,1
German: Upper Intermediate (B2),1,0,0,1
German: Very good written and spoken,1,0,0,1
German: communicative,0,0,1,1
German: not specified,0,0,1,1
German: required,1,0,0,1
Hungarian: Active,0,0,1,1
Hungarian: Advanced,0,1,0,1
Hungarian: Preferred,0,0,1,1
Hungarian: Upper Intermediate (B2),1,0,0,1
Hungarian: unknown,0,0,1,1
Italian: B1,0,1,0,1
Italian: C2,0,1,0,1
English: Full professional fluency,1,0,0,1
English: Full professional proficiency,0,1,0,1
English: Good business English skills,1,0,0,1
English: Highly proficient,0,1,0,1
English: Intermediate/Advanced,1,0,0,1
English: Native/Fluent,0,0,1,1
English: Negotiable,0,0,1,1
English: Professional working level,1,0,0,1
English: Professional working proficiency,0,1,0,1
English: Required,0,1,0,1
English: Solid,1,0,0,1
English: Strong,0,1,0,1
English: Technical,1,0,0,1
English: B1 or higher,1,0,0,1
English: C1 or Native,0,1,0,1
English: C1-C2,1,0,0,1
English: Conversational,1,0,0,1
English: Document reading,0,0,1,1
English: Excellent,0,1,0,1
English: Full Professional,0,1,0,1
Italian: Lower Intermediate,0,1,0,1
Italian: Native,0,1,0,1
Maďarský jazyk - Mierne pokročilý (B1),1,0,0,1
Maďarčina: B2,1,0,0,1
Maďarčina: C1,1,0,0,1
Nemecký jazyk - Pokročilý (C1),1,0,0,1
Polish: Lower Intermediate,0,1,0,1
Polish: Native,1,0,0,1
Portuguese: Basic,0,0,1,1
Portuguese: Business Fluent,1,0,0,1
Russian: C2,1,0,0,1
Russian: Native,0,1,0,1
Russian: Professional,0,1,0,1
Slokak: C2,1,0,0,1
Slouk: C2,1,0,0,1
Slovak and/or Czech,1,0,0,1
Slovak/Czech: C2,1,0,0,1
Slovak/Czech: Native,1,0,0,1
Slovak: B2/C1,1,0,0,1
Anglický jazyk: B1,1,0,0,1
Ukrainian: Professional,0,1,0,1
communicative,0,0,1,1
